	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
3999	20150	johanssonsoundsymbolic-Tsimshian	nucl1649		back	1291	BACK		ækʼɔɔ	æ kʼ ɔː
5120	21271	johanssonsoundsymbolic-Tsimshian	nucl1649		bad	1292	BAD		hætʼɒχk	h æ tʼ ɒ χ k
8947	25098	johanssonsoundsymbolic-Tsimshian	nucl1649		bark	1204	BARK		mææs	m æː s
13092	29243	johanssonsoundsymbolic-Tsimshian	nucl1649		bealive	1422	BE ALIVE		dɪduuls	d ɪ d uː l s
16386	32537	johanssonsoundsymbolic-Tsimshian	nucl1649		because	1157	BECAUSE		æwɪl	æ w ɪ l
22998	39149	johanssonsoundsymbolic-Tsimshian	nucl1649		belly	1251	BELLY		gælʔɔɔs	g æ l ʔ ɔː s
28044	44195	johanssonsoundsymbolic-Tsimshian	nucl1649		big	1202	BIG		ʔwɪɪlɛɛks	ʔʷ ɪː l ɛː k s
30418	46569	johanssonsoundsymbolic-Tsimshian	nucl1649		bird	937	BIRD		tʼsʼuuʔts	tsʼ uː ʔ ts
32775	48926	johanssonsoundsymbolic-Tsimshian	nucl1649		bite	1403	BITE		kʼæj	kʼ æ j
35390	51541	johanssonsoundsymbolic-Tsimshian	nucl1649		black	163	BLACK		gææχ	g æː χ
38804	54955	johanssonsoundsymbolic-Tsimshian	nucl1649		blood	946	BLOOD		ɪɬɛɛ	ɪ ɬ ɛː
41008	57159	johanssonsoundsymbolic-Tsimshian	nucl1649		blowofwind	175	BLOW (OF WIND)		bææsk	b æː s k
43178	59329	johanssonsoundsymbolic-Tsimshian	nucl1649		blunt	379	BLUNT		qʼɔɔlɒχ	qʼ ɔː l ɒ χ
47023	63174	johanssonsoundsymbolic-Tsimshian	nucl1649		bone	1394	BONE		sæjp	s æ j p
59019	75172	johanssonsoundsymbolic-Tsimshian	nucl1649		breathe	1407	BREATHE		ksɪnææɬ	k s ɪ n æː ɬ
91713	107866	johanssonsoundsymbolic-Tsimshian	nucl1649		cloud	1489	CLOUD		wuktʼsʼæn	w u k tsʼ æ n
98967	115120	johanssonsoundsymbolic-Tsimshian	nucl1649		come	1446	COME		gææ	g æː
104982	121135	johanssonsoundsymbolic-Tsimshian	nucl1649		correctright	1725	CORRECT (RIGHT)		hɔjæχ	h ɔ j æ χ
121907	138062	johanssonsoundsymbolic-Tsimshian	nucl1649		daynotnight	1225	DAY (NOT NIGHT)		sæh	s æ h
127191	143346	johanssonsoundsymbolic-Tsimshian	nucl1649		die	1494	DIE		lukʼæhgjɛt	l u kʼ æ h g j ɛ t
131818	147973	johanssonsoundsymbolic-Tsimshian	nucl1649		dirty	1230	DIRTY		mæætg	m æː t g
135740	151895	johanssonsoundsymbolic-Tsimshian	nucl1649		dog	2009	DOG		hææs	h æː s
142208	158363	johanssonsoundsymbolic-Tsimshian	nucl1649		drink	1401	DRINK		æks	æ k s
145841	161996	johanssonsoundsymbolic-Tsimshian	nucl1649		dry	1398	DRY		gɯɯnæks	g ɯː n æ k s
148815	164970	johanssonsoundsymbolic-Tsimshian	nucl1649		dust	2	DUST		juup	j uː p
151284	167439	johanssonsoundsymbolic-Tsimshian	nucl1649		ear	1247	EAR		muk	m u k
154203	170358	johanssonsoundsymbolic-Tsimshian	nucl1649		earthsoil	1228	EARTH (SOIL)		læχjuup	l æ χ j uː p
156809	172964	johanssonsoundsymbolic-Tsimshian	nucl1649		eat	1336	EAT		gæg	g æ g
159108	175266	johanssonsoundsymbolic-Tsimshian	nucl1649		egg	744	EGG		ɬgumɛt	ɬ g u m ɛ t
169689	185847	johanssonsoundsymbolic-Tsimshian	nucl1649		eye	1248	EYE		tʼsʼæl	tsʼ æ l
173693	189852	johanssonsoundsymbolic-Tsimshian	nucl1649		fall	1280	FALL		kʼjæʔæpæjk	kʼ j æ ʔ æ p æ j k
175959	192118	johanssonsoundsymbolic-Tsimshian	nucl1649		far	1406	FAR		wɪlʔnæk	w ɪ l ʔ n æ k
182158	198318	johanssonsoundsymbolic-Tsimshian	nucl1649		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		kʼæwtsɪ	kʼ æ w ts ɪ
185005	201165	johanssonsoundsymbolic-Tsimshian	nucl1649		feather	1201	FEATHER		lɪɪ	l ɪː
190032	222685	johanssonsoundsymbolic-Tsimshian	nucl1649		flower	239	FLOWER		mɯdzægælɛ	m ɯ d z æ g æ l ɛ
192951	225604	johanssonsoundsymbolic-Tsimshian	nucl1649		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		gjɪɪk	g j ɪː k
196284	228937	johanssonsoundsymbolic-Tsimshian	nucl1649		foot	1301	FOOT		æsɪɪ	æ s ɪː
202616	235269	johanssonsoundsymbolic-Tsimshian	nucl1649		four	1500	FOUR		tχæælpχ	t χ æː l p χ
214716	247369	johanssonsoundsymbolic-Tsimshian	nucl1649		give	1447	GIVE		kʼɪlæm	kʼ ɪ l æ m
220846	253502	johanssonsoundsymbolic-Tsimshian	nucl1649		good	1035	GOOD		æm	æ m
226277	258933	johanssonsoundsymbolic-Tsimshian	nucl1649		grass	606	GRASS		kjɔɔχt	k j ɔː χ t
228624	261280	johanssonsoundsymbolic-Tsimshian	nucl1649		green	1425	GREEN		mæɬɪɪtk	m æ ɬ ɪː t k
234646	267302	johanssonsoundsymbolic-Tsimshian	nucl1649		hair	1040	HAIR		gæws	g æ w s
238489	271145	johanssonsoundsymbolic-Tsimshian	nucl1649		hand	1277	HAND		ænʔɔn	æ n ʔ ɔ n
244044	276701	johanssonsoundsymbolic-Tsimshian	nucl1649		head	1256	HEAD		tʼmgæws	tʼ m g æ w s
246975	279632	johanssonsoundsymbolic-Tsimshian	nucl1649		hear	1408	HEAR		ʔnæχʔnuu	ʔ n æ χ ʔ n uː
248569	281226	johanssonsoundsymbolic-Tsimshian	nucl1649		heart	1223	HEART		gɔɔt	g ɔː t
250732	283389	johanssonsoundsymbolic-Tsimshian	nucl1649		heavy	1210	HEAVY		klæʔætsk	k l æ ʔ æ ts k
254558	287217	johanssonsoundsymbolic-Tsimshian	nucl1649		here	136	HERE		gɛɛ	g ɛː
258821	291481	johanssonsoundsymbolic-Tsimshian	nucl1649		hit	1433	HIT		guu	g uː
268943	301603	johanssonsoundsymbolic-Tsimshian	nucl1649		how	1239	HOW		ndɛh	n d ɛ h
274795	307455	johanssonsoundsymbolic-Tsimshian	nucl1649		i	1209	I		nʔɯɯju	n ʔ ɯː j u
276826	309486	johanssonsoundsymbolic-Tsimshian	nucl1649		if	1459	IF		dzɒ	d z ɒ
278119	310779	johanssonsoundsymbolic-Tsimshian	nucl1649		in	1460	IN		tʼsʼææw	tsʼ æː w
287634	320294	johanssonsoundsymbolic-Tsimshian	nucl1649		kill	1417	KILL		dzæk	d z æ k
299112	331772	johanssonsoundsymbolic-Tsimshian	nucl1649		laugh	1355	LAUGH		sɯsʔææks	s ɯ s ʔ æː k s
302266	334926	johanssonsoundsymbolic-Tsimshian	nucl1649		leaf	628	LEAF		jæns	j æ n s
305367	338027	johanssonsoundsymbolic-Tsimshian	nucl1649		left	244	LEFT		mɔɔms	m ɔː m s
317035	349695	johanssonsoundsymbolic-Tsimshian	nucl1649		liver	1224	LIVER		dæp	d æ p
319930	352590	johanssonsoundsymbolic-Tsimshian	nucl1649		long	1203	LONG		ʔnæk	ʔ n æ k
323572	356232	johanssonsoundsymbolic-Tsimshian	nucl1649		louse	1392	LOUSE		tʼsʼæskw	tsʼ æ s kʷ
332369	365030	johanssonsoundsymbolic-Tsimshian	nucl1649		many	1198	MANY		hɛld	h ɛ l d
351007	383671	johanssonsoundsymbolic-Tsimshian	nucl1649		mountain	639	MOUNTAIN		sgæʔnɪɪs	s g æ ʔ n ɪː s
353525	386189	johanssonsoundsymbolic-Tsimshian	nucl1649		mouth	674	MOUTH		tʼsʼmʔææχ	tsʼ m ʔ æː χ
358544	391208	johanssonsoundsymbolic-Tsimshian	nucl1649		name	1405	NAME		wææ	w æː
360425	393091	johanssonsoundsymbolic-Tsimshian	nucl1649		narrow	1267	NARROW		luɬguul	l u ɬ g uː l
363084	395750	johanssonsoundsymbolic-Tsimshian	nucl1649		near	1942	NEAR		æwææ	æ w æː
364828	397495	johanssonsoundsymbolic-Tsimshian	nucl1649		neck	1333	NECK		tʼmlæænɪ	tʼ m l æː n ɪ
368881	401548	johanssonsoundsymbolic-Tsimshian	nucl1649		new	1231	NEW		su	s u
371668	404335	johanssonsoundsymbolic-Tsimshian	nucl1649		night	1233	NIGHT		æætk	æː t k
377486	410153	johanssonsoundsymbolic-Tsimshian	nucl1649		nose	1221	NOSE		tʼsʼæk	tsʼ æ k
379069	411736	johanssonsoundsymbolic-Tsimshian	nucl1649		not	1240	NOT		æɬgæ	æ ɬ g æ
389785	422452	johanssonsoundsymbolic-Tsimshian	nucl1649		one	1493	ONE		kʼæmɛɛt	kʼ æ m ɛː t
393789	426456	johanssonsoundsymbolic-Tsimshian	nucl1649		other	197	OTHER		ɢælæm	ɢ æ l æ m
406288	438955	johanssonsoundsymbolic-Tsimshian	nucl1649		person	683	PERSON		gjɛt	g j ɛ t
432569	465237	johanssonsoundsymbolic-Tsimshian	nucl1649		red	156	RED		mæsgmʔɪɬɛɛ	m æ s g m ʔ ɪ ɬ ɛː
