	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
462	16613	hubercolumbian-Barasana	bara1380		at	1461	AT		hi̵	h ɨ
465	16616	hubercolumbian-Carapana	cara1272		at	1461	AT		pi̵	p ɨ
471	16622	hubercolumbian-Cubeo	cube1242		at	1461	AT		i	i
472	16623	hubercolumbian-Cubeo	cube1242		at	1461	AT		re	r e
473	16624	hubercolumbian-Cubeo	cube1242		at	1461	AT		rã	r ã
476	16627	hubercolumbian-Desano	desa1247		at	1461	AT		ge	g e
494	16645	hubercolumbian-Koreguaje	kore1283		at	1461	AT		re	r e
495	16646	hubercolumbian-Koreguaje	kore1283		at	1461	AT		na	n a
496	16647	hubercolumbian-Macuna	macu1260		at	1461	AT		hi̵	h ɨ
497	16648	hubercolumbian-Macuna	macu1260		at	1461	AT		re	r e
503	16654	hubercolumbian-Piratapuyo	pira1254		at	1461	AT		pi̵	p ɨ
510	16661	hubercolumbian-Secoya	seco1241		at	1461	AT		na	n a
511	16662	hubercolumbian-Secoya	seco1241		at	1461	AT		de	d e
512	16663	hubercolumbian-Siriano	siri1274		at	1461	AT		ge	g e
513	16664	hubercolumbian-Siriano	siri1274		at	1461	AT		gere	g e r e
514	16665	hubercolumbian-Tanimuca	tani1257		at	1461	AT		rã	r ã
515	16666	hubercolumbian-Tanimuca	tani1257		at	1461	AT		re	r e
516	16667	hubercolumbian-Tatuyo	tatu1247		at	1461	AT		pi̵	p ɨ
520	16671	hubercolumbian-Tucano	tuca1252		at	1461	AT		pi̵	p ɨ
522	16673	hubercolumbian-Tuyuca	tuyu1244		at	1461	AT		pi̵	p ɨ
523	16674	hubercolumbian-Waimaja	waim1255		at	1461	AT		pi̵	p ɨ
524	16675	hubercolumbian-Waimaja	waim1255		at	1461	AT		ã́dṍpi̵	ã d õ p ɨ
525	16676	hubercolumbian-Wanano	guan1269		at	1461	AT		pi̵	p ɨ
536	16687	hubercolumbian-Yuruti	yuru1263		at	1461	AT		pi̵	p ɨ
2159	18310	hubercolumbian-Barasana	bara1380		axe	677	AXE		kõbẽã́	k õ b ẽ ã
2162	18313	hubercolumbian-Carapana	cara1272		axe	677	AXE		kõbẽã	k õ b ẽ ã
2167	18318	hubercolumbian-Cubeo	cube1242		axe	677	AXE		hoéki̵	h o e k ɨ
2171	18322	hubercolumbian-Desano	desa1247		axe	677	AXE		kõbẽ́	k õ b ẽ
2187	18338	hubercolumbian-Koreguaje	kore1283		axe	677	AXE		suʔupo	s u ʔ u p o
2188	18339	hubercolumbian-Macuna	macu1260		axe	677	AXE		kõbẽã	k õ b ẽ ã
2192	18343	hubercolumbian-Orejon	orej1242		axe	677	AXE		ʔdì̵ò	ʔ d ɨ o
2195	18346	hubercolumbian-Piratapuyo	pira1254		axe	677	AXE		kõbẽ	k õ b ẽ
2200	18351	hubercolumbian-Secoya	seco1241		axe	677	AXE		sĩ̵ʔĩ̵o	s ɨ̃ ʔ ɨ̃ o
