	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
8744	24895	hubercolumbian-Barasana	bara1380		bark	1204	BARK		jukí̵gase	j u k ɨ g a s e
8747	24898	hubercolumbian-Carapana	cara1272		bark	1204	BARK		júkí̵ aséro	j u k ɨ + a s e r o
8752	24903	hubercolumbian-Cubeo	cube1242		bark	1204	BARK		kurí	k u r i
8755	24906	hubercolumbian-Desano	desa1247		bark	1204	BARK		jukí̵ gasíri	j u k ɨ + g a s i r i
8772	24923	hubercolumbian-Koreguaje	kore1283		bark	1204	BARK		sũkʰi kaʔni	s ũ kʰ i + k a ʔ n i
8773	24924	hubercolumbian-Macuna	macu1260		bark	1204	BARK		juki̵ wero	j u k ɨ + w e r o
8779	24930	hubercolumbian-Orejon	orej1242		bark	1204	BARK		sũki ãdĩbi̵	s ũ k i + ã d ĩ b ɨ
8782	24933	hubercolumbian-Piratapuyo	pira1254		bark	1204	BARK		juki̵ kaʔsero	j u k ɨ + k a ʔ s e r o
8787	24938	hubercolumbian-Secoya	seco1241		bark	1204	BARK		sõki̵ kãʔdi	s õ k ɨ + k ã ʔ d i
8788	24939	hubercolumbian-Siona	sion1247		bark	1204	BARK		sũki gãʔnĩwi̵	s ũ k i + g ã ʔ n ĩ w ɨ
8789	24940	hubercolumbian-Siriano	siri1274		bark	1204	BARK		jukí̵ gasiri	j u k ɨ + g a s i r i
8790	24941	hubercolumbian-Tanimuca	tani1257		bark	1204	BARK		japuahea	j a p u a h e a
8791	24942	hubercolumbian-Tatuyo	tatu1247		bark	1204	BARK		júkí̵ ahéri	j u k ɨ + a h e r i
8794	24945	hubercolumbian-Tucano	tuca1252		bark	1204	BARK		jukí̵ kasero	j u k ɨ + k a s e r o
8796	24947	hubercolumbian-Tuyuca	tuyu1244		bark	1204	BARK		jukí̵kasero	j u k ɨ k a s e r o
8797	24948	hubercolumbian-Waimaja	waim1255		bark	1204	BARK		júkí̵ kéhéro	j u k ɨ + k e h e r o
8798	24949	hubercolumbian-Wanano	guan1269		bark	1204	BARK		juki̵ki̵ kaʔsaro	j u k ɨ k ɨ + k a ʔ s a r o
8809	24960	hubercolumbian-Yuruti	yuru1263		bark	1204	BARK		jukí̵kasero	j u k ɨ k a s e r o
22699	38850	hubercolumbian-Barasana	bara1380		belly	1251	BELLY		gi̵dáhóá	g ɨ d a h o a
22700	38851	hubercolumbian-Barasana	bara1380		belly	1251	BELLY		gi̵dáhóá	g ɨ d a h o a
22710	38861	hubercolumbian-Carapana	cara1272		belly	1251	BELLY		páro	p a r o
22711	38862	hubercolumbian-Carapana	cara1272		belly	1251	BELLY		páro	p a r o
22721	38872	hubercolumbian-Cubeo	cube1242		belly	1251	BELLY		japíbi̵	j a p i b ɨ
