	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
733	16884	northeuralex-evn	even1259		atfirst	2915	AT FIRST		nonon	n o n o n
734	16885	northeuralex-evn	even1259		atfirst	2915	AT FIRST		ələkəs	ə l ə k ə s
735	16886	northeuralex-evn	even1259		atfirst	2915	AT FIRST		nonoliː	n o n o l iː
740	16891	northeuralex-gld	nana1257		atfirst	2915	AT FIRST		dʲulə	dʲ u l ə
777	16928	northeuralex-mnc	manc1252		atfirst	2915	AT FIRST		ɤmut͡ʃi	ɤ m u tʃ i
778	16929	northeuralex-mnc	manc1252		atfirst	2915	AT FIRST		tʰukʰtʰan	tʰ u kʰ tʰ a n
779	16930	northeuralex-mnc	manc1252		atfirst	2915	AT FIRST		ɤmu_ɔt͡ʃi	ɤ m u + ɔ tʃ i
1009	17160	northeuralex-evn	even1259		atthattime	2922	AT THAT TIME		talasa	t a l a s a
1014	17165	northeuralex-gld	nana1257		atthattime	2922	AT THAT TIME		t͡ʃadu	tʃ a d u
1053	17204	northeuralex-mnc	manc1252		atthattime	2922	AT THAT TIME		tʰɤrɤt͡ʃi	tʰ ɤ r ɤ tʃ i
1295	17446	northeuralex-evn	even1259		august	2851	AUGUST		irkin	i r k i n
1296	17447	northeuralex-evn	even1259		august	2851	AUGUST		aβɡust	a β g u s t
1297	17448	northeuralex-evn	even1259		august	2851	AUGUST		irkiləxəɲi	i r k i l ə x ə ɲ i
1300	17451	northeuralex-gld	nana1257		august	2851	AUGUST		abɡust	a b g u s t
1301	17452	northeuralex-gld	nana1257		august	2851	AUGUST		dʲɔan_bi͡a	dʲ ɔ a n + b ia
1335	17486	northeuralex-mnc	manc1252		august	2851	AUGUST		d͡ʒakʰʊn_pija	dʒ a kʰ ʊ n + p i j a
1463	17614	northeuralex-evn	even1259		aunt	1272	AUNT		əɲəːkəː	ə ɲ əː k əː
1464	17615	northeuralex-evn	even1259		aunt	1272	AUNT		əkiːn	ə k iː n
1467	17618	northeuralex-gld	nana1257		aunt	1272	AUNT		ɡuɡu	g u g u
1510	17661	northeuralex-mnc	manc1252		aunt	1272	AUNT		tɤxɤmɤ	t ɤ x ɤ m ɤ
1740	17891	northeuralex-evn	even1259		autumn	1276	AUTUMN		boloɲiː	b o l o ɲ iː
1741	17892	northeuralex-evn	even1259		autumn	1276	AUTUMN		siɣələsəɲiː	s i ɣ ə l ə s ə ɲ iː
1742	17893	northeuralex-evn	even1259		autumn	1276	AUTUMN		siruːlasəɲiː	s i r uː l a s ə ɲ iː
1745	17896	northeuralex-gld	nana1257		autumn	1276	AUTUMN		bɔlɔ	b ɔ l ɔ
1775	17926	northeuralex-mnc	manc1252		autumn	1276	AUTUMN		pɔlɔri	p ɔ l ɔ r i
1843	17994	wold-Oroqen	oroq1238		autumn	1276	AUTUMN		bɔlɔ	b ɔ l ɔ
2016	18167	wold-Oroqen	oroq1238		awl	278	AWL		ʃɪlgʊn	ʃ ɪ l g ʊ n
2565	18716	wold-Oroqen	oroq1238		axe	677	AXE		sukə	s u k ə
2669	18820	wold-Oroqen	oroq1238		axle	1769	AXLE		təŋgəl	t ə ŋ g ə l
3021	19172	wold-Oroqen	oroq1238		baby	1289	BABY		nɔnɔ	n ɔ n ɔ
4136	20287	northeuralex-evn	even1259		back	1291	BACK		səːɡdəːnnə	s əː g d əː n n ə
4139	20290	northeuralex-gld	nana1257		back	1291	BACK		darama	d a r a m a
4172	20323	northeuralex-mnc	manc1252		back	1291	BACK		fisa	f i s a
4173	20324	northeuralex-mnc	manc1252		back	1291	BACK		sɤirɤ	s ɤ i r ɤ
