	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
9129	25280	northeuralex-evn	even1259		bark	1204	BARK		ərəktə	ə r ə k t ə
9130	25281	northeuralex-evn	even1259		bark	1204	BARK		uldaksa	u l d a k s a
9134	25285	northeuralex-gld	nana1257		bark	1204	BARK		xɔrakta	x ɔ r a k t a
9167	25318	northeuralex-mnc	manc1252		bark	1204	BARK		nɔtʰxɔ	n ɔ tʰ x ɔ
9495	25646	wold-Oroqen	oroq1238		bark	1204	BARK		kə:rə	k əː r ə
9496	25647	wold-Oroqen	oroq1238		bark	1204	BARK		talu	t a l u
23143	39294	northeuralex-evn	even1259		belly	1251	BELLY		xukitə	x u k i t ə
23147	39298	northeuralex-gld	nana1257		belly	1251	BELLY		xəmdə	x ə m d ə
23180	39331	northeuralex-mnc	manc1252		belly	1251	BELLY		xɤfɤli	x ɤ f ɤ l i
23877	40028	wold-Oroqen	oroq1238		belly	1251	BELLY		gudə:	g u d əː
28294	44445	northeuralex-evn	even1259		big	1202	BIG		kali	k a l i
28298	44449	northeuralex-gld	nana1257		big	1202	BIG		daːi	d aː i
28333	44484	northeuralex-mnc	manc1252		big	1202	BIG		ampa	a m p a
29094	45245	wold-Oroqen	oroq1238		big	1202	BIG		əgdiŋə	ə g d i ŋ ə
30635	46786	northeuralex-evn	even1259		bird	937	BIRD		dəɣi	d ə ɣ i
30638	46789	northeuralex-gld	nana1257		bird	937	BIRD		ɡaza	g a z a
30671	46822	northeuralex-mnc	manc1252		bird	937	BIRD		t͡ʃɤt͡ʃikʰɤ	tʃ ɤ tʃ i kʰ ɤ
31453	47604	wold-Oroqen	oroq1238		bird	937	BIRD		tʃinəkə	tʃ i n ə k ə
32974	49125	northeuralex-evn	even1259		bite	1403	BITE		kikt͡ʃamiː	k i k tʃ a m iː
32977	49128	northeuralex-gld	nana1257		bite	1403	BITE		səkpət͡ʃi͡uri	s ə k p ə tʃ iu r i
33012	49163	northeuralex-mnc	manc1252		bite	1403	BITE		ʃufampi	ʃ u f a m p i
33543	49694	wold-Oroqen	oroq1238		bite	1403	BITE		kɪk-	k ɪ k
35594	51745	northeuralex-evn	even1259		black	163	BLACK		koŋnorin	k o ŋ n o r i n
35597	51748	northeuralex-gld	nana1257		black	163	BLACK		saɣarĩ̟n	s a ɣ a r ĩ̟ n
35628	51779	northeuralex-mnc	manc1252		black	163	BLACK		saxalijan	s a x a l i j a n
36064	52215	wold-Oroqen	oroq1238		black	163	BLACK		kɔŋnɔrɪn	k ɔ ŋ n ɔ r ɪ n
39008	55159	northeuralex-evn	even1259		blood	946	BLOOD		səːksə	s əː k s ə
39011	55162	northeuralex-gld	nana1257		blood	946	BLOOD		səksə	s ə k s ə
39042	55193	northeuralex-mnc	manc1252		blood	946	BLOOD		sɤŋki	s ɤ ŋ k i
39805	55956	wold-Oroqen	oroq1238		blood	946	BLOOD		ʃə:kʃə	ʃ əː k ʃ ə
47230	63381	northeuralex-evn	even1259		bone	1394	BONE		ɡiramna	g i r a m n a
47233	63384	northeuralex-gld	nana1257		bone	1394	BONE		ɡirmaksa	g i r m a k s a
47263	63414	northeuralex-mnc	manc1252		bone	1394	BONE		xaixan	x a i x a n
47264	63415	northeuralex-mnc	manc1252		bone	1394	BONE		kiraŋki	k i r a ŋ k i
48060	64211	wold-Oroqen	oroq1238		bone	1394	BONE		gɪramna	g ɪ r a m n a
57292	73445	northeuralex-evn	even1259		breast	1402	BREAST		ukun	u k u n
57326	73479	northeuralex-mnc	manc1252		breast	1402	BREAST		tʰuŋkɤn	tʰ u ŋ k ɤ n
57327	73480	northeuralex-mnc	manc1252		breast	1402	BREAST		xɤfɤlijɤn	x ɤ f ɤ l i j ɤ n
58108	74261	wold-Oroqen	oroq1238		breast	1402	BREAST		ukun	u k u n
87057	103210	northeuralex-evn	even1259		claw	72	CLAW		osikta	o s i k t a
87058	103211	northeuralex-evn	even1259		claw	72	CLAW		t͡ʃoworiː	tʃ o w o r iː
87061	103214	northeuralex-gld	nana1257		claw	72	CLAW		t͡ʃawakta	tʃ a w a k t a
87093	103246	northeuralex-mnc	manc1252		claw	72	CLAW		ɔʃɔxɔ	ɔ ʃ ɔ x ɔ
87094	103247	northeuralex-mnc	manc1252		claw	72	CLAW		wasixa	w a s i x a
87354	103507	wold-Oroqen	oroq1238		claw	72	CLAW		ʃarbakta	ʃ a r b a k t a
91911	108064	northeuralex-evn	even1259		cloud	1489	CLOUD		tuksu	t u k s u
91914	108067	northeuralex-gld	nana1257		cloud	1489	CLOUD		təwəksʲə	t ə w ə k sʲ ə
91948	108101	northeuralex-mnc	manc1252		cloud	1489	CLOUD		tʰuki	tʰ u k i
92524	108677	wold-Oroqen	oroq1238		cloud	1489	CLOUD		tukʃu	t u k ʃ u
95504	111657	northeuralex-evn	even1259		cold	1287	COLD		iŋiɲiːpt͡ʃu	i ŋ i ɲ iː p tʃ u
95508	111661	northeuralex-gld	nana1257		cold	1287	COLD		ɡɪt͡ʃɪzi	g ɪ tʃ ɪ z i
95539	111692	northeuralex-mnc	manc1252		cold	1287	COLD		pɤjɤn	p ɤ j ɤ n
95540	111693	northeuralex-mnc	manc1252		cold	1287	COLD		antʰuxʊri	a n tʰ u x ʊ r i
96304	112457	wold-Oroqen	oroq1238		cold	1287	COLD		iŋin	i ŋ i n
99177	115330	northeuralex-evn	even1259		come	1446	COME		əməmiː	ə m ə m iː
99180	115333	northeuralex-gld	nana1257		come	1446	COME		di͡uri	d iu r i
99212	115365	northeuralex-mnc	manc1252		come	1446	COME		d͡ʒimpi	dʒ i m p i
99213	115366	northeuralex-mnc	manc1252		come	1446	COME		paxampi	p a x a m p i
100003	116156	wold-Oroqen	oroq1238		come	1446	COME		əmə-	ə m ə
127384	143539	northeuralex-evn	even1259		die	1494	DIE		bumiː	b u m iː
127385	143540	northeuralex-evn	even1259		die	1494	DIE		məkt͡ʃərəːmiː	m ə k tʃ ə r əː m iː
127388	143543	northeuralex-gld	nana1257		die	1494	DIE		burburi	b u r b u r i
127424	143579	northeuralex-mnc	manc1252		die	1494	DIE		susampi	s u s a m p i
128119	144274	wold-Oroqen	oroq1238		die	1494	DIE		bu-	b u
135949	152104	northeuralex-evn	even1259		dog	2009	DOG		ŋinakin	ŋ i n a k i n
135952	152107	northeuralex-gld	nana1257		dog	2009	DOG		i̟nda	i̟ n d a
135986	152141	northeuralex-mnc	manc1252		dog	2009	DOG		intaxʊn	i n t a x ʊ n
136784	152939	wold-Oroqen	oroq1238		dog	2009	DOG		ŋanakin	ŋ a n a k i n
142407	158562	northeuralex-evn	even1259		drink	1401	DRINK		umd͡ʒamiː	u m dʒ a m iː
142410	158565	northeuralex-gld	nana1257		drink	1401	DRINK		ɔmi͡ɔri	ɔ m iɔ r i
142443	158598	northeuralex-mnc	manc1252		drink	1401	DRINK		ɔmimpi	ɔ m i m p i
142841	158996	wold-Oroqen	oroq1238		drink	1401	DRINK		um-	u m
145975	162130	northeuralex-evn	even1259		dry	1398	DRY		olɣokin	o l ɣ o k i n
145978	162133	northeuralex-gld	nana1257		dry	1398	DRY		si̟lũːn	s i̟ l ũː n
146010	162165	northeuralex-mnc	manc1252		dry	1398	DRY		ɔlxɔn	ɔ l x ɔ n
146451	162606	wold-Oroqen	oroq1238		dry	1398	DRY		ɔlgɔkin	ɔ l g ɔ k i n
146452	162607	wold-Oroqen	oroq1238		dry	1398	DRY		iləŋ	i l ə ŋ
151494	167649	northeuralex-evn	even1259		ear	1247	EAR		sjeːn	s j eː n
151497	167652	northeuralex-gld	nana1257		ear	1247	EAR		si͡ãn	s iã n
151528	167683	northeuralex-mnc	manc1252		ear	1247	EAR		ʃan	ʃ a n
152314	168469	wold-Oroqen	oroq1238		ear	1247	EAR		ʃɛ:n	ʃ ɛː n
154316	170471	northeuralex-evn	even1259		earthsoil	1228	EARTH (SOIL)		dunnə	d u n n ə
154319	170474	northeuralex-gld	nana1257		earthsoil	1228	EARTH (SOIL)		tɔɣala	t ɔ ɣ a l a
154354	170509	northeuralex-mnc	manc1252		earthsoil	1228	EARTH (SOIL)		na	n a
154355	170510	northeuralex-mnc	manc1252		earthsoil	1228	EARTH (SOIL)		pɔixɔn	p ɔ i x ɔ n
154784	170939	wold-Oroqen	oroq1238		earthsoil	1228	EARTH (SOIL)		tʊkala	t ʊ k a l a
157028	173183	northeuralex-evn	even1259		eat	1336	EAT		d͡ʒəβd͡ʒəmiː	dʒ ə β dʒ ə m iː
157031	173186	northeuralex-gld	nana1257		eat	1336	EAT		si͡a͡ɔri	s i a ɔ r i
157032	173187	northeuralex-gld	nana1257		eat	1336	EAT		dʲəpuːri	dʲ ə p uː r i
157062	173217	northeuralex-mnc	manc1252		eat	1336	EAT		d͡ʒɤmpi	dʒ ɤ m p i
157063	173218	northeuralex-mnc	manc1252		eat	1336	EAT		puta_d͡ʒɤmpi	p u t a + dʒ ɤ m p i
157701	173859	wold-Oroqen	oroq1238		eat	1336	EAT		dʒəb-	dʒ ə b
159308	175466	northeuralex-evn	even1259		egg	744	EGG		umukta	u m u k t a
159311	175469	northeuralex-gld	nana1257		egg	744	EGG		ɔmɔkta	ɔ m ɔ k t a
159343	175501	northeuralex-mnc	manc1252		egg	744	EGG		usɤ	u s ɤ
159344	175502	northeuralex-mnc	manc1252		egg	744	EGG		umxan	u m x a n
160095	176253	wold-Oroqen	oroq1238		egg	744	EGG		ʊmʊkta	ʊ m ʊ k t a
169894	186052	northeuralex-evn	even1259		eye	1248	EYE		əːsa	əː s a
169897	186055	northeuralex-gld	nana1257		eye	1248	EYE		nazal	n a z a l
169928	186086	northeuralex-mnc	manc1252		eye	1248	EYE		jasa	j a s a
170741	186899	wold-Oroqen	oroq1238		eye	1248	EYE		yɛ:ʃa	y ɛː ʃ a
182256	198416	northeuralex-evn	even1259		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		imuːksə	i m uː k s ə
182259	198419	northeuralex-gld	nana1257		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		si̟muksə	s i̟ m u k s ə
182298	198458	northeuralex-mnc	manc1252		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		nimɤŋki	n i m ɤ ŋ k i
182299	198459	northeuralex-mnc	manc1252		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		tʰarxʊn	tʰ a r x ʊ n
182736	198896	wold-Oroqen	oroq1238		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		imukʃə	i m u k ʃ ə
185139	201299	northeuralex-evn	even1259		feather	1201	FEATHER		ləpurəː	l ə p u r əː
185143	201303	northeuralex-gld	nana1257		feather	1201	FEATHER		dəɡdət͡ʃə	d ə g d ə tʃ ə
185176	201336	northeuralex-mnc	manc1252		feather	1201	FEATHER		fuŋaxa	f u ŋ a x a
185519	201679	wold-Oroqen	oroq1238		feather	1201	FEATHER		ʃuptʃu	ʃ u p tʃ u
193047	225700	northeuralex-evn	even1259		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		dəɣiktəd͡ʒəmiː	d ə ɣ i k t ə dʒ ə m iː
193086	225739	northeuralex-mnc	manc1252		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		tɤjɤmpi	t ɤ j ɤ m p i
193567	226220	wold-Oroqen	oroq1238		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		dəyli-	d ə y l i
193568	226221	wold-Oroqen	oroq1238		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		dəg-	d ə g
196430	229083	northeuralex-evn	even1259		foot	1301	FOOT		xaɡdikiː	x a g d i k iː
196433	229086	northeuralex-gld	nana1257		foot	1301	FOOT		bəɡdi	b ə g d i
196469	229122	northeuralex-mnc	manc1252		foot	1301	FOOT		pɤtʰxɤ	p ɤ tʰ x ɤ
196949	229602	wold-Oroqen	oroq1238		foot	1301	FOOT		algan	a l g a n
209493	242146	northeuralex-evn	even1259		full	1429	FULL		d͡ʒalum	dʒ a l u m
209527	242180	northeuralex-mnc	manc1252		full	1429	FULL		d͡ʒalu	dʒ a l u
210024	242677	wold-Oroqen	oroq1238		full	1429	FULL		dʒalʊm	dʒ a l ʊ m
214921	247574	northeuralex-evn	even1259		give	1447	GIVE		buːmiː	b uː m iː
214924	247577	northeuralex-gld	nana1257		give	1447	GIVE		buːwuri	b uː w u r i
214957	247610	northeuralex-mnc	manc1252		give	1447	GIVE		pumpi	p u m p i
215704	248357	wold-Oroqen	oroq1238		give	1447	GIVE		bu:-	b uː
221061	253717	northeuralex-evn	even1259		good	1035	GOOD		aja	a j a
221064	253720	northeuralex-gld	nana1257		good	1035	GOOD		ulə̃ːn	u l ə̃ː n
221096	253752	northeuralex-mnc	manc1252		good	1035	GOOD		sain	s a i n
221097	253753	northeuralex-mnc	manc1252		good	1035	GOOD		saintʰu	s a i n tʰ u
221875	254531	wold-Oroqen	oroq1238		good	1035	GOOD		aya	a y a
228798	261454	northeuralex-evn	even1259		green	1425	GREEN		t͡ʃularin	tʃ u l a r i n
228801	261457	northeuralex-gld	nana1257		green	1425	GREEN		nʲɔŋɡi͡ãn	nʲ ɔ ŋ g iã n
228802	261458	northeuralex-gld	nana1257		green	1425	GREEN		nʲɔrbɔr_biː	nʲ ɔ r b ɔ r + b iː
228837	261493	northeuralex-mnc	manc1252		green	1425	GREEN		ɲɔwaŋkijan	ɲ ɔ w a ŋ k i j a n
229298	261954	wold-Oroqen	oroq1238		green	1425	GREEN		tʃuturin	tʃ u t u r i n
234801	267457	northeuralex-evn	even1259		hair	1040	HAIR		ɲuriktə	ɲ u r i k t ə
234805	267461	northeuralex-gld	nana1257		hair	1040	HAIR		nuktə	n u k t ə
234836	267492	northeuralex-mnc	manc1252		hair	1040	HAIR		funijɤxɤ	f u n i j ɤ x ɤ
