	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
8854	25005	johanssonsoundsymbolic-Guarani	para1311		bark	1204	BARK		ape	a p e
22651	38802	gerarditupi-Amonda	amun1246		belly	1251	BELLY		e w e g a	e w e g a
22652	38803	gerarditupi-Arawete	araw1273		belly	1251	BELLY		p i r i ʔ i	p i r i ʔ i
22653	38804	gerarditupi-Asurini	toca1235		belly	1251	BELLY		e w e ŋ a	e w e ŋ a
22654	38805	gerarditupi-AvaCanoeiro	avac1239		belly	1251	BELLY		ɨ p u ã	ɨ p u ã
22655	38806	gerarditupi-Aweti	awet1244		belly	1251	BELLY		p ɨ l u p	p ɨ l u p
22656	38807	gerarditupi-Chiriguano	east2555		belly	1251	BELLY		ɨ e	ɨ e
22657	38808	gerarditupi-Emerillon	emer1243		belly	1251	BELLY		ɨ e	ɨ e
22658	38809	gerarditupi-Guaja	guaj1256		belly	1251	BELLY		p a r a w ã	p a r a w ã
22659	38810	gerarditupi-Guajajara	guaj1255		belly	1251	BELLY		p u r u ʔ a	p u r u ʔ a
22660	38811	gerarditupi-GuaraniMbya	mbya1239		belly	1251	BELLY		p u r u ʔ ã	p u r u ʔ ã
22661	38812	gerarditupi-Guarayo	guar1292		belly	1251	BELLY		i e	i e
22662	38813	gerarditupi-Kamayura	kama1373		belly	1251	BELLY		p ɨ r u ʔ ã	p ɨ r u ʔ ã
22663	38814	gerarditupi-Kayabi	kaya1329		belly	1251	BELLY		e w e k	e w e k
22664	38815	gerarditupi-Kokama	coca1259		belly	1251	BELLY		t͡s e w e k a	ts e w e k a
22665	38816	gerarditupi-Mawe	sate1243		belly	1251	BELLY		p ɨ r u m ʔ a	p ɨ r u m ʔ a
22666	38817	gerarditupi-Nheengatu	nhen1239		belly	1251	BELLY		m u r u ã	m u r u ã
22667	38818	gerarditupi-Parakana	para1312		belly	1251	BELLY		p ɨ r o ʔ o	p ɨ r o ʔ o
22668	38819	gerarditupi-Parintintin	tenh1241		belly	1251	BELLY		e β e j	e β e j
22669	38820	gerarditupi-Siriono	siri1273		belly	1251	BELLY		i e	i e
22670	38821	gerarditupi-Tapirape	tapi1254		belly	1251	BELLY		e w e k	e w e k
22671	38822	gerarditupi-UrubuKaapor	urub1250		belly	1251	BELLY		p u r u ʔ ã	p u r u ʔ ã
22672	38823	gerarditupi-Urueuwauwau	urue1240		belly	1251	BELLY		e w e g a	e w e g a
22673	38824	gerarditupi-Warazu	paus1244		belly	1251	BELLY		p u r u ʔ ã	p u r u ʔ ã
22674	38825	gerarditupi-Wayampi	waya1270		belly	1251	BELLY		a k a p e	a k a p e
22675	38826	gerarditupi-Yuki	yuqu1240		belly	1251	BELLY		ɨ e	ɨ e
22890	39041	johanssonsoundsymbolic-Guarani	para1311		belly	1251	BELLY		kuʔa	k u ʔ a
27729	43880	gerarditupi-Amonda	amun1246		big	1202	BIG		e h ã j h u	e h ã j h u
27730	43881	gerarditupi-Anambe	anam1249		big	1202	BIG		u h u	u h u
27731	43882	gerarditupi-Arawete	araw1273		big	1202	BIG		p u k u	p u k u
27732	43883	gerarditupi-Asurini	toca1235		big	1202	BIG		w i s e	w i s e
27733	43884	gerarditupi-AsuriniXingu	xing1248		big	1202	BIG		f u k u	f u k u
