	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
3971	20122	johanssonsoundsymbolic-Rumu	rumu1243		back	1291	BACK		hekɑɾi	h e k ɑ ɾ i
5090	21241	johanssonsoundsymbolic-Rumu	rumu1243		bad	1292	BAD		kot̪o	k o t̪ o
8923	25074	johanssonsoundsymbolic-Rumu	rumu1243		bark	1204	BARK		kɑmɑn̪i	k ɑ m ɑ n̪ i
13066	29217	johanssonsoundsymbolic-Rumu	rumu1243		bealive	1422	BE ALIVE		ɾɑikɑ	ɾ ɑ i k ɑ
15803	31954	johanssonsoundsymbolic-Rumu	rumu1243		beautiful	1427	BEAUTIFUL		hohoke	h o h o k e
16368	32519	johanssonsoundsymbolic-Rumu	rumu1243		because	1157	BECAUSE		mɑkɑhin̪ɛ	m ɑ k ɑ h i n̪ ɛ
19306	35457	johanssonsoundsymbolic-Rumu	rumu1243		before	1882	BEFORE		mɛ	m ɛ
20544	36695	johanssonsoundsymbolic-Rumu	rumu1243		behind	1686	BEHIND		kɑɾimuɑ_t̪ɛ	k ɑ ɾ i m u ɑ + t̪ ɛ
22968	39119	johanssonsoundsymbolic-Rumu	rumu1243		belly	1251	BELLY		jɔ	j ɔ
24601	40752	johanssonsoundsymbolic-Rumu	rumu1243		beloworunder	1485	BELOW OR UNDER		hɑɾo	h ɑ ɾ o
26512	42663	johanssonsoundsymbolic-Rumu	rumu1243		between	689	BETWEEN		mɔɾiɔ_mɔɾiɔ_mɛt̪ɛ_t̪ɛ	m ɔ ɾ i ɔ + m ɔ ɾ i ɔ + m ɛ t̪ ɛ + t̪ ɛ
28012	44163	johanssonsoundsymbolic-Rumu	rumu1243		big	1202	BIG		wɔwɔpi	w ɔ w ɔ p i
30388	46539	johanssonsoundsymbolic-Rumu	rumu1243		bird	937	BIRD		kɑ	k ɑ
32745	48896	johanssonsoundsymbolic-Rumu	rumu1243		bite	1403	BITE		t̪ekekɑ	t̪ e k e k ɑ
33876	50027	johanssonsoundsymbolic-Rumu	rumu1243		bitter	887	BITTER		kɑt̪i	k ɑ t̪ i
35359	51510	johanssonsoundsymbolic-Rumu	rumu1243		black	163	BLACK		kɛihɔpuɾi	k ɛ i h ɔ p u ɾ i
38772	54923	johanssonsoundsymbolic-Rumu	rumu1243		blood	946	BLOOD		hɔkɔɾɛ	h ɔ k ɔ ɾ ɛ
40981	57132	johanssonsoundsymbolic-Rumu	rumu1243		blowofwind	175	BLOW (OF WIND)		hukɑ	h u k ɑ
42134	58285	johanssonsoundsymbolic-Rumu	rumu1243		blue	837	BLUE		kihɔpuɾi	k i h ɔ p u ɾ i
43155	59306	johanssonsoundsymbolic-Rumu	rumu1243		blunt	379	BLUNT		mɑpo_me	m ɑ p o + m e
44649	60800	johanssonsoundsymbolic-Rumu	rumu1243		body	1480	BODY		u_mɑho	u + m ɑ h o
46995	63146	johanssonsoundsymbolic-Rumu	rumu1243		bone	1394	BONE		ɾɑpo	ɾ ɑ p o
51576	67727	johanssonsoundsymbolic-Rumu	rumu1243		boy	1366	BOY		pɑhihuɾi	p ɑ h i h u ɾ i
52963	69114	johanssonsoundsymbolic-Rumu	rumu1243		brain	1583	BRAIN		wɔt̪u_me	w ɔ t̪ u + m e
57080	73233	johanssonsoundsymbolic-Rumu	rumu1243		breast	1402	BREAST		n̪o	n̪ o
64550	80703	johanssonsoundsymbolic-Rumu	rumu1243		burn	2102	BURN		hɑn̪ɑ_n̪ɑn̪ɑ	h ɑ n̪ ɑ + n̪ ɑ n̪ ɑ
67852	84005	johanssonsoundsymbolic-Rumu	rumu1243		buttocks	834	BUTTOCKS		t̪u	t̪ u
73058	89211	johanssonsoundsymbolic-Rumu	rumu1243		carry	700	CARRY		ɑhukɑ	ɑ h u k ɑ
87997	104150	johanssonsoundsymbolic-Rumu	rumu1243		clean	704	CLEAN		wɔin̪ɔ	w ɔ i n̪ ɔ
91688	107841	johanssonsoundsymbolic-Rumu	rumu1243		cloud	1489	CLOUD		oɾo	o ɾ o
95272	111425	johanssonsoundsymbolic-Rumu	rumu1243		cold	1287	COLD		hɑhɑu	h ɑ h ɑ u
98936	115089	johanssonsoundsymbolic-Rumu	rumu1243		come	1446	COME		jɑɾɑ	j ɑ ɾ ɑ
104965	121118	johanssonsoundsymbolic-Rumu	rumu1243		correctright	1725	CORRECT (RIGHT)		mi	m i
106060	122213	johanssonsoundsymbolic-Rumu	rumu1243		cough	879	COUGH		n̪ɛɾu	n̪ ɛ ɾ u
110524	126677	johanssonsoundsymbolic-Rumu	rumu1243		crooked	297	CROOKED		hɑhɑpɑiɑ	h ɑ h ɑ p ɑ i ɑ
112091	128244	johanssonsoundsymbolic-Rumu	rumu1243		crush	1520	CRUSH		kot̪okɑ	k o t̪ o k ɑ
113042	129195	johanssonsoundsymbolic-Rumu	rumu1243		cry	1839	CRY		jɛi	j ɛ i
118753	134906	johanssonsoundsymbolic-Rumu	rumu1243		dark	706	DARK		kɑpu	k ɑ p u
121877	138032	johanssonsoundsymbolic-Rumu	rumu1243		daynotnight	1225	DAY (NOT NIGHT)		uɾu	u ɾ u
124302	140457	johanssonsoundsymbolic-Rumu	rumu1243		deep	1593	DEEP		o	o
127160	143315	johanssonsoundsymbolic-Rumu	rumu1243		die	1494	DIE		kɑhekɑ	k ɑ h e k ɑ
131795	147950	johanssonsoundsymbolic-Rumu	rumu1243		dirty	1230	DIRTY		kɛikɛi	k ɛ i k ɛ i
134270	150425	johanssonsoundsymbolic-Rumu	rumu1243		do	813	DO		mɛt̪ɛ	m ɛ t̪ ɛ
135709	151864	johanssonsoundsymbolic-Rumu	rumu1243		dog	2009	DOG		kɑ	k ɑ
142178	158333	johanssonsoundsymbolic-Rumu	rumu1243		drink	1401	DRINK		un̪ɑn̪ɑ	u n̪ ɑ n̪ ɑ
145813	161968	johanssonsoundsymbolic-Rumu	rumu1243		dry	1398	DRY		wɑɾe	w ɑ ɾ e
148789	164944	johanssonsoundsymbolic-Rumu	rumu1243		dust	2	DUST		pot̪e	p o t̪ e
151254	167409	johanssonsoundsymbolic-Rumu	rumu1243		ear	1247	EAR		ko	k o
154173	170328	johanssonsoundsymbolic-Rumu	rumu1243		earthsoil	1228	EARTH (SOIL)		pɛkɛmɑt̪u	p ɛ k ɛ m ɑ t̪ u
156777	172932	johanssonsoundsymbolic-Rumu	rumu1243		eat	1336	EAT		ɾo_n̪ɑn̪ɑ	ɾ o + n̪ ɑ n̪ ɑ
159083	175241	johanssonsoundsymbolic-Rumu	rumu1243		egg	744	EGG		ɾɛ	ɾ ɛ
164955	181113	johanssonsoundsymbolic-Rumu	rumu1243		empty	1624	EMPTY		min̪i	m i n̪ i
169657	185815	johanssonsoundsymbolic-Rumu	rumu1243		eye	1248	EYE		ihi	i h i
173662	189821	johanssonsoundsymbolic-Rumu	rumu1243		fall	1280	FALL		hɑkɑ	h ɑ k ɑ
175931	192090	johanssonsoundsymbolic-Rumu	rumu1243		far	1406	FAR		hɑu	h ɑ u
177503	193662	johanssonsoundsymbolic-Rumu	rumu1243		fast	1631	FAST		pun̪ɛ	p u n̪ ɛ
