	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
8923	25074	johanssonsoundsymbolic-Rumu	rumu1243		bark	1204	BARK		kɑmɑn̪i	k ɑ m ɑ n̪ i
22968	39119	johanssonsoundsymbolic-Rumu	rumu1243		belly	1251	BELLY		jɔ	j ɔ
28012	44163	johanssonsoundsymbolic-Rumu	rumu1243		big	1202	BIG		wɔwɔpi	w ɔ w ɔ p i
30388	46539	johanssonsoundsymbolic-Rumu	rumu1243		bird	937	BIRD		kɑ	k ɑ
32745	48896	johanssonsoundsymbolic-Rumu	rumu1243		bite	1403	BITE		t̪ekekɑ	t̪ e k e k ɑ
35359	51510	johanssonsoundsymbolic-Rumu	rumu1243		black	163	BLACK		kɛihɔpuɾi	k ɛ i h ɔ p u ɾ i
38772	54923	johanssonsoundsymbolic-Rumu	rumu1243		blood	946	BLOOD		hɔkɔɾɛ	h ɔ k ɔ ɾ ɛ
46995	63146	johanssonsoundsymbolic-Rumu	rumu1243		bone	1394	BONE		ɾɑpo	ɾ ɑ p o
57080	73233	johanssonsoundsymbolic-Rumu	rumu1243		breast	1402	BREAST		n̪o	n̪ o
64550	80703	johanssonsoundsymbolic-Rumu	rumu1243		burn	2102	BURN		hɑn̪ɑ_n̪ɑn̪ɑ	h ɑ n̪ ɑ + n̪ ɑ n̪ ɑ
91688	107841	johanssonsoundsymbolic-Rumu	rumu1243		cloud	1489	CLOUD		oɾo	o ɾ o
95272	111425	johanssonsoundsymbolic-Rumu	rumu1243		cold	1287	COLD		hɑhɑu	h ɑ h ɑ u
98936	115089	johanssonsoundsymbolic-Rumu	rumu1243		come	1446	COME		jɑɾɑ	j ɑ ɾ ɑ
127160	143315	johanssonsoundsymbolic-Rumu	rumu1243		die	1494	DIE		kɑhekɑ	k ɑ h e k ɑ
135709	151864	johanssonsoundsymbolic-Rumu	rumu1243		dog	2009	DOG		kɑ	k ɑ
142178	158333	johanssonsoundsymbolic-Rumu	rumu1243		drink	1401	DRINK		un̪ɑn̪ɑ	u n̪ ɑ n̪ ɑ
145813	161968	johanssonsoundsymbolic-Rumu	rumu1243		dry	1398	DRY		wɑɾe	w ɑ ɾ e
151254	167409	johanssonsoundsymbolic-Rumu	rumu1243		ear	1247	EAR		ko	k o
154173	170328	johanssonsoundsymbolic-Rumu	rumu1243		earthsoil	1228	EARTH (SOIL)		pɛkɛmɑt̪u	p ɛ k ɛ m ɑ t̪ u
156777	172932	johanssonsoundsymbolic-Rumu	rumu1243		eat	1336	EAT		ɾo_n̪ɑn̪ɑ	ɾ o + n̪ ɑ n̪ ɑ
159083	175241	johanssonsoundsymbolic-Rumu	rumu1243		egg	744	EGG		ɾɛ	ɾ ɛ
169657	185815	johanssonsoundsymbolic-Rumu	rumu1243		eye	1248	EYE		ihi	i h i
182132	198292	johanssonsoundsymbolic-Rumu	rumu1243		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		hɑku	h ɑ k u
184978	201138	johanssonsoundsymbolic-Rumu	rumu1243		feather	1201	FEATHER		kɑpɑt̪e	k ɑ p ɑ t̪ e
