	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
600	16751	savelyevturkic-Dolgan	dolg1241		at	1461	AT		ihiger	i h i g e r
601	16752	savelyevturkic-Gagauz	gaga1249		at	1461	AT		dA, tA	d a
602	16753	savelyevturkic-KarachayBalkar	kara1465		at	1461	AT		dA	d a
603	16754	savelyevturkic-Karaim	kara1464		at	1461	AT		dA, tA	d a
604	16755	savelyevturkic-Khalaj	turk1303		at	1461	AT		ʨa	tɕ a
605	16756	savelyevturkic-Kirghiz	kirg1245		at	1461	AT		dA, tA	d a
606	16757	savelyevturkic-Kumyk	kumy1244		at	1461	AT		dA	d a
607	16758	savelyevturkic-Nogai	noga1249		at	1461	AT		dA, tA	d a
608	16759	savelyevturkic-NorthAltai	nort2686		at	1461	AT		ta	t a
609	16760	savelyevturkic-Salar	sala1264		at	1461	AT		tA, dA	t a
610	16761	savelyevturkic-SarygYugur	west2402		at	1461	AT		tA, dA	t a
611	16762	savelyevturkic-Shor	shor1247		at	1461	AT		tA, dA	t a
612	16763	savelyevturkic-SouthAltai	sout2694		at	1461	AT		dA, tA	d a
613	16764	savelyevturkic-Turkmen	turk1304		at	1461	AT		dA	d a
614	16765	savelyevturkic-Tuvan	tuvi1240		at	1461	AT		dA, tA	d a
615	16766	savelyevturkic-Uighur	uigh1240		at	1461	AT		dA, tA	d a
704	16855	northeuralex-azj	nort2697		atfirst	2915	AT FIRST		ævːæl	æ vː æ l
705	16856	northeuralex-bak	bash1264		atfirst	2915	AT FIRST		baʃta	b a ʃ t a
717	16868	northeuralex-chv	chuv1255		atfirst	2915	AT FIRST		pirˈʋaj	p i r ʋ a j
754	16905	northeuralex-kaz	kaza1248		atfirst	2915	AT FIRST		æuelə	æ u e l ə
755	16906	northeuralex-kaz	kaza1248		atfirst	2915	AT FIRST		ɑldəmen	ɑ l d ə m e n
811	16962	northeuralex-tat	tata1255		atfirst	2915	AT FIRST		baʃta	b a ʃ t a
813	16964	northeuralex-tur	nucl1301		atfirst	2915	AT FIRST		ilk_œnd͡ʒɛ	i l k + œ n dʒ ɛ
817	16968	northeuralex-uzn	nort2690		atfirst	2915	AT FIRST		awːal	a wː a l
939	17090	wold-Sakha	yaku1245		attack	722	ATTACK		ataːka	a t aː k a
980	17131	northeuralex-azj	nort2697		atthattime	2922	AT THAT TIME		ɔ_vɑχt	ɔ + v ɑ χ t
981	17132	northeuralex-bak	bash1264		atthattime	2922	AT THAT TIME		ul_saqta	u l + s a q t a
993	17144	northeuralex-chv	chuv1255		atthattime	2922	AT THAT TIME		un_t͡ɕuχˈnɛ	u n + tɕ u χ n ɛ
994	17145	northeuralex-chv	chuv1255		atthattime	2922	AT THAT TIME		apˈla_pulˈs̬an	a p l a + p u l s a n
1034	17185	northeuralex-kaz	kaza1248		atthattime	2922	AT THAT TIME		ɑnɑdɑ	ɑ n ɑ d ɑ
1083	17234	northeuralex-tat	tata1255		atthattime	2922	AT THAT TIME		ul_waqɤtːa	u l + w a q ɤ tː a
1084	17235	northeuralex-tat	tata1255		atthattime	2922	AT THAT TIME		ul_t͡ɕakta	u l + tɕ a k t a
1086	17237	northeuralex-tur	nucl1301		atthattime	2922	AT THAT TIME		o_zamanlaɾ	o + z a m a n l a ɾ
1089	17240	northeuralex-uzn	nort2690		atthattime	2922	AT THAT TIME		uɡal	u g a l
1271	17422	northeuralex-azj	nort2697		august	2851	AUGUST		ɑvɡust	ɑ v g u s t
1272	17423	northeuralex-bak	bash1264		august	2851	AUGUST		awɡust	a w g u s t
1282	17433	northeuralex-chv	chuv1255		august	2851	AUGUST		ˈaʋɡust	a ʋ g u s t
1315	17466	northeuralex-kaz	kaza1248		august	2851	AUGUST		sʊmbəle	s ʊ m b ə l e
1316	17467	northeuralex-kaz	kaza1248		august	2851	AUGUST		tɑməz	t ɑ m ə z
1362	17513	northeuralex-tat	tata1255		august	2851	AUGUST		awɡust	a w g u s t
1364	17515	northeuralex-tur	nucl1301		august	2851	AUGUST		aːustos	aː u s t o s
1367	17518	northeuralex-uzn	nort2690		august	2851	AUGUST		awɡust	a w g u s t
1438	17589	northeuralex-azj	nort2697		aunt	1272	AUNT		bɪbɪ	b ɪ b ɪ
1439	17590	northeuralex-bak	bash1264		aunt	1272	AUNT		apaj	a p a j
1450	17601	northeuralex-chv	chuv1255		aunt	1272	AUNT		aˈpa	a p a
1487	17638	northeuralex-kaz	kaza1248		aunt	1272	AUNT		tæte	t æ t e
1548	17699	northeuralex-tat	tata1255		aunt	1272	AUNT		tʉti	t ʉ t i
1549	17700	northeuralex-tat	tata1255		aunt	1272	AUNT		tætæj	t æ t æ j
1552	17703	northeuralex-tur	nucl1301		aunt	1272	AUNT		hala	h a l a
1553	17704	northeuralex-tur	nucl1301		aunt	1272	AUNT		tɛjzɛ	t ɛ j z ɛ
1557	17708	northeuralex-uzn	nort2690		aunt	1272	AUNT		amːa	a mː a
1558	17709	northeuralex-uzn	nort2690		aunt	1272	AUNT		χɒla	χ ɒ l a
1609	17760	wold-Sakha	yaku1245		aunt	1272	AUNT		eʤiːy	e dʒ iː y
1715	17866	northeuralex-azj	nort2697		autumn	1276	AUTUMN		pɑjɯz	p ɑ j ɯ z
1716	17867	northeuralex-bak	bash1264		autumn	1276	AUTUMN		køz	k ø z
1726	17877	northeuralex-chv	chuv1255		autumn	1276	AUTUMN		kɘr	k ɘ r
1727	17878	northeuralex-chv	chuv1255		autumn	1276	AUTUMN		kɘrk̬uˈnɛ	k ɘ r k u n ɛ
1758	17909	northeuralex-kaz	kaza1248		autumn	1276	AUTUMN		kʊz	k ʊ z
1803	17954	northeuralex-tat	tata1255		autumn	1276	AUTUMN		kœz	k œ z
1805	17956	northeuralex-tur	nucl1301		autumn	1276	AUTUMN		ɡyz	g y z
1806	17957	northeuralex-tur	nucl1301		autumn	1276	AUTUMN		sonbahaɾ	s o n b a h a ɾ
1809	17960	northeuralex-uzn	nort2690		autumn	1276	AUTUMN		kuz	k u z
1810	17961	northeuralex-uzn	nort2690		autumn	1276	AUTUMN		χazɒn	χ a z ɒ n
1847	17998	wold-Sakha	yaku1245		autumn	1276	AUTUMN		kühün	k y h y n
2022	18173	wold-Sakha	yaku1245		awl	278	AWL		bürges	b y r g e s
2570	18721	wold-Sakha	yaku1245		axe	677	AXE		süge	s y g e
2675	18826	wold-Sakha	yaku1245		axle	1769	AXLE		kiːn	k iː n
2676	18827	wold-Sakha	yaku1245		axle	1769	AXLE		sis	s i s
2677	18828	wold-Sakha	yaku1245		axle	1769	AXLE		uos	u o s
3028	19179	wold-Sakha	yaku1245		baby	1289	BABY		kɨhɨl_oɣo	k ɨ h ɨ l + o ɣ o
4112	20263	northeuralex-azj	nort2697		back	1291	BACK		bɛl	b ɛ l
4113	20264	northeuralex-bak	bash1264		back	1291	BACK		arqa	a r q a
4124	20275	northeuralex-chv	chuv1255		back	1291	BACK		ˈɕurəm	ɕ u r ə m
4154	20305	northeuralex-kaz	kaza1248		back	1291	BACK		ɑɾqɑ	ɑ ɾ q ɑ
4203	20354	northeuralex-tat	tata1255		back	1291	BACK		sɤrt	s ɤ r t
4205	20356	northeuralex-tur	nucl1301		back	1291	BACK		aɾka	a ɾ k a
4208	20359	northeuralex-uzn	nort2690		back	1291	BACK		ɒrqa	ɒ r q a
4226	20377	savelyevturkic-CrimeanTatar	crim1257		back	1291	BACK		arqa	a r q a
4227	20378	savelyevturkic-Dolgan	dolg1241		back	1291	BACK		his	h i s
4228	20379	savelyevturkic-Gagauz	gaga1249		back	1291	BACK		arka	a r k a
4229	20380	savelyevturkic-KaraKalpak	kara1467		back	1291	BACK		arqa	a r q a
4230	20381	savelyevturkic-KarachayBalkar	kara1465		back	1291	BACK		sɯrt	s ɯ r t
4231	20382	savelyevturkic-Karaim	kara1464		back	1291	BACK		arka, arqa	a r k a
4232	20383	savelyevturkic-Khakas	khak1248		back	1291	BACK		arɣa	a r ɣ a
4233	20384	savelyevturkic-Khalaj	turk1303		back	1291	BACK		arqa	a r q a
4234	20385	savelyevturkic-Kirghiz	kirg1245		back	1291	BACK		arqa	a r q a
4235	20386	savelyevturkic-Kumyk	kumy1244		back	1291	BACK		arqa	a r q a
4236	20387	savelyevturkic-Nogai	noga1249		back	1291	BACK		arqa	a r q a
4237	20388	savelyevturkic-NorthAltai	nort2686		back	1291	BACK		arqa	a r q a
4238	20389	savelyevturkic-NorthAltai	nort2686		back	1291	BACK		bel	b e l
4239	20390	savelyevturkic-NorthAltai	nort2686		back	1291	BACK		sɯrt	s ɯ r t
4240	20391	savelyevturkic-Salar	sala1264		back	1291	BACK		arɣa, arχa	a r ɣ a
4241	20392	savelyevturkic-SarygYugur	west2402		back	1291	BACK		arqa	a r q a
4242	20393	savelyevturkic-Shor	shor1247		back	1291	BACK		køksy	k ø k s y
4243	20394	savelyevturkic-SouthAltai	sout2694		back	1291	BACK		bel	b e l
4244	20395	savelyevturkic-Turkmen	turk1304		back	1291	BACK		arqa	a r q a
4245	20396	savelyevturkic-Tuvan	tuvi1240		back	1291	BACK		o:rɣa	oː r ɣ a
4246	20397	savelyevturkic-Uighur	uigh1240		back	1291	BACK		arqa	a r q a
4308	20459	wold-Sakha	yaku1245		back	1291	BACK		köɣüs	k œ ɣ y s
4427	20578	northeuralex-azj	nort2697		backdirection	2910	BACK (DIRECTION)		ɟɛrɪjæ	ɟ ɛ r ɪ j æ
4428	20579	northeuralex-bak	bash1264		backdirection	2910	BACK (DIRECTION)		kireɡæ	k i r e g æ
4439	20590	northeuralex-chv	chuv1255		backdirection	2910	BACK (DIRECTION)		kajaˈla	k a j a l a
4474	20625	northeuralex-kaz	kaza1248		backdirection	2910	BACK (DIRECTION)		kejən_qɑɾɑj	k e j ə n + q ɑ ɾ ɑ j
4527	20678	northeuralex-tat	tata1255		backdirection	2910	BACK (DIRECTION)		kire	k i r e
