	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
600	16751	savelyevturkic-Dolgan	dolg1241		at	1461	AT		ihiger	i h i g e r
601	16752	savelyevturkic-Gagauz	gaga1249		at	1461	AT		dA, tA	d a
602	16753	savelyevturkic-KarachayBalkar	kara1465		at	1461	AT		dA	d a
603	16754	savelyevturkic-Karaim	kara1464		at	1461	AT		dA, tA	d a
604	16755	savelyevturkic-Khalaj	turk1303		at	1461	AT		ʨa	tɕ a
605	16756	savelyevturkic-Kirghiz	kirg1245		at	1461	AT		dA, tA	d a
606	16757	savelyevturkic-Kumyk	kumy1244		at	1461	AT		dA	d a
607	16758	savelyevturkic-Nogai	noga1249		at	1461	AT		dA, tA	d a
608	16759	savelyevturkic-NorthAltai	nort2686		at	1461	AT		ta	t a
609	16760	savelyevturkic-Salar	sala1264		at	1461	AT		tA, dA	t a
610	16761	savelyevturkic-SarygYugur	west2402		at	1461	AT		tA, dA	t a
611	16762	savelyevturkic-Shor	shor1247		at	1461	AT		tA, dA	t a
612	16763	savelyevturkic-SouthAltai	sout2694		at	1461	AT		dA, tA	d a
613	16764	savelyevturkic-Turkmen	turk1304		at	1461	AT		dA	d a
614	16765	savelyevturkic-Tuvan	tuvi1240		at	1461	AT		dA, tA	d a
615	16766	savelyevturkic-Uighur	uigh1240		at	1461	AT		dA, tA	d a
4112	20263	northeuralex-azj	nort2697		back	1291	BACK		bɛl	b ɛ l
4113	20264	northeuralex-bak	bash1264		back	1291	BACK		arqa	a r q a
4124	20275	northeuralex-chv	chuv1255		back	1291	BACK		ˈɕurəm	ɕ u r ə m
4154	20305	northeuralex-kaz	kaza1248		back	1291	BACK		ɑɾqɑ	ɑ ɾ q ɑ
4203	20354	northeuralex-tat	tata1255		back	1291	BACK		sɤrt	s ɤ r t
4205	20356	northeuralex-tur	nucl1301		back	1291	BACK		aɾka	a ɾ k a
4208	20359	northeuralex-uzn	nort2690		back	1291	BACK		ɒrqa	ɒ r q a
4226	20377	savelyevturkic-CrimeanTatar	crim1257		back	1291	BACK		arqa	a r q a
4227	20378	savelyevturkic-Dolgan	dolg1241		back	1291	BACK		his	h i s
4228	20379	savelyevturkic-Gagauz	gaga1249		back	1291	BACK		arka	a r k a
4229	20380	savelyevturkic-KaraKalpak	kara1467		back	1291	BACK		arqa	a r q a
4230	20381	savelyevturkic-KarachayBalkar	kara1465		back	1291	BACK		sɯrt	s ɯ r t
4231	20382	savelyevturkic-Karaim	kara1464		back	1291	BACK		arka, arqa	a r k a
4232	20383	savelyevturkic-Khakas	khak1248		back	1291	BACK		arɣa	a r ɣ a
4233	20384	savelyevturkic-Khalaj	turk1303		back	1291	BACK		arqa	a r q a
4234	20385	savelyevturkic-Kirghiz	kirg1245		back	1291	BACK		arqa	a r q a
4235	20386	savelyevturkic-Kumyk	kumy1244		back	1291	BACK		arqa	a r q a
4236	20387	savelyevturkic-Nogai	noga1249		back	1291	BACK		arqa	a r q a
4237	20388	savelyevturkic-NorthAltai	nort2686		back	1291	BACK		arqa	a r q a
4238	20389	savelyevturkic-NorthAltai	nort2686		back	1291	BACK		bel	b e l
4239	20390	savelyevturkic-NorthAltai	nort2686		back	1291	BACK		sɯrt	s ɯ r t
4240	20391	savelyevturkic-Salar	sala1264		back	1291	BACK		arɣa, arχa	a r ɣ a
4241	20392	savelyevturkic-SarygYugur	west2402		back	1291	BACK		arqa	a r q a
4242	20393	savelyevturkic-Shor	shor1247		back	1291	BACK		køksy	k ø k s y
4243	20394	savelyevturkic-SouthAltai	sout2694		back	1291	BACK		bel	b e l
4244	20395	savelyevturkic-Turkmen	turk1304		back	1291	BACK		arqa	a r q a
4245	20396	savelyevturkic-Tuvan	tuvi1240		back	1291	BACK		o:rɣa	oː r ɣ a
4246	20397	savelyevturkic-Uighur	uigh1240		back	1291	BACK		arqa	a r q a
4308	20459	wold-Sakha	yaku1245		back	1291	BACK		köɣüs	k œ ɣ y s
5239	21390	northeuralex-azj	nort2697		bad	1292	BAD		pɪs	p ɪ s
5240	21391	northeuralex-bak	bash1264		bad	1292	BAD		xørt	x ø r t
5241	21392	northeuralex-bak	bash1264		bad	1292	BAD		alama	a l a m a
5252	21403	northeuralex-chv	chuv1255		bad	1292	BAD		ˈjapəχ	j a p ə χ
5253	21404	northeuralex-chv	chuv1255		bad	1292	BAD		naˈt͡ɕ̬ar	n a tɕ a r
5287	21438	northeuralex-kaz	kaza1248		bad	1292	BAD		ʒɑmɑn	ʒ ɑ m ɑ n
5346	21497	northeuralex-tat	tata1255		bad	1292	BAD		nat͡ɕar	n a tɕ a r
5348	21499	northeuralex-tur	nucl1301		bad	1292	BAD		kœty	k œ t y
5353	21504	northeuralex-uzn	nort2690		bad	1292	BAD		jɒmɒn	j ɒ m ɒ n
5602	21753	savelyevturkic-CrimeanTatar	crim1257		bad	1292	BAD		jaramaj	j a r a m a j
5603	21754	savelyevturkic-Dolgan	dolg1241		bad	1292	BAD		kuhagan	k u h a g a n
5604	21755	savelyevturkic-KaraKalpak	kara1467		bad	1292	BAD		ʒaman	ʒ a m a n
5605	21756	savelyevturkic-KarachayBalkar	kara1465		bad	1292	BAD		aman	a m a n
5606	21757	savelyevturkic-Karaim	kara1464		bad	1292	BAD		jaman	j a m a n
5607	21758	savelyevturkic-Kirghiz	kirg1245		bad	1292	BAD		ʥaman	dʑ a m a n
5608	21759	savelyevturkic-Kumyk	kumy1244		bad	1292	BAD		jaman	j a m a n
5609	21760	savelyevturkic-Nogai	noga1249		bad	1292	BAD		jaman	j a m a n
5610	21761	savelyevturkic-NorthAltai	nort2686		bad	1292	BAD		ʥaman	dʑ a m a n
5611	21762	savelyevturkic-Salar	sala1264		bad	1292	BAD		jaman	j a m a n
5612	21763	savelyevturkic-SarygYugur	west2402		bad	1292	BAD		jus	j u s
5613	21764	savelyevturkic-Shor	shor1247		bad	1292	BAD		tɕabal	tɕ a b a l
5614	21765	savelyevturkic-SouthAltai	sout2694		bad	1292	BAD		ɟaman	dʑ a m a n
5615	21766	savelyevturkic-Turkmen	turk1304		bad	1292	BAD		? jaman	j a m a n
5616	21767	savelyevturkic-Turkmen	turk1304		bad	1292	BAD		? jaramaz	j a r a m a z
5617	21768	savelyevturkic-Tuvan	tuvi1240		bad	1292	BAD		baɣaj, (baq)	b a ɣ a j
5618	21769	savelyevturkic-Uighur	uigh1240		bad	1292	BAD		jaman	j a m a n
5680	21831	wold-Sakha	yaku1245		bad	1292	BAD		kuhaɣan	k u h a ɣ a n
5681	21832	wold-Sakha	yaku1245		bad	1292	BAD		ʤaːbɨ	dʒ aː b ɨ
9105	25256	northeuralex-azj	nort2697		bark	1204	BARK		ɡɑbɯɡ	g ɑ b ɯ g
9106	25257	northeuralex-bak	bash1264		bark	1204	BARK		qabɯq	q a b ɯ q
9116	25267	northeuralex-chv	chuv1255		bark	1204	BARK		ˈχujər	χ u j ə r
9150	25301	northeuralex-kaz	kaza1248		bark	1204	BARK		qɑbəq	q ɑ b ə q
9202	25353	northeuralex-tat	tata1255		bark	1204	BARK		qɑbɤk	q ɑ b ɤ k
9204	25355	northeuralex-tur	nucl1301		bark	1204	BARK		kabuk	k a b u k
9207	25358	northeuralex-uzn	nort2690		bark	1204	BARK		qɒbiq	q ɒ b i q
9250	25401	savelyevturkic-CrimeanTatar	crim1257		bark	1204	BARK		qabuq	q a b u q
9251	25402	savelyevturkic-Dolgan	dolg1241		bark	1204	BARK		katɯrɯk	k a t ɯ r ɯ k
9252	25403	savelyevturkic-Gagauz	gaga1249		bark	1204	BARK		kabuk	k a b u k
9253	25404	savelyevturkic-KaraKalpak	kara1467		bark	1204	BARK		qabɯq	q a b ɯ q
9254	25405	savelyevturkic-KarachayBalkar	kara1465		bark	1204	BARK		qabuq	q a b u q
9255	25406	savelyevturkic-Karaim	kara1464		bark	1204	BARK		kabuk	k a b u k
9256	25407	savelyevturkic-Khakas	khak1248		bark	1204	BARK		χaχpas	χ a χ p a s
9257	25408	savelyevturkic-Khalaj	turk1303		bark	1204	BARK		qa:as	q aː a s
9258	25409	savelyevturkic-Kirghiz	kirg1245		bark	1204	BARK		qabɯq	q a b ɯ q
9259	25410	savelyevturkic-Kumyk	kumy1244		bark	1204	BARK		qabuq	q a b u q
9260	25411	savelyevturkic-Nogai	noga1249		bark	1204	BARK		qabɯq	q a b ɯ q
9261	25412	savelyevturkic-NorthAltai	nort2686		bark	1204	BARK		qaɣaʃ	q a ɣ a ʃ
9262	25413	savelyevturkic-Salar	sala1264		bark	1204	BARK		koχ	k o χ
9263	25414	savelyevturkic-SarygYugur	west2402		bark	1204	BARK		qazdɯq	q a z d ɯ q
9264	25415	savelyevturkic-Shor	shor1247		bark	1204	BARK		qaqpaʃ	q a q p a ʃ
9265	25416	savelyevturkic-SouthAltai	sout2694		bark	1204	BARK		tɕobra	tɕ o b r a
9266	25417	savelyevturkic-Turkmen	turk1304		bark	1204	BARK		ɢabɯq	ɢ a b ɯ q
9267	25418	savelyevturkic-Tuvan	tuvi1240		bark	1204	BARK		ʨøvyre:	tɕ ø v y r eː
9268	25419	savelyevturkic-Uighur	uigh1240		bark	1204	BARK		qovzaq	q o v z a q
9503	25654	wold-Sakha	yaku1245		bark	1204	BARK		χatɨrɨk	χ a t ɨ r ɨ k
13201	29352	northeuralex-azj	nort2697		bealive	1422	BE ALIVE		d͡ʒɑnlɯ	dʒ ɑ n l ɯ
13202	29353	northeuralex-azj	nort2697		bealive	1422	BE ALIVE		jɑʃɑmɑɡ	j ɑ ʃ ɑ m ɑ g
13203	29354	northeuralex-bak	bash1264		bealive	1422	BE ALIVE		tere	t e r e
13204	29355	northeuralex-bak	bash1264		bealive	1422	BE ALIVE		jænle	j æ n l e
13205	29356	northeuralex-bak	bash1264		bealive	1422	BE ALIVE		jæʃæy	j æ ʃ æ y
