	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
8938	25089	johanssonsoundsymbolic-Taa	huaa1248		bark	1204	BARK		gule	g u l e
22988	39139	johanssonsoundsymbolic-Taa	huaa1248		belly	1251	BELLY		ǀo̤ã	ǀ o̤ ã
28033	44184	johanssonsoundsymbolic-Taa	huaa1248		big	1202	BIG		ǀxa	ǀ x a
30409	46560	johanssonsoundsymbolic-Taa	huaa1248		bird	937	BIRD		ᶢǀṳʔu	gǀ ṳ ʔ u
32765	48916	johanssonsoundsymbolic-Taa	huaa1248		bite	1403	BITE		siʔi	s i ʔ i
35380	51531	johanssonsoundsymbolic-Taa	huaa1248		black	163	BLACK		ǂaʔɲa	ǂ a ʔ ɲ a
38793	54944	johanssonsoundsymbolic-Taa	huaa1248		blood	946	BLOOD		ᵑ!aʕaʕ	ⁿǃ a ʕ a ʕ
57099	73252	johanssonsoundsymbolic-Taa	huaa1248		breast	1402	BREAST		ᶢǂqhẽẽ	gǂ qʰ ẽː
91705	107858	johanssonsoundsymbolic-Taa	huaa1248		cloud	1489	CLOUD		!qhaa	ǃqʰ aː
98957	115110	johanssonsoundsymbolic-Taa	huaa1248		come	1446	COME		sii	s iː
127180	143335	johanssonsoundsymbolic-Taa	huaa1248		die	1494	DIE		ǀʔaa	ǀ ʔ aː
135729	151884	johanssonsoundsymbolic-Taa	huaa1248		dog	2009	DOG		ᶢǂqai	gǂ q a i
142197	158352	johanssonsoundsymbolic-Taa	huaa1248		drink	1401	DRINK		qom	q o m
145831	161986	johanssonsoundsymbolic-Taa	huaa1248		dry	1398	DRY		ǁqaa	ǁ q aː
151273	167428	johanssonsoundsymbolic-Taa	huaa1248		ear	1247	EAR		ᵑǂṳã	ⁿǂ ṳ ã
154192	170347	johanssonsoundsymbolic-Taa	huaa1248		earthsoil	1228	EARTH (SOIL)		ǂkʼxʼum	ǂ kʼ xʼ u m
156798	172953	johanssonsoundsymbolic-Taa	huaa1248		eat	1336	EAT		ãã	ãː
159100	175258	johanssonsoundsymbolic-Taa	huaa1248		egg	744	EGG		ᶢǂuã	gǂ u ã
169678	185836	johanssonsoundsymbolic-Taa	huaa1248		eye	1248	EYE		!ʔuĩ	ǃʔ u ĩ
182148	198308	johanssonsoundsymbolic-Taa	huaa1248		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		sãʕãʕ	s ã ʕ ã ʕ
184995	201155	johanssonsoundsymbolic-Taa	huaa1248		feather	1201	FEATHER		ᶢǀqhuã	gǀ qʰ u ã
192943	225596	johanssonsoundsymbolic-Taa	huaa1248		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		ᶢʘqai	gʘ q a i
196275	228928	johanssonsoundsymbolic-Taa	huaa1248		foot	1301	FOOT		ᵑǂũũ	ⁿǂ ũ
209358	242011	johanssonsoundsymbolic-Taa	huaa1248		full	1429	FULL		ǀʔola	ǀ ʔ o l a
214706	247359	johanssonsoundsymbolic-Taa	huaa1248		give	1447	GIVE		!qhãã	ǃqʰ ãː
228616	261272	johanssonsoundsymbolic-Taa	huaa1248		green	1425	GREEN		ᶢǀa̤ʕi	gǀ a̤ ʕ i
234635	267291	johanssonsoundsymbolic-Taa	huaa1248		hair	1040	HAIR		glqhuaʕ	g l qʰ u a ʕ
238478	271134	johanssonsoundsymbolic-Taa	huaa1248		hand	1277	HAND		ǀkʼxʼaa	ǀ kʼ xʼ aː
244034	276691	johanssonsoundsymbolic-Taa	huaa1248		head	1256	HEAD		ᵑǀan	ⁿǀ a n
246966	279623	johanssonsoundsymbolic-Taa	huaa1248		hear	1408	HEAR		tãʕãʕ	t ã ʕ ã ʕ
