	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
8660	24811	castrozhuang-XinchengBeigeng	east2326		bark	1204	BARK		kjɔm⁴⁴	k j ɔ m ⁴⁴
9123	25274	northeuralex-ekk	esto1258		bark	1204	BARK		koːr	k oː r
9125	25276	northeuralex-enf	fore1265		bark	1204	BARK		sæsi	s æ s i
9126	25277	northeuralex-enf	fore1265		bark	1204	BARK		pʲa_kɔba	pʲ a + k ɔ b a
9131	25282	northeuralex-fin	finn1318		bark	1204	BARK		kuɔ̯ri	k u ɔ r i
9132	25283	northeuralex-fin	finn1318		bark	1204	BARK		pɑrkːi	p ɑ r kː i
9141	25292	northeuralex-hun	hung1274		bark	1204	BARK		keːrɛɡ	k eː r ɛ g
9151	25302	northeuralex-kca	khan1273		bark	1204	BARK		kar	k a r
9154	25305	northeuralex-koi	komi1269		bark	1204	BARK		kat͡ɕ	k a tɕ
9156	25307	northeuralex-kpv	komi1268		bark	1204	BARK		kɨrɕ	k ɨ r ɕ
9157	25308	northeuralex-krl	kare1335		bark	1204	BARK		kʊɔri	k ʊ ɔ r i
9163	25314	northeuralex-liv	livv1244		bark	1204	BARK		kuːorʲ	k uː o rʲ
9165	25316	northeuralex-mdf	moks1248		bark	1204	BARK		ker	k e r
9166	25317	northeuralex-mhr	east2328		bark	1204	BARK		ʃym	ʃ y m
9168	25319	northeuralex-mns	mans1258		bark	1204	BARK		suːl	s uː l
9169	25320	northeuralex-mrj	west2392		bark	1204	BARK		kɑrɣəʒ	k ɑ r ɣ ə ʒ
9170	25321	northeuralex-myv	erzy1239		bark	1204	BARK		sud	s u d
9171	25322	northeuralex-myv	erzy1239		bark	1204	BARK		kerʲ	k e rʲ
9172	25323	northeuralex-nio	ngan1291		bark	1204	BARK		kɐsu	k ɐ s u
9176	25327	northeuralex-olo	livv1243		bark	1204	BARK		kɔjɑ	k ɔ j ɑ
9177	25328	northeuralex-olo	livv1243		bark	1204	BARK		kʊɔri	k ʊ ɔ r i
9185	25336	northeuralex-sel	selk1253		bark	1204	BARK		qøsɨ	q ø s ɨ
9189	25340	northeuralex-sma	sout2674		bark	1204	BARK		kɨrːɛ	k ɨ rː ɛ
9190	25341	northeuralex-sma	sout2674		bark	1204	BARK		pɑːrhkuʌ	p ɑː r h k u ʌ
9191	25342	northeuralex-sme	nort2671		bark	1204	BARK		ɔstʊ	ɔ s t ʊ
9192	25343	northeuralex-sme	nort2671		bark	1204	BARK		paːrɑhkʊ	p aː r ɑ h k ʊ
9193	25344	northeuralex-smj	lule1254		bark	1204	BARK		barkːu͡ɔ	b a r kː uɔ
9194	25345	northeuralex-smn	inar1241		bark	1204	BARK		korːɐ	k o rː ɐ
9195	25346	northeuralex-sms	skol1241		bark	1204	BARK		kərːɐ	k ə rː ɐ
9196	25347	northeuralex-sms	skol1241		bark	1204	BARK		parkːɐ	p a r kː ɐ
9205	25356	northeuralex-udm	udmu1245		bark	1204	BARK		sul	s u l
9208	25359	northeuralex-vep	veps1250		bark	1204	BARK		kɔrʲ	k ɔ rʲ
9212	25363	northeuralex-yrk	nene1249		bark	1204	BARK		sʲɑbt	sʲ ɑ b t
9295	25446	syrjaenenuralic-ingrian	ingr1248		bark	1204	BARK		k.oː.r.i	k oː r i
9486	25637	wold-KildinSaami	kild1236		bark	1204	BARK		pārrhk	p aː rː h k
9487	25638	wold-KildinSaami	kild1236		bark	1204	BARK		kērr	k eː rː
9488	25639	wold-KildinSaami	kild1236		bark	1204	BARK		pēss’	p eː sʲː
22540	38691	castrozhuang-XinchengBeigeng	east2326		belly	1251	BELLY		toŋ³¹ʔ¹³	t o ŋ ³¹³
23138	39289	northeuralex-ekk	esto1258		belly	1251	BELLY		kɤxt	k ɤ x t
23140	39291	northeuralex-enf	fore1265		belly	1251	BELLY		sɔsʲɛ	s ɔ sʲ ɛ
23144	39295	northeuralex-fin	finn1318		belly	1251	BELLY		mɑhɑ	m ɑ h ɑ
23145	39296	northeuralex-fin	finn1318		belly	1251	BELLY		ʋɑt͡sɑ	ʋ ɑ ts ɑ
23152	39303	northeuralex-hun	hung1274		belly	1251	BELLY		hɒʃ	h ɒ ʃ
23162	39313	northeuralex-kca	khan1273		belly	1251	BELLY		χon	χ o n
23167	39318	northeuralex-koi	komi1269		belly	1251	BELLY		kɨnəm	k ɨ n ə m
23169	39320	northeuralex-kpv	komi1268		belly	1251	BELLY		ruʃku	r u ʃ k u
23170	39321	northeuralex-krl	kare1335		belly	1251	BELLY		mɑhɑ	m ɑ h ɑ
23176	39327	northeuralex-liv	livv1244		belly	1251	BELLY		vɑtsɑː	v ɑ t s ɑː
23178	39329	northeuralex-mdf	moks1248		belly	1251	BELLY		peke	p e k e
23179	39330	northeuralex-mhr	east2328		belly	1251	BELLY		myˑʃkɤr	m yˑ ʃ k ɤ r
23181	39332	northeuralex-mns	mans1258		belly	1251	BELLY		puki	p u k i
23182	39333	northeuralex-mrj	west2392		belly	1251	BELLY		mɯʃkɯr	m ɯ ʃ k ɯ r
23183	39334	northeuralex-myv	erzy1239		belly	1251	BELLY		peke	p e k e
23184	39335	northeuralex-nio	ngan1291		belly	1251	BELLY		c͡çɐjbə	cç ɐ j b ə
23185	39336	northeuralex-nio	ngan1291		belly	1251	BELLY		mʲinəðəː	mʲ i n ə ð əː
23188	39339	northeuralex-olo	livv1243		belly	1251	BELLY		vɑt͡ʃːʊ	v ɑ tʃː ʊ
23197	39348	northeuralex-sel	selk1253		belly	1251	BELLY		pʲerkɨ	pʲ e r k ɨ
23200	39351	northeuralex-sma	sout2674		belly	1251	BELLY		t͡ʃoæjːiɛ	tʃ o æ jː i ɛ
23201	39352	northeuralex-sme	nort2671		belly	1251	BELLY		t͡ʃɔ̯ɑvji	tʃ ɔ ɑ v j i
23202	39353	northeuralex-smj	lule1254		belly	1251	BELLY		t͡ʃu͡ɔɑjvːɛ	tʃ uɔ ɑ j vː ɛ
