	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
8837	24988	johanssonsoundsymbolic-Chipaya	chip1262		bark	1204	BARK		tʃhaχpi	tʃʰ a χ p i
22870	39021	johanssonsoundsymbolic-Chipaya	chip1262		belly	1251	BELLY		phutʃ	pʰ u tʃ
27910	44061	johanssonsoundsymbolic-Chipaya	chip1262		big	1202	BIG		paqhi	p a qʰ i
30300	46451	johanssonsoundsymbolic-Chipaya	chip1262		bird	937	BIRD		weʂla	w e ʂ l a
32651	48802	johanssonsoundsymbolic-Chipaya	chip1262		bite	1403	BITE		thup	tʰ u p
35261	51412	johanssonsoundsymbolic-Chipaya	chip1262		black	163	BLACK		tsoq	ts o q
38673	54824	johanssonsoundsymbolic-Chipaya	chip1262		blood	946	BLOOD		lxok	l x o k
46902	63053	johanssonsoundsymbolic-Chipaya	chip1262		bone	1394	BONE		tshix	tsʰ i x
56989	73142	johanssonsoundsymbolic-Chipaya	chip1262		breast	1402	BREAST		piʃ	p i ʃ
64464	80617	johanssonsoundsymbolic-Chipaya	chip1262		burn	2102	BURN		thapʃ	tʰ a p ʃ
91602	107755	johanssonsoundsymbolic-Chipaya	chip1262		cloud	1489	CLOUD		tsxiɾi	ts x i ɾ i
95178	111331	johanssonsoundsymbolic-Chipaya	chip1262		cold	1287	COLD		laawʃ	l aː w ʃ
98841	114994	johanssonsoundsymbolic-Chipaya	chip1262		come	1446	COME		thonʃ	tʰ o n ʃ
127062	143217	johanssonsoundsymbolic-Chipaya	chip1262		die	1494	DIE		tikʃ	t i k ʃ
135612	151767	johanssonsoundsymbolic-Chipaya	chip1262		dog	2009	DOG		paqu	p a q u
142080	158235	johanssonsoundsymbolic-Chipaya	chip1262		drink	1401	DRINK		likʃ	l i k ʃ
145725	161880	johanssonsoundsymbolic-Chipaya	chip1262		dry	1398	DRY		qhoɲi	qʰ o ɲ i
151155	167310	johanssonsoundsymbolic-Chipaya	chip1262		ear	1247	EAR		khuɲi	kʰ u ɲ i
154077	170232	johanssonsoundsymbolic-Chipaya	chip1262		earthsoil	1228	EARTH (SOIL)		joqa	j o q a
156679	172834	johanssonsoundsymbolic-Chipaya	chip1262		eat	1336	EAT		luxl	l u x l
158991	175149	johanssonsoundsymbolic-Chipaya	chip1262		egg	744	EGG		ʃiɲi	ʃ i ɲ i
169559	185717	johanssonsoundsymbolic-Chipaya	chip1262		eye	1248	EYE		tʃhixts	tʃʰ i x ts
182051	198211	johanssonsoundsymbolic-Chipaya	chip1262		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		khewa	kʰ e w a
184890	201050	johanssonsoundsymbolic-Chipaya	chip1262		feather	1201	FEATHER		phaʃi	pʰ a ʃ i
192847	225500	johanssonsoundsymbolic-Chipaya	chip1262		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		loɾakana	l o ɾ a k a n a
196160	228813	johanssonsoundsymbolic-Chipaya	chip1262		foot	1301	FOOT		qχoxtʃa	q χ o x tʃ a
209268	241921	johanssonsoundsymbolic-Chipaya	chip1262		full	1429	FULL		tʃhixpi	tʃʰ i x p i
214589	247242	johanssonsoundsymbolic-Chipaya	chip1262		give	1447	GIVE		thaa	tʰ aː
220715	253371	johanssonsoundsymbolic-Chipaya	chip1262		good	1035	GOOD		ʃuma	ʃ u m a
228517	261173	johanssonsoundsymbolic-Chipaya	chip1262		green	1425	GREEN		tʼʃʼoxɲa	tʃʼ o x ɲ a
234518	267174	johanssonsoundsymbolic-Chipaya	chip1262		hair	1040	HAIR		tʃaɾa	tʃ a ɾ a
238358	271014	johanssonsoundsymbolic-Chipaya	chip1262		hand	1277	HAND		qxaɾa	q x a ɾ a
243914	276571	johanssonsoundsymbolic-Chipaya	chip1262		head	1256	HEAD		atʃa	a tʃ a
246861	279518	johanssonsoundsymbolic-Chipaya	chip1262		hear	1408	HEAR		nonʃ	n o n ʃ
248444	281101	johanssonsoundsymbolic-Chipaya	chip1262		heart	1223	HEART		quʃ	q u ʃ
263333	295993	johanssonsoundsymbolic-Chipaya	chip1262		hornanatomy	1393	HORN (ANATOMY)		tothi	t o tʰ i
274665	307325	johanssonsoundsymbolic-Chipaya	chip1262		i	1209	I		weɾx	w e ɾ x
287511	320171	johanssonsoundsymbolic-Chipaya	chip1262		kill	1417	KILL		kon	k o n
290192	322852	johanssonsoundsymbolic-Chipaya	chip1262		knee	1371	KNEE		owa	o w a
302149	334809	johanssonsoundsymbolic-Chipaya	chip1262		leaf	628	LEAF		tʃhaɲi	tʃʰ a ɲ i
316916	349576	johanssonsoundsymbolic-Chipaya	chip1262		liver	1224	LIVER		phaaxtʃ	pʰ aː x tʃ
319813	352473	johanssonsoundsymbolic-Chipaya	chip1262		long	1203	LONG		laxtʃa	l a x tʃ a
323461	356121	johanssonsoundsymbolic-Chipaya	chip1262		louse	1392	LOUSE		s̪ami	s̪ a m i
330422	363083	johanssonsoundsymbolic-Chipaya	chip1262		man	1554	MAN		luktaqa	l u k t a q a
332244	364905	johanssonsoundsymbolic-Chipaya	chip1262		many	1198	MANY		juqxu	j u q x u
344415	377076	johanssonsoundsymbolic-Chipaya	chip1262		moon	1313	MOON		xiiʃ	x iː ʃ
350890	383554	johanssonsoundsymbolic-Chipaya	chip1262		mountain	639	MOUNTAIN		kuɾu	k u ɾ u
353399	386063	johanssonsoundsymbolic-Chipaya	chip1262		mouth	674	MOUTH		ata	a t a
358417	391081	johanssonsoundsymbolic-Chipaya	chip1262		name	1405	NAME		thuu	tʰ uː
364707	397374	johanssonsoundsymbolic-Chipaya	chip1262		neck	1333	NECK		qaʃi	q a ʃ i
368767	401434	johanssonsoundsymbolic-Chipaya	chip1262		new	1231	NEW		ewu	e w u
371537	404204	johanssonsoundsymbolic-Chipaya	chip1262		night	1233	NIGHT		wen	w e n
377356	410023	johanssonsoundsymbolic-Chipaya	chip1262		nose	1221	NOSE		oʃa	o ʃ a
378957	411624	johanssonsoundsymbolic-Chipaya	chip1262		not	1240	NOT		ana	a n a
389651	422318	johanssonsoundsymbolic-Chipaya	chip1262		one	1493	ONE		tshii	tsʰ iː
406191	438858	johanssonsoundsymbolic-Chipaya	chip1262		person	683	PERSON		ʂoɲi	ʂ o ɲ i
432447	465115	johanssonsoundsymbolic-Chipaya	chip1262		red	156	RED		lxok	l x o k
444401	477070	johanssonsoundsymbolic-Chipaya	chip1262		root	670	ROOT		ʃepʼa	ʃ e pʼ a
448800	481469	johanssonsoundsymbolic-Chipaya	chip1262		round	1395	ROUND		qʼoʃtu	qʼ o ʃ t u
456351	489020	johanssonsoundsymbolic-Chipaya	chip1262		sand	671	SAND		phila	pʰ i l a
459314	491983	johanssonsoundsymbolic-Chipaya	chip1262		say	1458	SAY		khi	kʰ i
