	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
8879	25030	johanssonsoundsymbolic-Kwakiutl	kwak1269		bark	1204	BARK		tsaxəniʔ	ts a x ə n i ʔ
22917	39068	johanssonsoundsymbolic-Kwakiutl	kwak1269		belly	1251	BELLY		thəq̓i	tʰ ə qʼ i
27960	44111	johanssonsoundsymbolic-Kwakiutl	kwak1269		big	1202	BIG		walas	w a l a s
30345	46496	johanssonsoundsymbolic-Kwakiutl	kwak1269		bird	937	BIRD		pʼipʼatʼɬʼumas	pʼ i pʼ a tʼ ɬʼ u m a s
32694	48845	johanssonsoundsymbolic-Kwakiutl	kwak1269		bite	1403	BITE		kʼəxʔid	kʼ ə x ʔ i d
35308	51459	johanssonsoundsymbolic-Kwakiutl	kwak1269		black	163	BLACK		tʼsʼuɬa	tsʼ u ɬ a
38720	54871	johanssonsoundsymbolic-Kwakiutl	kwak1269		blood	946	BLOOD		əlqwa	ə l qʷ a
46950	63101	johanssonsoundsymbolic-Kwakiutl	kwak1269		bone	1394	BONE		χaq	χ a q
57035	73188	johanssonsoundsymbolic-Kwakiutl	kwak1269		breast	1402	BREAST		dzaʔma	d z a ʔ m a
64504	80657	johanssonsoundsymbolic-Kwakiutl	kwak1269		burn	2102	BURN		xiqəla	x i q ə l a
91641	107794	johanssonsoundsymbolic-Kwakiutl	kwak1269		cloud	1489	CLOUD		ənwaʔji	ə n w a ʔ j i
95224	111377	johanssonsoundsymbolic-Kwakiutl	kwak1269		cold	1287	COLD		qʼənaʔisa	qʼ ə n a ʔ i s a
98888	115041	johanssonsoundsymbolic-Kwakiutl	kwak1269		come	1446	COME		gaχən	g a χ ə n
127109	143264	johanssonsoundsymbolic-Kwakiutl	kwak1269		die	1494	DIE		jaxʔaliɬ	j a x ʔ a l i ɬ
135661	151816	johanssonsoundsymbolic-Kwakiutl	kwak1269		dog	2009	DOG		watʼsʼi	w a tsʼ i
142127	158282	johanssonsoundsymbolic-Kwakiutl	kwak1269		drink	1401	DRINK		naa	n aː
151204	167359	johanssonsoundsymbolic-Kwakiutl	kwak1269		ear	1247	EAR		pʼəspʼəʔju	pʼ ə s pʼ ə ʔ j u
154124	170279	johanssonsoundsymbolic-Kwakiutl	kwak1269		earthsoil	1228	EARTH (SOIL)		əwiʔnaqʼwəs	ə w i ʔ n a qʼ w ə s
156727	172882	johanssonsoundsymbolic-Kwakiutl	kwak1269		eat	1336	EAT		həʔmaph	h ə ʔ m a pʰ
159037	175195	johanssonsoundsymbolic-Kwakiutl	kwak1269		egg	744	EGG		tʼsʼigwənu	tsʼ i g w ə n u
169608	185766	johanssonsoundsymbolic-Kwakiutl	kwak1269		eye	1248	EYE		ɢəʔjaɢəs	ɢ ə ʔ j a ɢ ə s
182091	198251	johanssonsoundsymbolic-Kwakiutl	kwak1269		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		tsənχweʔ	ts ə n χʷ e ʔ
184931	201091	johanssonsoundsymbolic-Kwakiutl	kwak1269		feather	1201	FEATHER		tʼsʼəltʼsʼəlqa	tsʼ ə l tsʼ ə l q a
192886	225539	johanssonsoundsymbolic-Kwakiutl	kwak1269		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		ɢaɢadina	ɢ a ɢ a d i n a
196204	228857	johanssonsoundsymbolic-Kwakiutl	kwak1269		foot	1301	FOOT		gugwəʔju	g u g w ə ʔ j u
209302	241955	johanssonsoundsymbolic-Kwakiutl	kwak1269		full	1429	FULL		khutʼamas	kʰ u tʼ a m a s
214636	247289	johanssonsoundsymbolic-Kwakiutl	kwak1269		give	1447	GIVE		tʼsʼɔ	tsʼ ɔ
