	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
1579	17730	visserkalamang-kara1499	kara1499		aunt	1272	AUNT		ema	e m a
1580	17731	visserkalamang-kara1499	kara1499		aunt	1272	AUNT		u	u
1581	17732	visserkalamang-kara1499	kara1499		aunt	1272	AUNT		ulan	u l a n
2534	18685	visserkalamang-kara1499	kara1499		axe	677	AXE		lem	l e m
2535	18686	visserkalamang-kara1499	kara1499		axe	677	AXE		wewar	w e w a r
2996	19147	visserkalamang-kara1499	kara1499		baby	1289	BABY		au	a u
4273	20424	visserkalamang-kara1499	kara1499		back	1291	BACK		suol	s u o l
5644	21795	visserkalamang-kara1499	kara1499		bad	1292	BAD		ten	t e n
5897	22048	visserkalamang-kara1499	kara1499		badluck	56	BAD LUCK		saier	s a i e r
6817	22968	visserkalamang-kara1499	kara1499		bait	2013	BAIT		set	s e t
6960	23111	visserkalamang-kara1499	kara1499		bake	183	BAKE		sair	s a i r
7128	23279	visserkalamang-kara1499	kara1499		ball	1845	BALL		gol	g o l
7557	23708	visserkalamang-kara1499	kara1499		bamboo	1927	BAMBOO		nop	n o p
7558	23709	visserkalamang-kara1499	kara1499		bamboo	1927	BAMBOO		daluang	d a l u a ŋ
7559	23710	visserkalamang-kara1499	kara1499		bamboo	1927	BAMBOO		gaus	g a u s
7560	23711	visserkalamang-kara1499	kara1499		bamboo	1927	BAMBOO		kasut	k a s u t
7561	23712	visserkalamang-kara1499	kara1499		bamboo	1927	BAMBOO		karuan	k a r u a n
7562	23713	visserkalamang-kara1499	kara1499		bamboo	1927	BAMBOO		saban	s a b a n
7563	23714	visserkalamang-kara1499	kara1499		bamboo	1927	BAMBOO		sasirip	s a s i r i p
7564	23715	visserkalamang-kara1499	kara1499		bamboo	1927	BAMBOO		lawan	l a w a n
8360	24511	visserkalamang-kara1499	kara1499		bananatree	1795	BANANA TREE		im	i m
9457	25608	visserkalamang-kara1499	kara1499		bark	1204	BARK		lokul	l o k u l
9458	25609	visserkalamang-kara1499	kara1499		bark	1204	BARK		ror_kulun	r o r + k u l u n
10243	26394	visserkalamang-kara1499	kara1499		basket	1539	BASKET		kiem	k i e m
10244	26395	visserkalamang-kara1499	kara1499		basket	1539	BASKET		pan	p a n
10245	26396	visserkalamang-kara1499	kara1499		basket	1539	BASKET		kurera	k u r e r a
10841	26992	visserkalamang-kara1499	kara1499		bat	1793	BAT		kuek	k u e k
11209	27360	visserkalamang-kara1499	kara1499		bathe	138	BATHE		waruo	w a r u o
11210	27361	visserkalamang-kara1499	kara1499		bathe	138	BATHE		boubou	b o u b o u
11528	27679	visserkalamang-kara1499	kara1499		bay	663	BAY		arep	a r e p
12098	28249	visserkalamang-kara1499	kara1499		bead	1860	BEAD		samor	s a m o r
12145	28296	visserkalamang-kara1499	kara1499		beak	73	BEAK		bol	b o l
13590	29741	visserkalamang-kara1499	kara1499		bealiveorlife	3184	BE ALIVE OR LIFE		hidup	h i d u p
13671	29822	visserkalamang-kara1499	kara1499		beam	1132	BEAM		balak	b a l a k
13672	29823	visserkalamang-kara1499	kara1499		beam	1132	BEAM		regil	r e g i l
14202	30353	visserkalamang-kara1499	kara1499		bean	832	BEAN		kawuok	k a w u o k
15371	31522	visserkalamang-kara1499	kara1499		beard	678	BEARD		jangkut	ɟ a ŋ k u t
16481	32632	visserkalamang-kara1499	kara1499		because	1157	BECAUSE		-tenden	t e n d e n
17530	33681	visserkalamang-kara1499	kara1499		bed	1663	BED		minggalot	m i ŋ g a l o t
18335	34486	visserkalamang-kara1499	kara1499		bedeadordie	2101	BE DEAD OR DIE		somin	s o m i n
18336	34487	visserkalamang-kara1499	kara1499		bedeadordie	2101	BE DEAD OR DIE		korek	k o r e k
18850	35001	visserkalamang-kara1499	kara1499		bee	665	BEE		wenawena	w e n a w e n a
19018	35169	visserkalamang-kara1499	kara1499		beehive	88	BEEHIVE		wenawena_eun	w e n a w e n a + e u n
19073	35224	visserkalamang-kara1499	kara1499		beer	1639	BEER		bir	b i r
20373	36524	visserkalamang-kara1499	kara1499		beginorstart	3447	BEGIN OR START		mulai	m u l a i
20374	36525	visserkalamang-kara1499	kara1499		beginorstart	3447	BEGIN OR START		istar	i s t a r
20737	36888	visserkalamang-kara1499	kara1499		behind	1686	BEHIND		silepko	s i l e p k o
20738	36889	visserkalamang-kara1499	kara1499		behind	1686	BEHIND		epko	e p k o
20739	36890	visserkalamang-kara1499	kara1499		behind	1686	BEHIND		silep-	s i l e p
20740	36891	visserkalamang-kara1499	kara1499		behind	1686	BEHIND		ep-	e p
21763	37914	visserkalamang-kara1499	kara1499		believe	1890	BELIEVE		parcai	p a r c a i
24942	41093	visserkalamang-kara1499	kara1499		beloworunder	1485	BELOW OR UNDER		elak-	e l a k
24943	41094	visserkalamang-kara1499	kara1499		beloworunder	1485	BELOW OR UNDER		elao	e l a o
25249	41400	visserkalamang-kara1499	kara1499		bend	2004	BEND		maulma	m a u l m a
25848	41999	visserkalamang-kara1499	kara1499		beside	1816	BESIDE		mul-	m u l
25849	42000	visserkalamang-kara1499	kara1499		beside	1816	BESIDE		mulko	m u l k o
25932	42083	visserkalamang-kara1499	kara1499		besilent	48	BE SILENT		nokidak	n o k i d a k
26774	42925	visserkalamang-kara1499	kara1499		beverage	731	BEVERAGE		minum	m i n u m
26775	42926	visserkalamang-kara1499	kara1499		beverage	731	BEVERAGE		minuman	m i n u m a n
29055	45206	visserkalamang-kara1499	kara1499		big	1202	BIG		temun	t e m u n
31413	47564	visserkalamang-kara1499	kara1499		bird	937	BIRD		kasamin	k a s a m i n
33506	49657	visserkalamang-kara1499	kara1499		bite	1403	BITE		koraruo	k o r a r u o
34196	50347	visserkalamang-kara1499	kara1499		bitter	887	BITTER		mang	m a ŋ
36026	52177	visserkalamang-kara1499	kara1499		black	163	BLACK		kuskap	k u s k a p
37422	53573	visserkalamang-kara1499	kara1499		blind	1653	BLIND		kanggir_saun	k a ŋ g i r + s a u n
37657	53808	visserkalamang-kara1499	kara1499		blink	1655	BLINK		pulem	p u l e m
39766	55917	visserkalamang-kara1499	kara1499		blood	946	BLOOD		karyak	k a r j a k
39909	56060	visserkalamang-kara1499	kara1499		bloodvessel	525	BLOOD VESSEL		kaden_kies	k a d e n + k i e s
41506	57657	visserkalamang-kara1499	kara1499		blowofwind	175	BLOW (OF WIND)		kou	k o u
42364	58515	visserkalamang-kara1499	kara1499		blue	837	BLUE		welenggap	w e l e ŋ g a p
43417	59568	visserkalamang-kara1499	kara1499		blunt	379	BLUNT		karaonggis	k a r a o ŋ g i s
43639	59790	visserkalamang-kara1499	kara1499		board	1227	BOARD		pawan	p a w a n
44308	60459	visserkalamang-kara1499	kara1499		boat	1844	BOAT		kapal	k a p a l
44959	61110	visserkalamang-kara1499	kara1499		body	1480	BODY		eren	e r e n
44960	61111	visserkalamang-kara1499	kara1499		body	1480	BODY		kaden	k a d e n
45549	61700	visserkalamang-kara1499	kara1499		boilofliquid	792	BOIL (OF LIQUID)		laur	l a u r
45550	61701	visserkalamang-kara1499	kara1499		boilofliquid	792	BOIL (OF LIQUID)		nasomit	n a s o m i t
45652	61803	visserkalamang-kara1499	kara1499		boilofskin	793	BOIL (OF SKIN)		sabet	s a b e t
48021	64172	visserkalamang-kara1499	kara1499		bone	1394	BONE		kang	k a ŋ
48480	64631	visserkalamang-kara1499	kara1499		book	963	BOOK		buk	b u k
49016	65167	visserkalamang-kara1499	kara1499		bore	1501	BORE		bor	b o r
