	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
9457	25608	visserkalamang-kara1499	kara1499		bark	1204	BARK		lokul	l o k u l
9458	25609	visserkalamang-kara1499	kara1499		bark	1204	BARK		ror_kulun	r o r + k u l u n
29055	45206	visserkalamang-kara1499	kara1499		big	1202	BIG		temun	t e m u n
31413	47564	visserkalamang-kara1499	kara1499		bird	937	BIRD		kasamin	k a s a m i n
33506	49657	visserkalamang-kara1499	kara1499		bite	1403	BITE		koraruo	k o r a r u o
36026	52177	visserkalamang-kara1499	kara1499		black	163	BLACK		kuskap	k u s k a p
39766	55917	visserkalamang-kara1499	kara1499		blood	946	BLOOD		karyak	k a r j a k
48021	64172	visserkalamang-kara1499	kara1499		bone	1394	BONE		kang	k a ŋ
58068	74221	visserkalamang-kara1499	kara1499		breast	1402	BREAST		am	a m
87318	103471	visserkalamang-kara1499	kara1499		claw	72	CLAW		paritman	p a r i t m a n
92485	108638	visserkalamang-kara1499	kara1499		cloud	1489	CLOUD		ur_kirun	u r + k i r u n
96259	112412	visserkalamang-kara1499	kara1499		cold	1287	COLD		lu	l u
96260	112413	visserkalamang-kara1499	kara1499		cold	1287	COLD		kawes	k a w e s
99961	116114	visserkalamang-kara1499	kara1499		come	1446	COME		mia	m i a
136745	152900	visserkalamang-kara1499	kara1499		dog	2009	DOG		bal	b a l
142802	158957	visserkalamang-kara1499	kara1499		drink	1401	DRINK		minum	m i n u m
146412	162567	visserkalamang-kara1499	kara1499		dry	1398	DRY		kararak	k a r a r a k
152277	168432	visserkalamang-kara1499	kara1499		ear	1247	EAR		kelkam	k e l k a m
154740	170895	visserkalamang-kara1499	kara1499		earthsoil	1228	EARTH (SOIL)		naun	n a u n
157658	173816	visserkalamang-kara1499	kara1499		eat	1336	EAT		muap	m u a p
157659	173817	visserkalamang-kara1499	kara1499		eat	1336	EAT		na	n a
160057	176215	visserkalamang-kara1499	kara1499		egg	744	EGG		nar	n a r
170703	186861	visserkalamang-kara1499	kara1499		eye	1248	EYE		kanggir	k a ŋ g i r
185483	201643	visserkalamang-kara1499	kara1499		feather	1201	FEATHER		teng	t e ŋ
193525	226178	visserkalamang-kara1499	kara1499		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		pararuo	p a r a r u o
196914	229567	visserkalamang-kara1499	kara1499		foot	1301	FOOT		kor	k o r
209990	242643	visserkalamang-kara1499	kara1499		full	1429	FULL		mikon	m i k o n
221835	254491	visserkalamang-kara1499	kara1499		good	1035	GOOD		bes	b e s
229260	261916	visserkalamang-kara1499	kara1499		green	1425	GREEN		welenggap	w e l e ŋ g a p
239194	271850	visserkalamang-kara1499	kara1499		hand	1277	HAND		tan	t a n
245088	277745	visserkalamang-kara1499	kara1499		head	1256	HEAD		nakal	n a k a l
247885	280542	visserkalamang-kara1499	kara1499		hear	1408	HEAR		ra	r a
247886	280543	visserkalamang-kara1499	kara1499		hear	1408	HEAR		kelua	k e l u a
275492	308152	visserkalamang-kara1499	kara1499		i	1209	I		an	a n
288311	320971	visserkalamang-kara1499	kara1499		kill	1417	KILL		rua	r u a
291210	323870	visserkalamang-kara1499	kara1499		knee	1371	KNEE		korpak	k o r p a k
294857	327517	visserkalamang-kara1499	kara1499		knowsomething	1410	KNOW (SOMETHING)		gonggin	g o ŋ g i n
303180	335840	visserkalamang-kara1499	kara1499		leaf	628	LEAF		ol	o l
303181	335841	visserkalamang-kara1499	kara1499		leaf	628	LEAF		lolok	l o l o k
317654	350314	visserkalamang-kara1499	kara1499		liver	1224	LIVER		min	m i n
320708	353368	visserkalamang-kara1499	kara1499		long	1203	LONG		kahen	k a h e n
324336	356996	visserkalamang-kara1499	kara1499		louse	1392	LOUSE		mun	m u n
331456	364117	visserkalamang-kara1499	kara1499		man	1554	MAN		teya	t e j a
331457	364118	visserkalamang-kara1499	kara1499		man	1554	MAN		canam	c a n a m
332916	365577	visserkalamang-kara1499	kara1499		many	1198	MANY		reidak	r e i d a k
345489	378150	visserkalamang-kara1499	kara1499		moon	1313	MOON		pak	p a k
354490	387154	visserkalamang-kara1499	kara1499		mouth	674	MOUTH		kanggur	k a ŋ g u r
354491	387155	visserkalamang-kara1499	kara1499		mouth	674	MOUTH		bol	b o l
359318	391984	visserkalamang-kara1499	kara1499		name	1405	NAME		in	i n
365768	398435	visserkalamang-kara1499	kara1499		neck	1333	NECK		komang	k o m a ŋ
369659	402326	visserkalamang-kara1499	kara1499		new	1231	NEW		giarun	g i a r u n
372604	405271	visserkalamang-kara1499	kara1499		night	1233	NIGHT		saun	s a u n
378485	411152	visserkalamang-kara1499	kara1499		nose	1221	NOSE		bustang	b u s t a ŋ
390751	423418	visserkalamang-kara1499	kara1499		one	1493	ONE		kaninggonie	k a n i ŋ g o n i e
406889	439556	visserkalamang-kara1499	kara1499		person	683	PERSON		sontum	s o n t u m
406890	439557	visserkalamang-kara1499	kara1499		person	683	PERSON		som	s o m
433316	465984	visserkalamang-kara1499	kara1499		red	156	RED		kerkap	k e r k a p
441726	474395	visserkalamang-kara1499	kara1499		road	667	ROAD		urap	u r a p
441727	474396	visserkalamang-kara1499	kara1499		road	667	ROAD		borun	b o r u n
445367	478036	visserkalamang-kara1499	kara1499		root	670	ROOT		kiel	k i e l
457372	490041	visserkalamang-kara1499	kara1499		sand	671	SAND		os	o s
459954	492623	visserkalamang-kara1499	kara1499		say	1458	SAY		toni	t o n i
459955	492624	visserkalamang-kara1499	kara1499		say	1458	SAY		taruo	t a r u o
466171	498841	visserkalamang-kara1499	kara1499		see	1409	SEE		kome	k o m e
466172	498842	visserkalamang-kara1499	kara1499		see	1409	SEE		kona	k o n a
467310	499980	visserkalamang-kara1499	kara1499		seed	714	SEED		dowi	d o w i
467311	499981	visserkalamang-kara1499	kara1499		seed	714	SEED		tang	t a ŋ
491340	524012	visserkalamang-kara1499	kara1499		sit	1416	SIT		meleluo	m e l e l u o
495733	528405	visserkalamang-kara1499	kara1499		skin	763	SKIN		kulun	k u l u n
500317	532990	visserkalamang-kara1499	kara1499		sleep	1585	SLEEP		min	m i n
503960	536634	visserkalamang-kara1499	kara1499		small	1246	SMALL		cicaun	c i c a u n
503961	536635	visserkalamang-kara1499	kara1499		small	1246	SMALL		caun	c a u n
