	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
4012	20163	johanssonsoundsymbolic-Wintu	wint1259		back	1291	BACK		kawi	k a w i
5133	21284	johanssonsoundsymbolic-Wintu	wint1259		bad	1292	BAD		cʼe̞p	cʼ e̞ p
8958	25109	johanssonsoundsymbolic-Wintu	wint1259		bark	1204	BARK		baji	b a j i
13104	29255	johanssonsoundsymbolic-Wintu	wint1259		bealive	1422	BE ALIVE		mo̞r	m o̞ r
15831	31982	johanssonsoundsymbolic-Wintu	wint1259		beautiful	1427	BEAUTIFUL		cal	c a l
19334	35485	johanssonsoundsymbolic-Wintu	wint1259		before	1882	BEFORE		le̞	l e̞
20581	36732	johanssonsoundsymbolic-Wintu	wint1259		behind	1686	BEHIND		ho̞r	h o̞ r
23011	39162	johanssonsoundsymbolic-Wintu	wint1259		belly	1251	BELLY		naq	n a q
24635	40786	johanssonsoundsymbolic-Wintu	wint1259		beloworunder	1485	BELOW OR UNDER		ke̞n	k e̞ n
25829	41980	johanssonsoundsymbolic-Wintu	wint1259		beside	1816	BESIDE		tʼa	tʼ a
26532	42683	johanssonsoundsymbolic-Wintu	wint1259		between	689	BETWEEN		kalaan	k a l aː n
28058	44209	johanssonsoundsymbolic-Wintu	wint1259		big	1202	BIG		bo̞	b o̞
30430	46581	johanssonsoundsymbolic-Wintu	wint1259		bird	937	BIRD		cʼil	cʼ i l
32789	48940	johanssonsoundsymbolic-Wintu	wint1259		bite	1403	BITE		pʼe̞j	pʼ e̞ j
33906	50057	johanssonsoundsymbolic-Wintu	wint1259		bitter	887	BITTER		cʼaaq	cʼ aː q
35403	51554	johanssonsoundsymbolic-Wintu	wint1259		black	163	BLACK		culuul	c u l uː l
38817	54968	johanssonsoundsymbolic-Wintu	wint1259		blood	946	BLOOD		saaq	s aː q
41020	57171	johanssonsoundsymbolic-Wintu	wint1259		blowofwind	175	BLOW (OF WIND)		tɬiin	t ɬ iː n
42168	58319	johanssonsoundsymbolic-Wintu	wint1259		blue	837	BLUE		cʼar	cʼ a r
43188	59339	johanssonsoundsymbolic-Wintu	wint1259		blunt	379	BLUNT		mil	m i l
44690	60841	johanssonsoundsymbolic-Wintu	wint1259		body	1480	BODY		thun	tʰ u n
47037	63188	johanssonsoundsymbolic-Wintu	wint1259		bone	1394	BONE		paq	p a q
51609	67760	johanssonsoundsymbolic-Wintu	wint1259		boy	1366	BOY		bo̞o̞k	b o̞ː k
52993	69144	johanssonsoundsymbolic-Wintu	wint1259		brain	1583	BRAIN		wuu	w uː
57122	73275	johanssonsoundsymbolic-Wintu	wint1259		breast	1402	BREAST		ʔe̞m	ʔ e̞ m
59030	75183	johanssonsoundsymbolic-Wintu	wint1259		breathe	1407	BREATHE		phuur	pʰ uː r
64591	80744	johanssonsoundsymbolic-Wintu	wint1259		burn	2102	BURN		daq	d a q
67887	84040	johanssonsoundsymbolic-Wintu	wint1259		buttocks	834	BUTTOCKS		tʼina	tʼ i n a
73103	89256	johanssonsoundsymbolic-Wintu	wint1259		carry	700	CARRY		bam	b a m
88022	104175	johanssonsoundsymbolic-Wintu	wint1259		clean	704	CLEAN		catɬa	c a t ɬ a
91726	107879	johanssonsoundsymbolic-Wintu	wint1259		cloud	1489	CLOUD		bo̞q	b o̞ q
95315	111468	johanssonsoundsymbolic-Wintu	wint1259		cold	1287	COLD		kʼo̞l	kʼ o̞ l
98981	115134	johanssonsoundsymbolic-Wintu	wint1259		come	1446	COME		co̞kihapʼure̞	c o̞ k i h a pʼ u r e̞
104991	121144	johanssonsoundsymbolic-Wintu	wint1259		correctright	1725	CORRECT (RIGHT)		cal	c a l
106096	122249	johanssonsoundsymbolic-Wintu	wint1259		cough	879	COUGH		qʼuh	qʼ u h
110553	126706	johanssonsoundsymbolic-Wintu	wint1259		crooked	297	CROOKED		pʼiw	pʼ i w
112123	128276	johanssonsoundsymbolic-Wintu	wint1259		crush	1520	CRUSH		tɬuum	t ɬ uː m
113084	129237	johanssonsoundsymbolic-Wintu	wint1259		cry	1839	CRY		nih	n i h
118791	134944	johanssonsoundsymbolic-Wintu	wint1259		dark	706	DARK		puriiw	p u r iː w
121918	138073	johanssonsoundsymbolic-Wintu	wint1259		daynotnight	1225	DAY (NOT NIGHT)		san	s a n
124330	140485	johanssonsoundsymbolic-Wintu	wint1259		deep	1593	DEEP		ke̞n	k e̞ n
127205	143360	johanssonsoundsymbolic-Wintu	wint1259		die	1494	DIE		min	m i n
131825	147980	johanssonsoundsymbolic-Wintu	wint1259		dirty	1230	DIRTY		cʼapasa	cʼ a p a s a
134314	150469	johanssonsoundsymbolic-Wintu	wint1259		do	813	DO		ʔuw	ʔ u w
135753	151908	johanssonsoundsymbolic-Wintu	wint1259		dog	2009	DOG		ce̞l	c e̞ l
142221	158376	johanssonsoundsymbolic-Wintu	wint1259		drink	1401	DRINK		bula	b u l a
145853	162008	johanssonsoundsymbolic-Wintu	wint1259		dry	1398	DRY		χunaʔ	χ u n a ʔ
148824	164979	johanssonsoundsymbolic-Wintu	wint1259		dust	2	DUST		bukul	b u k u l
151298	167453	johanssonsoundsymbolic-Wintu	wint1259		ear	1247	EAR		maat	m aː t
154214	170369	johanssonsoundsymbolic-Wintu	wint1259		earthsoil	1228	EARTH (SOIL)		po̞m	p o̞ m
156823	172978	johanssonsoundsymbolic-Wintu	wint1259		eat	1336	EAT		tɬo̞b	t ɬ o̞ b
159121	175279	johanssonsoundsymbolic-Wintu	wint1259		egg	744	EGG		tɬu	t ɬ u
160861	177019	johanssonsoundsymbolic-Wintu	wint1259		eight	1705	EIGHT		se̞rtʼɬʼawi	s e̞ r tʼ ɬʼ a w i
163793	179951	johanssonsoundsymbolic-Wintu	wint1259		eleven	1706	ELEVEN		tiqe̞le̞s_kʼe̞te̞e̞m_tɬo̞mi	t i q e̞ l e̞ s + kʼ e̞ t e̞ː m + t ɬ o̞ m i
164987	181145	johanssonsoundsymbolic-Wintu	wint1259		empty	1624	EMPTY		hiim	h iː m
169703	185861	johanssonsoundsymbolic-Wintu	wint1259		eye	1248	EYE		dum	d u m
173707	189866	johanssonsoundsymbolic-Wintu	wint1259		fall	1280	FALL		dil	d i l
175971	192130	johanssonsoundsymbolic-Wintu	wint1259		far	1406	FAR		dal	d a l
177070	193229	johanssonsoundsymbolic-Wintu	wint1259		fart	1159	FART		phub	pʰ u b
177540	193699	johanssonsoundsymbolic-Wintu	wint1259		fast	1631	FAST		witil	w i t i l
182167	198327	johanssonsoundsymbolic-Wintu	wint1259		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		huum	h uː m
185015	201175	johanssonsoundsymbolic-Wintu	wint1259		feather	1201	FEATHER		kʼal	kʼ a l
