	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
4012	20163	johanssonsoundsymbolic-Wintu	wint1259		back	1291	BACK		kawi	k a w i
5133	21284	johanssonsoundsymbolic-Wintu	wint1259		bad	1292	BAD		cʼe̞p	cʼ e̞ p
8958	25109	johanssonsoundsymbolic-Wintu	wint1259		bark	1204	BARK		baji	b a j i
13104	29255	johanssonsoundsymbolic-Wintu	wint1259		bealive	1422	BE ALIVE		mo̞r	m o̞ r
23011	39162	johanssonsoundsymbolic-Wintu	wint1259		belly	1251	BELLY		naq	n a q
28058	44209	johanssonsoundsymbolic-Wintu	wint1259		big	1202	BIG		bo̞	b o̞
30430	46581	johanssonsoundsymbolic-Wintu	wint1259		bird	937	BIRD		cʼil	cʼ i l
32789	48940	johanssonsoundsymbolic-Wintu	wint1259		bite	1403	BITE		pʼe̞j	pʼ e̞ j
35403	51554	johanssonsoundsymbolic-Wintu	wint1259		black	163	BLACK		culuul	c u l uː l
38817	54968	johanssonsoundsymbolic-Wintu	wint1259		blood	946	BLOOD		saaq	s aː q
41020	57171	johanssonsoundsymbolic-Wintu	wint1259		blowofwind	175	BLOW (OF WIND)		tɬiin	t ɬ iː n
43188	59339	johanssonsoundsymbolic-Wintu	wint1259		blunt	379	BLUNT		mil	m i l
47037	63188	johanssonsoundsymbolic-Wintu	wint1259		bone	1394	BONE		paq	p a q
59030	75183	johanssonsoundsymbolic-Wintu	wint1259		breathe	1407	BREATHE		phuur	pʰ uː r
91726	107879	johanssonsoundsymbolic-Wintu	wint1259		cloud	1489	CLOUD		bo̞q	b o̞ q
98981	115134	johanssonsoundsymbolic-Wintu	wint1259		come	1446	COME		co̞kihapʼure̞	c o̞ k i h a pʼ u r e̞
104991	121144	johanssonsoundsymbolic-Wintu	wint1259		correctright	1725	CORRECT (RIGHT)		cal	c a l
121918	138073	johanssonsoundsymbolic-Wintu	wint1259		daynotnight	1225	DAY (NOT NIGHT)		san	s a n
127205	143360	johanssonsoundsymbolic-Wintu	wint1259		die	1494	DIE		min	m i n
131825	147980	johanssonsoundsymbolic-Wintu	wint1259		dirty	1230	DIRTY		cʼapasa	cʼ a p a s a
135753	151908	johanssonsoundsymbolic-Wintu	wint1259		dog	2009	DOG		ce̞l	c e̞ l
142221	158376	johanssonsoundsymbolic-Wintu	wint1259		drink	1401	DRINK		bula	b u l a
145853	162008	johanssonsoundsymbolic-Wintu	wint1259		dry	1398	DRY		χunaʔ	χ u n a ʔ
148824	164979	johanssonsoundsymbolic-Wintu	wint1259		dust	2	DUST		bukul	b u k u l
151298	167453	johanssonsoundsymbolic-Wintu	wint1259		ear	1247	EAR		maat	m aː t
154214	170369	johanssonsoundsymbolic-Wintu	wint1259		earthsoil	1228	EARTH (SOIL)		po̞m	p o̞ m
156823	172978	johanssonsoundsymbolic-Wintu	wint1259		eat	1336	EAT		tɬo̞b	t ɬ o̞ b
159121	175279	johanssonsoundsymbolic-Wintu	wint1259		egg	744	EGG		tɬu	t ɬ u
169703	185861	johanssonsoundsymbolic-Wintu	wint1259		eye	1248	EYE		dum	d u m
173707	189866	johanssonsoundsymbolic-Wintu	wint1259		fall	1280	FALL		dil	d i l
175971	192130	johanssonsoundsymbolic-Wintu	wint1259		far	1406	FAR		dal	d a l
182167	198327	johanssonsoundsymbolic-Wintu	wint1259		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		huum	h uː m
185015	201175	johanssonsoundsymbolic-Wintu	wint1259		feather	1201	FEATHER		kʼal	kʼ a l
190043	222696	johanssonsoundsymbolic-Wintu	wint1259		flower	239	FLOWER		lul	l u l
192961	225614	johanssonsoundsymbolic-Wintu	wint1259		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		the̞e̞h	tʰ e̞ː h
196297	228950	johanssonsoundsymbolic-Wintu	wint1259		foot	1301	FOOT		cʼurut	cʼ u r u t
202628	235281	johanssonsoundsymbolic-Wintu	wint1259		four	1500	FOUR		tʼɬʼaw	tʼ ɬʼ a w
214730	247383	johanssonsoundsymbolic-Wintu	wint1259		give	1447	GIVE		be̞m	b e̞ m
220859	253515	johanssonsoundsymbolic-Wintu	wint1259		good	1035	GOOD		cal	c a l
226287	258943	johanssonsoundsymbolic-Wintu	wint1259		grass	606	GRASS		cutaq	c u t a q
228637	261293	johanssonsoundsymbolic-Wintu	wint1259		green	1425	GREEN		cʼar	cʼ a r
234659	267315	johanssonsoundsymbolic-Wintu	wint1259		hair	1040	HAIR		to̞mo̞j	t o̞ m o̞ j
238503	271159	johanssonsoundsymbolic-Wintu	wint1259		hand	1277	HAND		se̞	s e̞
244057	276714	johanssonsoundsymbolic-Wintu	wint1259		head	1256	HEAD		pho̞jo̞q	pʰ o̞ j o̞ q
246988	279645	johanssonsoundsymbolic-Wintu	wint1259		hear	1408	HEAR		mut	m u t
248582	281239	johanssonsoundsymbolic-Wintu	wint1259		heart	1223	HEART		phuur	pʰ uː r
250745	283402	johanssonsoundsymbolic-Wintu	wint1259		heavy	1210	HEAVY		jitɬ	j i t ɬ
254569	287228	johanssonsoundsymbolic-Wintu	wint1259		here	136	HERE		pi	p i
258834	291494	johanssonsoundsymbolic-Wintu	wint1259		hit	1433	HIT		ce̞p	c e̞ p
268953	301613	johanssonsoundsymbolic-Wintu	wint1259		how	1239	HOW		he̞	h e̞
274809	307469	johanssonsoundsymbolic-Wintu	wint1259		i	1209	I		ni	n i
278130	310790	johanssonsoundsymbolic-Wintu	wint1259		in	1460	IN		ʔe̞l	ʔ e̞ l
287647	320307	johanssonsoundsymbolic-Wintu	wint1259		kill	1417	KILL		cin	c i n
299125	331785	johanssonsoundsymbolic-Wintu	wint1259		laugh	1355	LAUGH		no̞j	n o̞ j
302277	334937	johanssonsoundsymbolic-Wintu	wint1259		leaf	628	LEAF		dal	d a l
305380	338040	johanssonsoundsymbolic-Wintu	wint1259		left	244	LEFT		no̞r	n o̞ r
317047	349707	johanssonsoundsymbolic-Wintu	wint1259		liver	1224	LIVER		kila	k i l a
319943	352603	johanssonsoundsymbolic-Wintu	wint1259		long	1203	LONG		ke̞l	k e̞ l
323583	356243	johanssonsoundsymbolic-Wintu	wint1259		louse	1392	LOUSE		do̞n	d o̞ n
332382	365043	johanssonsoundsymbolic-Wintu	wint1259		many	1198	MANY		bo̞h	b o̞ h
351021	383685	johanssonsoundsymbolic-Wintu	wint1259		mountain	639	MOUNTAIN		buli	b u l i
353539	386203	johanssonsoundsymbolic-Wintu	wint1259		mouth	674	MOUTH		qo̞l	q o̞ l
358556	391221	johanssonsoundsymbolic-Wintu	wint1259		name	1405	NAME		je̞t	j e̞ t
360436	393102	johanssonsoundsymbolic-Wintu	wint1259		narrow	1267	NARROW		cʼiriik	cʼ i r iː k
