	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
3953	20104	johanssonsoundsymbolic-Ngarinyin	ngar1284		back	1291	BACK		kacilan	k a c i l a n
5071	21222	johanssonsoundsymbolic-Ngarinyin	ngar1284		bad	1292	BAD		anaɾu	a n a ɾ u
8906	25057	johanssonsoundsymbolic-Ngarinyin	ngar1284		bark	1204	BARK		laŋataŋata	l a ŋ a t a ŋ a t a
13048	29199	johanssonsoundsymbolic-Ngarinyin	ngar1284		bealive	1422	BE ALIVE		woj	w o j
15788	31939	johanssonsoundsymbolic-Ngarinyin	ngar1284		beautiful	1427	BEAUTIFUL		imalala	i m a l a l a
16355	32506	johanssonsoundsymbolic-Ngarinyin	ngar1284		because	1157	BECAUSE		tiku	t i k u
19291	35442	johanssonsoundsymbolic-Ngarinyin	ngar1284		before	1882	BEFORE		kalamunti	k a l a m u n t i
20528	36679	johanssonsoundsymbolic-Ngarinyin	ngar1284		behind	1686	BEHIND		ampala	a m p a l a
22948	39099	johanssonsoundsymbolic-Ngarinyin	ngar1284		belly	1251	BELLY		mantu	m a n t u
24583	40734	johanssonsoundsymbolic-Ngarinyin	ngar1284		beloworunder	1485	BELOW OR UNDER		aʎa	a ʎ a
25792	41943	johanssonsoundsymbolic-Ngarinyin	ngar1284		beside	1816	BESIDE		amuŋul	a m u ŋ u l
26505	42656	johanssonsoundsymbolic-Ngarinyin	ngar1284		between	689	BETWEEN		elku	e l k u
27991	44142	johanssonsoundsymbolic-Ngarinyin	ngar1284		big	1202	BIG		wataŋɾaɾ	w a t a ŋ ɾ a ɾ
32724	48875	johanssonsoundsymbolic-Ngarinyin	ngar1284		bite	1403	BITE		katuɾ	k a t u ɾ
33857	50008	johanssonsoundsymbolic-Ngarinyin	ngar1284		bitter	887	BITTER		kulcakulca	k u l c a k u l c a
35338	51489	johanssonsoundsymbolic-Ngarinyin	ngar1284		black	163	BLACK		awuŋun	a w u ŋ u n
38751	54902	johanssonsoundsymbolic-Ngarinyin	ngar1284		blood	946	BLOOD		kull	k u lː
40962	57113	johanssonsoundsymbolic-Ngarinyin	ngar1284		blowofwind	175	BLOW (OF WIND)		pu	p u
42118	58269	johanssonsoundsymbolic-Ngarinyin	ngar1284		blue	837	BLUE		malkitmalkit	m a l k i t m a l k i t
43140	59291	johanssonsoundsymbolic-Ngarinyin	ngar1284		blunt	379	BLUNT		tuput	t u p u t
44634	60785	johanssonsoundsymbolic-Ngarinyin	ngar1284		body	1480	BODY		aŋantu	a ŋ a n t u
46976	63127	johanssonsoundsymbolic-Ngarinyin	ngar1284		bone	1394	BONE		onar	o n a r
51557	67708	johanssonsoundsymbolic-Ngarinyin	ngar1284		boy	1366	BOY		iwawala	i w a w a l a
52949	69100	johanssonsoundsymbolic-Ngarinyin	ngar1284		brain	1583	BRAIN		kupan	k u p a n
57062	73215	johanssonsoundsymbolic-Ngarinyin	ngar1284		breast	1402	BREAST		mala	m a l a
