	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
8906	25057	johanssonsoundsymbolic-Ngarinyin	ngar1284		bark	1204	BARK		laŋataŋata	l a ŋ a t a ŋ a t a
22948	39099	johanssonsoundsymbolic-Ngarinyin	ngar1284		belly	1251	BELLY		mantu	m a n t u
27991	44142	johanssonsoundsymbolic-Ngarinyin	ngar1284		big	1202	BIG		wataŋɾaɾ	w a t a ŋ ɾ a ɾ
32724	48875	johanssonsoundsymbolic-Ngarinyin	ngar1284		bite	1403	BITE		katuɾ	k a t u ɾ
35338	51489	johanssonsoundsymbolic-Ngarinyin	ngar1284		black	163	BLACK		awuŋun	a w u ŋ u n
38751	54902	johanssonsoundsymbolic-Ngarinyin	ngar1284		blood	946	BLOOD		kull	k u lː
46976	63127	johanssonsoundsymbolic-Ngarinyin	ngar1284		bone	1394	BONE		onar	o n a r
57062	73215	johanssonsoundsymbolic-Ngarinyin	ngar1284		breast	1402	BREAST		mala	m a l a
64532	80685	johanssonsoundsymbolic-Ngarinyin	ngar1284		burn	2102	BURN		uŋuta	u ŋ u t a
91670	107823	johanssonsoundsymbolic-Ngarinyin	ngar1284		cloud	1489	CLOUD		puɾul	p u ɾ u l
95253	111406	johanssonsoundsymbolic-Ngarinyin	ngar1284		cold	1287	COLD		cuŋkuŋa	c u ŋ k u ŋ a
98916	115069	johanssonsoundsymbolic-Ngarinyin	ngar1284		come	1446	COME		pa	p a
127139	143294	johanssonsoundsymbolic-Ngarinyin	ngar1284		die	1494	DIE		tepat	t e p a t
135689	151844	johanssonsoundsymbolic-Ngarinyin	ngar1284		dog	2009	DOG		tela	t e l a
142157	158312	johanssonsoundsymbolic-Ngarinyin	ngar1284		drink	1401	DRINK		co	c o
145794	161949	johanssonsoundsymbolic-Ngarinyin	ngar1284		dry	1398	DRY		ajapan	a j a p a n
151235	167390	johanssonsoundsymbolic-Ngarinyin	ngar1284		ear	1247	EAR		oɾu	o ɾ u
154153	170308	johanssonsoundsymbolic-Ngarinyin	ngar1284		earthsoil	1228	EARTH (SOIL)		kapal	k a p a l
156756	172911	johanssonsoundsymbolic-Ngarinyin	ngar1284		eat	1336	EAT		mincal	m i n c a l
159065	175223	johanssonsoundsymbolic-Ngarinyin	ngar1284		egg	744	EGG		wonawi	w o n a w i
169638	185796	johanssonsoundsymbolic-Ngarinyin	ngar1284		eye	1248	EYE		amen	a m e n
182116	198276	johanssonsoundsymbolic-Ngarinyin	ngar1284		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		tala	t a l a
184960	201120	johanssonsoundsymbolic-Ngarinyin	ngar1284		feather	1201	FEATHER		caŋal	c a ŋ a l
