	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
4017	20168	johanssonsoundsymbolic-Yangman	yang1288		back	1291	BACK		baŋgin	b a ŋ g i n
5138	21289	johanssonsoundsymbolic-Yangman	yang1288		bad	1292	BAD		waɾiŋun	w a ɾ i ŋ u n
8962	25113	johanssonsoundsymbolic-Yangman	yang1288		bark	1204	BARK		bamŋa	b a m ŋ a
13109	29260	johanssonsoundsymbolic-Yangman	yang1288		bealive	1422	BE ALIVE		jibi	j i b i
16395	32546	johanssonsoundsymbolic-Yangman	yang1288		because	1157	BECAUSE		wunjdjug	w u n j d j u g
19338	35489	johanssonsoundsymbolic-Yangman	yang1288		before	1882	BEFORE		buɾugawi	b u ɾ u g a w i
20586	36737	johanssonsoundsymbolic-Yangman	yang1288		behind	1686	BEHIND		djumba	d j u m b a
23016	39167	johanssonsoundsymbolic-Yangman	yang1288		belly	1251	BELLY		medjem	m e d j e m
24640	40791	johanssonsoundsymbolic-Yangman	yang1288		beloworunder	1485	BELOW OR UNDER		baɾwa	b a ɾ w a
28063	44214	johanssonsoundsymbolic-Yangman	yang1288		big	1202	BIG		jidjad	j i d j a d
30435	46586	johanssonsoundsymbolic-Yangman	yang1288		bird	937	BIRD		djigdjig	d j i g d j i g
32794	48945	johanssonsoundsymbolic-Yangman	yang1288		bite	1403	BITE		Ia	i a
33910	50061	johanssonsoundsymbolic-Yangman	yang1288		bitter	887	BITTER		gojogin	g o j o g i n
35408	51559	johanssonsoundsymbolic-Yangman	yang1288		black	163	BLACK		meleman	m e l e m a n
38822	54973	johanssonsoundsymbolic-Yangman	yang1288		blood	946	BLOOD		bulilil	b u l i l i l
41025	57176	johanssonsoundsymbolic-Yangman	yang1288		blowofwind	175	BLOW (OF WIND)		biljb	b i l j b
43191	59342	johanssonsoundsymbolic-Yangman	yang1288		blunt	379	BLUNT		njudjud	n j u d j u d
44694	60845	johanssonsoundsymbolic-Yangman	yang1288		body	1480	BODY		jinjejn	j i n j e j n
47042	63193	johanssonsoundsymbolic-Yangman	yang1288		bone	1394	BONE		wuɳe	w u ɳ e
51614	67765	johanssonsoundsymbolic-Yangman	yang1288		boy	1366	BOY		hula	h u l a
52998	69149	johanssonsoundsymbolic-Yangman	yang1288		brain	1583	BRAIN		gugudj	g u g u d j
57127	73280	johanssonsoundsymbolic-Yangman	yang1288		breast	1402	BREAST		ŋabulu	ŋ a b u l u
59035	75188	johanssonsoundsymbolic-Yangman	yang1288		breathe	1407	BREATHE		ŋewba	ŋ e w b a
64596	80749	johanssonsoundsymbolic-Yangman	yang1288		burn	2102	BURN		ba	b a
67890	84043	johanssonsoundsymbolic-Yangman	yang1288		buttocks	834	BUTTOCKS		daɹaŋ	d a ɹ a ŋ
73108	89261	johanssonsoundsymbolic-Yangman	yang1288		carry	700	CARRY		ga	g a
88025	104178	johanssonsoundsymbolic-Yangman	yang1288		clean	704	CLEAN		gaɭaɭ	g a ɭ a ɭ
91730	107883	johanssonsoundsymbolic-Yangman	yang1288		cloud	1489	CLOUD		maɭŋa	m a ɭ ŋ a
95320	111473	johanssonsoundsymbolic-Yangman	yang1288		cold	1287	COLD		gelelen	g e l e l e n
98985	115138	johanssonsoundsymbolic-Yangman	yang1288		come	1446	COME		njaŋa	n j a ŋ a
104996	121149	johanssonsoundsymbolic-Yangman	yang1288		correctright	1725	CORRECT (RIGHT)		jilgbaji	j i l g b a j i
106101	122254	johanssonsoundsymbolic-Yangman	yang1288		cough	879	COUGH		ŋedjuɭma	ŋ e d j u ɭ m a
110558	126711	johanssonsoundsymbolic-Yangman	yang1288		crooked	297	CROOKED		donjman	d o n j m a n
112127	128280	johanssonsoundsymbolic-Yangman	yang1288		crush	1520	CRUSH		djaljbug	d j a l j b u g
113089	129242	johanssonsoundsymbolic-Yangman	yang1288		cry	1839	CRY		lu	l u
118795	134948	johanssonsoundsymbolic-Yangman	yang1288		dark	706	DARK		moɾ	m o ɾ
121923	138078	johanssonsoundsymbolic-Yangman	yang1288		daynotnight	1225	DAY (NOT NIGHT)		didjbala	d i d j b a l a
124334	140489	johanssonsoundsymbolic-Yangman	yang1288		deep	1593	DEEP		dodban	d o d b a n
127210	143365	johanssonsoundsymbolic-Yangman	yang1288		die	1494	DIE		djemniji	d j e m n i j i
131830	147985	johanssonsoundsymbolic-Yangman	yang1288		dirty	1230	DIRTY		bulbuɹuwuɹu	b u l b u ɹ u w u ɹ u
134319	150474	johanssonsoundsymbolic-Yangman	yang1288		do	813	DO		jana	j a n a
135758	151913	johanssonsoundsymbolic-Yangman	yang1288		dog	2009	DOG		minini	m i n i n i
142226	158381	johanssonsoundsymbolic-Yangman	yang1288		drink	1401	DRINK		ndi	n d i
