	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
4017	20168	johanssonsoundsymbolic-Yangman	yang1288		back	1291	BACK		baŋgin	b a ŋ g i n
5138	21289	johanssonsoundsymbolic-Yangman	yang1288		bad	1292	BAD		waɾiŋun	w a ɾ i ŋ u n
8962	25113	johanssonsoundsymbolic-Yangman	yang1288		bark	1204	BARK		bamŋa	b a m ŋ a
13109	29260	johanssonsoundsymbolic-Yangman	yang1288		bealive	1422	BE ALIVE		jibi	j i b i
16395	32546	johanssonsoundsymbolic-Yangman	yang1288		because	1157	BECAUSE		wunjdjug	w u n j d j u g
23016	39167	johanssonsoundsymbolic-Yangman	yang1288		belly	1251	BELLY		medjem	m e d j e m
28063	44214	johanssonsoundsymbolic-Yangman	yang1288		big	1202	BIG		jidjad	j i d j a d
30435	46586	johanssonsoundsymbolic-Yangman	yang1288		bird	937	BIRD		djigdjig	d j i g d j i g
32794	48945	johanssonsoundsymbolic-Yangman	yang1288		bite	1403	BITE		Ia	i a
35408	51559	johanssonsoundsymbolic-Yangman	yang1288		black	163	BLACK		meleman	m e l e m a n
38822	54973	johanssonsoundsymbolic-Yangman	yang1288		blood	946	BLOOD		bulilil	b u l i l i l
41025	57176	johanssonsoundsymbolic-Yangman	yang1288		blowofwind	175	BLOW (OF WIND)		biljb	b i l j b
43191	59342	johanssonsoundsymbolic-Yangman	yang1288		blunt	379	BLUNT		njudjud	n j u d j u d
47042	63193	johanssonsoundsymbolic-Yangman	yang1288		bone	1394	BONE		wuɳe	w u ɳ e
59035	75188	johanssonsoundsymbolic-Yangman	yang1288		breathe	1407	BREATHE		ŋewba	ŋ e w b a
91730	107883	johanssonsoundsymbolic-Yangman	yang1288		cloud	1489	CLOUD		maɭŋa	m a ɭ ŋ a
98985	115138	johanssonsoundsymbolic-Yangman	yang1288		come	1446	COME		njaŋa	n j a ŋ a
104996	121149	johanssonsoundsymbolic-Yangman	yang1288		correctright	1725	CORRECT (RIGHT)		jilgbaji	j i l g b a j i
121923	138078	johanssonsoundsymbolic-Yangman	yang1288		daynotnight	1225	DAY (NOT NIGHT)		didjbala	d i d j b a l a
127210	143365	johanssonsoundsymbolic-Yangman	yang1288		die	1494	DIE		djemniji	d j e m n i j i
131830	147985	johanssonsoundsymbolic-Yangman	yang1288		dirty	1230	DIRTY		bulbuɹuwuɹu	b u l b u ɹ u w u ɹ u
135758	151913	johanssonsoundsymbolic-Yangman	yang1288		dog	2009	DOG		minini	m i n i n i
142226	158381	johanssonsoundsymbolic-Yangman	yang1288		drink	1401	DRINK		ndi	n d i
145858	162013	johanssonsoundsymbolic-Yangman	yang1288		dry	1398	DRY		baɭaɾg	b a ɭ a ɾ g
148829	164984	johanssonsoundsymbolic-Yangman	yang1288		dust	2	DUST		gondjon	g o n d j o n
151303	167458	johanssonsoundsymbolic-Yangman	yang1288		ear	1247	EAR		jidjeme	j i d j e m e
154219	170374	johanssonsoundsymbolic-Yangman	yang1288		earthsoil	1228	EARTH (SOIL)		gondjo	g o n d j o
156828	172983	johanssonsoundsymbolic-Yangman	yang1288		eat	1336	EAT		ŋu	ŋ u
159125	175283	johanssonsoundsymbolic-Yangman	yang1288		egg	744	EGG		djaɾug	d j a ɾ u g
169708	185866	johanssonsoundsymbolic-Yangman	yang1288		eye	1248	EYE		mum	m u m
173712	189871	johanssonsoundsymbolic-Yangman	yang1288		fall	1280	FALL		we	w e
175976	192135	johanssonsoundsymbolic-Yangman	yang1288		far	1406	FAR		baɹadj	b a ɹ a d j
182171	198331	johanssonsoundsymbolic-Yangman	yang1288		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		waɳaɾ	w a ɳ a ɾ
190048	222701	johanssonsoundsymbolic-Yangman	yang1288		flower	239	FLOWER		ŋajal	ŋ a j a l
192966	225619	johanssonsoundsymbolic-Yangman	yang1288		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		waɭŋin	w a ɭ ŋ i n
196302	228955	johanssonsoundsymbolic-Yangman	yang1288		foot	1301	FOOT		jidjeŋ	j i d j e ŋ
202633	235286	johanssonsoundsymbolic-Yangman	yang1288		four	1500	FOUR		ŋawuɳen	ŋ a w u ɳ e n
214735	247388	johanssonsoundsymbolic-Yangman	yang1288		give	1447	GIVE		wo	w o
220864	253520	johanssonsoundsymbolic-Yangman	yang1288		good	1035	GOOD		man	m a n
226292	258948	johanssonsoundsymbolic-Yangman	yang1288		grass	606	GRASS		wolon	w o l o n
228642	261298	johanssonsoundsymbolic-Yangman	yang1288		green	1425	GREEN		moɾolŋ	m o ɾ o l ŋ
234664	267320	johanssonsoundsymbolic-Yangman	yang1288		hair	1040	HAIR		djili	d j i l i
