	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
3954	20105	johanssonsoundsymbolic-Ninam	nina1238		back	1291	BACK		jaip	j a i p
5073	21224	johanssonsoundsymbolic-Ninam	nina1238		bad	1292	BAD		wãɾihiki	w ã ɾ i h i k i
8907	25058	johanssonsoundsymbolic-Ninam	nina1238		bark	1204	BARK		piɾi_si	p i ɾ i + s i
13049	29200	johanssonsoundsymbolic-Ninam	nina1238		bealive	1422	BE ALIVE		temi	t e m i
15789	31940	johanssonsoundsymbolic-Ninam	nina1238		beautiful	1427	BEAUTIFUL		taam_totihi	t aː m + t o t i h i
16356	32507	johanssonsoundsymbolic-Ninam	nina1238		because	1157	BECAUSE		keteen	k e t eː n
19293	35444	johanssonsoundsymbolic-Ninam	nina1238		before	1882	BEFORE		paɾɯk_həm	p a ɾ ɯ k + h ə m
20529	36680	johanssonsoundsymbolic-Ninam	nina1238		behind	1686	BEHIND		jaip_həm	j a i p + h ə m
22950	39101	johanssonsoundsymbolic-Ninam	nina1238		belly	1251	BELLY		piɾi_simosi	p i ɾ i + s i m o s i
24585	40736	johanssonsoundsymbolic-Ninam	nina1238		beloworunder	1485	BELOW OR UNDER		pepihə	p e p i h ə
25793	41944	johanssonsoundsymbolic-Ninam	nina1238		beside	1816	BESIDE		hooɾo	h oː ɾ o
27993	44144	johanssonsoundsymbolic-Ninam	nina1238		big	1202	BIG		pata	p a t a
32726	48877	johanssonsoundsymbolic-Ninam	nina1238		bite	1403	BITE		soa	s o a
33858	50009	johanssonsoundsymbolic-Ninam	nina1238		bitter	887	BITTER		koami	k o a m i
35340	51491	johanssonsoundsymbolic-Ninam	nina1238		black	163	BLACK		ɯʃi	ɯ ʃ i
38753	54904	johanssonsoundsymbolic-Ninam	nina1238		blood	946	BLOOD		ĩep	ĩ e p
40964	57115	johanssonsoundsymbolic-Ninam	nina1238		blowofwind	175	BLOW (OF WIND)		hoɾa	h o ɾ a
42119	58270	johanssonsoundsymbolic-Ninam	nina1238		blue	837	BLUE		ɯʃi	ɯ ʃ i
43142	59293	johanssonsoundsymbolic-Ninam	nina1238		blunt	379	BLUNT		pɯsi	p ɯ s i
44635	60786	johanssonsoundsymbolic-Ninam	nina1238		body	1480	BODY		piɾi_jai	p i ɾ i + j a i
46977	63128	johanssonsoundsymbolic-Ninam	nina1238		bone	1394	BONE		piɾi_thɯ̃	p i ɾ i + tʰ ɯ̃
51558	67709	johanssonsoundsymbolic-Ninam	nina1238		boy	1366	BOY		wãɾo_oʃe	w ã ɾ o + o ʃ e
52950	69101	johanssonsoundsymbolic-Ninam	nina1238		brain	1583	BRAIN		ĩoʃip	ĩ o ʃ i p
57064	73217	johanssonsoundsymbolic-Ninam	nina1238		breast	1402	BREAST		thɯpək	tʰ ɯ p ə k
58981	75134	johanssonsoundsymbolic-Ninam	nina1238		breathe	1407	BREATHE		hẽɾeheɾekmo	h ẽ ɾ e h e ɾ e k m o
