	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
8907	25058	johanssonsoundsymbolic-Ninam	nina1238		bark	1204	BARK		piɾi_si	p i ɾ i + s i
22950	39101	johanssonsoundsymbolic-Ninam	nina1238		belly	1251	BELLY		piɾi_simosi	p i ɾ i + s i m o s i
27993	44144	johanssonsoundsymbolic-Ninam	nina1238		big	1202	BIG		pata	p a t a
32726	48877	johanssonsoundsymbolic-Ninam	nina1238		bite	1403	BITE		soa	s o a
35340	51491	johanssonsoundsymbolic-Ninam	nina1238		black	163	BLACK		ɯʃi	ɯ ʃ i
38753	54904	johanssonsoundsymbolic-Ninam	nina1238		blood	946	BLOOD		ĩep	ĩ e p
46977	63128	johanssonsoundsymbolic-Ninam	nina1238		bone	1394	BONE		piɾi_thɯ̃	p i ɾ i + tʰ ɯ̃
57064	73217	johanssonsoundsymbolic-Ninam	nina1238		breast	1402	BREAST		thɯpək	tʰ ɯ p ə k
64534	80687	johanssonsoundsymbolic-Ninam	nina1238		burn	2102	BURN		ĩʃia_ma	ĩ ʃ i a + m a
91672	107825	johanssonsoundsymbolic-Ninam	nina1238		cloud	1489	CLOUD		wakiʃi	w a k i ʃ i
95255	111408	johanssonsoundsymbolic-Ninam	nina1238		cold	1287	COLD		watɯtɯ	w a t ɯ t ɯ
98918	115071	johanssonsoundsymbolic-Ninam	nina1238		come	1446	COME		hɯima	h ɯ i m a
127141	143296	johanssonsoundsymbolic-Ninam	nina1238		die	1494	DIE		hɯʃmi	h ɯ ʃ m i
135690	151845	johanssonsoundsymbolic-Ninam	nina1238		dog	2009	DOG		okoɾo	o k o ɾ o
142159	158314	johanssonsoundsymbolic-Ninam	nina1238		drink	1401	DRINK		koa	k o a
145795	161950	johanssonsoundsymbolic-Ninam	nina1238		dry	1398	DRY		wehe	w e h e
151236	167391	johanssonsoundsymbolic-Ninam	nina1238		ear	1247	EAR		jɯ̃mɯk	j ɯ̃ m ɯ k
154155	170310	johanssonsoundsymbolic-Ninam	nina1238		earthsoil	1228	EARTH (SOIL)		maʃithak	m a ʃ i tʰ a k
156758	172913	johanssonsoundsymbolic-Ninam	nina1238		eat	1336	EAT		wa	w a
159066	175224	johanssonsoundsymbolic-Ninam	nina1238		egg	744	EGG		kaɾaka_thethepək	k a ɾ a k a + tʰ e tʰ e p ə k
169639	185797	johanssonsoundsymbolic-Ninam	nina1238		eye	1248	EYE		piɾi_mamo	p i ɾ i + m a m o
182117	198277	johanssonsoundsymbolic-Ninam	nina1238		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		ɯ̃ta	ɯ̃ t a
184961	201121	johanssonsoundsymbolic-Ninam	nina1238		feather	1201	FEATHER		ãhɯk	ã h ɯ k
192912	225565	johanssonsoundsymbolic-Ninam	nina1238		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		ɾõ	ɾ õ
196237	228890	johanssonsoundsymbolic-Ninam	nina1238		foot	1301	FOOT		mãhɯk	m ã h ɯ k
209328	241981	johanssonsoundsymbolic-Ninam	nina1238		full	1429	FULL		ehethe	e h e tʰ e
214666	247319	johanssonsoundsymbolic-Ninam	nina1238		give	1447	GIVE		hipi	h i p i
220797	253453	johanssonsoundsymbolic-Ninam	nina1238		good	1035	GOOD		totihi	t o t i h i
228583	261239	johanssonsoundsymbolic-Ninam	nina1238		green	1425	GREEN		paɾahi	p a ɾ a h i
234598	267254	johanssonsoundsymbolic-Ninam	nina1238		hair	1040	HAIR		ʃinak	ʃ i n a k
