	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
4018	20169	johanssonsoundsymbolic-Yareba	yare1248		back	1291	BACK		de̞ɾe̞na	d e̞ ɾ e̞ n a
5139	21290	johanssonsoundsymbolic-Yareba	yare1248		bad	1292	BAD		sio̞sa	s i o̞ s a
8963	25114	johanssonsoundsymbolic-Yareba	yare1248		bark	1204	BARK		ana_o̞ɸe̞	a n a + o̞ ɸ e̞
13110	29261	johanssonsoundsymbolic-Yareba	yare1248		bealive	1422	BE ALIVE		me̞_ibinu	m e̞ + i b i n u
16396	32547	johanssonsoundsymbolic-Yareba	yare1248		because	1157	BECAUSE		ba	b a
23017	39168	johanssonsoundsymbolic-Yareba	yare1248		belly	1251	BELLY		de̞sini	d e̞ s i n i
28064	44215	johanssonsoundsymbolic-Yareba	yare1248		big	1202	BIG		de̞ɾa	d e̞ ɾ a
30436	46587	johanssonsoundsymbolic-Yareba	yare1248		bird	937	BIRD		gasiɾa	g a s i ɾ a
32795	48946	johanssonsoundsymbolic-Yareba	yare1248		bite	1403	BITE		asinu	a s i n u
35409	51560	johanssonsoundsymbolic-Yareba	yare1248		black	163	BLACK		dubawaɾu	d u b a w a ɾ u
38823	54974	johanssonsoundsymbolic-Yareba	yare1248		blood	946	BLOOD		iwa	i w a
41026	57177	johanssonsoundsymbolic-Yareba	yare1248		blowofwind	175	BLOW (OF WIND)		ubutasu	u b u t a s u
43192	59343	johanssonsoundsymbolic-Yareba	yare1248		blunt	379	BLUNT		bado̞mu	b a d o̞ m u
47043	63194	johanssonsoundsymbolic-Yareba	yare1248		bone	1394	BONE		tai	t a i
59036	75189	johanssonsoundsymbolic-Yareba	yare1248		breathe	1407	BREATHE		ne̞no̞_sanasu	n e̞ n o̞ + s a n a s u
91731	107884	johanssonsoundsymbolic-Yareba	yare1248		cloud	1489	CLOUD		go̞so̞	g o̞ s o̞
98986	115139	johanssonsoundsymbolic-Yareba	yare1248		come	1446	COME		aɾasu	a ɾ a s u
104997	121150	johanssonsoundsymbolic-Yareba	yare1248		correctright	1725	CORRECT (RIGHT)		ba	b a
121924	138079	johanssonsoundsymbolic-Yareba	yare1248		daynotnight	1225	DAY (NOT NIGHT)		ko̞wa	k o̞ w a
127211	143366	johanssonsoundsymbolic-Yareba	yare1248		die	1494	DIE		uitasu	u i t a s u
131831	147986	johanssonsoundsymbolic-Yareba	yare1248		dirty	1230	DIRTY		igabuga	i g a b u g a
135759	151914	johanssonsoundsymbolic-Yareba	yare1248		dog	2009	DOG		kua	k u a
142227	158382	johanssonsoundsymbolic-Yareba	yare1248		drink	1401	DRINK		o̞go̞_itasu	o̞ g o̞ + i t a s u
145859	162014	johanssonsoundsymbolic-Yareba	yare1248		dry	1398	DRY		ɾaɾaɾa	ɾ a ɾ a ɾ a
148830	164985	johanssonsoundsymbolic-Yareba	yare1248		dust	2	DUST		iɸuɾu_aɸuɾu	i ɸ u ɾ u + a ɸ u ɾ u
151304	167459	johanssonsoundsymbolic-Yareba	yare1248		ear	1247	EAR		o̞me̞	o̞ m e̞
154220	170375	johanssonsoundsymbolic-Yareba	yare1248		earthsoil	1228	EARTH (SOIL)		nasini	n a s i n i
156829	172984	johanssonsoundsymbolic-Yareba	yare1248		eat	1336	EAT		itasu	i t a s u
159126	175284	johanssonsoundsymbolic-Yareba	yare1248		egg	744	EGG		baka	b a k a
169709	185867	johanssonsoundsymbolic-Yareba	yare1248		eye	1248	EYE		diti	d i t i
173713	189872	johanssonsoundsymbolic-Yareba	yare1248		fall	1280	FALL		uɾe̞itasu	u ɾ e̞ i t a s u
175977	192136	johanssonsoundsymbolic-Yareba	yare1248		far	1406	FAR		jaɸawe̞ɾe̞	j a ɸ a w e̞ ɾ e̞
182172	198332	johanssonsoundsymbolic-Yareba	yare1248		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		ke̞we̞a	k e̞ w e̞ a
185020	201180	johanssonsoundsymbolic-Yareba	yare1248		feather	1201	FEATHER		to̞ta	t o̞ t a
190049	222702	johanssonsoundsymbolic-Yareba	yare1248		flower	239	FLOWER		sigina	s i g i n a
192967	225620	johanssonsoundsymbolic-Yareba	yare1248		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		do̞we̞ɾe̞	d o̞ w e̞ ɾ e̞
196303	228956	johanssonsoundsymbolic-Yareba	yare1248		foot	1301	FOOT		buɾi	b u ɾ i
202634	235287	johanssonsoundsymbolic-Yareba	yare1248		four	1500	FOUR		mui_sade̞i_e̞no̞_mui_sade̞i	m u i + s a d e̞ i + e̞ n o̞ + m u i + s a d e̞ i
214736	247389	johanssonsoundsymbolic-Yareba	yare1248		give	1447	GIVE		matasu	m a t a s u
220865	253521	johanssonsoundsymbolic-Yareba	yare1248		good	1035	GOOD		ko̞to̞ɸuɾau	k o̞ t o̞ ɸ u ɾ a u
226293	258949	johanssonsoundsymbolic-Yareba	yare1248		grass	606	GRASS		ko̞e̞	k o̞ e̞
228643	261299	johanssonsoundsymbolic-Yareba	yare1248		green	1425	GREEN		o̞ɾawo̞	o̞ ɾ a w o̞
234665	267321	johanssonsoundsymbolic-Yareba	yare1248		hair	1040	HAIR		idzi	i d z i
238509	271165	johanssonsoundsymbolic-Yareba	yare1248		hand	1277	HAND		age̞	a g e̞
244063	276720	johanssonsoundsymbolic-Yareba	yare1248		head	1256	HEAD		ko̞ɸiɾi	k o̞ ɸ i ɾ i
246994	279651	johanssonsoundsymbolic-Yareba	yare1248		hear	1408	HEAR		nautasu	n a u t a s u
248588	281245	johanssonsoundsymbolic-Yareba	yare1248		heart	1223	HEART		ne̞no̞	n e̞ n o̞
250751	283408	johanssonsoundsymbolic-Yareba	yare1248		heavy	1210	HEAVY		uɾuma	u ɾ u m a
254575	287234	johanssonsoundsymbolic-Yareba	yare1248		here	136	HERE		ido̞	i d o̞
258839	291499	johanssonsoundsymbolic-Yareba	yare1248		hit	1433	HIT		uɾasu	u ɾ a s u
268959	301619	johanssonsoundsymbolic-Yareba	yare1248		how	1239	HOW		ane̞ne̞	a n e̞ n e̞
274815	307475	johanssonsoundsymbolic-Yareba	yare1248		i	1209	I		na	n a
276835	309495	johanssonsoundsymbolic-Yareba	yare1248		if	1459	IF		na	n a
278136	310796	johanssonsoundsymbolic-Yareba	yare1248		in	1460	IN		ubaɾe̞	u b a ɾ e̞
287653	320313	johanssonsoundsymbolic-Yareba	yare1248		kill	1417	KILL		uɾe̞_takana	u ɾ e̞ + t a k a n a
