	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
4019	20170	johanssonsoundsymbolic-Yawa	nucl1454		back	1291	BACK		akiɾin	a k i ɾ i n
5140	21291	johanssonsoundsymbolic-Yawa	nucl1454		bad	1292	BAD		kakai_mo̞ane̞ve̞	k a k a i + m o̞ a n e̞ v e̞
8964	25115	johanssonsoundsymbolic-Yawa	nucl1454		bark	1204	BARK		njo̞_ke̞a	n j o̞ + k e̞ a
13111	29262	johanssonsoundsymbolic-Yawa	nucl1454		bealive	1422	BE ALIVE		ko̞v	k o̞ v
15835	31986	johanssonsoundsymbolic-Yawa	nucl1454		beautiful	1427	BEAUTIFUL		ko̞dave̞	k o̞ d a v e̞
16397	32548	johanssonsoundsymbolic-Yawa	nucl1454		because	1157	BECAUSE		we̞je̞	w e̞ j e̞
19340	35491	johanssonsoundsymbolic-Yawa	nucl1454		before	1882	BEFORE		pana	p a n a
20588	36739	johanssonsoundsymbolic-Yawa	nucl1454		behind	1686	BEHIND		akiɾi	a k i ɾ i
23018	39169	johanssonsoundsymbolic-Yawa	nucl1454		belly	1251	BELLY		kaɾam	k a ɾ a m
24642	40793	johanssonsoundsymbolic-Yawa	nucl1454		beloworunder	1485	BELOW OR UNDER		ate̞	a t e̞
25833	41984	johanssonsoundsymbolic-Yawa	nucl1454		beside	1816	BESIDE		ɾani	ɾ a n i
26537	42688	johanssonsoundsymbolic-Yawa	nucl1454		between	689	BETWEEN		jasjin	j a s j i n
28065	44216	johanssonsoundsymbolic-Yawa	nucl1454		big	1202	BIG		manako̞e̞	m a n a k o̞ e̞
30437	46588	johanssonsoundsymbolic-Yawa	nucl1454		bird	937	BIRD		insani	i n s a n i
32796	48947	johanssonsoundsymbolic-Yawa	nucl1454		bite	1403	BITE		ɾatao̞	ɾ a t a o̞
33912	50063	johanssonsoundsymbolic-Yawa	nucl1454		bitter	887	BITTER		paɾiman	p a ɾ i m a n
35410	51561	johanssonsoundsymbolic-Yawa	nucl1454		black	163	BLACK		kaɾisja	k a ɾ i s j a
38824	54975	johanssonsoundsymbolic-Yawa	nucl1454		blood	946	BLOOD		mavu	m a v u
41027	57178	johanssonsoundsymbolic-Yawa	nucl1454		blowofwind	175	BLOW (OF WIND)		ɾampunae̞	ɾ a m p u n a e̞
42174	58325	johanssonsoundsymbolic-Yawa	nucl1454		blue	837	BLUE		ke̞ke̞	k e̞ k e̞
43193	59344	johanssonsoundsymbolic-Yawa	nucl1454		blunt	379	BLUNT		kavuɾ	k a v u ɾ
44696	60847	johanssonsoundsymbolic-Yawa	nucl1454		body	1480	BODY		anasin	a n a s i n
47044	63195	johanssonsoundsymbolic-Yawa	nucl1454		bone	1394	BONE		pae̞	p a e̞
51616	67767	johanssonsoundsymbolic-Yawa	nucl1454		boy	1366	BOY		mansae̞_anja	m a n s a e̞ + a n j a
53000	69151	johanssonsoundsymbolic-Yawa	nucl1454		brain	1583	BRAIN		akaɾi_kuga	a k a ɾ i + k u g a
57129	73282	johanssonsoundsymbolic-Yawa	nucl1454		breast	1402	BREAST		ukam	u k a m
59037	75190	johanssonsoundsymbolic-Yawa	nucl1454		breathe	1407	BREATHE		anawajo̞anto̞	a n a w a j o̞ a n t o̞
64598	80751	johanssonsoundsymbolic-Yawa	nucl1454		burn	2102	BURN		ɾame̞ɾ	ɾ a m e̞ ɾ
67892	84045	johanssonsoundsymbolic-Yawa	nucl1454		buttocks	834	BUTTOCKS		ate̞_pugam	a t e̞ + p u g a m
73110	89263	johanssonsoundsymbolic-Yawa	nucl1454		carry	700	CARRY		ɾaugav	ɾ a u g a v
