	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
9485	25636	wold-Ket	kett1243		bark	1204	BARK		iŋolt	i ŋ o ɮ t
23868	40019	wold-Ket	kett1243		belly	1251	BELLY		hɯ̄j	h ɯ j
29086	45237	wold-Ket	kett1243		big	1202	BIG		qaˀ	q aˀ
31444	47595	wold-Ket	kett1243		bird	937	BIRD		keŋassel	k e ŋ a sː e ɮ
33535	49686	wold-Ket	kett1243		bite	1403	BITE		laptaq	ɮ a p t a q
36056	52207	wold-Ket	kett1243		black	163	BLACK		tūm	t u m
39797	55948	wold-Ket	kett1243		blood	946	BLOOD		sūl	s u ɮ
48051	64202	wold-Ket	kett1243		bone	1394	BONE		aˀt	aˀ t
58099	74252	wold-Ket	kett1243		breast	1402	BREAST		maˀm	m aˀ m
87343	103496	wold-Ket	kett1243		claw	72	CLAW		ìn	i n
92515	108668	wold-Ket	kett1243		cloud	1489	CLOUD		espul	e s p u ɮ
96295	112448	wold-Ket	kett1243		cold	1287	COLD		qaqtɯm	q a q t ɯ m
99994	116147	wold-Ket	kett1243		come	1446	COME		igbes	i g b e s
128109	144264	wold-Ket	kett1243		die	1494	DIE		qoreŋ	q o r e ŋ
136775	152930	wold-Ket	kett1243		dog	2009	DOG		tīp	t i p
142833	158988	wold-Ket	kett1243		drink	1401	DRINK		dop	d o p
146443	162598	wold-Ket	kett1243		dry	1398	DRY		toʁojiŋ	t o ʁ o j i ŋ
152305	168460	wold-Ket	kett1243		ear	1247	EAR		ogde	o g d e
154774	170929	wold-Ket	kett1243		earthsoil	1228	EARTH (SOIL)		baˀŋ	b aˀ ŋ
157691	173849	wold-Ket	kett1243		eat	1336	EAT		sìj	s i j
160087	176245	wold-Ket	kett1243		egg	744	EGG		eˀj	eˀ j
170733	186891	wold-Ket	kett1243		eye	1248	EYE		dēs	d e s
182727	198887	wold-Ket	kett1243		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		kiˀt	k iˀ t
185511	201671	wold-Ket	kett1243		feather	1201	FEATHER		às	a s
193559	226212	wold-Ket	kett1243		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		dòq	d o q
196941	229594	wold-Ket	kett1243		foot	1301	FOOT		kiˀs	k iˀ s
210016	242669	wold-Ket	kett1243		full	1429	FULL		qō	q o
215696	248349	wold-Ket	kett1243		give	1447	GIVE		qəreŋ	q ə r e ŋ
221866	254522	wold-Ket	kett1243		good	1035	GOOD		aqta	a q t a
229290	261946	wold-Ket	kett1243		green	1425	GREEN		qəlaj	q ə ɮ a j
239224	271880	wold-Ket	kett1243		hand	1277	HAND		laŋat	ɮ a ŋ a t
245121	277778	wold-Ket	kett1243		head	1256	HEAD		kəjga	k ə j g a
247914	280571	wold-Ket	kett1243		hear	1408	HEAR		eqsaq	e q s a q
249262	281919	wold-Ket	kett1243		heart	1223	HEART		huu	h uː
263906	296566	wold-Ket	kett1243		hornanatomy	1393	HORN (ANATOMY)		qoˀ	q oˀ
275527	308187	wold-Ket	kett1243		i	1209	I		āt	a t
288340	321000	wold-Ket	kett1243		kill	1417	KILL		èj	e j
291234	323894	wold-Ket	kett1243		knee	1371	KNEE		batpul	b a t p u ɮ
294877	327537	wold-Ket	kett1243		knowsomething	1410	KNOW (SOMETHING)		it_-_am	i t + a m
303213	335873	wold-Ket	kett1243		leaf	628	LEAF		əə	əː
317687	350347	wold-Ket	kett1243		liver	1224	LIVER		sēŋ	s e ŋ
320739	353399	wold-Ket	kett1243		long	1203	LONG		ugde	u g d e
331487	364148	wold-Ket	kett1243		man	1554	MAN		keˀt	k eˀ t
332955	365616	wold-Ket	kett1243		many	1198	MANY		oˀn	oˀ n
345519	378180	wold-Ket	kett1243		moon	1313	MOON		qīp	q i p
354518	387182	wold-Ket	kett1243		mouth	674	MOUTH		qō	q o
359348	392014	wold-Ket	kett1243		name	1405	NAME		ī	i
365793	398460	wold-Ket	kett1243		neck	1333	NECK		kə̄qt	k ə q t
369690	402357	wold-Ket	kett1243		new	1231	NEW		kiˀ	k iˀ
372633	405300	wold-Ket	kett1243		night	1233	NIGHT		sī	s i
378513	411180	wold-Ket	kett1243		nose	1221	NOSE		olən	o ɮ ə n
379576	412243	wold-Ket	kett1243		not	1240	NOT		bə̄n	b ə n
390784	423451	wold-Ket	kett1243		one	1493	ONE		qoˀk	q oˀ k
390785	423452	wold-Ket	kett1243		one	1493	ONE		qūs	q u s
406922	439589	wold-Ket	kett1243		person	683	PERSON		keˀt	k eˀ t
433347	466015	wold-Ket	kett1243		red	156	RED		sulej	s u ɮ e j
441752	474421	wold-Ket	kett1243		road	667	ROAD		qoˀt	q oˀ t
445401	478070	wold-Ket	kett1243		root	670	ROOT		tìr	t i r
449364	482033	wold-Ket	kett1243		round	1395	ROUND		kruglaj	k r u g ɮ a j
457404	490073	wold-Ket	kett1243		sand	671	SAND		hənaŋ	h ə n a ŋ
459988	492657	wold-Ket	kett1243		say	1458	SAY		saɣabet	s a ɣ a b e t
466204	498874	wold-Ket	kett1243		see	1409	SEE		tōŋ	t o ŋ
467340	500010	wold-Ket	kett1243		seed	714	SEED		īm	i m
491372	524044	wold-Ket	kett1243		sit	1416	SIT		ūŋ	u ŋ
495766	528438	wold-Ket	kett1243		skin	763	SKIN		iŋolt	i ŋ o ɮ t
500348	533021	wold-Ket	kett1243		sleep	1585	SLEEP		usen	u s e n
503992	536666	wold-Ket	kett1243		small	1246	SMALL		həna	h ə n a
508248	540924	wold-Ket	kett1243		smokeexhaust	778	SMOKE (EXHAUST)		duˀ	d uˀ
530903	563579	wold-Ket	kett1243		stand	1442	STAND		īn	i n
533270	565946	wold-Ket	kett1243		star	1430	STAR		qòʁ	q o ʁ
549389	582066	wold-Ket	kett1243		sun	1343	SUN		ī	i
555820	588497	wold-Ket	kett1243		swim	1439	SWIM		sùj	s u j
558705	591382	wold-Ket	kett1243		tail	1220	TAIL		huut	h uː t
558706	591383	wold-Ket	kett1243		tail	1220	TAIL		hiˀs	h iˀ s
558707	591384	wold-Ket	kett1243		tail	1220	TAIL		horap	h o r a p
567700	600379	wold-Ket	kett1243		that	78	THAT		ture	t u r e
567701	600380	wold-Ket	kett1243		that	78	THAT		qare	q a r e
578782	611462	wold-Ket	kett1243		this	1214	THIS		kire	k i r e
581037	613720	wold-Ket	kett1243		thou	1215	THOU		ū	u
597409	630096	wold-Ket	kett1243		tongue	1205	TONGUE		ēj	e j
