	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
4211	20362	northeuralex-ykg	nort2745		back	1291	BACK		t͡ʃumur	tʃ u m u r
4213	20364	northeuralex-yux	sout2750		back	1291	BACK		uɡur	u g u r
5356	21507	northeuralex-ykg	nort2745		bad	1292	BAD		nʲaːrt͡ʃidʲe	nʲ aː r tʃ i dʲ e
5358	21509	northeuralex-yux	sout2750		bad	1292	BAD		eruː	e r uː
9210	25361	northeuralex-ykg	nort2745		bark	1204	BARK		xaldawe	x a l d a w e
9211	25362	northeuralex-ykg	nort2745		bark	1204	BARK		saːnxaldewe	s aː n x a l d e w e
9213	25364	northeuralex-yux	sout2750		bark	1204	BARK		ʃɑːnχɑːr	ʃ ɑː n χ ɑː r
13397	29548	northeuralex-ykg	nort2745		bealive	1422	BE ALIVE		enʲdʲe	e nʲ dʲ e
13398	29549	northeuralex-ykg	nort2745		bealive	1422	BE ALIVE		ennu-	e n n u
13401	29552	northeuralex-yux	sout2750		bealive	1422	BE ALIVE		eɲɲə	e ɲ ɲ ə
13402	29553	northeuralex-yux	sout2750		bealive	1422	BE ALIVE		ʎə	ʎ ə
23219	39370	northeuralex-ykg	nort2745		belly	1251	BELLY		monʲil	m o nʲ i l
23221	39372	northeuralex-yux	sout2750		belly	1251	BELLY		iril	i r i l
25706	41857	northeuralex-ykg	nort2745		berry	904	BERRY		pureː	p u r eː
25708	41859	northeuralex-yux	sout2750		berry	904	BERRY		lebejdiː	l e b e j d iː
28370	44521	northeuralex-ykg	nort2745		big	1202	BIG		t͡ʃama	tʃ a m a
28371	44522	northeuralex-ykg	nort2745		big	1202	BIG		t͡ʃamuonʲ	tʃ a m u o nʲ
28373	44524	northeuralex-yux	sout2750		big	1202	BIG		t͡ʃomoː	tʃ o m oː
28374	44525	northeuralex-yux	sout2750		big	1202	BIG		ʎœŋɲə	ʎ œ ŋ ɲ ə
30710	46861	northeuralex-ykg	nort2745		bird	937	BIRD		t͡ʃireme	tʃ i r e m e
30711	46862	northeuralex-ykg	nort2745		bird	937	BIRD		ujenʲejrukun	u j e nʲ e j r u k u n
30713	46864	northeuralex-yux	sout2750		bird	937	BIRD		nodo	n o d o
