	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
4006	20157	johanssonsoundsymbolic-Wappo	wapp1239		back	1291	BACK		kʔul̪ih	k ʔ u l̪ i h
5127	21278	johanssonsoundsymbolic-Wappo	wapp1239		bad	1292	BAD		ʔuwa	ʔ u w a
8953	25104	johanssonsoundsymbolic-Wappo	wapp1239		bark	1204	BARK		t̪s̪ʔekʔma	ts̪ ʔ e k ʔ m a
13099	29250	johanssonsoundsymbolic-Wappo	wapp1239		bealive	1422	BE ALIVE		huhʃiʔ	h u h ʃ i ʔ
23005	39156	johanssonsoundsymbolic-Wappo	wapp1239		belly	1251	BELLY		kʔitʔa	k ʔ i t ʔ a
28051	44202	johanssonsoundsymbolic-Wappo	wapp1239		big	1202	BIG		tutʃʔaakhiʔ	t u tʃ ʔ aː kʰ i ʔ
30423	46574	johanssonsoundsymbolic-Wappo	wapp1239		bird	937	BIRD		t̪s̪ʔit̪s̪ʔa	ts̪ ʔ i ts̪ ʔ a
32782	48933	johanssonsoundsymbolic-Wappo	wapp1239		bite	1403	BITE		n̪aʔkʔaʃiʔ	n̪ a ʔ k ʔ a ʃ i ʔ
35397	51548	johanssonsoundsymbolic-Wappo	wapp1239		black	163	BLACK		t̪s̪oowe	ts̪ oː w e
38811	54962	johanssonsoundsymbolic-Wappo	wapp1239		blood	946	BLOOD		n̪eph	n̪ e pʰ
41014	57165	johanssonsoundsymbolic-Wappo	wapp1239		blowofwind	175	BLOW (OF WIND)		phujiʔ	pʰ u j i ʔ
43183	59334	johanssonsoundsymbolic-Wappo	wapp1239		blunt	379	BLUNT		hupomis̪	h u p o m i s̪
47030	63181	johanssonsoundsymbolic-Wappo	wapp1239		bone	1394	BONE		t̪s̪ʔiti	ts̪ ʔ i t i
59025	75178	johanssonsoundsymbolic-Wappo	wapp1239		breathe	1407	BREATHE		mehʃikʔs̪eʔ	m e h ʃ i k ʔ s̪ e ʔ
91719	107872	johanssonsoundsymbolic-Wappo	wapp1239		cloud	1489	CLOUD		t̪s̪ʔum	ts̪ ʔ u m
98974	115127	johanssonsoundsymbolic-Wappo	wapp1239		come	1446	COME		tʃoh	tʃ o h
104987	121140	johanssonsoundsymbolic-Wappo	wapp1239		correctright	1725	CORRECT (RIGHT)		mehn̪itʔa	m e h n̪ i t ʔ a
