	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
3871	20022	johanssonsoundsymbolic-Ayoreo	ayor1240		back	1291	BACK		giidobooi	g iː d o b oː i
4982	21133	johanssonsoundsymbolic-Ayoreo	ayor1240		bad	1292	BAD		siin̥aai	s iː n̥ aː i
8824	24975	johanssonsoundsymbolic-Ayoreo	ayor1240		bark	1204	BARK		pooɾaooi	p oː ɾ a oː i
12964	29115	johanssonsoundsymbolic-Ayoreo	ayor1240		bealive	1422	BE ALIVE		eekai	eː k a i
15728	31879	johanssonsoundsymbolic-Ayoreo	ayor1240		beautiful	1427	BEAUTIFUL		ueɾaadi	u e ɾ aː d i
16301	32452	johanssonsoundsymbolic-Ayoreo	ayor1240		because	1157	BECAUSE		uheeʔ	u h eː ʔ
19218	35369	johanssonsoundsymbolic-Ayoreo	ayor1240		before	1882	BEFORE		ikaiteʔ	i k a i t e ʔ
20453	36604	johanssonsoundsymbolic-Ayoreo	ayor1240		behind	1686	BEHIND		kigaadeʔ	k i g aː d e ʔ
22856	39007	johanssonsoundsymbolic-Ayoreo	ayor1240		belly	1251	BELLY		aheei	a h eː i
24512	40663	johanssonsoundsymbolic-Ayoreo	ayor1240		beloworunder	1485	BELOW OR UNDER		n̥umi	n̥ u m i
25736	41887	johanssonsoundsymbolic-Ayoreo	ayor1240		beside	1816	BESIDE		gaadoi	g aː d o i
27896	44047	johanssonsoundsymbolic-Ayoreo	ayor1240		big	1202	BIG		keɾuui	k e ɾ uː i
30289	46440	johanssonsoundsymbolic-Ayoreo	ayor1240		bird	937	BIRD		tʃuŋupeɾẽ	tʃ u ŋ u p e ɾ ẽ
32637	48788	johanssonsoundsymbolic-Ayoreo	ayor1240		bite	1403	BITE		igaaseʔ	i g aː s e ʔ
33782	49933	johanssonsoundsymbolic-Ayoreo	ayor1240		bitter	887	BITTER		iɾiŋoi	i ɾ i ŋ o i
35247	51398	johanssonsoundsymbolic-Ayoreo	ayor1240		black	163	BLACK		utatai	u t a t a i
38659	54810	johanssonsoundsymbolic-Ayoreo	ayor1240		blood	946	BLOOD		ijoi	i j o i
40885	57036	johanssonsoundsymbolic-Ayoreo	ayor1240		blowofwind	175	BLOW (OF WIND)		ubutʃu	u b u tʃ u
42054	58205	johanssonsoundsymbolic-Ayoreo	ayor1240		blue	837	BLUE		naaŋanataai	n aː ŋ a n a t aː i
43082	59233	johanssonsoundsymbolic-Ayoreo	ayor1240		blunt	379	BLUNT		pakaai	p a k aː i
44550	60701	johanssonsoundsymbolic-Ayoreo	ayor1240		body	1480	BODY		gaaj	g aː j
46888	63039	johanssonsoundsymbolic-Ayoreo	ayor1240		bone	1394	BONE		an̥okeei	a n̥ o k eː i
51473	67624	johanssonsoundsymbolic-Ayoreo	ayor1240		boy	1366	BOY		diisi	d iː s i
52879	69030	johanssonsoundsymbolic-Ayoreo	ayor1240		brain	1583	BRAIN		taɾooi	t a ɾ oː i
56975	73128	johanssonsoundsymbolic-Ayoreo	ayor1240		breast	1402	BREAST		in̥a	i n̥ a
58914	75067	johanssonsoundsymbolic-Ayoreo	ayor1240		breathe	1407	BREATHE		uɲ̊aɾi	u ɲ̊ a ɾ i
64451	80604	johanssonsoundsymbolic-Ayoreo	ayor1240		burn	2102	BURN		ãɾu	ã ɾ u
67765	83918	johanssonsoundsymbolic-Ayoreo	ayor1240		buttocks	834	BUTTOCKS		tʃakii	tʃ a k iː
72947	89100	johanssonsoundsymbolic-Ayoreo	ayor1240		carry	700	CARRY		in̥oŋahaʔ	i n̥ o ŋ a h a ʔ
87924	104077	johanssonsoundsymbolic-Ayoreo	ayor1240		clean	704	CLEAN		iitʃai	iː tʃ a i
91589	107742	johanssonsoundsymbolic-Ayoreo	ayor1240		cloud	1489	CLOUD		geei	g eː i
95164	111317	johanssonsoundsymbolic-Ayoreo	ayor1240		cold	1287	COLD		ten̥uui	t e n̥ uː i
98828	114981	johanssonsoundsymbolic-Ayoreo	ayor1240		come	1446	COME		ibagi	i b a g i
104898	121051	johanssonsoundsymbolic-Ayoreo	ayor1240		correctright	1725	CORRECT (RIGHT)		ipeesute_aɾei	i p eː s u t e + a ɾ e i
105962	122115	johanssonsoundsymbolic-Ayoreo	ayor1240		cough	879	COUGH		oo_juɾaheeʔ	oː + j u ɾ a h eː ʔ
110444	126597	johanssonsoundsymbolic-Ayoreo	ayor1240		crooked	297	CROOKED		õokoɾoɾãai	õ o k o ɾ o ɾ ã a i
112008	128161	johanssonsoundsymbolic-Ayoreo	ayor1240		crush	1520	CRUSH		ihaɾooʔ	i h a ɾ oː ʔ
112934	129087	johanssonsoundsymbolic-Ayoreo	ayor1240		cry	1839	CRY		iiboʔ	iː b o ʔ
118654	134807	johanssonsoundsymbolic-Ayoreo	ayor1240		dark	706	DARK		topiei	t o p i e i
121772	137927	johanssonsoundsymbolic-Ayoreo	ayor1240		daynotnight	1225	DAY (NOT NIGHT)		diiɾi	d iː ɾ i
124221	140376	johanssonsoundsymbolic-Ayoreo	ayor1240		deep	1593	DEEP		idaha_aha_geesi	i d a h a + a h a + g eː s i
127048	143203	johanssonsoundsymbolic-Ayoreo	ayor1240		die	1494	DIE		tooi	t oː i
131706	147861	johanssonsoundsymbolic-Ayoreo	ayor1240		dirty	1230	DIRTY		oopoii	oː p o iː
134163	150318	johanssonsoundsymbolic-Ayoreo	ayor1240		do	813	DO		ipeesu	i p eː s u
135598	151753	johanssonsoundsymbolic-Ayoreo	ayor1240		dog	2009	DOG		tamokoi	t a m o k o i
142067	158222	johanssonsoundsymbolic-Ayoreo	ayor1240		drink	1401	DRINK		oohiʔ	oː h i ʔ
145711	161866	johanssonsoundsymbolic-Ayoreo	ayor1240		dry	1398	DRY		kan̥oɾi	k a n̥ o ɾ i
148696	164851	johanssonsoundsymbolic-Ayoreo	ayor1240		dust	2	DUST		uɾui	u ɾ u i
151141	167296	johanssonsoundsymbolic-Ayoreo	ayor1240		ear	1247	EAR		aŋoɾone	a ŋ o ɾ o n e
154064	170219	johanssonsoundsymbolic-Ayoreo	ayor1240		earthsoil	1228	EARTH (SOIL)		n̥umi	n̥ u m i
156665	172820	johanssonsoundsymbolic-Ayoreo	ayor1240		eat	1336	EAT		agu	a g u
158977	175135	johanssonsoundsymbolic-Ayoreo	ayor1240		egg	744	EGG		kũɾeei	k ũ ɾ eː i
160736	176894	johanssonsoundsymbolic-Ayoreo	ayor1240		eight	1705	EIGHT		gadiog_ihi_jim̥anuɲaa	g a d i o g + i h i + j i m̥ a n u ɲ aː
163689	179847	johanssonsoundsymbolic-Ayoreo	ayor1240		eleven	1706	ELEVEN		tʃom̥aɾa_ihi_jiɾidaaj	tʃ o m̥ a ɾ a + i h i + j i ɾ i d aː j
164877	181035	johanssonsoundsymbolic-Ayoreo	ayor1240		empty	1624	EMPTY		aheegesaai	a h eː g e s aː i
169545	185703	johanssonsoundsymbolic-Ayoreo	ayor1240		eye	1248	EYE		edo	e d o
173551	189710	johanssonsoundsymbolic-Ayoreo	ayor1240		fall	1280	FALL		ĩikooɾãʔ	ĩ i k oː ɾ ã ʔ
175820	191979	johanssonsoundsymbolic-Ayoreo	ayor1240		far	1406	FAR		idahaʔ	i d a h a ʔ
177411	193570	johanssonsoundsymbolic-Ayoreo	ayor1240		fast	1631	FAST		ibisoi	i b i s o i
182041	198201	johanssonsoundsymbolic-Ayoreo	ayor1240		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		ii	iː
184877	201037	johanssonsoundsymbolic-Ayoreo	ayor1240		feather	1201	FEATHER		ãɾama	ã ɾ a m a
189906	222559	johanssonsoundsymbolic-Ayoreo	ayor1240		flower	239	FLOWER		asige	a s i g e
191230	223883	johanssonsoundsymbolic-Ayoreo	ayor1240		flyinsect	1504	FLY (INSECT)		iijoʔ	iː j o ʔ
192835	225488	johanssonsoundsymbolic-Ayoreo	ayor1240		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		huubi	h uː b i
196147	228800	johanssonsoundsymbolic-Ayoreo	ayor1240		foot	1301	FOOT		giidaai	g iː d aː i
202479	235132	johanssonsoundsymbolic-Ayoreo	ayor1240		four	1500	FOUR		gagan̥i	g a g a n̥ i
209257	241910	johanssonsoundsymbolic-Ayoreo	ayor1240		full	1429	FULL		iɾagui	i ɾ a g u i
213258	245911	johanssonsoundsymbolic-Ayoreo	ayor1240		girl	1646	GIRL		diisia	d iː s i a
214575	247228	johanssonsoundsymbolic-Ayoreo	ayor1240		give	1447	GIVE		iisiʔ	iː s i ʔ
216930	249583	johanssonsoundsymbolic-Ayoreo	ayor1240		go	695	GO		ihi	i h i
220702	253358	johanssonsoundsymbolic-Ayoreo	ayor1240		good	1035	GOOD		aɾei	a ɾ e i
226152	258808	johanssonsoundsymbolic-Ayoreo	ayor1240		grass	606	GRASS		n̥aakaɾaai	n̥ aː k a ɾ aː i
228504	261160	johanssonsoundsymbolic-Ayoreo	ayor1240		green	1425	GREEN		saɾẽi	s a ɾ ẽ i
231425	264081	johanssonsoundsymbolic-Ayoreo	ayor1240		grow	479	GROW		ĩkeeɾaʔ	ĩ k eː ɾ a ʔ
234504	267160	johanssonsoundsymbolic-Ayoreo	ayor1240		hair	1040	HAIR		gaateɾeɾo	g aː t e ɾ e ɾ o
236353	269009	johanssonsoundsymbolic-Ayoreo	ayor1240		half	816	HALF		gaatokoɾiŋai	g aː t o k o ɾ i ŋ a i
238345	271001	johanssonsoundsymbolic-Ayoreo	ayor1240		hand	1277	HAND		m̥anaaj	m̥ a n aː j
240278	272934	johanssonsoundsymbolic-Ayoreo	ayor1240		happy	1495	HAPPY		iniina_ju	i n iː n a + j u
240638	273294	johanssonsoundsymbolic-Ayoreo	ayor1240		hard	1884	HARD		eetoi	eː t o i
243900	276557	johanssonsoundsymbolic-Ayoreo	ayor1240		head	1256	HEAD		gaatoi	g aː t o i
246848	279505	johanssonsoundsymbolic-Ayoreo	ayor1240		hear	1408	HEAR		uduteʔ	u d u t e ʔ
248430	281087	johanssonsoundsymbolic-Ayoreo	ayor1240		heart	1223	HEART		ijobie	i j o b i e
250600	283257	johanssonsoundsymbolic-Ayoreo	ayor1240		heavy	1210	HEAVY		peenui	p eː n u i
253808	286466	johanssonsoundsymbolic-Ayoreo	ayor1240		heorsheorit	262	HE OR SHE OR IT		uuteʔ	uː t e ʔ
255691	288350	johanssonsoundsymbolic-Ayoreo	ayor1240		hide	2486	HIDE		aagoseʔ	aː g o s e ʔ
256604	289263	johanssonsoundsymbolic-Ayoreo	ayor1240		high	1265	HIGH		idaha_ihi_n̥umi	i d a h a + i h i + n̥ u m i
258678	291338	johanssonsoundsymbolic-Ayoreo	ayor1240		hit	1433	HIT		uheeʔ	u h eː ʔ
263321	295981	johanssonsoundsymbolic-Ayoreo	ayor1240		hornanatomy	1393	HORN (ANATOMY)		uei	u e i
265149	297809	johanssonsoundsymbolic-Ayoreo	ayor1240		hot	1286	HOT		notaɾi	n o t a ɾ i
267237	299897	johanssonsoundsymbolic-Ayoreo	ayor1240		house	1252	HOUSE		igin̥aai	i g i n̥ aː i
268820	301480	johanssonsoundsymbolic-Ayoreo	ayor1240		how	1239	HOW		iisokaaɾike	iː s o k aː ɾ i k e
274652	307312	johanssonsoundsymbolic-Ayoreo	ayor1240		i	1209	I		ju	j u
276749	309409	johanssonsoundsymbolic-Ayoreo	ayor1240		if	1459	IF		uheeta	u h eː t a
277999	310659	johanssonsoundsymbolic-Ayoreo	ayor1240		in	1460	IN		ihiʔ	i h i ʔ
278643	311303	johanssonsoundsymbolic-Ayoreo	ayor1240		infrontof	1883	IN FRONT OF		ikeei	i k eː i
287497	320157	johanssonsoundsymbolic-Ayoreo	ayor1240		kill	1417	KILL		uheeʔ	u h eː ʔ
290179	322839	johanssonsoundsymbolic-Ayoreo	ayor1240		knee	1371	KNEE		kaatade	k aː t a d e
293264	325924	johanssonsoundsymbolic-Ayoreo	ayor1240		know	3626	KNOW		imoʔ	i m o ʔ
298979	331639	johanssonsoundsymbolic-Ayoreo	ayor1240		laugh	1355	LAUGH		dagoi	d a g o i
302135	334795	johanssonsoundsymbolic-Ayoreo	ayor1240		leaf	628	LEAF		pooɾãakaɾaai	p oː ɾ ã a k a ɾ aː i
305261	337921	johanssonsoundsymbolic-Ayoreo	ayor1240		left	244	LEFT		aɾasei	a ɾ a s e i
309464	342124	johanssonsoundsymbolic-Ayoreo	ayor1240		liedown	215	LIE DOWN		im̥aɾahaʔ	i m̥ a ɾ a h a ʔ
311475	344135	johanssonsoundsymbolic-Ayoreo	ayor1240		lightcolor	250	LIGHT (COLOR)		kĩɾiike	k ĩ ɾ iː k e
313631	346291	johanssonsoundsymbolic-Ayoreo	ayor1240		lightweight	1052	LIGHT (WEIGHT)		pun̥ui	p u n̥ u i
315099	347759	johanssonsoundsymbolic-Ayoreo	ayor1240		lip	478	LIP		pin̥anaai	p i n̥ a n aː i
316903	349563	johanssonsoundsymbolic-Ayoreo	ayor1240		liver	1224	LIVER		abito	a b i t o
319801	352461	johanssonsoundsymbolic-Ayoreo	ayor1240		long	1203	LONG		joiikoi	j o iː k o i
322454	355114	johanssonsoundsymbolic-Ayoreo	ayor1240		loud	377	LOUD		isooɾataai	i s oː ɾ a t aː i
323449	356109	johanssonsoundsymbolic-Ayoreo	ayor1240		louse	1392	LOUSE		n̥aɾĩ	n̥ a ɾ ĩ
324971	357631	johanssonsoundsymbolic-Ayoreo	ayor1240		low	721	LOW		idogosi_ihi_n̥umi	i d o g o s i + i h i + n̥ u m i
325340	358000	johanssonsoundsymbolic-Ayoreo	ayor1240		lowerarm	446	LOWER ARM		m̥aneɾo	m̥ a n e ɾ o
325706	358366	johanssonsoundsymbolic-Ayoreo	ayor1240		lowerleg	447	LOWER LEG		ootadi	oː t a d i
326307	358968	johanssonsoundsymbolic-Ayoreo	ayor1240		lung	688	LUNG		pun̥ui	p u n̥ u i
330408	363069	johanssonsoundsymbolic-Ayoreo	ayor1240		man	1554	MAN		ajoɾei	a j o ɾ e i
332231	364892	johanssonsoundsymbolic-Ayoreo	ayor1240		many	1198	MANY		uaasen̥a	u aː s e n̥ a
339855	372516	johanssonsoundsymbolic-Ayoreo	ayor1240		milk	635	MILK		iɾisi	i ɾ i s i
344401	377062	johanssonsoundsymbolic-Ayoreo	ayor1240		moon	1313	MOON		geedosideʔ	g eː d o s i d e ʔ
350877	383541	johanssonsoundsymbolic-Ayoreo	ayor1240		mountain	639	MOUNTAIN		oɾokodaate	o ɾ o k o d aː t e
353386	386050	johanssonsoundsymbolic-Ayoreo	ayor1240		mouth	674	MOUTH		pin̥ani	p i n̥ a n i
358405	391069	johanssonsoundsymbolic-Ayoreo	ayor1240		name	1405	NAME		ii	iː
360324	392990	johanssonsoundsymbolic-Ayoreo	ayor1240		narrow	1267	NARROW		ahaami	a h aː m i
361412	394078	johanssonsoundsymbolic-Ayoreo	ayor1240		navel	1838	NAVEL		odo	o d o
362955	395621	johanssonsoundsymbolic-Ayoreo	ayor1240		near	1942	NEAR		idogosiʔ	i d o g o s i ʔ
364693	397360	johanssonsoundsymbolic-Ayoreo	ayor1240		neck	1333	NECK		eetabi	eː t a b i
368753	401420	johanssonsoundsymbolic-Ayoreo	ayor1240		new	1231	NEW		iitʃai	iː tʃ a i
371524	404191	johanssonsoundsymbolic-Ayoreo	ayor1240		night	1233	NIGHT		dehaai	d e h aː i
373223	405890	johanssonsoundsymbolic-Ayoreo	ayor1240		nine	1483	NINE		gagan̥i_ihi_jim̥anuɲaa	g a g a n̥ i + i h i + j i m̥ a n u ɲ aː
374404	407071	johanssonsoundsymbolic-Ayoreo	ayor1240		nipple	796	NIPPLE		in̥a_pin̥ani	i n̥ a + p i n̥ a n i
377342	410009	johanssonsoundsymbolic-Ayoreo	ayor1240		nose	1221	NOSE		kõɾatʃuui	k õ ɾ a tʃ uː i
378945	411612	johanssonsoundsymbolic-Ayoreo	ayor1240		not	1240	NOT		ke	k e
379712	412379	johanssonsoundsymbolic-Ayoreo	ayor1240		nothing	687	NOTHING		in̥okeʔ	i n̥ o k e ʔ
380252	412919	johanssonsoundsymbolic-Ayoreo	ayor1240		now	1376	NOW		ee	eː
384132	416799	johanssonsoundsymbolic-Ayoreo	ayor1240		oldaged	2112	OLD (AGED)		tʃokin̥ai	tʃ o k i n̥ a i
385208	417875	johanssonsoundsymbolic-Ayoreo	ayor1240		olderbrotherofman	2414	OLDER BROTHER (OF MAN)		ujaai	u j aː i
