	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
8824	24975	johanssonsoundsymbolic-Ayoreo	ayor1240		bark	1204	BARK		pooɾaooi	p oː ɾ a oː i
22856	39007	johanssonsoundsymbolic-Ayoreo	ayor1240		belly	1251	BELLY		aheei	a h eː i
27896	44047	johanssonsoundsymbolic-Ayoreo	ayor1240		big	1202	BIG		keɾuui	k e ɾ uː i
30289	46440	johanssonsoundsymbolic-Ayoreo	ayor1240		bird	937	BIRD		tʃuŋupeɾẽ	tʃ u ŋ u p e ɾ ẽ
32637	48788	johanssonsoundsymbolic-Ayoreo	ayor1240		bite	1403	BITE		igaaseʔ	i g aː s e ʔ
35247	51398	johanssonsoundsymbolic-Ayoreo	ayor1240		black	163	BLACK		utatai	u t a t a i
38659	54810	johanssonsoundsymbolic-Ayoreo	ayor1240		blood	946	BLOOD		ijoi	i j o i
46888	63039	johanssonsoundsymbolic-Ayoreo	ayor1240		bone	1394	BONE		an̥okeei	a n̥ o k eː i
56975	73128	johanssonsoundsymbolic-Ayoreo	ayor1240		breast	1402	BREAST		in̥a	i n̥ a
64451	80604	johanssonsoundsymbolic-Ayoreo	ayor1240		burn	2102	BURN		ãɾu	ã ɾ u
91589	107742	johanssonsoundsymbolic-Ayoreo	ayor1240		cloud	1489	CLOUD		geei	g eː i
95164	111317	johanssonsoundsymbolic-Ayoreo	ayor1240		cold	1287	COLD		ten̥uui	t e n̥ uː i
98828	114981	johanssonsoundsymbolic-Ayoreo	ayor1240		come	1446	COME		ibagi	i b a g i
127048	143203	johanssonsoundsymbolic-Ayoreo	ayor1240		die	1494	DIE		tooi	t oː i
135598	151753	johanssonsoundsymbolic-Ayoreo	ayor1240		dog	2009	DOG		tamokoi	t a m o k o i
142067	158222	johanssonsoundsymbolic-Ayoreo	ayor1240		drink	1401	DRINK		oohiʔ	oː h i ʔ
145711	161866	johanssonsoundsymbolic-Ayoreo	ayor1240		dry	1398	DRY		kan̥oɾi	k a n̥ o ɾ i
151141	167296	johanssonsoundsymbolic-Ayoreo	ayor1240		ear	1247	EAR		aŋoɾone	a ŋ o ɾ o n e
154064	170219	johanssonsoundsymbolic-Ayoreo	ayor1240		earthsoil	1228	EARTH (SOIL)		n̥umi	n̥ u m i
156665	172820	johanssonsoundsymbolic-Ayoreo	ayor1240		eat	1336	EAT		agu	a g u
158977	175135	johanssonsoundsymbolic-Ayoreo	ayor1240		egg	744	EGG		kũɾeei	k ũ ɾ eː i
169545	185703	johanssonsoundsymbolic-Ayoreo	ayor1240		eye	1248	EYE		edo	e d o
182041	198201	johanssonsoundsymbolic-Ayoreo	ayor1240		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		ii	iː
184877	201037	johanssonsoundsymbolic-Ayoreo	ayor1240		feather	1201	FEATHER		ãɾama	ã ɾ a m a
192835	225488	johanssonsoundsymbolic-Ayoreo	ayor1240		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		huubi	h uː b i
196147	228800	johanssonsoundsymbolic-Ayoreo	ayor1240		foot	1301	FOOT		giidaai	g iː d aː i
209257	241910	johanssonsoundsymbolic-Ayoreo	ayor1240		full	1429	FULL		iɾagui	i ɾ a g u i
214575	247228	johanssonsoundsymbolic-Ayoreo	ayor1240		give	1447	GIVE		iisiʔ	iː s i ʔ
220702	253358	johanssonsoundsymbolic-Ayoreo	ayor1240		good	1035	GOOD		aɾei	a ɾ e i
228504	261160	johanssonsoundsymbolic-Ayoreo	ayor1240		green	1425	GREEN		saɾẽi	s a ɾ ẽ i
234504	267160	johanssonsoundsymbolic-Ayoreo	ayor1240		hair	1040	HAIR		gaateɾeɾo	g aː t e ɾ e ɾ o
238345	271001	johanssonsoundsymbolic-Ayoreo	ayor1240		hand	1277	HAND		m̥anaaj	m̥ a n aː j
243900	276557	johanssonsoundsymbolic-Ayoreo	ayor1240		head	1256	HEAD		gaatoi	g aː t o i
246848	279505	johanssonsoundsymbolic-Ayoreo	ayor1240		hear	1408	HEAR		uduteʔ	u d u t e ʔ
248430	281087	johanssonsoundsymbolic-Ayoreo	ayor1240		heart	1223	HEART		ijobie	i j o b i e
263321	295981	johanssonsoundsymbolic-Ayoreo	ayor1240		hornanatomy	1393	HORN (ANATOMY)		uei	u e i
274652	307312	johanssonsoundsymbolic-Ayoreo	ayor1240		i	1209	I		ju	j u
287497	320157	johanssonsoundsymbolic-Ayoreo	ayor1240		kill	1417	KILL		uheeʔ	u h eː ʔ
290179	322839	johanssonsoundsymbolic-Ayoreo	ayor1240		knee	1371	KNEE		kaatade	k aː t a d e
302135	334795	johanssonsoundsymbolic-Ayoreo	ayor1240		leaf	628	LEAF		pooɾãakaɾaai	p oː ɾ ã a k a ɾ aː i
