	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
4977	21128	johanssonsoundsymbolic-Arabela	arab1268		bad	1292	BAD		sesaaka	s e s aː k a
8819	24970	johanssonsoundsymbolic-Arabela	arab1268		bark	1204	BARK		naana_ko	n aː n a + k o
12959	29110	johanssonsoundsymbolic-Arabela	arab1268		bealive	1422	BE ALIVE		kwiniu	k w i n i u
22851	39002	johanssonsoundsymbolic-Arabela	arab1268		belly	1251	BELLY		saɾaka	s a ɾ a k a
27891	44042	johanssonsoundsymbolic-Arabela	arab1268		big	1202	BIG		pueɾeetuuka	p u e ɾ eː t uː k a
30284	46435	johanssonsoundsymbolic-Arabela	arab1268		bird	937	BIRD		ʃijoj̃ua	ʃ i j o j̃ u a
32632	48783	johanssonsoundsymbolic-Arabela	arab1268		bite	1403	BITE		saaniu	s aː n i u
35242	51393	johanssonsoundsymbolic-Arabela	arab1268		black	163	BLACK		mueɾuuka	m u e ɾ uː k a
38654	54805	johanssonsoundsymbolic-Arabela	arab1268		blood	946	BLOOD		nanaka	n a n a k a
40880	57031	johanssonsoundsymbolic-Arabela	arab1268		blowofwind	175	BLOW (OF WIND)		nooniu	n oː n i u
43078	59229	johanssonsoundsymbolic-Arabela	arab1268		blunt	379	BLUNT		kwsekaj̃a	kʷ s e k a j̃ a
46883	63034	johanssonsoundsymbolic-Arabela	arab1268		bone	1394	BONE		nukw	n u kʷ
58909	75062	johanssonsoundsymbolic-Arabela	arab1268		breathe	1407	BREATHE		ɾiniu	ɾ i n i u
91584	107737	johanssonsoundsymbolic-Arabela	arab1268		cloud	1489	CLOUD		naj̃aka	n a j̃ a k a
98823	114976	johanssonsoundsymbolic-Arabela	arab1268		come	1446	COME		niniu	n i n i u
104894	121047	johanssonsoundsymbolic-Arabela	arab1268		correctright	1725	CORRECT (RIGHT)		maninia	m a n i n i a
121767	137922	johanssonsoundsymbolic-Arabela	arab1268		daynotnight	1225	DAY (NOT NIGHT)		j̃uuka	j̃ uː k a
127043	143198	johanssonsoundsymbolic-Arabela	arab1268		die	1494	DIE		kwsonu	kʷ s o n u
131701	147856	johanssonsoundsymbolic-Arabela	arab1268		dirty	1230	DIRTY		kwɾiituuka	k w ɾ iː t uː k a
135593	151748	johanssonsoundsymbolic-Arabela	arab1268		dog	2009	DOG		saɾe	s a ɾ e
142062	158217	johanssonsoundsymbolic-Arabela	arab1268		drink	1401	DRINK		ɾatunu	ɾ a t u n u
145707	161862	johanssonsoundsymbolic-Arabela	arab1268		dry	1398	DRY		j̃ooj̃eeka	j̃ oː j̃ eː k a
148692	164847	johanssonsoundsymbolic-Arabela	arab1268		dust	2	DUST		j̃aakwia	j̃ aː k w i a
151136	167291	johanssonsoundsymbolic-Arabela	arab1268		ear	1247	EAR		numoko	n u m o k o
154059	170214	johanssonsoundsymbolic-Arabela	arab1268		earthsoil	1228	EARTH (SOIL)		j̃ija	j̃ i j a
156660	172815	johanssonsoundsymbolic-Arabela	arab1268		eat	1336	EAT		miakwenu	m i a k w e n u
158972	175130	johanssonsoundsymbolic-Arabela	arab1268		egg	744	EGG		ɾiuɾiukwiu	ɾ i u ɾ i u k w i u
169540	185698	johanssonsoundsymbolic-Arabela	arab1268		eye	1248	EYE		namij̃ia	n a m i j̃ i a
173546	189705	johanssonsoundsymbolic-Arabela	arab1268		fall	1280	FALL		ti	t i
175815	191974	johanssonsoundsymbolic-Arabela	arab1268		far	1406	FAR		tukwakaanu	t u k w a k aː n u
182036	198196	johanssonsoundsymbolic-Arabela	arab1268		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		kaɾaaka	k a ɾ aː k a
184872	201032	johanssonsoundsymbolic-Arabela	arab1268		feather	1201	FEATHER		kaj̃asu	k a j̃ a s u
189901	222554	johanssonsoundsymbolic-Arabela	arab1268		flower	239	FLOWER		ʃuu	ʃ uː
192830	225483	johanssonsoundsymbolic-Arabela	arab1268		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		neɾoj̃ua	n e ɾ o j̃ u a
196142	228795	johanssonsoundsymbolic-Arabela	arab1268		foot	1301	FOOT		niowaka	n i o w a k a
202474	235127	johanssonsoundsymbolic-Arabela	arab1268		four	1500	FOUR		saa_kakweetakaj̃a	s aː + k a k w eː t a k a j̃ a
214570	247223	johanssonsoundsymbolic-Arabela	arab1268		give	1447	GIVE		nikwitionu	n i k w i t i o n u
220697	253353	johanssonsoundsymbolic-Arabela	arab1268		good	1035	GOOD		maninia	m a n i n i a
226147	258803	johanssonsoundsymbolic-Arabela	arab1268		grass	606	GRASS		j̃ijasokwa	j̃ i j a s o k w a
228499	261155	johanssonsoundsymbolic-Arabela	arab1268		green	1425	GREEN		neeɾuuka	n eː ɾ uː k a
234499	267155	johanssonsoundsymbolic-Arabela	arab1268		hair	1040	HAIR		muesu	m u e s u
238340	270996	johanssonsoundsymbolic-Arabela	arab1268		hand	1277	HAND		j̃uaaʃikwia	j̃ u aː ʃ i k w i a
243895	276552	johanssonsoundsymbolic-Arabela	arab1268		head	1256	HEAD		naka	n a k a
246843	279500	johanssonsoundsymbolic-Arabela	arab1268		hear	1408	HEAR		toj̃iniu	t o j̃ i n i u
248425	281082	johanssonsoundsymbolic-Arabela	arab1268		heart	1223	HEART		j̃iuuj̃iatenu	j̃ i uː j̃ i a t e n u
250595	283252	johanssonsoundsymbolic-Arabela	arab1268		heavy	1210	HEAVY		niikwia	n iː k w i a
254431	287090	johanssonsoundsymbolic-Arabela	arab1268		here	136	HERE		nija	n i j a
258673	291333	johanssonsoundsymbolic-Arabela	arab1268		hit	1433	HIT		pi	p i
268815	301475	johanssonsoundsymbolic-Arabela	arab1268		how	1239	HOW		j̃ijano	j̃ i j a n o
274647	307307	johanssonsoundsymbolic-Arabela	arab1268		i	1209	I		kwa	k w a
276746	309406	johanssonsoundsymbolic-Arabela	arab1268		if	1459	IF		maaɾaj̃a	m aː ɾ a j̃ a
277994	310654	johanssonsoundsymbolic-Arabela	arab1268		in	1460	IN		ko	k o
287492	320152	johanssonsoundsymbolic-Arabela	arab1268		kill	1417	KILL		monu	m o n u
298974	331634	johanssonsoundsymbolic-Arabela	arab1268		laugh	1355	LAUGH		soɾekwenu	s o ɾ e k w e n u
302130	334790	johanssonsoundsymbolic-Arabela	arab1268		leaf	628	LEAF		j̃aamasu	j̃ aː m a s u
305256	337916	johanssonsoundsymbolic-Arabela	arab1268		left	244	LEFT		muenekaɾa	m u e n e k a ɾ a
316898	349558	johanssonsoundsymbolic-Arabela	arab1268		liver	1224	LIVER		kowaj̃a	k o w a j̃ a
319796	352456	johanssonsoundsymbolic-Arabela	arab1268		long	1203	LONG		tukwasu	t u k w a s u
323445	356105	johanssonsoundsymbolic-Arabela	arab1268		louse	1392	LOUSE		sukwanaj̃a	s u k w a n a j̃ a
332226	364887	johanssonsoundsymbolic-Arabela	arab1268		many	1198	MANY		kweɾaatia	k w e ɾ aː t i a
353381	386045	johanssonsoundsymbolic-Arabela	arab1268		mouth	674	MOUTH		ɾupaa	ɾ u p aː
358400	391064	johanssonsoundsymbolic-Arabela	arab1268		name	1405	NAME		sesa	s e s a
360319	392985	johanssonsoundsymbolic-Arabela	arab1268		narrow	1267	NARROW		saatiu	s aː t i u
362950	395616	johanssonsoundsymbolic-Arabela	arab1268		near	1942	NEAR		sejaɾako	s e j a ɾ a k o
364688	397355	johanssonsoundsymbolic-Arabela	arab1268		neck	1333	NECK		ɾikwia	ɾ i k w i a
368748	401415	johanssonsoundsymbolic-Arabela	arab1268		new	1231	NEW		kwiaɾinio	k w i a ɾ i n i o
