	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
8652	24803	cals-Ysafedorak1	yagn1238		bark	1204	BARK		pust	p u s t
8695	24846	dunnielex-bihari	mait1250		bark	1204	BARK		cʰ.a.l	cʰ a l
8696	24847	dunnielex-marathi	mara1378		bark	1204	BARK		s.a.l	s a l
8699	24850	dunnielex-urdu	urdu1245		bark	1204	BARK		ʧ.ɑ.l	tʃ ɑ l
8970	25121	kesslersignificance-Albanian	gheg1238		bark	1204	BARK		ʃ.k.ə.l.b.o.z	ʃ k ə l b o z
9107	25258	northeuralex-bel	bela1254		bark	1204	BARK		kara	k a r a
9108	25259	northeuralex-ben	beng1280		bark	1204	BARK		bɔlkol	b ɔ l k o l
9112	25263	northeuralex-bul	bulg1262		bark	1204	BARK		kɔra	k ɔ r a
9113	25264	northeuralex-cat	stan1289		bark	1204	BARK		əskɔɾsə	ə s k ɔ ɾ s ə
9114	25265	northeuralex-ces	czec1258		bark	1204	BARK		kuːra	k uː r a
9119	25270	northeuralex-dan	dani1285		bark	1204	BARK		bɑʁɡ	b ɑ ʁ g
9122	25273	northeuralex-deu	stan1295		bark	1204	BARK		ʁɪndə	ʁ ɪ n d ə
9124	25275	northeuralex-ell	mode1248		bark	1204	BARK		fluða	f l u ð a
9133	25284	northeuralex-fra	stan1290		bark	1204	BARK		eˈkɔʁs	e k ɔ ʁ s
9135	25286	northeuralex-gle	iris1253		bark	1204	BARK		kɔɾˠtʲ	k ɔ ɾˠ tʲ
9136	25287	northeuralex-gle	iris1253		bark	1204	BARK		kɾˠacən̪ˠ	k ɾˠ a c ə n̪ˠ
9138	25289	northeuralex-hin	hind1269		bark	1204	BARK		t͡ʃʰaːl	tʃʰ aː l
9139	25290	northeuralex-hin	hind1269		bark	1204	BARK		vəlkəl	v ə l k ə l
9140	25291	northeuralex-hrv	croa1245		bark	1204	BARK		kɔ̂ra	k ɔ r a
9142	25293	northeuralex-hye	nucl1235		bark	1204	BARK		kɛʁɛv	k ɛ ʁ ɛ v
9143	25294	northeuralex-hye	nucl1235		bark	1204	BARK		hɑt͡ʃʰɔt͡sʰ	h ɑ tʃʰ ɔ tsʰ
9144	25295	northeuralex-isl	icel1247		bark	1204	BARK		pœr̥kʏr̥	p œ r̥ k ʏ r̥
9145	25296	northeuralex-ita	ital1282		bark	1204	BARK		kortett͡ʃa	k o r t e t tʃ a
9153	25304	northeuralex-kmr	nort2641		bark	1204	BARK		qaqəl	q a q ə l
9158	25309	northeuralex-lat	lati1261		bark	1204	BARK		kɔrtɛks	k ɔ r t ɛ k s
9159	25310	northeuralex-lav	latv1249		bark	1204	BARK		mizɑ	m i z ɑ
9162	25313	northeuralex-lit	lith1251		bark	1204	BARK		ʒiəʋěː	ʒ i ə ʋ eː
9180	25331	northeuralex-pes	west2369		bark	1204	BARK		tuʒ	t u ʒ
9181	25332	northeuralex-pes	west2369		bark	1204	BARK		pust	p u s t
9182	25333	northeuralex-pol	poli1260		bark	1204	BARK		kɔɾa	k ɔ ɾ a
9183	25334	northeuralex-por	port1283		bark	1204	BARK		kaʃka	k a ʃ k a
9184	25335	northeuralex-rus	russ1263		bark	1204	BARK		kɐraˑ	k ɐ r aˑ
9186	25337	northeuralex-slk	slov1269		bark	1204	BARK		ku̯ora	k u o r a
