	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
136	136	abvdoceanic-Maori	maor1246		above	1741	ABOVE		i_runga	i + r u n g a
454	16605	dunnielex-marathi	mara1378		at	1461	AT		t	t
455	16606	dunnielex-marathi	mara1378		at	1461	AT		w.a.d.z.t.a	w a d z t a
458	16609	dunnielex-urdu	urdu1245		at	1461	AT		p.ə.ɾ	p ə ɾ
605	16756	savelyevturkic-Kirghiz	kirg1245		at	1461	AT		dA, tA	d a
613	16764	savelyevturkic-Turkmen	turk1304		at	1461	AT		dA	d a
615	16766	savelyevturkic-Uighur	uigh1240		at	1461	AT		dA, tA	d a
654	16805	wold-Dutch	dutc1256		at	1461	AT		op	ɔ p
655	16806	wold-Dutch	dutc1256		at	1461	AT		te	t ə
656	16807	wold-Dutch	dutc1256		at	1461	AT		in	ɪ n
657	16808	wold-English	stan1293		at	1461	AT		at	æ t
660	16811	wold-Hausa	haus1257		at	1461	AT		à	a
678	16829	wold-Romanian	roma1327		at	1461	AT		la	l a
687	16838	wold-Thai	thai1261		at	1461	AT		thîi	tʰ i i
688	16839	wold-Vietnamese	viet1252		at	1461	AT		tại	t aːi̯ ²¹²
689	16840	wold-Vietnamese	viet1252		at	1461	AT		ở	ʔ əː ²¹⁴
703	16854	northeuralex-ava	avar1256		atfirst	2915	AT FIRST		tʼot͡sjebje	tʼ o ts j e b j e
708	16859	northeuralex-ben	beng1280		atfirst	2915	AT FIRST		aɡe	a g e
713	16864	northeuralex-cat	stan1289		atfirst	2915	AT FIRST		pɾimɛ	p ɾ i m ɛ
714	16865	northeuralex-ces	czec1258		atfirst	2915	AT FIRST		nɛjprvɛ	n ɛ j p r v ɛ
715	16866	northeuralex-ces	czec1258		atfirst	2915	AT FIRST		nɛjdr̝iːvɛ	n ɛ j d r̝ iː v ɛ
725	16876	northeuralex-deu	stan1295		atfirst	2915	AT FIRST		t͡suːɛɐ̯st	ts uː ɛ ɐ s t
738	16889	northeuralex-fra	stan1290		atfirst	2915	AT FIRST		daˈbɔːʁ	d a b ɔː ʁ
739	16890	northeuralex-fra	stan1290		atfirst	2915	AT FIRST		pʁəmjɛːʁˈmɑ̃	p ʁ ə m j ɛː ʁ m ɑ̃
743	16894	northeuralex-hin	hind1269		atfirst	2915	AT FIRST		pəhleː	p ə h l eː
744	16895	northeuralex-hrv	croa1245		atfirst	2915	AT FIRST		pr̩̂ːʋɔ	p rː ʋ ɔ
745	16896	northeuralex-hrv	croa1245		atfirst	2915	AT FIRST		nâːjpriɛ	n aː j p r i ɛ
746	16897	northeuralex-hun	hung1274		atfirst	2915	AT FIRST		ɛløːsør	ɛ l øː s ø r
749	16900	northeuralex-ita	ital1282		atfirst	2915	AT FIRST		prima	p r i m a
750	16901	northeuralex-ita	ital1282		atfirst	2915	AT FIRST		dapːrima	d a pː r i m a
754	16905	northeuralex-kaz	kaza1248		atfirst	2915	AT FIRST		æuelə	æ u e l ə
755	16906	northeuralex-kaz	kaza1248		atfirst	2915	AT FIRST		ɑldəmen	ɑ l d ə m e n
760	16911	northeuralex-kmr	nort2641		atfirst	2915	AT FIRST		bɛrɛ	b ɛ r ɛ
774	16925	northeuralex-mal	mala1464		atfirst	2915	AT FIRST		aːd̪jam	aː d̪ j a m
792	16943	northeuralex-pol	poli1260		atfirst	2915	AT FIRST		napʂut	n a p ʂ u t
793	16944	northeuralex-pol	poli1260		atfirst	2915	AT FIRST		najpiɛɾv	n a j p i ɛ ɾ v
794	16945	northeuralex-por	port1283		atfirst	2915	AT FIRST		priˈmejru	p r i m e j r u
795	16946	northeuralex-rus	russ1263		atfirst	2915	AT FIRST		spʲɪrvaˑ	s pʲ ɪ r v aˑ
807	16958	northeuralex-spa	stan1288		atfirst	2915	AT FIRST		pɾimeɾo	p ɾ i m e ɾ o
808	16959	northeuralex-sqi	alba1267		atfirst	2915	AT FIRST		sə_paɾi	s ə + p a ɾ i
809	16960	northeuralex-swe	swed1254		atfirst	2915	AT FIRST		fœrːst	f œ rː s t
810	16961	northeuralex-tam	tami1289		atfirst	2915	AT FIRST		muðʌlil	m u ð ʌ l i l
812	16963	northeuralex-tel	telu1262		atfirst	2915	AT FIRST		mod̪ʌʈiloː	m o d̪ ʌ ʈ i l oː
813	16964	northeuralex-tur	nucl1301		atfirst	2915	AT FIRST		ilk_œnd͡ʒɛ	i l k + œ n dʒ ɛ
815	16966	northeuralex-ukr	ukra1253		atfirst	2915	AT FIRST		spɛrʂu	s p ɛ r ʂ u
816	16967	northeuralex-ukr	ukra1253		atfirst	2915	AT FIRST		spɔʈ͡ʂɑtku	s p ɔ ʈʂ ɑ t k u
917	17068	wold-Dutch	dutc1256		attack	722	ATTACK		aanval	aː n v ɑ l
918	17069	wold-English	stan1293		attack	722	ATTACK		attack	ə t æ k
920	17071	wold-Hausa	haus1257		attack	722	ATTACK		kái_hárìi	k a i + h a r iː
938	17089	wold-Romanian	roma1327		attack	722	ATTACK		atac	a t a k
945	17096	wold-Thai	thai1261		attack	722	ATTACK		tii	t iː
946	17097	wold-Vietnamese	viet1252		attack	722	ATTACK		tấn_công	t ə ŋ ⁴⁵ + k ɔ ŋm ³³
978	17129	northeuralex-ava	avar1256		atthattime	2922	AT THAT TIME		hjebmjeχaɬ	h j e b m j e χ a ɬ
979	17130	northeuralex-ava	avar1256		atthattime	2922	AT THAT TIME		hjebmjeχalda	h j e b m j e χ a l d a
983	17134	northeuralex-ben	beng1280		atthattime	2922	AT THAT TIME		t̪ɔkʰon	t̪ ɔ kʰ o n
988	17139	northeuralex-cat	stan1289		atthattime	2922	AT THAT TIME		ʎəβɔɾs	ʎ ə β ɔ ɾ s
989	17140	northeuralex-cat	stan1289		atthattime	2922	AT THAT TIME		əɫəzɔɾəs	ə lˠ ə z ɔ ɾ ə s
990	17141	northeuralex-ces	czec1258		atthattime	2922	AT THAT TIME		tɛɦdɪ	t ɛ ɦ d ɪ
991	17142	northeuralex-ces	czec1258		atthattime	2922	AT THAT TIME		tɛŋkraːt	t ɛ ŋ k r aː t
1002	17153	northeuralex-deu	stan1295		atthattime	2922	AT THAT TIME		daːmals	d aː m a l s
1012	17163	northeuralex-fra	stan1290		atthattime	2922	AT THAT TIME		aˈlɔːʁ	a l ɔː ʁ
1013	17164	northeuralex-fra	stan1290		atthattime	2922	AT THAT TIME		aleˈpɔk	a l e p ɔ k
1018	17169	northeuralex-hin	hind1269		atthattime	2922	AT THAT TIME		ʊs_səməj	ʊ s + s ə m ə j
1019	17170	northeuralex-hin	hind1269		atthattime	2922	AT THAT TIME		ʊn_dɪnõː	ʊ n + d ɪ n õː
1020	17171	northeuralex-hrv	croa1245		atthattime	2922	AT THAT TIME		tǎdaː	t a d aː
1021	17172	northeuralex-hrv	croa1245		atthattime	2922	AT THAT TIME		ɔ̂ndaː	ɔ n d aː
1022	17173	northeuralex-hun	hung1274		atthattime	2922	AT THAT TIME		ɒkːor	ɒ kː o r
1023	17174	northeuralex-hun	hung1274		atthattime	2922	AT THAT TIME		ɒkːoribɒn	ɒ kː o r i b ɒ n
1027	17178	northeuralex-ita	ital1282		atthattime	2922	AT THAT TIME		alːora	a lː o r a
1034	17185	northeuralex-kaz	kaza1248		atthattime	2922	AT THAT TIME		ɑnɑdɑ	ɑ n ɑ d ɑ
1037	17188	northeuralex-kmr	nort2641		atthattime	2922	AT THAT TIME		hinɡi	h i n g i
1050	17201	northeuralex-mal	mala1464		atthattime	2922	AT THAT TIME		apːoːɭ	a pː oː ɭ
1064	17215	northeuralex-pol	poli1260		atthattime	2922	AT THAT TIME		ftɛdɨ	f t ɛ d ɨ
1065	17216	northeuralex-pol	poli1260		atthattime	2922	AT THAT TIME		vufʈ͡ʂas	v u f ʈʂ a s
1066	17217	northeuralex-por	port1283		atthattime	2922	AT THAT TIME		ẽˈtɐ̃w	ẽ t ɐ̃ w
1067	17218	northeuralex-rus	russ1263		atthattime	2922	AT THAT TIME		tɐɡdaˑ	t ɐ g d aˑ
1078	17229	northeuralex-spa	stan1288		atthattime	2922	AT THAT TIME		entonθes	e n t o n θ e s
1079	17230	northeuralex-sqi	alba1267		atthattime	2922	AT THAT TIME		atəhɛɾə	a t ə h ɛ ɾ ə
1080	17231	northeuralex-swe	swed1254		atthattime	2922	AT THAT TIME		doː	d oː
1081	17232	northeuralex-swe	swed1254		atthattime	2922	AT THAT TIME		deːn_ɡɔŋən	d eː n + g ɔ ŋ ə n
1082	17233	northeuralex-tam	tami1289		atthattime	2922	AT THAT TIME		ʌpːoɻuðu	ʌ pː o ɻ u ð u
1085	17236	northeuralex-tel	telu1262		atthattime	2922	AT THAT TIME		ʌpːuɖu	ʌ pː u ɖ u
1086	17237	northeuralex-tur	nucl1301		atthattime	2922	AT THAT TIME		o_zamanlaɾ	o + z a m a n l a ɾ
1088	17239	northeuralex-ukr	ukra1253		atthattime	2922	AT THAT TIME		tɔdʲi	t ɔ dʲ i
1270	17421	northeuralex-ava	avar1256		august	2851	AUGUST		awɡust	a w g u s t
1274	17425	northeuralex-ben	beng1280		august	2851	AUGUST		ɔɡaʃʈo	ɔ g a ʃ ʈ o
1279	17430	northeuralex-cat	stan1289		august	2851	AUGUST		əɣɔs	ə ɣ ɔ s
1280	17431	northeuralex-ces	czec1258		august	2851	AUGUST		srpɛn	s r p ɛ n
1288	17439	northeuralex-deu	stan1295		august	2851	AUGUST		aʊ̯ɡʊst	a ʊ g ʊ s t
1299	17450	northeuralex-fra	stan1290		august	2851	AUGUST		ut	u t
1304	17455	northeuralex-hin	hind1269		august	2851	AUGUST		əɡəst	ə g ə s t
1305	17456	northeuralex-hrv	croa1245		august	2851	AUGUST		ǎuɡust	a u g u s t
