	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
8651	24802	cals-Tshink3	taji1245		bark	1204	BARK		pʊstlɔq	p ʊ s t l ɔ q
8696	24847	dunnielex-marathi	mara1378		bark	1204	BARK		s.a.l	s a l
8699	24850	dunnielex-urdu	urdu1245		bark	1204	BARK		ʧ.ɑ.l	tʃ ɑ l
9104	25255	northeuralex-ava	avar1256		bark	1204	BARK		maq͡χːʼar	m a qχʼː a r
9108	25259	northeuralex-ben	beng1280		bark	1204	BARK		bɔlkol	b ɔ l k o l
9113	25264	northeuralex-cat	stan1289		bark	1204	BARK		əskɔɾsə	ə s k ɔ ɾ s ə
9114	25265	northeuralex-ces	czec1258		bark	1204	BARK		kuːra	k uː r a
9122	25273	northeuralex-deu	stan1295		bark	1204	BARK		ʁɪndə	ʁ ɪ n d ə
9133	25284	northeuralex-fra	stan1290		bark	1204	BARK		eˈkɔʁs	e k ɔ ʁ s
9138	25289	northeuralex-hin	hind1269		bark	1204	BARK		t͡ʃʰaːl	tʃʰ aː l
9139	25290	northeuralex-hin	hind1269		bark	1204	BARK		vəlkəl	v ə l k ə l
9140	25291	northeuralex-hrv	croa1245		bark	1204	BARK		kɔ̂ra	k ɔ r a
9141	25292	northeuralex-hun	hung1274		bark	1204	BARK		keːrɛɡ	k eː r ɛ g
9145	25296	northeuralex-ita	ital1282		bark	1204	BARK		kortett͡ʃa	k o r t e t tʃ a
9150	25301	northeuralex-kaz	kaza1248		bark	1204	BARK		qɑbəq	q ɑ b ə q
9153	25304	northeuralex-kmr	nort2641		bark	1204	BARK		qaqəl	q a q ə l
9164	25315	northeuralex-mal	mala1464		bark	1204	BARK		paʈːa	p a ʈː a
9182	25333	northeuralex-pol	poli1260		bark	1204	BARK		kɔɾa	k ɔ ɾ a
9183	25334	northeuralex-por	port1283		bark	1204	BARK		kaʃka	k a ʃ k a
9184	25335	northeuralex-rus	russ1263		bark	1204	BARK		kɐraˑ	k ɐ r aˑ
9197	25348	northeuralex-spa	stan1288		bark	1204	BARK		koɾteθa	k o ɾ t e θ a
9198	25349	northeuralex-sqi	alba1267		bark	1204	BARK		ləvɔɾɛ	l ə v ɔ ɾ ɛ
9199	25350	northeuralex-swe	swed1254		bark	1204	BARK		barːk	b a rː k
9200	25351	northeuralex-tam	tami1289		bark	1204	BARK		pʌʈːʌi	p ʌ ʈː ʌ i
9201	25352	northeuralex-tam	tami1289		bark	1204	BARK		mʌɾʌpːʌʈːʌi	m ʌ ɾ ʌ pː ʌ ʈː ʌ i
9203	25354	northeuralex-tel	telu1262		bark	1204	BARK		t͡ɕeʈːupʌʈːʌ	tɕ e ʈː u p ʌ ʈː ʌ
9204	25355	northeuralex-tur	nucl1301		bark	1204	BARK		kabuk	k a b u k
9206	25357	northeuralex-ukr	ukra1253		bark	1204	BARK		kɔrɑ	k ɔ r ɑ
9226	25377	ratcliffearabic-Maltese	malt1254		bark	1204	BARK		ʔoʃr_a	ʔ o ʃ r a
9247	25398	saenkoromance-stellaligurian	ligu1248		bark	1204	BARK		s.k.ˈɔː.r.s.+.a	s k ɔː r s + a
9258	25409	savelyevturkic-Kirghiz	kirg1245		bark	1204	BARK		qabɯq	q a b ɯ q
9266	25417	savelyevturkic-Turkmen	turk1304		bark	1204	BARK		ɢabɯq	ɢ a b ɯ q
9268	25419	savelyevturkic-Uighur	uigh1240		bark	1204	BARK		qovzaq	q o v z a q
9349	25500	transnewguineaorg-indonesian	indo1316		bark	1204	BARK		kulit_kayu	k u l i t + k a j u
9400	25551	transnewguineaorg-tok-pisin	tokp1240		bark	1204	BARK		skin_diwai	s k i n + d i w a i
9444	25595	utoaztecan-Papago	toho1245		bark	1204	BARK		ɨldag	ɨ l d a g
9473	25624	wold-Dutch	dutc1256		bark	1204	BARK		bast	b ɑ s t
9474	25625	wold-English	stan1293		bark	1204	BARK		bark	b ɑː k
9477	25628	wold-Hausa	haus1257		bark	1204	BARK		ɓáawóo	ɓ aː w oː
9501	25652	wold-Romanian	roma1327		bark	1204	BARK		scoarţă	s k o a r ts ə
9502	25653	wold-Romanian	roma1327		bark	1204	BARK		coajă	k o a ʒ ə
9509	25660	wold-Thai	thai1261		bark	1204	BARK		plʉ̀ak	p ʉ a k
9510	25661	wold-Thai	thai1261		bark	1204	BARK		phǐw	pʰ i w
9511	25662	wold-Vietnamese	viet1252		bark	1204	BARK		vỏ	v ɔː ²¹⁴
22088	38239	abvdoceanic-Maori	maor1246		belly	1251	BELLY		puku	p u k u
22530	38681	cals-Tshink3	taji1245		belly	1251	BELLY		ʃkam	ʃ k a m
22618	38769	dunnaslian-Khmer_Siem_Reap	cent1989		belly	1251	BELLY		pŏɔh	p ŏ ɔ h
22630	38781	dunnielex-marathi	mara1378		belly	1251	BELLY		p.o.ʈ	p o ʈ
22632	38783	dunnielex-urdu	urdu1245		belly	1251	BELLY		p.e.ʈ	p e ʈ
23119	39270	northeuralex-ava	avar1256		belly	1251	BELLY		t͡ʃjex	tʃ j e x
23123	39274	northeuralex-ben	beng1280		belly	1251	BELLY		ud̪ɔr	u d̪ ɔ r
23128	39279	northeuralex-cat	stan1289		belly	1251	BELLY		paɲʃə	p a ɲ ʃ ə
23129	39280	northeuralex-ces	czec1258		belly	1251	BELLY		br̝ɪxo	b r̝ ɪ x o
23137	39288	northeuralex-deu	stan1295		belly	1251	BELLY		baʊ̯χ	b a ʊ χ
23146	39297	northeuralex-fra	stan1290		belly	1251	BELLY		ˈvɑ̃ːtʁə	v ɑ̃ː t ʁ ə
23150	39301	northeuralex-hin	hind1269		belly	1251	BELLY		ʊdər	ʊ d ə r
23151	39302	northeuralex-hrv	croa1245		belly	1251	BELLY		tř̩bux	t r b u x
23152	39303	northeuralex-hun	hung1274		belly	1251	BELLY		hɒʃ	h ɒ ʃ
23156	39307	northeuralex-ita	ital1282		belly	1251	BELLY		ventre	v e n t r e
23161	39312	northeuralex-kaz	kaza1248		belly	1251	BELLY		qɑɾən	q ɑ ɾ ə n
23165	39316	northeuralex-kmr	nort2641		belly	1251	BELLY		ur	u r
23166	39317	northeuralex-kmr	nort2641		belly	1251	BELLY		zək	z ə k
23177	39328	northeuralex-mal	mala1464		belly	1251	BELLY		n̪ajarɨ̆	n̪ a j a r ɨ
23193	39344	northeuralex-pol	poli1260		belly	1251	BELLY		bʐux	b ʐ u x
23194	39345	northeuralex-por	port1283		belly	1251	BELLY		ˈvẽtrə	v ẽ t r ə
23195	39346	northeuralex-por	port1283		belly	1251	BELLY		bɐˈʀiɣɐ	b ɐ ʀ i ɣ ɐ
23196	39347	northeuralex-rus	russ1263		belly	1251	BELLY		ʒɨvɔˑt	ʒ ɨ v ɔˑ t
23205	39356	northeuralex-spa	stan1288		belly	1251	BELLY		bjentɾe	b j e n t ɾ e
23206	39357	northeuralex-sqi	alba1267		belly	1251	BELLY		baɾk	b a ɾ k
23207	39358	northeuralex-swe	swed1254		belly	1251	BELLY		bʉːk	b ʉː k
23208	39359	northeuralex-swe	swed1254		belly	1251	BELLY		mɑːɡə	m ɑː g ə
23209	39360	northeuralex-tam	tami1289		belly	1251	BELLY		ʋʌjiru	ʋ ʌ j i r u
23211	39362	northeuralex-tel	telu1262		belly	1251	BELLY		kʌɖupu	k ʌ ɖ u p u
23212	39363	northeuralex-tur	nucl1301		belly	1251	BELLY		kaɾɯn	k a ɾ ɯ n
23214	39365	northeuralex-ukr	ukra1253		belly	1251	BELLY		ʐɪvit	ʐ ɪ v i t
23360	39511	polyglottaafricana-Nyanja	nyan1308		belly	1251	BELLY		mī́mba	m iː m b a
23404	39555	polyglottaafricana-Yoruba	yoru1245		belly	1251	BELLY		ínu	i n u
23405	39556	polyglottaafricana-Yoruba	yoru1245		belly	1251	BELLY		ínu	i n u
23406	39557	polyglottaafricana-Yoruba	yoru1245		belly	1251	BELLY		ḗno	eː n o
23407	39558	polyglottaafricana-Yoruba	yoru1245		belly	1251	BELLY		ī́no	iː n o
23408	39559	polyglottaafricana-Yoruba	yoru1245		belly	1251	BELLY		ínu	i n u
23409	39560	polyglottaafricana-Yoruba	yoru1245		belly	1251	BELLY		ī́nu	iː n u
23410	39561	polyglottaafricana-Yoruba	yoru1245		belly	1251	BELLY		ī́nu	iː n u
23411	39562	polyglottaafricana-Yoruba	yoru1245		belly	1251	BELLY		ínu	i n u
