	ID	DOCULECT	CONCEPT	Segments	GLOTTOCODE	ISO_CODE	CONCEPTICON_ID	CONCEPTICON_GLOSS	COGNATES	FORM
0	Aek-101_tofly-1	Aek	101_tofly	t̪ ẽ n	haek1239	aek	1441	FLY (MOVE THROUGH AIR)	tofly-90	
6	Aek-111_fish-1	Aek	111_fish	ɲ u	haek1239	aek	227	FISH	fish-9	
8	Aek-114_leaf-1	Aek	114_leaf	ⁿd o n	haek1239	aek	628	LEAF	leaf-1	
9	Aek-115_root-1	Aek	115_root	w aː ʰn a n	haek1239	aek	670	ROOT	root-2	
11	Aek-119_earthsoil-1	Aek	119_earthsoil	ⁿd o p	haek1239	aek	1228	EARTH (SOIL)	earthsoil-11	
14	Aek-120_stone-1	Aek	120_stone	v a i	haek1239	aek	857	STONE	stone-1	
15	Aek-121_sand-1	Aek	121_sand	ʰm e a n	haek1239	aek	671	SAND	sand-31	
16	Aek-122_water-1	Aek	122_water	w e	haek1239	aek	948	WATER	water-2	
19	Aek-129_moon-1	Aek	129_moon	p o e	haek1239	aek	1313	MOON	moon-52	
20	Aek-130_star-1	Aek	130_star	xʰ a f u t̪ ʔ i ŋ	haek1239	aek	1430	STAR	star-1	
21	Aek-131_cloud-1	Aek	131_cloud	θ a t̪ ʔ e	haek1239	aek	1489	CLOUD	cloud-85	
27	Aek-139_cold-1	Aek	139_cold	xʰ i m	haek1239	aek	1287	COLD	cold-128	
29	Aek-140_dry-1	Aek	140_dry	ð a ⁿb o a t̪	haek1239	aek	1398	DRY	dry-52	
31	Aek-143_fire-1	Aek	143_fire	m a e	haek1239	aek	221	FIRE	fire-51	
32	Aek-145_smoke-1	Aek	145_smoke	ʰm u	haek1239	aek	778	SMOKE (EXHAUST)	smoke-2	
33	Aek-145_smoke-1	Aek	145_smoke	ʰm u	haek1239	aek	778	SMOKE (EXHAUST)	smoke-76	
34	Aek-146_ashes-1	Aek	146_ashes	ⁿd a p	haek1239	aek	646	ASH	ash-1	
35	Aek-147_black-1	Aek	147_black	f i ŋ	haek1239	aek	163	BLACK	black-99	
36	Aek-148_white-1	Aek	148_white	f o a t̪	haek1239	aek	1335	WHITE	white-11	
37	Aek-149_red-1	Aek	149_red	t̪ a n a	haek1239	aek	156	RED	red-2	
38	Aek-14_belly-1	Aek	14_belly	j/dʒ i a + n	haek1239	aek	1251	BELLY	belly-1	
39	Aek-150_yellow-1	Aek	150_yellow	w e ʰn a ŋ	haek1239	aek	1424	YELLOW	yellow-92	
40	Aek-151_green-1	Aek	151_green	v u n	haek1239	aek	1425	GREEN	green-19	
42	Aek-153_big-1	Aek	153_big	xʰ o p o e n	haek1239	aek	1202	BIG	big-14	
47	Aek-163_new-1	Aek	163_new	ⁿb o a x a + ʰn a ŋ	haek1239	aek	1231	NEW	new-53	
48	Aek-164_good-1	Aek	164_good	x a ʰn a ŋ	haek1239	aek	1035	GOOD	good-136	
49	Aek-164_good-1	Aek	164_good	x a ʰn a ŋ	haek1239	aek	1035	GOOD	good-137	
53	Aek-167_night-1	Aek	167_night	ⁿb o e n	haek1239	aek	1233	NIGHT	night-1	
59	Aek-17_liver-1	Aek	17_liver	x iː + n	haek1239	aek	1224	LIVER	liver-1	
62	Aek-182_i-1	Aek	182_i	o ŋ	haek1239	aek	1209	I	i-1	
63	Aek-183_thou-1	Aek	183_thou	g o	haek1239	aek	1215	THOU	thou-1	
73	Aek-18_breast-1	Aek	18_breast	t̪ ʔ i + n	haek1239	aek	1402	BREAST	breast-1	
79	Aek-197_one-1	Aek	197_one	θ a ŋ	haek1239	aek	1493	ONE	one-4	
80	Aek-198_two-1	Aek	198_two	t̪ o l o	haek1239	aek	1498	TWO	two-1	
84	Aek-1_hand-1	Aek	1_hand	θ i + n	haek1239	aek	1277	HAND	hand-10	
96	Aek-20_toknowbeknowledgeable-1	Aek	20_toknowbeknowledgeable	c e ʔ i n a n	haek1239	aek	1410	KNOW (SOMETHING)	toknowbeknowledgeable-116	
98	Aek-23_blood-1	Aek	23_blood	f e ⁿd a l a + n	haek1239	aek	946	BLOOD	blood-46	
99	Aek-24_head-1	Aek	24_head	ⁿb o a + n	haek1239	aek	1256	HEAD	head-9	
100	Aek-25_neck-1	Aek	25_neck	i + ɲ o + n	haek1239	aek	1333	NECK	neck-18	
101	Aek-26_hair-1	Aek	26_hair	v u + ⁿb o a + n	haek1239	aek	1040	HAIR	hair-31	
102	Aek-27_nose-1	Aek	27_nose	f o a ⁿd i + n	haek1239	aek	1221	NOSE	nose-14	
105	Aek-30_mouth-1	Aek	30_mouth	ɲ u a + n	haek1239	aek	674	MOUTH	mouth-36	
106	Aek-31_tooth-1	Aek	31_tooth	v a c/ts i ɲ u a + n	haek1239	aek	1380	TOOTH	tooth-6	
107	Aek-31_tooth-1	Aek	31_tooth	v a c/ts i ɲ u a + n	haek1239	aek	1380	TOOTH	tooth-1	
108	Aek-32_tongue-1	Aek	32_tongue	x u + ʰm p a + n	haek1239	aek	1205	TONGUE	tongue-47	
110	Aek-37_toeat-1	Aek	37_toeat	v o a ɣʷ u i x a m a n	haek1239	aek	1336	EAT	toeat-1	
111	Aek-37_toeat-1	Aek	37_toeat	v o a ɣʷ u i x a m a n	haek1239	aek	1336	EAT	toeat-55	
113	Aek-40_todrink-1	Aek	40_todrink	w u ⁿd u	haek1239	aek	1401	DRINK	todrink-6	
114	Aek-40_todrink-2	Aek	40_todrink	t̪ ʔ a o	haek1239	aek	1401	DRINK	todrink-68	
