	ID	DOCULECT	CONCEPT	Segments	GLOTTOCODE	ISO_CODE	CONCEPTICON_ID	CONCEPTICON_GLOSS	COGNATES	FORM
0	Achagua-100_who-1	Achagua	100_who	t á/a n a	acha1250	aca	1235	WHO	947	
1	Achagua-101_woman-1	Achagua	101_woman	í/i i n e t oo	acha1250	aca	962	WOMAN	968	
2	Achagua-101_woman-2	Achagua	101_woman	í/i i n a	acha1250	aca	962	WOMAN	968	
3	Achagua-102_yellow-1	Achagua	102_yellow	m e r ee k ii	acha1250	aca	1424	YELLOW	971	
4	Achagua-10_blood-1	Achagua	10_blood	ii r a i	acha1250	aca	946	BLOOD	97	
5	Achagua-11_bone-1	Achagua	11_bone	j a h i ʃ i	acha1250	aca	1394	BONE	108	
6	Achagua-13_breast2-1	Achagua	13_breast2	k u t a ʃ i	acha1250	aca	1402	BREAST	120	
7	Achagua-15_burn2-1	Achagua	15_burn2	e: m a i r i	acha1250	aca	2102	BURN	130	
8	Achagua-16_claw-1	Achagua	16_claw	j u b a w i a ʃ i	acha1250	aca	72	CLAW	138	
9	Achagua-17_cloud-1	Achagua	17_cloud	s aa n a i	acha1250	aca	1489	CLOUD	143	
10	Achagua-18_cold-1	Achagua	18_cold	k a s a l i n i:	acha1250	aca	1287	COLD	153	
11	Achagua-19_come-1	Achagua	19_come	i: n u e r i	acha1250	aca	1446	COME	169	
12	Achagua-1_i-1	Achagua	1_i	n u j a	acha1250	aca	1209	I	1	
13	Achagua-20_die-1	Achagua	20_die	m a: n a l i:	acha1250	aca	1494	DIE	177	
14	Achagua-21_dog-1	Achagua	21_dog	a u l i	acha1250	aca	2009	DOG	190	
15	Achagua-22_drink-1	Achagua	22_drink	i: r e r i	acha1250	aca	1401	DRINK	196	
16	Achagua-24_ear-1	Achagua	24_ear	w i b a ʃ i	acha1250	aca	1247	EAR	219	
17	Achagua-25_earth-1	Achagua	25_earth	k a i n a b i	acha1250	aca	1228	EARTH (SOIL)	228	
18	Achagua-26_eat-1	Achagua	26_eat	i: j e r i	acha1250	aca	1336	EAT	232	
19	Achagua-27_egg-1	Achagua	27_egg	ee w i ʃ i	acha1250	aca	744	EGG	246	
20	Achagua-28_eye-1	Achagua	28_eye	t u i ʃ i	acha1250	aca	1248	EYE	254	
21	Achagua-2_all-1	Achagua	2_all	k i n i n a m a	acha1250	aca	98	ALL	9	
22	Achagua-30_fire-1	Achagua	30_fire	tʃ i tʃ a i	acha1250	aca	221	FIRE	272	
23	Achagua-31_fishn-1	Achagua	31_fishn	k u b a i	acha1250	aca	227	FISH	273	
25	Achagua-33_flyv-1	Achagua	33_flyv	j a: r e r i u	acha1250	aca	1441	FLY (MOVE THROUGH AIR)	297	
26	Achagua-34_foot-1	Achagua	34_foot	i: b a ʃ i	acha1250	aca	1301	FOOT	306	
27	Achagua-35_full-1	Achagua	35_full	k a: w a i	acha1250	aca	1429	FULL	317	
28	Achagua-36_give-1	Achagua	36_give	j aa i r i	acha1250	aca	1447	GIVE	326	
29	Achagua-37_good-1	Achagua	37_good	s a i k a	acha1250	aca	1035	GOOD	329	
30	Achagua-38_grease-1	Achagua	38_grease	j uu w i k a	acha1250	aca	323	FAT (ORGANIC SUBSTANCE)	338	
31	Achagua-39_green-1	Achagua	39_green	u l e: j i	acha1250	aca	1425	GREEN	349	
32	Achagua-3_ash-1	Achagua	3_ash	b a: l i	acha1250	aca	646	ASH	27	
33	Achagua-40_hair-1	Achagua	40_hair	b a i n a ʃ i	acha1250	aca	1040	HAIR	353	
34	Achagua-41_hand-1	Achagua	41_hand	k a h i ʃ i	acha1250	aca	1277	HAND	370	
35	Achagua-42_head-1	Achagua	42_head	w i t a ʃ i	acha1250	aca	1256	HEAD	379	
36	Achagua-43_hear-1	Achagua	43_hear	e: m e r i	acha1250	aca	1408	HEAR	390	
37	Achagua-44_heart-1	Achagua	44_heart	w o w a ʃ i	acha1250	aca	1223	HEART	400	
38	Achagua-45_horn-1	Achagua	45_horn	tʃ a: l a ʃ i	acha1250	aca	1393	HORN (ANATOMY)	406	
40	Achagua-47_kill-1	Achagua	47_kill	i: n u e r i	acha1250	aca	1417	KILL	426	
41	Achagua-48_knee-1	Achagua	48_knee	j u r u i ʃ i	acha1250	aca	1371	KNEE	435	
42	Achagua-49_know-1	Achagua	49_know	e: w e r i	acha1250	aca	1410	KNOW (SOMETHING)	446	
43	Achagua-49_know-2	Achagua	49_know	j a l e: n a:	acha1250	aca	1410	KNOW (SOMETHING)	443	
44	Achagua-4_bark-1	Achagua	4_bark	i: m a n a ʃ i	acha1250	aca	1204	BARK	37	
45	Achagua-50_leaf-1	Achagua	50_leaf	b a n a b a i	acha1250	aca	628	LEAF	453	
47	Achagua-52_liver-1	Achagua	52_liver	tʃ a: l i ʃ i	acha1250	aca	1224	LIVER	472	
48	Achagua-53_long-1	Achagua	53_long	m a tʃ e: n i:	acha1250	aca	1203	LONG	482	
49	Achagua-54_louse-1	Achagua	54_louse	w i t e n e ʃ i	acha1250	aca	1392	LOUSE	488	
50	Achagua-55_manadultmale-1	Achagua	55_manadultmale	w a ʃ i a l i k u e r i	acha1250	aca	1554	MAN	501	
51	Achagua-56_many-1	Achagua	56_many	b a h i a l a	acha1250	aca	1198	MANY	506	
52	Achagua-57_moon-1	Achagua	57_moon	k e: r i	acha1250	aca	1313	MOON	521	
53	Achagua-58_mountain-1	Achagua	58_mountain	d ú/u u l i	acha1250	aca	639	MOUNTAIN	536	
54	Achagua-59_mouth-1	Achagua	59_mouth	n u m a ʃ i	acha1250	aca	674	MOUTH	546	
55	Achagua-5_belly-1	Achagua	5_belly	j a w a i ʃ i	acha1250	aca	1251	BELLY	39	
56	Achagua-60_name-1	Achagua	60_name	h i ʔ i n a ʃ i	acha1250	aca	1405	NAME	547	
57	Achagua-61_neck-1	Achagua	61_neck	w a: ʃ i	acha1250	aca	1333	NECK	555	
58	Achagua-62_new-1	Achagua	62_new	w a: l i:	acha1250	aca	1231	NEW	572	
59	Achagua-63_night-1	Achagua	63_night	t a: j e	acha1250	aca	1233	NIGHT	584	
60	Achagua-64_nose-1	Achagua	64_nose	d a k u ʃ i	acha1250	aca	1221	NOSE	591	
61	Achagua-65_not-1	Achagua	65_not	m a	acha1250	aca	1240	NOT	593	
62	Achagua-65_not-2	Achagua	65_not	h oo k a i	acha1250	aca	1240	NOT	601	
63	Achagua-66_one-1	Achagua	66_one	a: b a i	acha1250	aca	1493	ONE	613	
65	Achagua-68_person-1	Achagua	68_person	w e n à/a i w i k a	acha1250	aca	683	PERSON	635	
67	Achagua-6_big-1	Achagua	6_big	m aa n u ii	acha1250	aca	1202	BIG	58	
68	Achagua-70_red-1	Achagua	70_red	k í/i r a i	acha1250	aca	156	RED	653	
69	Achagua-71_root-1	Achagua	71_root	h í/i i tʃ u ʃ i	acha1250	aca	670	ROOT	663	
70	Achagua-72_round-1	Achagua	72_round	m a k a	acha1250	aca	1395	ROUND	668	
71	Achagua-73_sand-1	Achagua	73_sand	k á/a i n a	acha1250	aca	671	SAND	680	
72	Achagua-74_say-1	Achagua	74_say	m á/a i r i	acha1250	aca	1458	SAY	689	
73	Achagua-75_see-1	Achagua	75_see	k á/a b e r i	acha1250	aca	1409	SEE	695	
74	Achagua-76_seed-1	Achagua	76_seed	í/i i m i ʃ i	acha1250	aca	714	SEED	705	
75	Achagua-77_sit-1	Achagua	77_sit	w á/a a i r i u	acha1250	aca	1416	SIT	710	
76	Achagua-78_skin-1	Achagua	78_skin	í/i i m a n a ʃ i	acha1250	aca	763	SKIN	728	
77	Achagua-79_sleep-1	Achagua	79_sleep	m á/a a i r i	acha1250	aca	1585	SLEEP	738	
78	Achagua-7_bird-1	Achagua	7_bird	m í/i ʃ i d u	acha1250	aca	937	BIRD	66	
79	Achagua-80_small-1	Achagua	80_small	p i: t u i t u:	acha1250	aca	1246	SMALL	746	
80	Achagua-81_smoke-1	Achagua	81_smoke	í/i i s a n i n aa	acha1250	aca	778	SMOKE (EXHAUST)	755	
81	Achagua-82_stand-1	Achagua	82_stand	b a r u e r i u	acha1250	aca	1442	STAND	762	
82	Achagua-83_star-1	Achagua	83_star	s á/a a l ii	acha1250	aca	1430	STAR	16	
83	Achagua-84_stone-1	Achagua	84_stone	í/i i b a	acha1250	aca	857	STONE	777	
84	Achagua-85_sun-1	Achagua	85_sun	k á/a i w i a	acha1250	aca	1343	SUN	788	
85	Achagua-86_swim-1	Achagua	86_swim	j á/a m a r e r i u	acha1250	aca	1439	SWIM	795	
86	Achagua-87_tail-1	Achagua	87_tail	í/i i ʃ i ʃ i	acha1250	aca	1220	TAIL	809	
87	Achagua-88_that-1	Achagua	88_that	l i á/a r a	acha1250	aca	78	THAT	826	
88	Achagua-88_that-2	Achagua	88_that	r u á/a r a	acha1250	aca	78	THAT	826	
89	Achagua-89_this-1	Achagua	89_this	l i á/a n i	acha1250	aca	1214	THIS	826	
90	Achagua-89_this-2	Achagua	89_this	r u a n i	acha1250	aca	1214	THIS	835	
91	Achagua-89_this-3	Achagua	89_this	n á/a a n i	acha1250	aca	1214	THIS	837	
92	Achagua-8_bite-1	Achagua	8_bite	á/a m u a	acha1250	aca	1403	BITE	79	
93	Achagua-90_thouyou-1	Achagua	90_thouyou	i j á/a	acha1250	aca	1215	THOU	844	
94	Achagua-91_tongue-1	Achagua	91_tongue	í/i n a n ee ʃ i	acha1250	aca	1205	TONGUE	857	
95	Achagua-92_tooth-1	Achagua	92_tooth	é/e e ʃ i	acha1250	aca	1380	TOOTH	862	
96	Achagua-93_treewood-1	Achagua	93_treewood	á/a i k u b a	acha1250	aca	906	TREE	879	
