	ID	DOCULECT	CONCEPT	Segments	GLOTTOCODE	ISO_CODE	CONCEPTICON_ID	CONCEPTICON_GLOSS	COGNATES	FORM
0	Achagua-100_collaredpeccary-1	Achagua	100_collaredpeccary	tʃ a m uː	acha1250	aca	435.0	COLLARED PECCARY	21813	
1	Achagua-100_collaredpeccary-2	Achagua	100_collaredpeccary	a h tʃ a	acha1250	aca	435.0	COLLARED PECCARY	21838	
2	Achagua-102_seed-1	Achagua	102_seed	iː m i	acha1250	aca	714.0	SEED	22013	
3	Achagua-103_snake-1	Achagua	103_snake	aa i	acha1250	aca	730.0	SNAKE	22231	
4	Achagua-104_sun-1	Achagua	104_sun	k a i w i a	acha1250	aca	1343.0	SUN	26359	
5	Achagua-106_blow-1	Achagua	106_blow	h u h u n e d a	acha1250	aca	175.0	BLOW (OF WIND)	71	
6	Achagua-107_tobacco-1	Achagua	107_tobacco	tʃ eː m a	acha1250	aca	974.0	TOBACCO	23021	
7	Achagua-109_roof-1	Achagua	109_roof	k u iː t a	acha1250	aca	769.0	ROOF	26333	
8	Achagua-10_cayman-1	Achagua	10_cayman	tʃ a m a n a	acha1250	aca	2438.0	CAIMAN	11887	
9	Achagua-111_earth-1	Achagua	111_earth	k a i n a b i	acha1250	aca	1228.0	EARTH (SOIL)	23431	
10	Achagua-112_jaguar-1	Achagua	112_jaguar	tʃ aa w i	acha1250	aca	1250.0	JAGUAR	13133	
11	Achagua-113_tortoise-1	Achagua	113_tortoise	aa ʒ a	acha1250	aca	895.0	TORTOISE	26363	
12	Achagua-113_tortoise-2	Achagua	113_tortoise	iː k u l i	acha1250	aca	895.0	TORTOISE	23683	
13	Achagua-113_tortoise-3	Achagua	113_tortoise	ʃ i p a n u l i	acha1250	aca	895.0	TORTOISE	26364	
14	Achagua-115_path-1	Achagua	115_path	i n i h b aa	acha1250	aca	2252.0	PATH	23836	
15	Achagua-115_path-2	Achagua	115_path	j a h b aa	acha1250	aca	2252.0	PATH	26780	
16	Achagua-116_toucan-1	Achagua	116_toucan	tʃ aa s i	acha1250	aca	308.0	TOUCAN	24099	
17	Achagua-117_one-1	Achagua	117_one	b a k eː ʒ i	acha1250	aca	1493.0	ONE	24236	
18	Achagua-118_yousingular-1	Achagua	118_yousingular	h i j a	acha1250	aca	1215.0	THOU	24386	
19	Achagua-119_youplural-1	Achagua	119_youplural	i j a	acha1250	aca	1213.0	YOU	24289	
20	Achagua-11_gourd-1	Achagua	11_gourd	tʃ u k u t a	acha1250	aca	411.0	GOURD	81	
21	Achagua-121_deer-1	Achagua	121_deer	n eː ʒ i	acha1250	aca	1936.0	DEER	24679	
22	Achagua-122_come-1	Achagua	122_come	iː n u	acha1250	aca	1446.0	COME	24769	
23	Achagua-123_see-1	Achagua	123_see	k a b a	acha1250	aca	1409.0	SEE	24973	
24	Achagua-124_oldman-1	Achagua	124_oldman	s a l iː ʒ a n i	acha1250	aca	406.0	OLD MAN	25199	
25	Achagua-125_i-1	Achagua	125_i	n u j a	acha1250	aca	1209.0	I	25781	
26	Achagua-125_i-2	Achagua	125_i	n u j a + n u j a	acha1250	aca	1209.0	I	25781	
27	Achagua-126_manioc-1	Achagua	126_manioc	aa l i ʒ i	acha1250	aca	925.0	CASSAVA	26955	
28	Achagua-127_mosquito-1	Achagua	127_mosquito	aa n tʃ u	acha1250	aca	1509.0	MOSQUITO	25928	
29	Achagua-128_tree-1	Achagua	128_tree	h uː b a	acha1250	aca	906.0	TREE	26549	
30	Achagua-128_tree-2	Achagua	128_tree	a i k u b a	acha1250	aca	906.0	TREE	20624	
31	Achagua-12_pathtrail-1	Achagua	12_pathtrail	i n i h b aa	acha1250	aca	nan	nan	26612	
32	Achagua-12_pathtrail-2	Achagua	12_pathtrail	j a h b aa	acha1250	aca	nan	nan	3514	
33	Achagua-14_fire-1	Achagua	14_fire	ʃ i j a	acha1250	aca	221.0	FIRE	13036	
34	Achagua-14_fire-2	Achagua	14_fire	tʃ i tʃ a i	acha1250	aca	221.0	FIRE	13036	
35	Achagua-15_canoe-1	Achagua	15_canoe	iː d a	acha1250	aca	1970.0	CANOE	20981	
36	Achagua-15_canoe-2	Achagua	15_canoe	h u n aa	acha1250	aca	1970.0	CANOE	20981	
37	Achagua-17_house-1	Achagua	17_house	k u iː t a	acha1250	aca	1252.0	HOUSE	26333	
38	Achagua-1_bee-1	Achagua	1_bee	m aa b a	acha1250	aca	665.0	BEE	162	
39	Achagua-22_capybara-1	Achagua	22_capybara	k eː s u	acha1250	aca	314.0	CAPYBARA	4906	
40	Achagua-27_knife-1	Achagua	27_knife	w i s u b i ʃ i	acha1250	aca	1352.0	KNIFE	6698	
41	Achagua-27_knife-2	Achagua	27_knife	w i s u b eː	acha1250	aca	1352.0	KNIFE	6698	
42	Achagua-28_horn-1	Achagua	28_horn	tʃ a l a	acha1250	aca	1393.0	HORN (ANATOMY)	6912	
43	Achagua-30_tapir-1	Achagua	30_tapir	d aa n t a	acha1250	aca	312.0	TAPIR	7031	
44	Achagua-31_tooth-1	Achagua	31_tooth	eː	acha1250	aca	1380.0	TOOTH	7676	
45	Achagua-32_two-1	Achagua	32_two	tʃ a m aa h u	acha1250	aca	1498.0	TWO	7925	
46	Achagua-32_two-2	Achagua	32_two	tʃ a m a i	acha1250	aca	1498.0	TWO	7925	
