	ID	DOCULECT	CONCEPT	Segments	GLOTTOCODE	ISO_CODE	CONCEPTICON_ID	CONCEPTICON_GLOSS	COGNATES	FORM
0	Arhuaco-100_tripas-1	Arhuaco	100_tripas	g 'a/a s i ɾ o	arhu1242	arh	1334	GUTS	1288	
1	Arhuaco-101_tu-1	Arhuaco	101_tu	m a	arhu1242	arh	1215	THOU	1293	
2	Arhuaco-102_uno-1	Arhuaco	102_uno	'i/i n ʔ g w i	arhu1242	arh	1493	ONE	1304	
3	Arhuaco-103_ustedes-1	Arhuaco	103_ustedes	'm/m i w i	arhu1242	arh	1213	YOU	1314	
4	Arhuaco-104_venir-1	Arhuaco	104_venir	'n/n a + k	arhu1242	arh	1446	COME	1327	
5	Arhuaco-105_ver-1	Arhuaco	105_ver	't/t ʃ w	arhu1242	arh	1409	SEE	1342	
6	Arhuaco-106_verde-1	Arhuaco	106_verde	't/t ʃ i k i 'ɾ/ɾ u ɾ u	arhu1242	arh	1425	GREEN	1361	
7	Arhuaco-107_viejo-1	Arhuaco	107_viejo	'a/a tʃ ə n a	arhu1242	arh	1229	OLD	1376	
8	Arhuaco-108_viento-1	Arhuaco	108_viento	'b/b u n t i k ə n ɨ	arhu1242	arh	960	WIND	1386	
10	Arhuaco-10_boca-1	Arhuaco	10_boca	k ə + k a	arhu1242	arh	674	MOUTH	113	
11	Arhuaco-110_yo-1	Arhuaco	110_yo	n ə n	arhu1242	arh	1209	I	1414	
12	Arhuaco-11_bosque-1	Arhuaco	11_bosque	'k/k ə n k ə n i	arhu1242	arh	420	FOREST	126	
13	Arhuaco-12_bueno-1	Arhuaco	12_bueno	d u + k a w a	arhu1242	arh	1035	GOOD	144	
14	Arhuaco-13_cabello-1	Arhuaco	13_cabello	's/s a + g ə n ɨ	arhu1242	arh	1040	HAIR	157	
15	Arhuaco-14_cabeza-1	Arhuaco	14_cabeza	s 'a/a + k u k u	arhu1242	arh	1256	HEAD	169	
16	Arhuaco-15_caer-1	Arhuaco	15_caer	'w/w a ʔ n	arhu1242	arh	1280	FALL	193	
18	Arhuaco-17_caminar-1	Arhuaco	17_caminar	'n/n a ʒ	arhu1242	arh	1443	WALK	218	
20	Arhuaco-19_cantar-1	Arhuaco	19_cantar	z 'a/a m a ʒ	arhu1242	arh	1261	SING	253	
21	Arhuaco-1_agua-1	Arhuaco	1_agua	dʒ e	arhu1242	arh	948	WATER	4	
23	Arhuaco-21_ceniza-1	Arhuaco	21_ceniza	'b/b u n z ə g a	arhu1242	arh	646	ASH	270	
24	Arhuaco-22_cinco-1	Arhuaco	22_cinco	'a/a s e w a	arhu1242	arh	493	FIVE	282	
25	Arhuaco-23_cola-1	Arhuaco	23_cola	'd/d ʒ o ʔ o	arhu1242	arh	1220	TAIL	294	
26	Arhuaco-24_comer-1	Arhuaco	24_comer	'z/z	arhu1242	arh	1336	EAT	310	
27	Arhuaco-25_con-1	Arhuaco	25_con	s i n	arhu1242	arh	1340	WITH	323	
