	ID	DOCULECT	CONCEPT	Segments	GLOTTOCODE	ISO_CODE	CONCEPTICON_ID	CONCEPTICON_GLOSS	COGNATES	FORM
173	Apuri-101_yellow-1	Apuri	101_yellow	q a ɾ w a	apur1253	nan	1424	YELLOW	834	
174	Apuri-102_big-1	Apuri	102_big	h a t u n	apur1253	nan	1202	BIG	189	
175	Apuri-103_highup-1	Apuri	103_highup	h a n ai	apur1253	nan	1591	UP	359	
176	Apuri-103_highup-2	Apuri	103_highup	w i ʈ ai	apur1253	nan	1591	UP	362	
177	Apuri-104_small-1	Apuri	104_small	t a k s a	apur1253	nan	1246	SMALL	862	
178	Apuri-104_small-2	Apuri	104_small	u tʃ u k	apur1253	nan	1246	SMALL	512	
179	Apuri-105_youngfemale-1	Apuri	105_youngfemale	ʃ i p a ʃ	apur1253	nan	563	YOUNG (OF WOMAN)	837	
180	Apuri-106_youngmale-1	Apuri	106_youngmale	m a q t a	apur1253	nan	564	YOUNG (OF MAN)	102	
181	Apuri-107_oldman-1	Apuri	107_oldman	m a tʃ u	apur1253	nan	565	OLD (OF MAN)	577	
182	Apuri-108_oldwoman-1	Apuri	108_oldwoman	tʃ a k w a ʃ	apur1253	nan	566	OLD (OF WOMAN)	588	
183	Apuri-109_besick-1	Apuri	109_besick	o ŋ q u	apur1253	nan	1847	SICK	874	
184	Apuri-10_ten-1	Apuri	10_ten	ʈ u n k a	apur1253	nan	1515	TEN	733	
185	Apuri-110_tire-1	Apuri	110_tire	p i ʃ i p a	apur1253	nan	1996	GET TIRED	755	
186	Apuri-111_many-1	Apuri	111_many	a tʃ k a	apur1253	nan	1198	MANY	515	
187	Apuri-112_full-1	Apuri	112_full	h u n t a	apur1253	nan	1429	FULL	233	
188	Apuri-114_heavy-1	Apuri	114_heavy	ʎ a s a	apur1253	nan	1210	HEAVY	339	
189	Apuri-116_faraway-1	Apuri	116_faraway	k a ɾ u	apur1253	nan	1406	FAR	124	
190	Apuri-117_warmhotsw-1	Apuri	117_warmhotsw	q o n i	apur1253	nan	2272	HOT OR WARM	783	
191	Apuri-118_cold-1	Apuri	118_cold	tʃ i ɾ i	apur1253	nan	1287	COLD	852	
192	Apuri-118_cold-2	Apuri	118_cold	a l a l ai	apur1253	nan	1287	COLD	853	
193	Apuri-119_dry-1	Apuri	119_dry	tʃ a k i	apur1253	nan	1398	DRY	40	
194	Apuri-11_year-1	Apuri	11_year	w a t a	apur1253	nan	1226	YEAR	830	
195	Apuri-120_sweet-1	Apuri	120_sweet	m i ʃ k i	apur1253	nan	717	SWEET	721	
196	Apuri-121_happybe-1	Apuri	121_happybe	k u ʃ i	apur1253	nan	1495	HAPPY	303	
197	Apuri-122_new-1	Apuri	122_new	m u ʃ o q	apur1253	nan	1231	NEW	557	
198	Apuri-123_goto-1	Apuri	123_goto	ai w a	apur1253	nan	695	GO	101	
199	Apuri-123_goto-2	Apuri	123_goto	ɾ i	apur1253	nan	695	GO	251	
200	Apuri-124_cometo-1	Apuri	124_cometo	h a m u	apur1253	nan	1446	COME	860	
201	Apuri-126_standto-1	Apuri	126_standto	s a j a	apur1253	nan	1442	STAND	701	
202	Apuri-127_sitto-1	Apuri	127_sitto	t i j a	apur1253	nan	1416	SIT	668	
203	Apuri-129_flyto-1	Apuri	129_flyto	p a w a	apur1253	nan	1441	FLY (MOVE THROUGH AIR)	183	
204	Apuri-12_righthandside-1	Apuri	12_righthandside	a ʎ e q	apur1253	nan	1019	RIGHT	601	
205	Apuri-130_hideto-1	Apuri	130_hideto	p a k a	apur1253	nan	602	HIDE (CONCEAL)	348	
206	Apuri-131_eatto-1	Apuri	131_eatto	m i k u	apur1253	nan	1336	EAT	57	
207	Apuri-132_drinkto-1	Apuri	132_drinkto	u p j a	apur1253	nan	1401	DRINK	30	
208	Apuri-133_biteto-1	Apuri	133_biteto	k a n i	apur1253	nan	1403	BITE	373	
209	Apuri-134_suckto-1	Apuri	134_suckto	ʃ o q u	apur1253	nan	1421	SUCK	713	
210	Apuri-135_lickto-1	Apuri	135_lickto	ʎ a q w a	apur1253	nan	319	LICK	449	
211	Apuri-136_spitto-1	Apuri	136_spitto	t o q a	apur1253	nan	1440	SPIT	700	
212	Apuri-137_sleepto-1	Apuri	137_sleepto	p u ɲ u	apur1253	nan	1585	SLEEP	680	
213	Apuri-138_liveto-1	Apuri	138_liveto	k au s a	apur1253	nan	1422	BE ALIVE	482	
214	Apuri-139_dieto-1	Apuri	139_dieto	w a ɲ u	apur1253	nan	1494	DIE	12	
215	Apuri-13_lefthandside-1	Apuri	13_lefthandside	i tʃ o q	apur1253	nan	244	LEFT	435	
216	Apuri-140_seeto-1	Apuri	140_seeto	q a w a	apur1253	nan	1409	SEE	641	
217	Apuri-140_seeto-2	Apuri	140_seeto	ɾ i k a	apur1253	nan	1409	SEE	640	
218	Apuri-141_hearto-1	Apuri	141_hearto	u j a	apur1253	nan	1408	HEAR	319	
219	Apuri-142_knowto-1	Apuri	142_knowto	j a ʈ a	apur1253	nan	1410	KNOW (SOMETHING)	409	
220	Apuri-143_thinkoveraboutto-1	Apuri	143_thinkoveraboutto	j u j a	apur1253	nan	1415	THINK (REFLECT)	737	
221	Apuri-144_speakto-1	Apuri	144_speakto	ɾ i m a	apur1253	nan	1623	SPEAK	691	
222	Apuri-145_laughto-1	Apuri	145_laughto	a s i	apur1253	nan	1355	LAUGH	416	
223	Apuri-146_cryto-1	Apuri	146_cryto	w a q a	apur1253	nan	1839	CRY	869	
224	Apuri-147_giveto-1	Apuri	147_giveto	q o	apur1253	nan	1447	GIVE	243	
225	Apuri-148_sewto-1	Apuri	148_sewto	s i ɾ a	apur1253	nan	1457	SEW	652	
