	ID	DOCULECT	CONCEPT	Segments	GLOTTOCODE	ISO_CODE	CONCEPTICON_ID	CONCEPTICON_GLOSS	COGNATES	FORM
173	Apuri-101_yellow-1	Apuri	101_yellow	q a ɾ w a	apur1253	nan	1424	YELLOW	834	
174	Apuri-102_big-1	Apuri	102_big	h a t u n	apur1253	nan	1202	BIG	189	
177	Apuri-104_small-1	Apuri	104_small	t a k s a	apur1253	nan	1246	SMALL	862	
178	Apuri-104_small-2	Apuri	104_small	u tʃ u k	apur1253	nan	1246	SMALL	512	
186	Apuri-111_many-1	Apuri	111_many	a tʃ k a	apur1253	nan	1198	MANY	515	
187	Apuri-112_full-1	Apuri	112_full	h u n t a	apur1253	nan	1429	FULL	233	
190	Apuri-117_warmhotsw-1	Apuri	117_warmhotsw	q o n i	apur1253	nan	2272	HOT OR WARM	783	
191	Apuri-118_cold-1	Apuri	118_cold	tʃ i ɾ i	apur1253	nan	1287	COLD	852	
192	Apuri-118_cold-2	Apuri	118_cold	a l a l ai	apur1253	nan	1287	COLD	853	
193	Apuri-119_dry-1	Apuri	119_dry	tʃ a k i	apur1253	nan	1398	DRY	40	
197	Apuri-122_new-1	Apuri	122_new	m u ʃ o q	apur1253	nan	1231	NEW	557	
200	Apuri-124_cometo-1	Apuri	124_cometo	h a m u	apur1253	nan	1446	COME	860	
201	Apuri-126_standto-1	Apuri	126_standto	s a j a	apur1253	nan	1442	STAND	701	
202	Apuri-127_sitto-1	Apuri	127_sitto	t i j a	apur1253	nan	1416	SIT	668	
203	Apuri-129_flyto-1	Apuri	129_flyto	p a w a	apur1253	nan	1441	FLY (MOVE THROUGH AIR)	183	
206	Apuri-131_eatto-1	Apuri	131_eatto	m i k u	apur1253	nan	1336	EAT	57	
207	Apuri-132_drinkto-1	Apuri	132_drinkto	u p j a	apur1253	nan	1401	DRINK	30	
208	Apuri-133_biteto-1	Apuri	133_biteto	k a n i	apur1253	nan	1403	BITE	373	
212	Apuri-137_sleepto-1	Apuri	137_sleepto	p u ɲ u	apur1253	nan	1585	SLEEP	680	
214	Apuri-139_dieto-1	Apuri	139_dieto	w a ɲ u	apur1253	nan	1494	DIE	12	
216	Apuri-140_seeto-1	Apuri	140_seeto	q a w a	apur1253	nan	1409	SEE	641	
217	Apuri-140_seeto-2	Apuri	140_seeto	ɾ i k a	apur1253	nan	1409	SEE	640	
218	Apuri-141_hearto-1	Apuri	141_hearto	u j a	apur1253	nan	1408	HEAR	319	
219	Apuri-142_knowto-1	Apuri	142_knowto	j a ʈ a	apur1253	nan	1410	KNOW (SOMETHING)	409	
224	Apuri-147_giveto-1	Apuri	147_giveto	q o	apur1253	nan	1447	GIVE	243	
230	Apuri-15_thouyousg-1	Apuri	15_thouyousg	q a m	apur1253	nan	1215	THOU	748	
231	Apuri-16_not-1	Apuri	16_not	m a n a	apur1253	nan	1240	NOT	574	
232	Apuri-17_what-1	Apuri	17_what	i m a	apur1253	nan	1236	WHAT	794	
233	Apuri-18_who-1	Apuri	18_who	p i	apur1253	nan	1235	WHO	801	
234	Apuri-19_this-1	Apuri	19_this	k ai	apur1253	nan	1214	THIS	746	
235	Apuri-1_one-1	Apuri	1_one	h u k	apur1253	nan	1493	ONE	590	
237	Apuri-21_head-1	Apuri	21_head	u m a	apur1253	nan	1256	HEAD	309	
242	Apuri-25_eye-1	Apuri	25_eye	ɲ a w i	apur1253	nan	1248	EYE	104	
243	Apuri-26_nose-1	Apuri	26_nose	s e ŋ q a	apur1253	nan	1221	NOSE	571	
244	Apuri-27_ear-1	Apuri	27_ear	ɾ i n ɾ i	apur1253	nan	1247	EAR	48	
245	Apuri-28_mouth-1	Apuri	28_mouth	ʃ i m i	apur1253	nan	674	MOUTH	543	
246	Apuri-2_two-1	Apuri	2_two	i ʃ k ai	apur1253	nan	1498	TWO	774	
247	Apuri-30_tongue-1	Apuri	30_tongue	q a ʎ u	apur1253	nan	1205	TONGUE	759	
248	Apuri-31_tooth-1	Apuri	31_tooth	k i ɾ u	apur1253	nan	1380	TOOTH	761	
249	Apuri-32_hand-1	Apuri	32_hand	m a k i	apur1253	nan	1277	HAND	295	
251	Apuri-34_neck-1	Apuri	34_neck	k u n k a	apur1253	nan	1333	NECK	554	
253	Apuri-36_foot-1	Apuri	36_foot	ʈ a k i	apur1253	nan	1301	FOOT	764	
255	Apuri-38_knee-1	Apuri	38_knee	q o n q o ɾ	apur1253	nan	1371	KNEE	399	
256	Apuri-39_blood-1	Apuri	39_blood	j a w a ɾ	apur1253	nan	946	BLOOD	537	
258	Apuri-40_bone-1	Apuri	40_bone	t u ʎ u	apur1253	nan	1394	BONE	581	
259	Apuri-41_skin-1	Apuri	41_skin	q a ɾ a	apur1253	nan	763	SKIN	677	
261	Apuri-43_bellystomach-1	Apuri	43_bellystomach	w i k s a	apur1253	nan	1251	BELLY	83	
263	Apuri-45_breast-1	Apuri	45_breast	tʃ i tʃ i	apur1253	nan	1402	BREAST	696	
264	Apuri-45_breast-2	Apuri	45_breast	ɲ u ɲ u	apur1253	nan	1402	BREAST	697	
265	Apuri-47_dog-1	Apuri	47_dog	a ʎ q o	apur1253	nan	2009	DOG	19	
269	Apuri-50_bird-1	Apuri	50_bird	p i ʃ q o	apur1253	nan	937	BIRD	276	
271	Apuri-52_louse-1	Apuri	52_louse	u s a	apur1253	nan	1392	LOUSE	490	
272	Apuri-53_egg-1	Apuri	53_egg	ɾ u n t u	apur1253	nan	744	EGG	68	
273	Apuri-54_horn-1	Apuri	54_horn	w a q ɾ a	apur1253	nan	1393	HORN (ANATOMY)	380	
274	Apuri-55_tail-1	Apuri	55_tail	ʈ u p a	apur1253	nan	1220	TAIL	729	
