	ID	DOCULECT	CONCEPT	Segments	GLOTTOCODE	ISO_CODE	CONCEPTICON_ID	CONCEPTICON_GLOSS	COGNATES	FORM
300	GuangKa-100_yousg-1	GuangKa	100_yousg	m ai̯	ruma1248	rbb	1213	YOU	2-100	
301	GuangKa-10_earthsoil-1	GuangKa	10_earthsoil	k a + t aːi̯	ruma1248	rbb	1228	EARTH (SOIL)	2-10	
302	GuangKa-11_stone-1	GuangKa	11_stone	m aːu̯	ruma1248	rbb	1762	STONE (OF FRUIT)	2-11	
303	GuangKa-12_mountain-1	GuangKa	12_mountain	k o ŋ	ruma1248	rbb	639	MOUNTAIN	5-12	
304	GuangKa-13_tree-1	GuangKa	13_tree	t a ŋ + h ɔːi̯	ruma1248	rbb	906	TREE	3-13	
305	GuangKa-14_root-1	GuangKa	14_root	ʐ ə h + h ɔːi̯	ruma1248	rbb	670	ROOT	2-14	
306	GuangKa-15_leaf-1	GuangKa	15_leaf	l̥ aː + h ɔːi̯	ruma1248	rbb	628	LEAF	1-15	
307	GuangKa-16_flower-1	GuangKa	16_flower	p o h	ruma1248	rbb	239	FLOWER	1-16	
308	GuangKa-17_fruit-1	GuangKa	17_fruit	p l ɔːi̯	ruma1248	rbb	1507	FRUIT	3-17	
309	GuangKa-18_grass-1	GuangKa	18_grass	b a t	ruma1248	rbb	606	GRASS	3-18	
310	GuangKa-19_salty-1	GuangKa	19_salty	tɕ ɛː m	ruma1248	rbb	1091	SALTY	1-19	
311	GuangKa-1_sun-1	GuangKa	1_sun	s a + ŋ ai̯	ruma1248	rbb	1343	SUN	2-1	
312	GuangKa-20_dog-1	GuangKa	20_dog	s au̯	ruma1248	rbb	2009	DOG	2-20	
313	GuangKa-21_bite-1	GuangKa	21_bite	g a k	ruma1248	rbb	1403	BITE	1-21	
314	GuangKa-22_horn-1	GuangKa	22_horn	n ɨ ŋ	ruma1248	rbb	1393	HORN (ANATOMY)	1-22	
315	GuangKa-23_tail-1	GuangKa	23_tail	s a + t aː	ruma1248	rbb	1220	TAIL	1-23	
316	GuangKa-24_bird-1	GuangKa	24_bird	s iː m	ruma1248	rbb	937	BIRD	1-24	
317	GuangKa-25_fly-1	GuangKa	25_fly	p ɨː h	ruma1248	rbb	1504	FLY (INSECT)	4-25	
318	GuangKa-26_egg-1	GuangKa	26_egg	b əː n	ruma1248	rbb	744	EGG	3-26	
319	GuangKa-27_fish-1	GuangKa	27_fish	k aː	ruma1248	rbb	227	FISH	1-27	
320	GuangKa-28_snake-1	GuangKa	28_snake	h a n	ruma1248	rbb	730	SNAKE	1-28	
321	GuangKa-29_louse-1	GuangKa	29_louse	s ai̯	ruma1248	rbb	1392	LOUSE	2-29	
322	GuangKa-2_moon-1	GuangKa	2_moon	p a + k j əː	ruma1248	rbb	1313	MOON	4-2	
323	GuangKa-30_head-1	GuangKa	30_head	k e n	ruma1248	rbb	1256	HEAD	1-30	
324	GuangKa-31_hair-1	GuangKa	31_hair	h ɨ k + k e n	ruma1248	rbb	1040	HAIR	1-31	
325	GuangKa-32_eye-1	GuangKa	32_eye	ŋ aːi̯	ruma1248	rbb	1248	EYE	1-32	
326	GuangKa-33_nose-1	GuangKa	33_nose	k a + d u ŋ + m u h	ruma1248	rbb	1221	NOSE	1-33	
327	GuangKa-34_ear-1	GuangKa	34_ear	tɕʰ o k	ruma1248	rbb	1247	EAR	1-34	
328	GuangKa-35_mouth-1	GuangKa	35_mouth	m oi̯ ʔ	ruma1248	rbb	674	MOUTH	1-35	
329	GuangKa-36_tongue-1	GuangKa	36_tongue	s a + t a ʔ	ruma1248	rbb	1205	TONGUE	1-36	
330	GuangKa-37_tooth-1	GuangKa	37_tooth	sʲ aː ŋ	ruma1248	rbb	1380	TOOTH	1-37	
331	GuangKa-38_abdomen-1	GuangKa	38_abdomen	v a t	ruma1248	rbb	1251	BELLY	1-38	
332	GuangKa-39_heart-1	GuangKa	39_heart	p o ŋ + k ə + n ɔ h	ruma1248	rbb	1223	HEART	2-39	
333	GuangKa-3_star-1	GuangKa	3_star	l aːu̯	ruma1248	rbb	1430	STAR	4-3	
334	GuangKa-40_liver-1	GuangKa	40_liver	k a + t ɔː m	ruma1248	rbb	1224	LIVER	1-40	
335	GuangKa-42_hand-1	GuangKa	42_hand	t ai̯	ruma1248	rbb	1277	HAND	2-42	
336	GuangKa-43_nail-1	GuangKa	43_nail	kʰ iː m	ruma1248	rbb	502	NAIL (TOOL)	3-43	
337	GuangKa-44_foot-1	GuangKa	44_foot	dʑ ɔː n	ruma1248	rbb	1301	FOOT	1-44	
338	GuangKa-45_bone-1	GuangKa	45_bone	k a + ʔ aː ŋ	ruma1248	rbb	1394	BONE	1-45	
339	GuangKa-46_fat-1	GuangKa	46_fat	p i/j o ŋ	ruma1248	rbb	323	FAT (ORGANIC SUBSTANCE)	2-46	
340	GuangKa-47_skin-1	GuangKa	47_skin	h uː	ruma1248	rbb	763	SKIN	2-47	
341	GuangKa-48_blood-1	GuangKa	48_blood	n̥ aː m	ruma1248	rbb	946	BLOOD	1-48	
