	ID	DOCULECT	CONCEPT	Segments	GLOTTOCODE	ISO_CODE	CONCEPTICON_ID	CONCEPTICON_GLOSS	COGNATES	FORM
0	armenianmod-100_many-1	armenianmod	100_many	ʃ ɑ t	nucl1235	hye	1198	MANY	615	
2	armenianmod-102_moon-1	armenianmod	102_moon	a m i s	nucl1235	hye	1313	MOON	2232	
3	armenianmod-102_moon-2	armenianmod	102_moon	l u s i n	nucl1235	hye	1313	MOON	2336	
5	armenianmod-104_mountain-1	armenianmod	104_mountain	s ɑ ɾ	nucl1235	hye	639	MOUNTAIN	3456	
6	armenianmod-104_mountain-2	armenianmod	104_mountain	l ɛ r	nucl1235	hye	639	MOUNTAIN	616	
7	armenianmod-105_mouth-1	armenianmod	105_mouth	b ɛ ɾ ɑ n	nucl1235	hye	674	MOUTH	617	
8	armenianmod-106_name-1	armenianmod	106_name	ɑ n u n	nucl1235	hye	1405	NAME	82	
11	armenianmod-109_neck-1	armenianmod	109_neck	v i z	nucl1235	hye	1333	NECK	2525	
13	armenianmod-110_new-1	armenianmod	110_new	n o ɾ	nucl1235	hye	1231	NEW	86	
14	armenianmod-111_night-1	armenianmod	111_night	g i ʃ ɛ ɾ	nucl1235	hye	1233	NIGHT	619	
15	armenianmod-112_nose-1	armenianmod	112_nose	kʰ i tʰ	nucl1235	hye	1221	NOSE	620	
16	armenianmod-113_not-1	armenianmod	113_not	v o tʃʰ	nucl1235	hye	1240	NOT	621	
18	armenianmod-115_one-1	armenianmod	115_one	m ɛ k	nucl1235	hye	1493	ONE	91	
25	armenianmod-121_rain-1	armenianmod	121_rain	ɑ n dz ɾ ɛ v	nucl1235	hye	2108	RAINING OR RAIN	629	
26	armenianmod-122_red-1	armenianmod	122_red	k ɑ ɾ m i ɾ	nucl1235	hye	156	RED	630	
29	armenianmod-126_road-1	armenianmod	126_road	tʃ ɑ m pʰ ɑ	nucl1235	hye	667	ROAD	632	
