	ID	DOCULECT	CONCEPT	Segments	GLOTTOCODE	ISO_CODE	CONCEPTICON_ID	CONCEPTICON_GLOSS	COGNATES	FORM
0	armenianmod-100_many-1	armenianmod	100_many	ʃ ɑ t	nucl1235	hye	1198	MANY	615	
4	armenianmod-103_mother-1	armenianmod	103_mother	m aɪ̯ ɾ	nucl1235	hye	1216	MOTHER	79	
5	armenianmod-104_mountain-1	armenianmod	104_mountain	s ɑ ɾ	nucl1235	hye	639	MOUNTAIN	3456	
6	armenianmod-104_mountain-2	armenianmod	104_mountain	l ɛ r	nucl1235	hye	639	MOUNTAIN	616	
7	armenianmod-105_mouth-1	armenianmod	105_mouth	b ɛ ɾ ɑ n	nucl1235	hye	674	MOUTH	617	
8	armenianmod-106_name-1	armenianmod	106_name	ɑ n u n	nucl1235	hye	1405	NAME	82	
9	armenianmod-107_narrow-1	armenianmod	107_narrow	n ɛ ʁ	nucl1235	hye	1267	NARROW	2810	
10	armenianmod-108_near-1	armenianmod	108_near	m o t	nucl1235	hye	1942	NEAR	618	
11	armenianmod-109_neck-1	armenianmod	109_neck	v i z	nucl1235	hye	1333	NECK	2525	
12	armenianmod-10_because-1	armenianmod	10_because	v o ɾ o v h ɛ t ɛ v	nucl1235	hye	1157	BECAUSE	3393	
13	armenianmod-110_new-1	armenianmod	110_new	n o ɾ	nucl1235	hye	1231	NEW	86	
14	armenianmod-111_night-1	armenianmod	111_night	g i ʃ ɛ ɾ	nucl1235	hye	1233	NIGHT	619	
15	armenianmod-112_nose-1	armenianmod	112_nose	kʰ i tʰ	nucl1235	hye	1221	NOSE	620	
16	armenianmod-113_not-1	armenianmod	113_not	v o tʃʰ	nucl1235	hye	1240	NOT	621	
17	armenianmod-114_old-1	armenianmod	114_old	h i n	nucl1235	hye	1229	OLD	622	
18	armenianmod-115_one-1	armenianmod	115_one	m ɛ k	nucl1235	hye	1493	ONE	91	
19	armenianmod-116_other-1	armenianmod	116_other	u ɾ i ʃ	nucl1235	hye	197	OTHER	2828	
20	armenianmod-116_other-2	armenianmod	116_other	ɑɪ̯ l	nucl1235	hye	197	OTHER	624	
21	armenianmod-118_play-1	armenianmod	118_play	χ ɑ ʁ ɑ l	nucl1235	hye	1413	PLAY	626	
22	armenianmod-119_pull-1	armenianmod	119_pull	kʰ ɑ ʃ ɛ l	nucl1235	hye	1455	PULL	627	
23	armenianmod-119_pull-2	armenianmod	119_pull	dz ə kʰ ɛ l	nucl1235	hye	1455	PULL	3653	
24	armenianmod-120_push-1	armenianmod	120_push	h ə ɾ ɛ l	nucl1235	hye	1452	PUSH	628	
26	armenianmod-122_red-1	armenianmod	122_red	k ɑ ɾ m i ɾ	nucl1235	hye	156	RED	630	
27	armenianmod-124_rightside-1	armenianmod	124_rightside	ɑ tʃʰ	nucl1235	hye	1019	RIGHT	3359	
28	armenianmod-125_river-1	armenianmod	125_river	g ɛ t	nucl1235	hye	666	RIVER	631	
29	armenianmod-126_road-1	armenianmod	126_road	tʃ ɑ m pʰ ɑ	nucl1235	hye	667	ROAD	632	
30	armenianmod-126_road-2	armenianmod	126_road	tʃ ɑ n ɑ p ɑ ɾ	nucl1235	hye	667	ROAD	632	
31	armenianmod-128_rope-1	armenianmod	128_rope	p ɑ ɾ ɑ n	nucl1235	hye	1218	ROPE	3360	
32	armenianmod-129_rotten-1	armenianmod	129_rotten	pʰ ə t ɑ ts	nucl1235	hye	1728	ROTTEN	2877	
33	armenianmod-12_big-1	armenianmod	12_big	m ɛ ts	nucl1235	hye	1202	BIG	360	
34	armenianmod-131_rub-1	armenianmod	131_rub	ʃ ə pʰ ɛ l	nucl1235	hye	1449	RUB	634	
35	armenianmod-132_salt-1	armenianmod	132_salt	ɑ ʁ	nucl1235	hye	1274	SALT	283	
36	armenianmod-133_sand-1	armenianmod	133_sand	ɑ v ɑ z	nucl1235	hye	671	SAND	284	
37	armenianmod-134_say-1	armenianmod	134_say	ɑ s ɛ l	nucl1235	hye	1458	SAY	636	
38	armenianmod-135_scratch-1	armenianmod	135_scratch	kʰ ɛ ɾ ts ɛ l	nucl1235	hye	1436	SCRATCH	1052	
39	armenianmod-135_scratch-2	armenianmod	135_scratch	kʰ o ɾ ɛ l	nucl1235	hye	1436	SCRATCH	2889	
40	armenianmod-136_sea-1	armenianmod	136_sea	t s o v	nucl1235	hye	1474	SEA	3361	
41	armenianmod-137_see-1	armenianmod	137_see	t ɛ s n ɛ l	nucl1235	hye	1409	SEE	3362	
42	armenianmod-138_seed-1	armenianmod	138_seed	s e ɾ m	nucl1235	hye	714	SEED	289	
43	armenianmod-139_sew-1	armenianmod	139_sew	k ɑ ɾ ɛ l	nucl1235	hye	1457	SEW	639	
44	armenianmod-13_bird-1	armenianmod	13_bird	tʰ ə r tʃʰ u n	nucl1235	hye	937	BIRD	571	
45	armenianmod-140_sharp-1	armenianmod	140_sharp	s u ɾ	nucl1235	hye	1396	SHARP	640	
46	armenianmod-141_short-1	armenianmod	141_short	k ɑ ɾ tʃ	nucl1235	hye	1645	SHORT	641	
47	armenianmod-142_sing-1	armenianmod	142_sing	j ɛ ɾ kʰ ɛ l	nucl1235	hye	1261	SING	642	
48	armenianmod-143_sit-1	armenianmod	143_sit	n ə s t ɛ l	nucl1235	hye	1416	SIT	294	
51	armenianmod-145_sky-1	armenianmod	145_sky	j ɛ ɾ k i n kʰ	nucl1235	hye	1732	SKY	3363	
52	armenianmod-146_sleep-1	armenianmod	146_sleep	kʰ ə n ɛ l	nucl1235	hye	1585	SLEEP	645	
53	armenianmod-147_small-1	armenianmod	147_small	pʰ o kʰ ə ɾ	nucl1235	hye	1246	SMALL	3342	
55	armenianmod-149_smoke-1	armenianmod	149_smoke	ts u χ	nucl1235	hye	778	SMOKE (EXHAUST)	3365	
56	armenianmod-14_bite-1	armenianmod	14_bite	k ə ts ɛ l	nucl1235	hye	1403	BITE	2028	
57	armenianmod-150_smooth-1	armenianmod	150_smooth	h ɑ ɾ tʰ	nucl1235	hye	1234	SMOOTH	3366	
58	armenianmod-151_snake-1	armenianmod	151_snake	o tsʰ	nucl1235	hye	730	SNAKE	648	
59	armenianmod-152_snow-1	armenianmod	152_snow	dz ɪ̯u n	nucl1235	hye	784	SNOW	649	
60	armenianmod-153_some-1	armenianmod	153_some	v o ɾ o ʃ	nucl1235	hye	1241	SOME	3661	
61	armenianmod-154_spit-1	armenianmod	154_spit	tʰ ə kʰ ɛ l	nucl1235	hye	1440	SPIT	305	
62	armenianmod-155_split-1	armenianmod	155_split	b ɑ ʒ ɑ n ɛ l	nucl1235	hye	1437	SPLIT	3665	
63	armenianmod-156_squeeze-1	armenianmod	156_squeeze	s ɛ χ m ɛ l	nucl1235	hye	1414	SQUEEZE	3666	
64	armenianmod-157_stab-1	armenianmod	157_stab	χ o tsʰ ɛ l	nucl1235	hye	1434	STAB	650	
65	armenianmod-158_stand-1	armenianmod	158_stand	k ɑ n g n ɛ l	nucl1235	hye	1442	STAND	3368	
66	armenianmod-159_star-1	armenianmod	159_star	ɑ s t ə ʁ	nucl1235	hye	1430	STAR	131	
67	armenianmod-15_black-1	armenianmod	15_black	s ɛ v	nucl1235	hye	163	BLACK	573	
68	armenianmod-160_stick-1	armenianmod	160_stick	pʰ ɑɪ̯ t	nucl1235	hye	1295	STICK	3340	
69	armenianmod-161_stone-1	armenianmod	161_stone	kʰ ɑ ɾ	nucl1235	hye	857	STONE	651	
70	armenianmod-162_straight-1	armenianmod	162_straight	u ʁ i ʁ	nucl1235	hye	1404	STRAIGHT	3489	
71	armenianmod-163_suck-1	armenianmod	163_suck	ts ə ts ɛ l	nucl1235	hye	1421	SUCK	652	
72	armenianmod-164_sun-1	armenianmod	164_sun	ɑ ɾ ɛ v	nucl1235	hye	1343	SUN	653	
73	armenianmod-165_swell-1	armenianmod	165_swell	u r ɛ l	nucl1235	hye	1573	SWELL	654	
74	armenianmod-166_swim-1	armenianmod	166_swim	l o ʁ ɑ l	nucl1235	hye	1439	SWIM	655	
75	armenianmod-167_tail-1	armenianmod	167_tail	p o tʃʰ	nucl1235	hye	1220	TAIL	656	
76	armenianmod-168_that-1	armenianmod	168_that	ɑɪ̯ n	nucl1235	hye	78	THAT	318	
77	armenianmod-169_there-1	armenianmod	169_there	ɑɪ̯ n t ɛ ʁ	nucl1235	hye	1937	THERE	319	
78	armenianmod-16_blood-1	armenianmod	16_blood	ɑ ɾ ɪ̯u n	nucl1235	hye	946	BLOOD	574	
79	armenianmod-170_they-1	armenianmod	170_they	n ə ɾ ɑ n kʰ	nucl1235	hye	817	THEY	657	
80	armenianmod-171_thick-1	armenianmod	171_thick	h ɑ s t	nucl1235	hye	1244	THICK	3672	
81	armenianmod-172_thin-1	armenianmod	172_thin	b ɑ ɾ ɑ k	nucl1235	hye	2308	THIN	3021	
82	armenianmod-173_think-1	armenianmod	173_think	m ə t ɑ ts ɛ l	nucl1235	hye	2271	THINK	3501	
83	armenianmod-174_this-1	armenianmod	174_this	ɑɪ̯ s	nucl1235	hye	1214	THIS	323	
84	armenianmod-175_thou-1	armenianmod	175_thou	d u	nucl1235	hye	1215	THOU	145	
85	armenianmod-176_three-1	armenianmod	176_three	j ɛ ɾ ɛ kʰ	nucl1235	hye	492	THREE	146	
86	armenianmod-177_throw-1	armenianmod	177_throw	n ɛ t ɛ l	nucl1235	hye	1456	THROW	3371	
87	armenianmod-178_tie-1	armenianmod	178_tie	k ɑ p ɛ l	nucl1235	hye	1917	TIE	658	
88	armenianmod-179_tongue-1	armenianmod	179_tongue	l ɛ z u	nucl1235	hye	1205	TONGUE	327	
89	armenianmod-17_blow-1	armenianmod	17_blow	pʰ ə tʃʰ ɛ l	nucl1235	hye	175	BLOW (OF WIND)	575	
90	armenianmod-180_tooth-1	armenianmod	180_tooth	ɑ t ɑ m	nucl1235	hye	1380	TOOTH	328	
91	armenianmod-181_tree-1	armenianmod	181_tree	ts ɑ r	nucl1235	hye	906	TREE	2364	
93	armenianmod-183_two-1	armenianmod	183_two	j ɛ ɾ k u	nucl1235	hye	1498	TWO	153	
94	armenianmod-184_vomit-1	armenianmod	184_vomit	v o ɾ ts k ɑ l	nucl1235	hye	1278	VOMIT	3372	
95	armenianmod-185_walk-1	armenianmod	185_walk	kʰ ɑɪ̯ l ɛ l	nucl1235	hye	1443	WALK	3676	
97	armenianmod-187_wash-1	armenianmod	187_wash	l ə v ɑ l	nucl1235	hye	1453	WASH	662	
98	armenianmod-188_water-1	armenianmod	188_water	dʒ u ɾ	nucl1235	hye	948	WATER	663	
99	armenianmod-189_we-1	armenianmod	189_we	m ɛ n kʰ	nucl1235	hye	1212	WE	158	
100	armenianmod-18_bone-1	armenianmod	18_bone	v o s k o ɾ	nucl1235	hye	1394	BONE	519	
101	armenianmod-190_wet-1	armenianmod	190_wet	tʰ ɑ tsʰ	nucl1235	hye	1726	WET	3341	
102	armenianmod-191_what-1	armenianmod	191_what	i n tʃʰ	nucl1235	hye	1236	WHAT	160	
103	armenianmod-192_when-1	armenianmod	192_when	j ɛ ɾ pʰ	nucl1235	hye	1238	WHEN	664	
104	armenianmod-193_where-1	armenianmod	193_where	u ɾ	nucl1235	hye	1237	WHERE	665	
105	armenianmod-193_where-2	armenianmod	193_where	v o ɾ t ɛ ʁ	nucl1235	hye	1237	WHERE	3678	
106	armenianmod-194_white-1	armenianmod	194_white	s p i t ɑ k	nucl1235	hye	1335	WHITE	666	
107	armenianmod-195_who-1	armenianmod	195_who	o v	nucl1235	hye	1235	WHO	339	
108	armenianmod-196_wide-1	armenianmod	196_wide	l ɑɪ̯ n	nucl1235	hye	1243	WIDE	667	
109	armenianmod-197_wife-1	armenianmod	197_wife	k i n	nucl1235	hye	1199	WIFE	668	
110	armenianmod-198_wind-1	armenianmod	198_wind	kʰ ɑ m i	nucl1235	hye	960	WIND	3581	
111	armenianmod-199_wing-1	armenianmod	199_wing	tʰ ɛ v	nucl1235	hye	1257	WING	1567	
113	armenianmod-1_i-1	armenianmod	1_i	j ɛ s	nucl1235	hye	1209	I	62	
114	armenianmod-200_wipe-1	armenianmod	200_wipe	s ə ɾ pʰ ɛ l	nucl1235	hye	1454	WIPE	3376	
115	armenianmod-201_with-1	armenianmod	201_with	h ɛ t	nucl1235	hye	1340	WITH	670	
116	armenianmod-202_woman-1	armenianmod	202_woman	k i n	nucl1235	hye	962	WOMAN	671	
117	armenianmod-203_woods-1	armenianmod	203_woods	ɑ n t ɑ r	nucl1235	hye	420	FOREST	672	
118	armenianmod-204_worm-1	armenianmod	204_worm	tʃ i tʃ u	nucl1235	hye	1219	WORM	3682	
119	armenianmod-205_year-1	armenianmod	205_year	t ɑ ɾ i	nucl1235	hye	1226	YEAR	675	
120	armenianmod-206_yellow-1	armenianmod	206_yellow	d ɛ ʁ i n	nucl1235	hye	1424	YELLOW	3378	
121	armenianmod-207_you-1	armenianmod	207_you	d u kʰ	nucl1235	hye	1213	YOU	674	
122	armenianmod-20_breathe-1	armenianmod	20_breathe	ʃ ə n tʃʰ ɛ l	nucl1235	hye	1407	BREATHE	2569	
126	armenianmod-23_cloud-1	armenianmod	23_cloud	ɑ m p	nucl1235	hye	1489	CLOUD	579	
128	armenianmod-25_come-1	armenianmod	25_come	g ɑ l	nucl1235	hye	1446	COME	580	
129	armenianmod-26_count-1	armenianmod	26_count	h ɑ ʃ v ɛ l	nucl1235	hye	1420	COUNT	3338	
130	armenianmod-27_cut-1	armenianmod	27_cut	k ə t ɾ ɛ l	nucl1235	hye	1432	CUT	762	
131	armenianmod-28_day-1	armenianmod	28_day	o ɾ	nucl1235	hye	1225	DAY (NOT NIGHT)	1467	
132	armenianmod-29_die-1	armenianmod	29_die	m ɛ r n ɛ l	nucl1235	hye	1494	DIE	18	
133	armenianmod-2_all-1	armenianmod	2_all	b o l o ɾ	nucl1235	hye	98	ALL	566	
134	armenianmod-30_dig-1	armenianmod	30_dig	pʰ o ɾ ɛ l	nucl1235	hye	1418	DIG	583	
135	armenianmod-31_dirty-1	armenianmod	31_dirty	k ɛ χ t o t	nucl1235	hye	1230	DIRTY	3410	
136	armenianmod-32_dog-1	armenianmod	32_dog	ʃ u n	nucl1235	hye	2009	DOG	21	
137	armenianmod-33_drink-1	armenianmod	33_drink	χ ə m ɛ l	nucl1235	hye	1401	DRINK	584	
138	armenianmod-34_dry-1	armenianmod	34_dry	tʃʰ o ɾ	nucl1235	hye	1398	DRY	585	
139	armenianmod-35_dull-1	armenianmod	35_dull	b u tʰ	nucl1235	hye	379	BLUNT	3346	
140	armenianmod-36_dust-1	armenianmod	36_dust	pʰ o ʃ i	nucl1235	hye	2	DUST	586	
141	armenianmod-37_ear-1	armenianmod	37_ear	ɑ k ɑ n dʒ	nucl1235	hye	1247	EAR	208	
142	armenianmod-38_earth-1	armenianmod	38_earth	h o ʁ	nucl1235	hye	1228	EARTH (SOIL)	3606	
143	armenianmod-39_eat-1	armenianmod	39_eat	u t ɛ l	nucl1235	hye	1336	EAT	210	
144	armenianmod-3_and-1	armenianmod	3_and	j ɛ v	nucl1235	hye	1577	AND	567	
145	armenianmod-40_egg-1	armenianmod	40_egg	dz u	nucl1235	hye	744	EGG	28	
146	armenianmod-41_eye-1	armenianmod	41_eye	ɑ tʃʰ kʰ	nucl1235	hye	1248	EYE	211	
147	armenianmod-42_fall-1	armenianmod	42_fall	ə n k n ɛ l	nucl1235	hye	1280	FALL	3348	
148	armenianmod-43_far-1	armenianmod	43_far	h ɛ r u	nucl1235	hye	1406	FAR	213	
149	armenianmod-44_fat-1	armenianmod	44_fat	tʃ ɑ ɾ p	nucl1235	hye	323	FAT (ORGANIC SUBSTANCE)	3349	
