	ID	DOCULECT	CONCEPT	Segments	GLOTTOCODE	ISO_CODE	CONCEPTICON_ID	CONCEPTICON_GLOSS	COGNATES	FORM
0	Achang-1003_neg-1	Achang	1003_neg	m a ³¹	acha1249	acn	1240	NOT	1003_neg-1	
1	Achang-105_night-1	Achang	105_night	n i ³¹ + tɕʰ o t ³⁵	acha1249	acn	1233	NIGHT	105_night-40	
2	Achang-10_water-1	Achang	10_water	t i ⁵⁵	acha1249	acn	948	WATER	10_water-40	
3	Achang-113_horse-1	Achang	113_horse	m ʐ a ŋ ³¹	acha1249	acn	615	HORSE	113_horse-18	
4	Achang-115_pig-1	Achang	115_pig	o ʔ ⁵⁵	acha1249	acn	1337	PIG	115_pig-1	
5	Achang-119_dog-1	Achang	119_dog	x w i ³¹	acha1249	acn	2009	DOG	119_dog-1	
6	Achang-142_bird-1	Achang	142_bird	m ɔ ʔ ⁵⁵	acha1249	acn	937	BIRD	142_bird-40	
7	Achang-151_fish-1	Achang	151_fish	k ă/a ³¹ + ʂ w a ³¹	acha1249	acn	227	FISH	151_fish-1	
8	Achang-152_snake-1	Achang	152_snake	m ʐ w i ⁵⁵	acha1249	acn	730	SNAKE	152_snake-38	
9	Achang-162_louse-1	Achang	162_louse	ʂ a n ³¹	acha1249	acn	1392	LOUSE	162_louse-1	
10	Achang-170_egg-1	Achang	170_egg	u ʔ ³¹	acha1249	acn	744	EGG	170_egg-22	
11	Achang-172_hairfur-1	Achang	172_hairfur	a ³¹ + m w i ³¹	acha1249	acn	2381	FEATHER OR FUR OR HAIR	172_hairfur-9	
12	Achang-174_claw-1	Achang	174_claw	tɕʰ i ⁵⁵ + pʰ ʐ ai ⁵⁵	acha1249	acn	72	CLAW	174_claw-9	
13	Achang-176_horn-1	Achang	176_horn	kʰ ʐ au ⁵⁵	acha1249	acn	939	HORN (INSTRUMENT)	176_horn-38	
14	Achang-177_tail-1	Achang	177_tail	tɕʰ i ³¹ + ȵ a ŋ ³⁵	acha1249	acn	1220	TAIL	177_tail-40	
15	Achang-178_tree-1	Achang	178_tree	s a ŋ ³¹ + ts e ŋ ⁵⁵	acha1249	acn	906	TREE	178_tree-1	
