	ID	DOCULECT	CONCEPT	Segments	GLOTTOCODE	ISO_CODE	CONCEPTICON_ID	CONCEPTICON_GLOSS	COGNATES	FORM
0	Amonda-100_hide-1	Amonda	100_hide	m i m	amun1246	adw	2486.0	HIDE	hide-1	
1	Amonda-101_hit-1	Amonda	101_hit	n u p ã	amun1246	adw	1433.0	HIT	hit-1	
2	Amonda-102_hole-1	Amonda	102_hole	kʷ a r	amun1246	adw	1667.0	HOLE	hole-1	
3	Amonda-103_hot-1	Amonda	103_hot	a k o β	amun1246	adw	1286.0	HOT	hot-1	
4	Amonda-104_house-1	Amonda	104_house	o k	amun1246	adw	1252.0	HOUSE	house-1	
5	Amonda-106_husband-1	Amonda	106_husband	m e n	amun1246	adw	1200.0	HUSBAND	husband-1	
6	Amonda-108_jaguar-1	Amonda	108_jaguar	j a ʔ gʷ a r	amun1246	adw	1250.0	JAGUAR	jaguar-1	
7	Amonda-109_kill-1	Amonda	109_kill	ɲ u k a	amun1246	adw	1417.0	KILL	kill-1	
8	Amonda-10_basket-1	Amonda	10_basket	p a n a gʷ e r a	amun1246	adw	1539.0	BASKET	basket-1	
9	Amonda-110_knee-1	Amonda	110_knee	e ɨ p ɨ ʔ ã	amun1246	adw	1371.0	KNEE	knee-1	
10	Amonda-111_knife-1	Amonda	111_knife	k ɨ t i h a β	amun1246	adw	1352.0	KNIFE	knife-1	
11	Amonda-112_know-1	Amonda	112_know	kʷ a h a	amun1246	adw	3626.0	KNOW	know-1	
12	Amonda-113_lake-1	Amonda	113_lake	ɨ p i a h u a	amun1246	adw	624.0	LAKE	lake-1	
13	Amonda-114_laugh-1	Amonda	114_laugh	p u k a	amun1246	adw	1355.0	LAUGH	laugh-1	
14	Amonda-115_leaf-1	Amonda	115_leaf	k a ʔ a	amun1246	adw	628.0	LEAF	leaf-3	
15	Amonda-117_leg-1	Amonda	117_leg	e t ɨ m a k a ŋ	amun1246	adw	1297.0	LEG	leg-1	
16	Amonda-118_liver-1	Amonda	118_liver	p ɨ ʔ a	amun1246	adw	1224.0	LIVER	liver-1	
17	Amonda-119_long-1	Amonda	119_long	p u k u	amun1246	adw	1203.0	LONG	long-1	
18	Amonda-11_bat-1	Amonda	11_bat	a n d ɨ r a	amun1246	adw	1793.0	BAT	bat-1	
19	Amonda-120_lookat-1	Amonda	120_lookat	e p i a g	amun1246	adw	1819.0	LOOK	lookat-3	
20	Amonda-121_looseones-1	Amonda	121_looseones	k a ʔ ɲ ɨ m	amun1246	adw	423.0	GET LOST	looseones-1	
21	Amonda-122_louse-1	Amonda	122_louse	k ɨ β	amun1246	adw	1392.0	LOUSE	louse-1	
22	Amonda-123_man-1	Amonda	123_man	kʷ ã m a ʔ e	amun1246	adw	1554.0	MAN	man-1	
23	Amonda-124_manioc-1	Amonda	124_manioc	m a n d i ʔ o k	amun1246	adw	927.0	MANIOC	manioc-1	
24	Amonda-125_many-1	Amonda	125_many	e ʔ u j	amun1246	adw	1198.0	MANY	many-4	
25	Amonda-126_medicine-1	Amonda	126_medicine	m o h a ŋ	amun1246	adw	1372.0	MEDICINE	medicine-1	
26	Amonda-127_monkey-1	Amonda	127_monkey	k a ʔ i	amun1246	adw	1350.0	MONKEY	monkey-1	
27	Amonda-128_moon-1	Amonda	128_moon	ɲ a h ɨ a	amun1246	adw	1313.0	MOON	moon-1	
28	Amonda-129_mountain-1	Amonda	129_mountain	ɨ w ɨ t ɨ r u h u a	amun1246	adw	639.0	MOUNTAIN	mountain-1	
29	Amonda-130_mosquito-1	Amonda	130_mosquito	ɲ a t͡ʃ i ʔ ũ a	amun1246	adw	1509.0	MOSQUITO	mosquito-1	
30	Amonda-131_mother-1	Amonda	131_mother	t u m a h ẽ a	amun1246	adw	1216.0	MOTHER	mother-3	
31	Amonda-135_name-1	Amonda	135_name	e r	amun1246	adw	1405.0	NAME	name-1	
32	Amonda-136_neck-1	Amonda	136_neck	ɲ u r	amun1246	adw	1333.0	NECK	neck-1	
33	Amonda-137_nest-1	Amonda	137_nest	a i t ɨ	amun1246	adw	539.0	NEST	nest-1	
34	Amonda-138_new-1	Amonda	138_new	p ɨ a h u	amun1246	adw	1231.0	NEW	new-1	
35	Amonda-139_night-1	Amonda	139_night	ɨ p ɨ t u n	amun1246	adw	1233.0	NIGHT	night-1	
