	ID	DOCULECT	CONCEPT	Segments	GLOTTOCODE	ISO_CODE	CONCEPTICON_ID	CONCEPTICON_GLOSS	COGNATES	FORM
0	Amami-100_name-1	Amami	100_name	n aː	naze1238	nan	1405	NAME	221	
10	Amami-10_many-1	Amami	10_many	ɕ o g o ɕ a ɴ	naze1238	nan	1198	MANY	34	
21	Amami-11_one-1	Amami	11_one	t ɨː ts ɨ	naze1238	nan	1493	ONE	35	
32	Amami-12_two-1	Amami	12_two	t aː ts ɨ	naze1238	nan	1498	TWO	36	
44	Amami-13_big-1	Amami	13_big	h w ɨ sː a r i	naze1238	nan	1202	BIG	40	
54	Amami-14_small-1	Amami	14_small	ʔʲ e n a s a r i	naze1238	nan	1246	SMALL	46	
64	Amami-15_long-1	Amami	15_long	n a g a s a r i	naze1238	nan	1203	LONG	48	
75	Amami-16_woman-1	Amami	16_woman	o n a g u	naze1238	nan	962	WOMAN	49	
86	Amami-17_man-1	Amami	17_man	j e ɴ g a	naze1238	nan	1554	MAN	55	
97	Amami-18_person-1	Amami	18_person	tɕ u	naze1238	nan	683	PERSON	56	
108	Amami-19_fish-1	Amami	19_fish	ʔʲ u	naze1238	nan	227	FISH	59	
109	Amami-1_i-1	Amami	1_i	w a ɴ	naze1238	nan	1209	I	1	
111	Amami-20_bird-1	Amami	20_bird	θ u r i	naze1238	nan	937	BIRD	60	
112	Amami-21_dog-1	Amami	21_dog	ʔ i ɴ	naze1238	nan	2009	DOG	62	
113	Amami-22_louse-1	Amami	22_louse	s i r a ɴ	naze1238	nan	1392	LOUSE	63	
114	Amami-23_tree-1	Amami	23_tree	x ɨ	naze1238	nan	906	TREE	64	
115	Amami-24_barkoftree-1	Amami	24_barkoftree	x ɨ ɴ x o	naze1238	nan	1204	BARK	66	
116	Amami-25_leaf-1	Amami	25_leaf	h w a	naze1238	nan	628	LEAF	67	
117	Amami-26_root-1	Amami	26_root	n ɨ g u r i	naze1238	nan	670	ROOT	68	
118	Amami-27_seed-1	Amami	27_seed	θ a n ɨ	naze1238	nan	714	SEED	70	
119	Amami-28_blood-1	Amami	28_blood	tɕ i	naze1238	nan	946	BLOOD	71	
121	Amami-2_thou-1	Amami	2_thou	ʔʲ a	naze1238	nan	1215	THOU	10	
122	Amami-30_skin-1	Amami	30_skin	d u ɴ x o	naze1238	nan	763	SKIN	74	
123	Amami-31_bone-1	Amami	31_bone	h u n ɨ	naze1238	nan	1394	BONE	76	
124	Amami-32_greasefat-1	Amami	32_greasefat	s i r u m i	naze1238	nan	323	FAT (ORGANIC SUBSTANCE)	79	
125	Amami-33_egg-1	Amami	33_egg	x o g a	naze1238	nan	744	EGG	81	
126	Amami-34_horn-1	Amami	34_horn	ts ɨ n o	naze1238	nan	1393	HORN (ANATOMY)	83	
127	Amami-35_tail-1	Amami	35_tail	z u b u	naze1238	nan	1220	TAIL	85	
128	Amami-36_feather-1	Amami	36_feather	h a ɴ g e	naze1238	nan	1201	FEATHER	87	
129	Amami-37_hair-1	Amami	37_hair	h i g i	naze1238	nan	1040	HAIR	88	
130	Amami-38_head-1	Amami	38_head	x a m a tɕ i	naze1238	nan	1256	HEAD	93	
131	Amami-39_ear-1	Amami	39_ear	m i ɴ	naze1238	nan	1247	EAR	95	
132	Amami-3_we-1	Amami	3_we	w a x j a	naze1238	nan	1212	WE	11	
133	Amami-40_eye-1	Amami	40_eye	m ɨː	naze1238	nan	1248	EYE	96	
134	Amami-41_nose-1	Amami	41_nose	h a n a	naze1238	nan	1221	NOSE	98	
135	Amami-42_mouth-1	Amami	42_mouth	k u tɕ i	naze1238	nan	674	MOUTH	99	
136	Amami-43_tooth-1	Amami	43_tooth	h w a	naze1238	nan	1380	TOOTH	101	
137	Amami-44_tongue-1	Amami	44_tongue	s ɨ b a	naze1238	nan	1205	TONGUE	-102	
138	Amami-45_claw-1	Amami	45_claw	ts ɨ m ɨ	naze1238	nan	72	CLAW	103	
139	Amami-46_foot-1	Amami	46_foot	h a g i	naze1238	nan	1301	FOOT	105	
140	Amami-47_knee-1	Amami	47_knee	ts ɨ b u s i	naze1238	nan	1371	KNEE	109	
141	Amami-48_hand-1	Amami	48_hand	θ ɨ	naze1238	nan	1277	HAND	110	
142	Amami-49_belly-1	Amami	49_belly	w a θ a	naze1238	nan	1251	BELLY	113	
143	Amami-4_this-1	Amami	4_this	x u r ɨ	naze1238	nan	1214	THIS	14	
144	Amami-50_neck-1	Amami	50_neck	k u b i	naze1238	nan	1333	NECK	114	
145	Amami-51_breast-1	Amami	51_breast	m u n ɨ	naze1238	nan	1402	BREAST	116	
146	Amami-52_heart-1	Amami	52_heart	s i ɴ d o	naze1238	nan	1223	HEART	118	
147	Amami-53_liver-1	Amami	53_liver	k i m o	naze1238	nan	1224	LIVER	119	
148	Amami-54_drink-1	Amami	54_drink	n u m u r i	naze1238	nan	1401	DRINK	120	
149	Amami-55_eat-1	Amami	55_eat	x a m u r i	naze1238	nan	1336	EAT	124	
150	Amami-56_bite-1	Amami	56_bite	k ui ts ɨ k ɨ r u r i	naze1238	nan	1403	BITE	126	
151	Amami-57_see-1	Amami	57_see	mʲ uː r i	naze1238	nan	1409	SEE	130	
152	Amami-58_hear-1	Amami	58_hear	k i kʲ u r i	naze1238	nan	1408	HEAR	132	
154	Amami-5_that-1	Amami	5_that	ʔ a r ɨ	naze1238	nan	78	THAT	15	
155	Amami-60_sleep-1	Amami	60_sleep	n ɨ b u r u r i	naze1238	nan	1585	SLEEP	136	
156	Amami-61_die-1	Amami	61_die	s i mʲ u r i	naze1238	nan	1494	DIE	138	
157	Amami-62_kill-1	Amami	62_kill	x u sː u r i	naze1238	nan	1417	KILL	139	
158	Amami-63_swim-1	Amami	63_swim	ʔ w ɨː g u r i	naze1238	nan	1439	SWIM	140	
159	Amami-64_fly-1	Amami	64_fly	θ u b u r i	naze1238	nan	1441	FLY (MOVE THROUGH AIR)	142	
160	Amami-65_walk-1	Amami	65_walk	ʔ a kː u r i	naze1238	nan	1443	WALK	146	
161	Amami-66_come-1	Amami	66_come	x u r i	naze1238	nan	1446	COME	149	
162	Amami-67_lie-1	Amami	67_lie	n ɨ h u θ u r i	naze1238	nan	1411	LIE (REST)	151	
163	Amami-68_sit-1	Amami	68_sit	i r u r i	naze1238	nan	1416	SIT	155	
164	Amami-69_stand-1	Amami	69_stand	θ a tɕː u r i	naze1238	nan	1442	STAND	156	
165	Amami-6_who-1	Amami	6_who	θ a r u	naze1238	nan	1235	WHO	18	
166	Amami-70_give-1	Amami	70_give	k u r ɨ r u r i	naze1238	nan	1447	GIVE	160	
167	Amami-71_say-1	Amami	71_say	ʔʲ u r i	naze1238	nan	1458	SAY	161	
168	Amami-72_sun-1	Amami	72_sun	θ e d a	naze1238	nan	1343	SUN	167	
169	Amami-73_moon-1	Amami	73_moon	ts ɨ k i	naze1238	nan	1313	MOON	168	
170	Amami-74_star-1	Amami	74_star	h u s i	naze1238	nan	1430	STAR	169	
