	ID	DOCULECT	CONCEPT	Segments	GLOTTOCODE	ISO_CODE	CONCEPTICON_ID	CONCEPTICON_GLOSS	COGNATES	FORM
0	Beijing-102_humpback-1	Beijing	102_humpback	l w o ³⁵ + k w o r ⁵⁵	beij1234	nan	99.0	HUNCHBACK	1041	
1	Beijing-103_die-1	Beijing	103_die	k ɤ r ²¹⁴ + l ə ⁴	beij1234	nan	1494.0	DIE	588	
2	Beijing-103_die-2	Beijing	103_die	s ɿ ²¹⁴ + l ə ⁴	beij1234	nan	1494.0	DIE	1000	
3	Beijing-105_i-1	Beijing	105_i	w o ²¹⁴	beij1234	nan	1209.0	I	267	
4	Beijing-106_thou-1	Beijing	106_thou	n i ²¹⁴	beij1234	nan	1215.0	THOU	1185	
5	Beijing-107_he-1	Beijing	107_he	tʰ a ⁵⁵	beij1234	nan	1211.0	HE	704	
6	Beijing-108_we-1	Beijing	108_we	w o m̩	beij1234	nan	1212.0	WE	915	
7	Beijing-108_we-2	Beijing	108_we	m̩ ²¹⁴ + m ə ⁴	beij1234	nan	1212.0	WE	694	
8	Beijing-109_you-1	Beijing	109_you	n i m̩ ²¹⁴	beij1234	nan	1213.0	YOU	1007	
9	Beijing-10_blow-1	Beijing	10_blow	k w a ⁵⁵ + f ə ŋ ⁵⁵	beij1234	nan	175.0	BLOW (OF WIND)	192	
10	Beijing-110_they-1	Beijing	110_they	tʰ a m̩ ⁵⁵	beij1234	nan	817.0	THEY	1200	
11	Beijing-112_self-1	Beijing	112_self	ts ɿ ⁵¹ + k ɤ r ²¹⁴	beij1234	nan	1993.0	SELF	599	
12	Beijing-113_who-1	Beijing	113_who	ʂ e j ³⁵	beij1234	nan	1235.0	WHO	615	
13	Beijing-114_what-1	Beijing	114_what	ʂ ə m̩ ³⁵	beij1234	nan	1236.0	WHAT	788	
14	Beijing-115_here-1	Beijing	115_here	ʈʂ ɤ r ⁵¹	beij1234	nan	136.0	HERE	854	
15	Beijing-116_there-1	Beijing	116_there	n a r ⁵¹	beij1234	nan	1937.0	THERE	1127	
16	Beijing-116_there-2	Beijing	116_there	n a ⁵¹ + x a r	beij1234	nan	1937.0	THERE	655	
17	Beijing-117_where-1	Beijing	117_where	n a r ²¹⁴	beij1234	nan	1237.0	WHERE	1127	
18	Beijing-117_where-2	Beijing	117_where	n a ²¹⁴ + x a r ⁴	beij1234	nan	1237.0	WHERE	655	
19	Beijing-118_this-1	Beijing	118_this	ʈʂ ə ⁵¹ + k ə ¹	beij1234	nan	1214.0	THIS	984	
20	Beijing-119_that-1	Beijing	119_that	n a ⁵¹ + k ə ¹	beij1234	nan	78.0	THAT	888	
21	Beijing-11_rainbow-1	Beijing	11_rainbow	tɕ j ɑ ŋ ⁵¹	beij1234	nan	1733.0	RAINBOW	855	
22	Beijing-120_whatkindof-1	Beijing	120_whatkindof	n a ²¹⁴ + k ə	beij1234	nan	727.0	WHICH	640	
23	Beijing-121_how-1	Beijing	121_how	ts ə n ²¹⁴ + m ə ⁴ + j ɑ ŋ ⁵¹	beij1234	nan	1239.0	HOW	351	
24	Beijing-122_classifierperson-1	Beijing	122_classifierperson	w e j u/w e i ⁵¹	beij1234	nan	516.0	PERSON (CLASSIFIER)	1113	
25	Beijing-123_classifierpair-1	Beijing	123_classifierpair	ʂ w a ŋ ⁵⁵	beij1234	nan	2089.0	PAIR (CLASSIFIER)	98	
26	Beijing-124_classifierpillow-1	Beijing	124_classifierpillow	ʈʂʰ w ɑ ŋ ³⁵	beij1234	nan	2166.0	PILLOW (CLASSIFIER)	768	
27	Beijing-125_classifiervehicle-1	Beijing	125_classifiervehicle	l j ɑ ŋ ⁵¹	beij1234	nan	2167.0	VEHICLE (CLASSIFIER)	322	
28	Beijing-126_classifiercow-1	Beijing	126_classifiercow	tʰ o w ³⁵	beij1234	nan	2168.0	COW (CLASSIFIER)	944	
29	Beijing-127_classifierpig-1	Beijing	127_classifierpig	kʰ o w ²¹⁴	beij1234	nan	2169.0	PIG (CLASSIFIER)	366	
30	Beijing-128_awhile-1	Beijing	128_awhile	i ⁵⁵ + x w ə r ²¹⁴	beij1234	nan	726.0	WHILE	655	
31	Beijing-130_on-1	Beijing	130_on	ʂ ɑ ŋ ⁵¹ + tʰ o w ¹	beij1234	nan	1741.0	ABOVE	210	
32	Beijing-130_on-2	Beijing	130_on	ʂ ɑ ŋ ⁵¹ + p j a r ¹	beij1234	nan	1741.0	ABOVE	124	
33	Beijing-131_under-1	Beijing	131_under	ɕ j a ⁵¹ + tʰ o w ¹	beij1234	nan	1485.0	BELOW OR UNDER	611	
34	Beijing-131_under-2	Beijing	131_under	ɕ j a ⁵¹ + p j a r ¹	beij1234	nan	1485.0	BELOW OR UNDER	429	
35	Beijing-132_left-1	Beijing	132_left	ts w o ²¹⁴ + p j a r ⁴	beij1234	nan	244.0	LEFT	1052	
36	Beijing-133_right-1	Beijing	133_right	j o w i/j o u ⁵¹ + p j a r ¹	beij1234	nan	1019.0	RIGHT	181	
37	Beijing-134_inthemiddle-1	Beijing	134_inthemiddle	t ɑ ŋ ⁵⁵ + tɕ j a r ⁵¹	beij1234	nan	nan	nan	471	
38	Beijing-135_inside-1	Beijing	135_inside	l i ²¹⁴ + tʰ o w	beij1234	nan	1606.0	INSIDE	689	
39	Beijing-135_inside-2	Beijing	135_inside	l i ²¹⁴ + m j a n ⁴	beij1234	nan	1606.0	INSIDE	52	
40	Beijing-135_inside-3	Beijing	135_inside	l i ²¹⁴ + p j a r ⁴	beij1234	nan	1606.0	INSIDE	1008	
41	Beijing-136_outside-1	Beijing	136_outside	w a j u a i ⁵¹ + tʰ o w	beij1234	nan	762.0	OUTSIDE	283	
42	Beijing-136_outside-2	Beijing	136_outside	w a j u a i ⁵¹ + m j a n ¹	beij1234	nan	762.0	OUTSIDE	658	
43	Beijing-136_outside-3	Beijing	136_outside	w a j u a i ⁵¹ + p j a r ¹	beij1234	nan	762.0	OUTSIDE	341	
44	Beijing-137_sweet-1	Beijing	137_sweet	tʰ j a n ³⁵	beij1234	nan	717.0	SWEET	1177	
45	Beijing-138_sour-1	Beijing	138_sour	s w a n ⁵⁵	beij1234	nan	1906.0	SOUR	274	
46	Beijing-139_salty-1	Beijing	139_salty	ɕ j a n ³⁵	beij1234	nan	1091.0	SALTY	38	
47	Beijing-140_watery-1	Beijing	140_watery	t a n ⁵¹	beij1234	nan	2181.0	LIGHT (IN TASTE)	1101	
48	Beijing-141_fat-1	Beijing	141_fat	pʰ ɑ ŋ ⁵¹	beij1234	nan	1279.0	FAT (OBESE)	102	
49	Beijing-142_thin-1	Beijing	142_thin	ʂ o w ⁵¹	beij1234	nan	1400.0	THIN (SLIM)	683	
50	Beijing-143_cold-1	Beijing	143_cold	l ə ŋ ²¹⁴	beij1234	nan	1287.0	COLD	177	
51	Beijing-144_hot-1	Beijing	144_hot	ʐ ɤ ⁵¹	beij1234	nan	1286.0	HOT	834	
52	Beijing-145_wellsmelling-1	Beijing	145_wellsmelling	ɕ j ɑ ŋ ⁵⁵	beij1234	nan	376.0	FRAGRANT	1092	
53	Beijing-146_stinky-1	Beijing	146_stinky	ʈʂʰ o w ⁵¹	beij1234	nan	42.0	STINKING	133	
54	Beijing-147_thick-1	Beijing	147_thick	tsʰ u ⁵⁵	beij1234	nan	1244.0	THICK	1146	
55	Beijing-147_thick-2	Beijing	147_thick	x a n ⁵⁵	beij1234	nan	1244.0	THICK	570	
56	Beijing-148_tiny-1	Beijing	148_tiny	ɕ i ⁵¹	beij1234	nan	1246.0	SMALL	967	
57	Beijing-149_long-1	Beijing	149_long	ʈʂʰ ɑ ŋ ³⁵	beij1234	nan	1203.0	LONG	552	
58	Beijing-150_short-1	Beijing	150_short	t w a n ²¹⁴	beij1234	nan	1645.0	SHORT	868	
59	Beijing-151_dirty-1	Beijing	151_dirty	ts ɑ ŋ ⁵⁵	beij1234	nan	1230.0	DIRTY	959	
60	Beijing-152_clean-1	Beijing	152_clean	k a n ⁵⁵ + tɕ i ŋ ²	beij1234	nan	704.0	CLEAN	748	
61	Beijing-153_cheap-1	Beijing	153_cheap	pʰ j a n ³⁵ + i ³	beij1234	nan	1887.0	CHEAP	73	
62	Beijing-156_justright-1	Beijing	156_justright	ʈʂ ə ŋ ⁵¹ + x a w r ²¹⁴	beij1234	nan	1725.0	CORRECT (RIGHT)	36	
63	Beijing-157_and-1	Beijing	157_and	x ɤ ³⁵	beij1234	nan	1577.0	AND	323	
64	Beijing-157_and-2	Beijing	157_and	k ə n ⁵⁵	beij1234	nan	1577.0	AND	863	
65	Beijing-158_only-1	Beijing	158_only	ʈʂ ʅ ²¹⁴	beij1234	nan	1580.0	ONLY	597	
66	Beijing-159_from-1	Beijing	159_from	tsʰ u ŋ ³⁵	beij1234	nan	693.0	FROM	1086	
67	Beijing-159_from-2	Beijing	159_from	t a ²¹⁴	beij1234	nan	693.0	FROM	1167	
68	Beijing-159_from-3	Beijing	159_from	tɕʰ j ɛ ²¹⁴	beij1234	nan	693.0	FROM	712	
69	Beijing-15_thisyear-1	Beijing	15_thisyear	tɕ i n ⁵⁵ + n j a n ³⁵ + k ə ³	beij1234	nan	513.0	THIS YEAR	760	
70	Beijing-160_insteadof-1	Beijing	160_insteadof	tʰ i ⁵¹	beij1234	nan	1652.0	INSTEAD	991	
71	Beijing-161_take-1	Beijing	161_take	n a ³⁵	beij1234	nan	1749.0	TAKE	1103	
72	Beijing-162_onpurpose-1	Beijing	162_onpurpose	k u ⁵¹ + i ⁵¹	beij1234	nan	1031.0	ON PURPOSE	59	
73	Beijing-163_one-1	Beijing	163_one	i ⁵⁵	beij1234	nan	1493.0	ONE	637	
74	Beijing-164_two-1	Beijing	164_two	ə r ⁵¹	beij1234	nan	1498.0	TWO	1106	
75	Beijing-165_three-1	Beijing	165_three	s a n ⁵⁵	beij1234	nan	492.0	THREE	196	
76	Beijing-166_four-1	Beijing	166_four	s ɿ ⁵¹	beij1234	nan	1500.0	FOUR	1156	
77	Beijing-167_five-1	Beijing	167_five	u ²¹⁴	beij1234	nan	493.0	FIVE	193	
78	Beijing-168_six-1	Beijing	168_six	l j o w i/j o u ⁵¹	beij1234	nan	1703.0	SIX	813	
79	Beijing-169_seven-1	Beijing	169_seven	tɕʰ i ⁵⁵	beij1234	nan	1704.0	SEVEN	500	
80	Beijing-170_eight-1	Beijing	170_eight	p a ⁵⁵	beij1234	nan	1705.0	EIGHT	782	
81	Beijing-171_nine-1	Beijing	171_nine	tɕ j o w i/j o u ²¹⁴	beij1234	nan	1483.0	NINE	292	
82	Beijing-172_ten-1	Beijing	172_ten	ʂ ʅ ³⁵	beij1234	nan	1515.0	TEN	805	
83	Beijing-173_eleven-1	Beijing	173_eleven	ʂ ʅ ³⁵ + i ⁵⁵	beij1234	nan	1706.0	ELEVEN	49	
84	Beijing-177_first-1	Beijing	177_first	t i ⁵¹ + i ⁵⁵	beij1234	nan	728.0	FIRST	23	
85	Beijing-178_second-1	Beijing	178_second	t i ⁵¹ + ə r ⁵¹	beij1234	nan	1384.0	SECOND	753	
86	Beijing-180_twoounces-1	Beijing	180_twoounces	ə r ⁵¹ + l j ɑ ŋ ²¹⁴	beij1234	nan	2180.0	TWO OUNCES	287	
87	Beijing-1_sun-1	Beijing	1_sun	tʰ a j ⁵¹ + j ɑ ŋ ¹	beij1234	nan	1343.0	SUN	469	
88	Beijing-1_sun-2	Beijing	1_sun	l ɑ w ²¹⁴ + i r ³⁵	beij1234	nan	1343.0	SUN	594	
89	Beijing-1_sun-3	Beijing	1_sun	ʐ ʅ ⁵¹ + tʰ o w ¹	beij1234	nan	1343.0	SUN	184	
90	Beijing-20_today-1	Beijing	20_today	tɕ j ə r ⁵⁵ + k ə ²	beij1234	nan	1283.0	TODAY	245	
91	Beijing-22_wheat-1	Beijing	22_wheat	m a j ⁵¹ + ts ɿ ¹	beij1234	nan	1077.0	WHEAT	939	
92	Beijing-2315_cook-1	Beijing	2315_cook	t a ⁵¹ + ʂ ʅ ¹ + f u ¹	beij1234	nan	2315.0	COOK (PERSON)	710	
93	Beijing-2315_cook-2	Beijing	2315_cook	ʈʂʰ u ³⁵ + ts ɿ ³	beij1234	nan	2315.0	COOK (PERSON)	523	
94	Beijing-24_sunflower-1	Beijing	24_sunflower	ʈʂ w a n ⁵¹ + ʐ ʅ ¹ + l j a n ³⁵	beij1234	nan	1956.0	SUNFLOWER	78	
95	Beijing-24_sunflower-2	Beijing	24_sunflower	ɕ j a ŋ ⁵¹ + ʐ ʅ ¹ + kʰ w e j u/w e i ³⁵	beij1234	nan	1956.0	SUNFLOWER	928	
96	Beijing-24_sunflower-3	Beijing	24_sunflower	kʰ w e j u/w e i ³⁵ + x w a ⁵⁵	beij1234	nan	1956.0	SUNFLOWER	358	
97	Beijing-25_spinach-1	Beijing	25_spinach	p o ³⁵ + tsʰ a j ⁵¹	beij1234	nan	975.0	SPINACH	249	
98	Beijing-26_cabbage-1	Beijing	26_cabbage	j ɑ ŋ ³⁵ + p a j ³⁵ + tsʰ a j ⁵¹	beij1234	nan	774.0	CABBAGE	958	
99	Beijing-29_sweetpotato-1	Beijing	29_sweetpotato	p a j ³⁵ + ʂ u ²¹⁴	beij1234	nan	159.0	SWEET POTATO	325	
