	ID	DOCULECT	CONCEPT	Segments	GLOTTOCODE	ISO_CODE	CONCEPTICON_ID	CONCEPTICON_GLOSS	COGNATES	FORM
0	Amarakaeri-118_dog-1	Amarakaeri	118_dog	k u w a	amar1274	amr	2009.0	DOG	858	
1	Amarakaeri-122_drink-1	Amarakaeri	122_drink	m a j	amar1274	amr	1401.0	DRINK	884	
2	Amarakaeri-132_eat-1	Amarakaeri	132_eat	p e	amar1274	amr	1336.0	EAT	841	
3	Amarakaeri-134_egg-1	Amarakaeri	134_egg	k n d a	amar1274	amr	744.0	EGG	879	
4	Amarakaeri-140_fall-1	Amarakaeri	140_fall	k a t	amar1274	amr	1280.0	FALL	1241	
5	Amarakaeri-146_father-1	Amarakaeri	146_father	p a g ŋ	amar1274	amr	1217.0	FATHER	843	
6	Amarakaeri-150_fingernail-1	Amarakaeri	150_fingernail	m/b a ʔ + k u	amar1274	amr	1258.0	FINGERNAIL	855	
7	Amarakaeri-150_fingernail-1	Amarakaeri	150_fingernail	m/b a ʔ + k u	amar1274	amr	1258.0	FINGERNAIL	875	
8	Amarakaeri-156_fish-1	Amarakaeri	156_fish	m/b i ʔ i g ŋ	amar1274	amr	227.0	FISH	872	
9	Amarakaeri-165_food-1	Amarakaeri	165_food	a j p o	amar1274	amr	256.0	FOOD	852	
10	Amarakaeri-166_foot-1	Amarakaeri	166_foot	ʔ i	amar1274	amr	1301.0	FOOT	337	
11	Amarakaeri-168_forest-1	Amarakaeri	168_forest	n/d u m b a	amar1274	amr	420.0	FOREST	893	
12	Amarakaeri-180_give-1	Amarakaeri	180_give	j o k	amar1274	amr	1447.0	GIVE	870	
13	Amarakaeri-181_go-1	Amarakaeri	181_go	w a ʔ	amar1274	amr	695.0	GO	236	
14	Amarakaeri-182_good-1	Amarakaeri	182_good	n/d a k	amar1274	amr	1035.0	GOOD	874	
15	Amarakaeri-195_hand-1	Amarakaeri	195_hand	m/b a ʔ	amar1274	amr	1277.0	HAND	855	
16	Amarakaeri-19_arrow-1	Amarakaeri	19_arrow	p ĩã	amar1274	amr	977.0	ARROW	886	
17	Amarakaeri-201_head-1	Amarakaeri	201_head	k u	amar1274	amr	1256.0	HEAD	875	
