	ID	DOCULECT	CONCEPT	Segments	GLOTTOCODE	ISO_CODE	CONCEPTICON_ID	CONCEPTICON_GLOSS	COGNATES	FORM
179	Gyeonggi-100_onethousand-1	Gyeonggi	100_onethousand	tɕʰ ə n	seou1239	nan	1843	THOUSAND	100_onethousand-1	
180	Gyeonggi-101_other-1	Gyeonggi	101_other	t a + ɾ ɨ	seou1239	nan	197	OTHER	101_other-1	
181	Gyeonggi-102_painfulsick-1	Gyeonggi	102_painfulsick	a l	seou1239	nan	2103	PAINFUL OR SICK	102_painfulsick-1	
182	Gyeonggi-103_personhumanbeing-1	Gyeonggi	103_personhumanbeing	s aː + ɾ a m	seou1239	nan	683	PERSON	103_personhumanbeing-1	
183	Gyeonggi-104_rain-1	Gyeonggi	104_rain	p i	seou1239	nan	658	RAIN (PRECIPITATION)	104_rain-1	
184	Gyeonggi-105_rat-1	Gyeonggi	105_rat	tɕ w i	seou1239	nan	1490	RAT	105_rat-1	
185	Gyeonggi-106_red-1	Gyeonggi	106_red	p͈ a l + g a	seou1239	nan	156	RED	106_red-1	
186	Gyeonggi-107_right-1	Gyeonggi	107_right	o + ɾ ɨ n + tɕ͈ o k	seou1239	nan	1019	RIGHT	107_right-1	
187	Gyeonggi-108_river-1	Gyeonggi	108_river	k a ŋ	seou1239	nan	666	RIVER	108_river-2	
188	Gyeonggi-109_road-1	Gyeonggi	109_road	k i l	seou1239	nan	667	ROAD	109_road-1	
189	Gyeonggi-10_because-1	Gyeonggi	10_because	t͈ ɛ + m u n	seou1239	nan	1157	BECAUSE	10_because-1	
190	Gyeonggi-110_root-1	Gyeonggi	110_root	p͈ u + ɾ e ŋ + i	seou1239	nan	670	ROOT	110_root-1	
191	Gyeonggi-111_rope-1	Gyeonggi	111_rope	s ɛ t + k i	seou1239	nan	1218	ROPE	111_rope-2	
192	Gyeonggi-112_rotten-1	Gyeonggi	112_rotten	s ə k	seou1239	nan	1728	ROTTEN	112_rotten-1	
193	Gyeonggi-113_round-1	Gyeonggi	113_round	t u ŋ + g ɨ l	seou1239	nan	1395	ROUND	113_round-1	
194	Gyeonggi-114_salt-1	Gyeonggi	114_salt	s o + g o m	seou1239	nan	1274	SALT	114_salt-1	
195	Gyeonggi-115_sand-1	Gyeonggi	115_sand	m o + ɾ ɛ	seou1239	nan	671	SAND	115_sand-1	
196	Gyeonggi-116_sea-1	Gyeonggi	116_sea	p a + d a	seou1239	nan	1474	SEA	116_sea-1	
197	Gyeonggi-117_seed-1	Gyeonggi	117_seed	s͈ i + a t	seou1239	nan	714	SEED	117_seed-1	
198	Gyeonggi-118_seven-1	Gyeonggi	118_seven	i l + k o p	seou1239	nan	1704	SEVEN	118_seven-1	
199	Gyeonggi-119_sharp-1	Gyeonggi	119_sharp	n a l + k a + ɾ o p	seou1239	nan	1396	SHARP	119_sharp-1	
200	Gyeonggi-11_belly-1	Gyeonggi	11_belly	p ɛ	seou1239	nan	1251	BELLY	11_belly-1	
201	Gyeonggi-120_short-1	Gyeonggi	120_short	tɕ͈ a l	seou1239	nan	1645	SHORT	120_short-1	
202	Gyeonggi-121_shoulder-1	Gyeonggi	121_shoulder	ə k + k ɛ	seou1239	nan	1482	SHOULDER	121_shoulder-1	
203	Gyeonggi-122_shyashamed-1	Gyeonggi	122_shyashamed	p u + k͈ ɨ + ɾ ə p	seou1239	nan	487	SHY	122_shyashamed-1	
204	Gyeonggi-123_six-1	Gyeonggi	123_six	dʑ e + s ə t	seou1239	nan	1703	SIX	123_six-1	
205	Gyeonggi-124_skin-1	Gyeonggi	124_skin	s a l + k a t	seou1239	nan	763	SKIN	124_skin-1	
