	ID	DOCULECT	CONCEPT	Segments	GLOTTOCODE	ISO_CODE	CONCEPTICON_ID	CONCEPTICON_GLOSS	COGNATES	FORM
2	Bichom-11_black-1	Bichom	11_black	e + s aⁱ/ai	bich1234	nan	163	BLACK	2102	
3	Bichom-11_black-2	Bichom	11_black	s oⁱ/o	bich1234	nan	163	BLACK	2102	
4	Bichom-12_blood-1	Bichom	12_blood	e + f ua	bich1234	nan	946	BLOOD	2301	
5	Bichom-13_bone-1	Bichom	13_bone	e + z e ŋ	bich1234	nan	1394	BONE	2502	
6	Bichom-14_breast-1	Bichom	14_breast	n i w	bich1234	nan	1402	BREAST	2701	
8	Bichom-17_cloud-1	Bichom	17_cloud	tʃ a + k a + m a ŋ	bich1234	nan	1489	CLOUD	3303	
10	Bichom-19_todie-1	Bichom	19_todie	i + pʰ a	bich1234	nan	1494	DIE	3701	
11	Bichom-1_1sg-1	Bichom	1_1sg	g o	bich1234	nan	1209	I	101	
12	Bichom-1_1sg-2	Bichom	1_1sg	g u	bich1234	nan	1209	I	101	
14	Bichom-21_dog-1	Bichom	21_dog	tʃ oⁱ/o	bich1234	nan	2009	DOG	4106	
15	Bichom-22_drink-1	Bichom	22_drink	n a ŋ + pʰ a	bich1234	nan	1401	DRINK	4303	
16	Bichom-23_dry-1	Bichom	23_dry	e + g aᵘ/a	bich1234	nan	1398	DRY	4502	
17	Bichom-24_ear-1	Bichom	24_ear	kʰ õ	bich1234	nan	1247	EAR	4702	
18	Bichom-25_eat-1	Bichom	25_eat	tʃ ə + m u t	bich1234	nan	1336	EAT	4902	
19	Bichom-26_egg-1	Bichom	26_egg	e + r i	bich1234	nan	744	EGG	5105	
20	Bichom-27_eye-1	Bichom	27_eye	m i + j a k	bich1234	nan	1248	EYE	5302	
22	Bichom-29_fat-1	Bichom	29_fat	e + j u	bich1234	nan	323	FAT (ORGANIC SUBSTANCE)	5701	
23	Bichom-2_2sg-1	Bichom	2_2sg	n o	bich1234	nan	1215	THOU	301	
25	Bichom-31_fire-1	Bichom	31_fire	b oᵉ/o	bich1234	nan	221	FIRE	6101	
26	Bichom-32_fish-1	Bichom	32_fish	u + ŋ a	bich1234	nan	227	FISH	6301	
27	Bichom-33_fleshmeat-1	Bichom	33_fleshmeat	e + b i j e	bich1234	nan	2615	FLESH OR MEAT	6502	
28	Bichom-34_tofly-1	Bichom	34_tofly	kʰ eⁱ/e	bich1234	nan	1441	FLY (MOVE THROUGH AIR)	6703	
29	Bichom-35_full-1	Bichom	35_full	l eⁱ/e	bich1234	nan	1429	FULL	6902	
30	Bichom-36_togive-1	Bichom	36_togive	pʰ i + pʰ a	bich1234	nan	1447	GIVE	7101	
32	Bichom-38_good-1	Bichom	38_good	a + v i j e	bich1234	nan	1035	GOOD	7503	
35	Bichom-41_head-1	Bichom	41_head	kʰ ɾ u k	bich1234	nan	1256	HEAD	8101	
36	Bichom-42_tohear-1	Bichom	42_tohear	j oⁱ/o + pʰ a	bich1234	nan	1408	HEAR	8303	
38	Bichom-45_tokill-1	Bichom	45_tokill	u a + pʰ a	bich1234	nan	1417	KILL	8901	
39	Bichom-46_horn-1	Bichom	46_horn	e + r i j a ŋ	bich1234	nan	1393	HORN (ANATOMY)	9102	
41	Bichom-49_knee-1	Bichom	49_knee	l ə + s p au	bich1234	nan	1371	KNEE	9704	
43	Bichom-50_toknow-1	Bichom	50_toknow	tʰ e + j a k + p a	bich1234	nan	1410	KNOW (SOMETHING)	9903	
45	Bichom-52_leaf-1	Bichom	52_leaf	r a p	bich1234	nan	628	LEAF	10301	
47	Bichom-55_long-1	Bichom	55_long	pʰ i j a ŋ	bich1234	nan	1203	LONG	10902	
48	Bichom-57_moon-1	Bichom	57_moon	h a + b i j e	bich1234	nan	1313	MOON	11301	
49	Bichom-58_mouth-1	Bichom	58_mouth	s e m	bich1234	nan	674	MOUTH	11502	
50	Bichom-59_name-1	Bichom	59_name	e + b e ŋ	bich1234	nan	1405	NAME	11701	
52	Bichom-61_neck-1	Bichom	61_neck	e + j ua	bich1234	nan	1333	NECK	12103	
53	Bichom-62_new-1	Bichom	62_new	e + w ã	bich1234	nan	1231	NEW	12302	
54	Bichom-63_nose-1	Bichom	63_nose	e + pʰ u ŋ	bich1234	nan	1221	NOSE	12501	
56	Bichom-66_one-1	Bichom	66_one	dʒ i j o	bich1234	nan	1493	ONE	13102	
58	Bichom-68_rain-1	Bichom	68_rain	h a + pʰ i j e	bich1234	nan	2108	RAINING OR RAIN	13503	
59	Bichom-69_red-1	Bichom	69_red	e + ʃ ai k	bich1234	nan	156	RED	13701	
60	Bichom-6_ash-1	Bichom	6_ash	s + p i j e	bich1234	nan	646	ASH	1102	
61	Bichom-70_root-1	Bichom	70_root	e + r a ŋ	bich1234	nan	670	ROOT	13904	
63	Bichom-73_sand-1	Bichom	73_sand	b a l i	bich1234	nan	671	SAND	14504	
64	Bichom-74_tosay-1	Bichom	74_tosay	j e + pʰ a	bich1234	nan	1458	SAY	14702	
65	Bichom-75_tosee-1	Bichom	75_tosee	r ə g	bich1234	nan	1409	SEE	14903	
66	Bichom-76_tosit-1	Bichom	76_tosit	d u k	bich1234	nan	1416	SIT	15102	
67	Bichom-77_skinhide-1	Bichom	77_skinhide	e + kʰ u k	bich1234	nan	763	SKIN	15301	
68	Bichom-78_tosleep-1	Bichom	78_tosleep	m i j a n + pʰ a	bich1234	nan	1585	SLEEP	15502	
69	Bichom-79_small-1	Bichom	79_small	e + j u ŋ	bich1234	nan	1246	SMALL	15704	
70	Bichom-7_big-1	Bichom	7_big	b oᵘ/o	bich1234	nan	1202	BIG	1302	
71	Bichom-80_smoke-1	Bichom	80_smoke	b a m + kʰ a m	bich1234	nan	778	SMOKE (EXHAUST)	15901	
72	Bichom-81_stand-1	Bichom	81_stand	r iᵒ/io	bich1234	nan	1442	STAND	16103	
73	Bichom-82_star-1	Bichom	82_star	t a + d i j a ŋ	bich1234	nan	1430	STAR	16303	
75	Bichom-84_sun-1	Bichom	84_sun	h a + n aⁱ/ai	bich1234	nan	1343	SUN	16703	
77	Bichom-86_tail-1	Bichom	86_tail	e + ɲ oⁱ/o	bich1234	nan	1220	TAIL	17101	
79	Bichom-89_this-1	Bichom	89_this	h e + pʰ o m o n o	bich1234	nan	1214	THIS	17703	
80	Bichom-8_bird-1	Bichom	8_bird	f ua	bich1234	nan	937	BIRD	1501	
81	Bichom-90_tongue-1	Bichom	90_tongue	r i	bich1234	nan	1205	TONGUE	17901	
82	Bichom-91_tooth-1	Bichom	91_tooth	ʃ i n i j a t	bich1234	nan	1380	TOOTH	18103	
83	Bichom-92_water-1	Bichom	92_water	kʰ oᵘ/o	bich1234	nan	948	WATER	18301	
84	Bichom-93_what-1	Bichom	93_what	n i w	bich1234	nan	1236	WHAT	18505	
85	Bichom-94_white-1	Bichom	94_white	e + m oᵘ/o	bich1234	nan	1335	WHITE	18703	
86	Bichom-95_who-1	Bichom	95_who	h a + n i j u	bich1234	nan	1235	WHO	18902	
88	Bichom-98_woman-1	Bichom	98_woman	b i + m i	bich1234	nan	962	WOMAN	19501	
90	Bichom-9_bite-1	Bichom	9_bite	tʰ o k + pʰ a	bich1234	nan	1403	BITE	1703	
93	Bulu-11_black-1	Bulu	11_black	a + h j ɛ N/ɴ	bulu1255	nan	163	BLACK	2103	
94	Bulu-12_blood-1	Bulu	12_blood	a + h ui	bulu1255	nan	946	BLOOD	2301	
95	Bulu-13_bone-1	Bulu	13_bone	a + z ɛ N/ɴ	bulu1255	nan	1394	BONE	2502	
96	Bulu-14_breast-1	Bulu	14_breast	a + n j ɛː	bulu1255	nan	1402	BREAST	2704	
99	Bulu-17_cloud-1	Bulu	17_cloud	s ə + t ɨː	bulu1255	nan	1489	CLOUD	3302	
101	Bulu-19_todie-1	Bulu	19_todie	iː	bulu1255	nan	1494	DIE	3701	
102	Bulu-1_1sg-1	Bulu	1_1sg	g uː	bulu1255	nan	1209	I	101	
104	Bulu-21_dog-1	Bulu	21_dog	b uː	bulu1255	nan	2009	DOG	4102	
105	Bulu-22_drink-1	Bulu	22_drink	i n	bulu1255	nan	1401	DRINK	4302	
106	Bulu-23_dry-1	Bulu	23_dry	a + w ɛ N/ɴ	bulu1255	nan	1398	DRY	4501	
107	Bulu-24_ear-1	Bulu	24_ear	a + k ui N/ɴ	bulu1255	nan	1247	EAR	4702	
108	Bulu-25_eat-1	Bulu	25_eat	tʃ iː	bulu1255	nan	1336	EAT	4902	
109	Bulu-26_egg-1	Bulu	26_egg	a + w u N/ɴ	bulu1255	nan	744	EGG	5103	
110	Bulu-27_eye-1	Bulu	27_eye	a + k ə m	bulu1255	nan	1248	EYE	5304	
112	Bulu-29_fat-1	Bulu	29_fat	a + ʒ ɔː	bulu1255	nan	323	FAT (ORGANIC SUBSTANCE)	5701	
113	Bulu-2_2sg-1	Bulu	2_2sg	n aː	bulu1255	nan	1215	THOU	301	
115	Bulu-31_fire-1	Bulu	31_fire	b ɛː	bulu1255	nan	221	FIRE	6101	
116	Bulu-32_fish-1	Bulu	32_fish	tʃ ui	bulu1255	nan	227	FISH	6302	
117	Bulu-33_fleshmeat-1	Bulu	33_fleshmeat	ʃ iː	bulu1255	nan	2615	FLESH OR MEAT	6501	
118	Bulu-34_tofly-1	Bulu	34_tofly	k iː	bulu1255	nan	1441	FLY (MOVE THROUGH AIR)	6703	
119	Bulu-35_full-1	Bulu	35_full	l j ɛː	bulu1255	nan	1429	FULL	6902	
120	Bulu-36_togive-1	Bulu	36_togive	t a N/ɴ	bulu1255	nan	1447	GIVE	7102	
122	Bulu-38_good-1	Bulu	38_good	a + m j ɛː	bulu1255	nan	1035	GOOD	7504	
126	Bulu-41_head-1	Bulu	41_head	a + k u N/ɴ	bulu1255	nan	1256	HEAD	8101	
127	Bulu-42_tohear-1	Bulu	42_tohear	n ɨ ŋ	bulu1255	nan	1408	HEAR	8304	
130	Bulu-45_tokill-1	Bulu	45_tokill	w ɛ ʔ	bulu1255	nan	1417	KILL	8901	
131	Bulu-46_horn-1	Bulu	46_horn	a + k j ɛ N/ɴ	bulu1255	nan	1393	HORN (ANATOMY)	9101	
134	Bulu-49_knee-1	Bulu	49_knee	a + l ɛː + k ə + p ei ʔ	bulu1255	nan	1371	KNEE	9705	
136	Bulu-50_toknow-1	Bulu	50_toknow	d ɛ N/ɴ	bulu1255	nan	1410	KNOW (SOMETHING)	9901	
138	Bulu-52_leaf-1	Bulu	52_leaf	a + l ə p	bulu1255	nan	628	LEAF	10301	
140	Bulu-54_liver-1	Bulu	54_liver	a + pʰ i N/ɴ	bulu1255	nan	1224	LIVER	10702	
141	Bulu-55_long-1	Bulu	55_long	a + p j a N/ɴ	bulu1255	nan	1203	LONG	10902	
142	Bulu-56_louse-1	Bulu	56_louse	ʃ i ʔ	bulu1255	nan	1392	LOUSE	11102	
143	Bulu-57_moon-1	Bulu	57_moon	h a N/ɴ + b ɔː	bulu1255	nan	1313	MOON	11301	
144	Bulu-58_mouth-1	Bulu	58_mouth	a + s ə m	bulu1255	nan	674	MOUTH	11502	
145	Bulu-59_name-1	Bulu	59_name	a + b j ɛ N/ɴ	bulu1255	nan	1405	NAME	11701	
148	Bulu-61_neck-1	Bulu	61_neck	k ə + t u N/ɴ + r i n	bulu1255	nan	1333	NECK	12101	
149	Bulu-62_new-1	Bulu	62_new	a + f ɛ N/ɴ	bulu1255	nan	1231	NEW	12301	
150	Bulu-63_nose-1	Bulu	63_nose	a + pʰ u N/ɴ	bulu1255	nan	1221	NOSE	12501	
151	Bulu-64_not-1	Bulu	64_not	b a	bulu1255	nan	1240	NOT	12701	
153	Bulu-66_one-1	Bulu	66_one	t yi	bulu1255	nan	1493	ONE	13104	
