	ID	DOCULECT	CONCEPT	Segments	GLOTTOCODE	CONCEPTICON_ID	CONCEPTICON_GLOSS	COGNATES	FORM
0	Beijing-Liu-2007-201-1-1	Beijing	Liu-2007-201-1	p ɛ ³⁵	beij1234	1335	WHITE	71	
1	Beijing-Liu-2007-201-10-1	Beijing	Liu-2007-201-10	ʈʂʰ ɑ ŋ ³⁵	beij1234	1203	LONG	112	
2	Beijing-Liu-2007-201-100-1	Beijing	Liu-2007-201-100	ʐ ə ŋ ⁵⁵	beij1234	1456	THROW	60	
4	Beijing-Liu-2007-201-102-1	Beijing	Liu-2007-201-102	ʐ u ³⁵ + k w o ²¹⁴	beij1234	1459	IF	113	
5	Beijing-Liu-2007-201-102-1	Beijing	Liu-2007-201-102	ʐ u ³⁵ + k w o ²¹⁴	beij1234	1459	IF	114	
8	Beijing-Liu-2007-201-104-1	Beijing	Liu-2007-201-104	s a n ⁵⁵	beij1234	492	THREE	131	
9	Beijing-Liu-2007-201-105-1	Beijing	Liu-2007-201-105	s ə n ⁵⁵ + l i n ³⁵	beij1234	420	FOREST	132	
10	Beijing-Liu-2007-201-105-1	Beijing	Liu-2007-201-105	s ə n ⁵⁵ + l i n ³⁵	beij1234	420	FOREST	133	
11	Beijing-Liu-2007-201-106-1	Beijing	Liu-2007-201-106	ʂ a̠ ⁵⁵	beij1234	1417	KILL	135	
12	Beijing-Liu-2007-201-107-1	Beijing	Liu-2007-201-107	ʂ a̠ ⁵⁵	beij1234	671	SAND	138	
13	Beijing-Liu-2007-201-108-1	Beijing	Liu-2007-201-108	ʂ a n ⁵⁵	beij1234	639	MOUNTAIN	139	
15	Beijing-Liu-2007-201-11-1	Beijing	Liu-2007-201-11	ʈʂʰ ɑ ŋ ³⁵ + ts ɿ ⁰	beij1234	1334	GUTS	538	
16	Beijing-Liu-2007-201-11-1	Beijing	Liu-2007-201-11	ʈʂʰ ɑ ŋ ³⁵ + ts ɿ ⁰	beij1234	1334	GUTS	19	
17	Beijing-Liu-2007-201-110-1	Beijing	Liu-2007-201-110	ʂ ɑu ⁵¹	beij1234	1242	FEW	141	
18	Beijing-Liu-2007-201-111-1	Beijing	Liu-2007-201-111	ʂ ɤ ³⁵	beij1234	1205	TONGUE	143	
19	Beijing-Liu-2007-201-112-1	Beijing	Liu-2007-201-112	ʂ y ³⁵	beij1234	730	SNAKE	148	
20	Beijing-Liu-2007-201-113-1	Beijing	Liu-2007-201-113	ʂ ə ŋ ³⁵	beij1234	1218	ROPE	153	
21	Beijing-Liu-2007-201-114-1	Beijing	Liu-2007-201-114	ʂ ʅ ⁵⁵	beij1234	1392	LOUSE	155	
22	Beijing-Liu-2007-201-115-1	Beijing	Liu-2007-201-115	ʂ ʅ ⁵⁵	beij1234	1726	WET	161	
23	Beijing-Liu-2007-201-116-1	Beijing	Liu-2007-201-116	ʂ ə n ³⁵ + m ə ⁰	beij1234	1236	WHAT	166	
24	Beijing-Liu-2007-201-116-1	Beijing	Liu-2007-201-116	ʂ ə n ³⁵ + m ə ⁰	beij1234	1236	WHAT	167	
25	Beijing-Liu-2007-201-117-1	Beijing	Liu-2007-201-117	ʂ ʅ ³⁵ + tʰ ou ⁰	beij1234	857	STONE	180	
26	Beijing-Liu-2007-201-117-1	Beijing	Liu-2007-201-117	ʂ ʅ ³⁵ + tʰ ou ⁰	beij1234	857	STONE	319	
27	Beijing-Liu-2007-201-118-1	Beijing	Liu-2007-201-118	ʂ ou ²¹³	beij1234	1277	HAND	182	
28	Beijing-Liu-2007-201-119-1	Beijing	Liu-2007-201-119	ʂ u ⁵¹	beij1234	906	TREE	134	
29	Beijing-Liu-2007-201-12-1	Beijing	Liu-2007-201-12	ʈʂʰ ɑ ŋ ⁵¹	beij1234	1261	SING	539	
30	Beijing-Liu-2007-201-120-1	Beijing	Liu-2007-201-120	ʂ u ⁵¹ + pʰ i ³⁵	beij1234	1204	BARK	134	
31	Beijing-Liu-2007-201-120-1	Beijing	Liu-2007-201-120	ʂ u ⁵¹ + pʰ i ³⁵	beij1234	1204	BARK	16	
33	Beijing-Liu-2007-201-121b-1	Beijing	Liu-2007-201-121b	ʂ u ²¹³	beij1234	1420	COUNT	185	
34	Beijing-Liu-2007-201-122-1	Beijing	Liu-2007-201-122	ʂ əi ³⁵	beij1234	1235	WHO	187	
35	Beijing-Liu-2007-201-123-1	Beijing	Liu-2007-201-123	ʂ w ei ²¹³	beij1234	948	WATER	194	
38	Beijing-Liu-2007-201-125-1	Beijing	Liu-2007-201-125	ʂ w ei ⁵¹	beij1234	1585	SLEEP	196	
39	Beijing-Liu-2007-201-126-1	Beijing	Liu-2007-201-126	ɕ i ⁵⁵	beij1234	1421	SUCK	198	
40	Beijing-Liu-2007-201-127-1	Beijing	Liu-2007-201-127	ʂ w o ⁵⁵	beij1234	1458	SAY	206	
41	Beijing-Liu-2007-201-128-1	Beijing	Liu-2007-201-128	s ɿ ⁵⁵ + l j ɛ ⁵¹	beij1234	1437	SPLIT	212	
42	Beijing-Liu-2007-201-128-1	Beijing	Liu-2007-201-128	s ɿ ⁵⁵ + l j ɛ ⁵¹	beij1234	1437	SPLIT	213	
43	Beijing-Liu-2007-201-129-1	Beijing	Liu-2007-201-129	s ɿ ²¹³	beij1234	1494	DIE	222	
44	Beijing-Liu-2007-201-13-1	Beijing	Liu-2007-201-13	ʈʂʰ ə n ³⁵ + tʰ u ²¹⁴	beij1234	2	DUST	540	
45	Beijing-Liu-2007-201-13-1	Beijing	Liu-2007-201-13	ʈʂʰ ə n ³⁵ + tʰ u ²¹⁴	beij1234	2	DUST	264	
46	Beijing-Liu-2007-201-130-1	Beijing	Liu-2007-201-130	s ɿ ⁵¹	beij1234	1500	FOUR	225	
