	ID	DOCULECT	CONCEPT	Segments	GLOTTOCODE	ISO_CODE	CONCEPTICON_ID	CONCEPTICON_GLOSS	COGNATES	FORM
0	Borong-100_hepushes-1	Borong	100_hepushes	kp e t a n o k e	boro1279	ksr	1452	PUSH	117	
1	Borong-101_hewashes-1	Borong	101_hewashes	s o ŋ gb a ŋ	boro1279	ksr	1453	WASH	135	
2	Borong-102_hedigs-1	Borong	102_hedigs	t o g u ŋ k e n	boro1279	ksr	1418	DIG	27	
3	Borong-103_hecuts-1	Borong	103_hecuts	k o t o	boro1279	ksr	1432	CUT	41	
4	Borong-104_some-1	Borong	104_some	t o s i	boro1279	ksr	1241	SOME	63	
5	Borong-105_short-1	Borong	105_short	t o r o d a a m o ŋ	boro1279	ksr	1645	SHORT	79	
6	Borong-106_wind-1	Borong	106_wind	h a a m o k	boro1279	ksr	960	WIND	85	
7	Borong-107_sky-1	Borong	107_sky	s i w e k	boro1279	ksr	1732	SKY	101	
8	Borong-108_dust-1	Borong	108_dust	i l a w e l a	boro1279	ksr	2	DUST	129	
9	Borong-109_lake-1	Borong	109_lake	a ŋ g o ŋ	boro1279	ksr	624	LAKE	11	
10	Borong-10_hesays-1	Borong	10_hesays	dz o	boro1279	ksr	1458	SAY	6	
11	Borong-110_itsflower-1	Borong	110_itsflower	dz u r a	boro1279	ksr	239	FLOWER	3	
13	Borong-112_stick-1	Borong	112_stick	t a a k	boro1279	ksr	1295	STICK	67	
14	Borong-113_worm-1	Borong	113_worm	g e n a m b e ŋ	boro1279	ksr	1219	WORM	75	
15	Borong-114_snake-1	Borong	114_snake	m o k o l e ŋ	boro1279	ksr	730	SNAKE	109	
16	Borong-115_animal-1	Borong	115_animal	o s o ŋ	boro1279	ksr	619	ANIMAL	107	
17	Borong-116_itsback-1	Borong	116_itsback	g e m a s i t	boro1279	ksr	1291	BACK	123	
18	Borong-117_itswing-1	Borong	117_itswing	e ŋ g a ŋ	boro1279	ksr	1257	WING	7	
20	Borong-119_hevomits-1	Borong	119_hevomits	l o n	boro1279	ksr	1278	VOMIT	33	
22	Borong-120_helaughs-1	Borong	120_helaughs	dz o m o	boro1279	ksr	1355	LAUGH	53	
23	Borong-121_hesucks-1	Borong	121_hesucks	b u g o	boro1279	ksr	1421	SUCK	65	
25	Borong-123_hespits-1	Borong	123_hespits	s u l a a k	boro1279	ksr	1440	SPIT	115	
26	Borong-124_old-1	Borong	124_old	k e r u g a h a	boro1279	ksr	1229	OLD	103	
28	Borong-126_dull-1	Borong	126_dull	dz i t a kp a a k	boro1279	ksr	379	BLUNT	9	
31	Borong-129_hisfather-1	Borong	129_hisfather	n e m u ŋ	boro1279	ksr	1217	FATHER	83	
33	Borong-130_hismother-1	Borong	130_hismother	m a ŋ	boro1279	ksr	1216	MOTHER	55	
34	Borong-131_shesews-1	Borong	131_shesews	e u ŋ m e	boro1279	ksr	1457	SEW	21	
35	Borong-132_rope-1	Borong	132_rope	dz o w a k	boro1279	ksr	1218	ROPE	111	
37	Borong-134_hecounts-1	Borong	134_hecounts	w e e ŋ g o	boro1279	ksr	1420	COUNT	95	
38	Borong-135_theyplay-1	Borong	135_theyplay	a o ŋ g o l o k	boro1279	ksr	1413	PLAY	139	
44	Borong-140_itswells-1	Borong	140_itswells	s o m a r o	boro1279	ksr	1573	SWELL	43	
48	Borong-17_hecomes-1	Borong	17_hecomes	w a a	boro1279	ksr	1446	COME	114	
49	Borong-18_hesits-1	Borong	18_hesits	r a	boro1279	ksr	1416	SIT	130	
50	Borong-19_hegivesme-1	Borong	19_hegivesme	n o n	boro1279	ksr	1447	GIVE	8	
51	Borong-1_i-1	Borong	1_i	n i	boro1279	ksr	1209	I	0	
52	Borong-20_hestands-1	Borong	20_hestands	n a n	boro1279	ksr	1442	STAND	14	
53	Borong-21_all-1	Borong	21_all	k u u y a	boro1279	ksr	98	ALL	18	
54	Borong-22_many-1	Borong	22_many	m a m a g u	boro1279	ksr	1198	MANY	28	
55	Borong-23_night-1	Borong	23_night	k e t e k	boro1279	ksr	1233	NIGHT	32	
56	Borong-24_long-1	Borong	24_long	k o r i g a	boro1279	ksr	1203	LONG	44	
57	Borong-25_big-1	Borong	25_big	s o m a t a	boro1279	ksr	1202	BIG	52	
58	Borong-26_small-1	Borong	26_small	m e r a a k	boro1279	ksr	1246	SMALL	60	
59	Borong-27_star-1	Borong	27_star	s e ŋ g e l e u	boro1279	ksr	1430	STAR	68	
60	Borong-28_sun-1	Borong	28_sun	w e e ŋ	boro1279	ksr	1343	SUN	80	
61	Borong-29_cloud-1	Borong	29_cloud	k o o s u k	boro1279	ksr	1489	CLOUD	84	
62	Borong-2_thou-1	Borong	2_thou	g i	boro1279	ksr	1215	THOU	2	
64	Borong-31_itsbelly-1	Borong	31_itsbelly	k e r i	boro1279	ksr	1251	BELLY	96	
65	Borong-32_itsnose-1	Borong	32_itsnose	s e w a ŋ	boro1279	ksr	1221	NOSE	104	
66	Borong-33_itsheart-1	Borong	33_itsheart	b a k o t a	boro1279	ksr	1223	HEART	116	
67	Borong-34_itsfat-1	Borong	34_itsfat	k e l e g a	boro1279	ksr	323	FAT (ORGANIC SUBSTANCE)	59	
68	Borong-35_itsneck-1	Borong	35_itsneck	a r e	boro1279	ksr	1333	NECK	122	
69	Borong-36_itshair-1	Borong	36_itshair	dz u i	boro1279	ksr	1040	HAIR	132	
70	Borong-37_hedies-1	Borong	37_hedies	k o m u	boro1279	ksr	1494	DIE	136	
71	Borong-38_heseesme-1	Borong	38_heseesme	n i i	boro1279	ksr	1409	SEE	138	
72	Borong-39_hesleeps-1	Borong	39_hesleeps	e	boro1279	ksr	1585	SLEEP	10	
73	Borong-3_we-1	Borong	3_we	n o n o	boro1279	ksr	1212	WE	4	
74	Borong-40_heeats-1	Borong	40_heeats	n e	boro1279	ksr	1336	EAT	12	
