	ID	DOCULECT	CONCEPT	Segments	GLOTTOCODE	ISO_CODE	CONCEPTICON_ID	CONCEPTICON_GLOSS	COGNATES	FORM
0	Khasi-100_name-1	Khasi	100_name	k ɨ r t e ŋ	khas1269	kha	1405	NAME	100_name_a	
1	Khasi-101_narrow-1	Khasi	101_narrow	r a ʃ i ŋ	khas1269	kha	1267	NARROW	101_narrow_a	
3	Khasi-102_near-1	Khasi	102_near	ɟ a n	khas1269	kha	1942	NEAR	102_near_a	
4	Khasi-103_neck-1	Khasi	103_neck	r ɨ d a ŋ	khas1269	kha	1333	NECK	103_neck_a	
5	Khasi-104_new-1	Khasi	104_new	tʰ ɨ mː ai̯	khas1269	kha	1231	NEW	104_new_a	
6	Khasi-105_night-1	Khasi	105_night	m i e t	khas1269	kha	1233	NIGHT	105_night_a	
7	Khasi-106_nose-1	Khasi	106_nose	kʰ m u t	khas1269	kha	1221	NOSE	106_nose_a	
8	Khasi-107_not-1	Khasi	107_not	ɨ m	khas1269	kha	1240	NOT	107_not_a	
9	Khasi-108_old-1	Khasi	108_old	r i m	khas1269	kha	1229	OLD	108_old_a	
10	Khasi-109_one-1	Khasi	109_one	u w ei̯	khas1269	kha	1493	ONE	109_one_a	
11	Khasi-10_belly-1	Khasi	10_belly	k p o ʔ	khas1269	kha	1251	BELLY	10_belly_a	
12	Khasi-110_other-1	Khasi	110_other	k i + w ei̯	khas1269	kha	197	OTHER	110_other_a	
13	Khasi-111_person-1	Khasi	111_person	b r i e w	khas1269	kha	683	PERSON	111_person_a	
14	Khasi-112_toplay-1	Khasi	112_toplay	l e ʔ + k ai̯	khas1269	kha	1413	PLAY	112_toplay_a	
15	Khasi-113_topull-1	Khasi	113_topull	t a n	khas1269	kha	1455	PULL	113_topull_a	
16	Khasi-114_topush-1	Khasi	114_topush	kʰ ɨ nː i a ʔ	khas1269	kha	1452	PUSH	114_topush_a	
17	Khasi-115_torain-1	Khasi	115_torain	s l a p	khas1269	kha	1253	RAIN (RAINING)	115_torain_a	
18	Khasi-116_red-1	Khasi	116_red	s a w	khas1269	kha	156	RED	116_red_a	
19	Khasi-117_rightcorrect-1	Khasi	117_rightcorrect	d ei̯	khas1269	kha	1725	CORRECT (RIGHT)	117_rightcorrect_a	
20	Khasi-118_rightside-1	Khasi	118_rightside	m o n	khas1269	kha	1019	RIGHT	118_rightside_a	
