	ID	DOCULECT	CONCEPT	Segments	GLOTTOCODE	ISO_CODE	CONCEPTICON_ID	CONCEPTICON_GLOSS	COGNATES	FORM
4	Even-102_sitv-1	Even	102_sitv	t e ɣ e tʃ	even1260	eve	1416	SIT	102_sitv-385	
5	Even-102_sitv-2	Even	102_sitv	t e ɣ e t	even1260	eve	1416	SIT	102_sitv-385	
14	Even-10_rootn-1	Even	10_rootn	ŋ eː ŋ t e	even1260	eve	670	ROOT	10_rootn-19	
15	Even-110_mann-1	Even	110_mann	ɲ aˤ/a ʕ r iˤ/i ʕ	even1260	eve	1554	MAN	110_mann-413	
20	Even-113_two-1	Even	113_two	dʒ o r	even1260	eve	1498	TWO	113_two-422	
24	Even-117_cloudn-1	Even	117_cloudn	t o ɣ e tʃ i n	even1260	eve	1489	CLOUD	117_cloudn-435	
28	Even-11_comev-1	Even	11_comev	e m	even1260	eve	1446	COME	11_comev-23	
45	Even-128_flyv-1	Even	128_flyv	d e g	even1260	eve	1441	FLY (MOVE THROUGH AIR)	128_flyv-492	
47	Even-12_breastnchestn-1	Even	12_breastnchestn	t i ŋ e n	even1260	eve	1402	BREAST	12_breastnchestn-27	
50	Even-131_headn-1	Even	131_headn	d iˤ/i ʕ l	even1260	eve	1256	HEAD	131_headn-506	
51	Even-132_bellyn-1	Even	132_bellyn	u r	even1260	eve	1251	BELLY	132_bellyn-511	
52	Even-132_bellyn-2	Even	132_bellyn	ħ u k t e	even1260	eve	1251	BELLY	132_bellyn-512	
54	Even-134_clawn-1	Even	134_clawn	oˤ/o ʕ s t aˤ/a ʕ	even1260	eve	72	CLAW	134_clawn-516	
55	Even-134_clawn-2	Even	134_clawn	ħ oˤ/o ʕ ɣ aˤ/a ʕ r	even1260	eve	72	CLAW	134_clawn-520	
71	Even-141_cold-1	Even	141_cold	i ŋ e ɲ	even1260	eve	1287	COLD	141_cold-558	
72	Even-141_cold-2	Even	141_cold	i ŋ e ɲ + ħ i	even1260	eve	1287	COLD	141_cold-558	
73	Even-142_feathern-1	Even	142_feathern	iˤ/i ʕ n ŋ e t	even1260	eve	1201	FEATHER	142_feathern-567	
80	Even-148_full-1	Even	148_full	m i l t e r e	even1260	eve	1429	FULL	148_full-598	
81	Even-148_full-2	Even	148_full	t oˤ/o ʕ l iˤ/i ʕ	even1260	eve	1429	FULL	148_full-600	
83	Even-14_1sgpronoun-1	Even	14_1sgpronoun	b iː	even1260	eve	1209	I	14_1sgpronoun-35	
84	Even-150_sleepv-1	Even	150_sleepv	ħ u k l e	even1260	eve	1585	SLEEP	150_sleepv-607	
87	Even-152_white-1	Even	152_white	g iˤ/i ʕ l t aˤ/a ʕ ɲ aˤ/a ʕ	even1260	eve	1335	WHITE	152_white-613	
88	Even-152_white-2	Even	152_white	ɲ oˁː/oː b aˤ/a ʕ t iˤ/i ʕ	even1260	eve	1335	WHITE	152_white-614	
90	Even-154_killv-1	Even	154_killv	m aːˁ	even1260	eve	1417	KILL	154_killv-619	
102	Even-15_namen-1	Even	15_namen	g e r b e	even1260	eve	1405	NAME	15_namen-36	
105	Even-161_many-1	Even	161_many	oˁː/oː q iˤ/i ʕ + d aˤ/a ʕ	even1260	eve	1198	MANY	161_many-661	
106	Even-161_many-2	Even	161_many	ħ oˁː/oː j aˤ/a ʕ tʃ	even1260	eve	1198	MANY	161_many-662	
