	ID	DOCULECT	CONCEPT	Segments	GLOTTOCODE	ISO_CODE	CONCEPTICON_ID	CONCEPTICON_GLOSS	COGNATES	FORM
0	Arak-100_yellow-1	Arak	100_yellow	r a k	alak1253	alk	1424	YELLOW	2158	
1	Arak-10_bone-1	Arak	10_bone	k ə t i ŋ	alak1253	alk	1394	BONE	45	
2	Arak-11_breast-1	Arak	11_breast	t ɔ h	alak1253	alk	1402	BREAST	49	
3	Arak-12_burntr-1	Arak	12_burntr	h u	alak1253	alk	141	BURN (SOMETHING)	1604	
4	Arak-13_clawnail-1	Arak	13_clawnail	k ə r n ɛ h	alak1253	alk	2128	CLAW OR NAIL	52	
5	Arak-14_cloud-1	Arak	14_cloud	ʔ u m + m u k	alak1253	alk	1489	CLOUD	0	
6	Arak-15_cold-1	Arak	15_cold	h ʔ ɨ t	alak1253	alk	1287	COLD	3040	
7	Arak-16_come-1	Arak	16_come	pɦ/pʱ ɨə h	alak1253	alk	1446	COME	1026	
8	Arak-17_die-1	Arak	17_die	s i t	alak1253	alk	1494	DIE	446	
9	Arak-18_dog-1	Arak	18_dog	c/ts ɔ	alak1253	alk	2009	DOG	63	
10	Arak-19_drink-1	Arak	19_drink	c/ts ɦ w ɔ k	alak1253	alk	1401	DRINK	3058	
11	Arak-1_all-1	Arak	1_all	h o c/ts	alak1253	alk	98	ALL	3000	
12	Arak-20_dry-1	Arak	20_dry	h ə k ɔ h	alak1253	alk	1398	DRY	365	
13	Arak-21_ear-1	Arak	21_ear	n t o	alak1253	alk	1247	EAR	71	
14	Arak-22_earth-1	Arak	22_earth	t ə n ɛ h	alak1253	alk	1228	EARTH (SOIL)	498	
15	Arak-23_eat-1	Arak	23_eat	c/ts a	alak1253	alk	1336	EAT	576	
16	Arak-24_egg-1	Arak	24_egg	k ə n t a p	alak1253	alk	744	EGG	77	
17	Arak-25_eye-1	Arak	25_eye	m a t	alak1253	alk	1248	EYE	872	
18	Arak-26_fatn-1	Arak	26_fatn	kh/kʰ a j	alak1253	alk	1282	FAT (FROM ANIMALS)	0	
19	Arak-27_feather-1	Arak	27_feather	s ə s ɔ k	alak1253	alk	1201	FEATHER	1564	
20	Arak-28_fire-1	Arak	28_fire	ʔ u ɲ	alak1253	alk	221	FIRE	192	
21	Arak-29_fish-1	Arak	29_fish	k a	alak1253	alk	227	FISH	83	
22	Arak-2_ashes-1	Arak	2_ashes	pɦ/pʱ u	alak1253	alk	646	ASH	2052	
23	Arak-30_flyv-1	Arak	30_flyv	p a r	alak1253	alk	1441	FLY (MOVE THROUGH AIR)	767	
24	Arak-31_foot-1	Arak	31_foot	c/ts ɦ ɨ ŋ	alak1253	alk	1301	FOOT	93	
25	Arak-32_full-1	Arak	32_full	pɦ/pʱ i ŋ	alak1253	alk	1429	FULL	94	
26	Arak-33_give-1	Arak	33_give	ʔ a m	alak1253	alk	1447	GIVE	2400	
27	Arak-34_good-1	Arak	34_good	d i	alak1253	alk	1035	GOOD	0	
28	Arak-35_green-1	Arak	35_green	s i w	alak1253	alk	1425	GREEN	0	
29	Arak-36_hair-1	Arak	36_hair	s ɔ k	alak1253	alk	1040	HAIR	1564	
30	Arak-37_hand-1	Arak	37_hand	t i	alak1253	alk	1277	HAND	125	
31	Arak-38_head-1	Arak	38_head	k ɦ ɨ	alak1253	alk	1256	HEAD	132	
32	Arak-39_hear-1	Arak	39_hear	n t ɔ ŋ	alak1253	alk	1408	HEAR	1439	
33	Arak-3_bark-1	Arak	3_bark	h ə m b ɔ k	alak1253	alk	1204	BARK	172	
34	Arak-40_heart-1	Arak	40_heart	p ə l a j + c ə ŋ ɦ ɨ m	alak1253	alk	1223	HEART	144	
35	Arak-41_horn-1	Arak	41_horn	ŋ k a j	alak1253	alk	1393	HORN (ANATOMY)	2422	
36	Arak-42_i-1	Arak	42_i	ʔ a ɨ	alak1253	alk	1209	I	513	
37	Arak-43_kill-1	Arak	43_kill	k ə s i t	alak1253	alk	1417	KILL	446	
38	Arak-44_knee-1	Arak	44_knee	t ə r k o	alak1253	alk	1371	KNEE	88	
39	Arak-45_know-1	Arak	45_know	ŋ a ɨ + r o j	alak1253	alk	1410	KNOW (SOMETHING)	3136	
40	Arak-46_leaf-1	Arak	46_leaf	h ə l ʔ l a	alak1253	alk	628	LEAF	579	
41	Arak-47_lie-1	Arak	47_lie	pɦ/pʱ i c/ts	alak1253	alk	1411	LIE (REST)	1419	
42	Arak-48_liver-1	Arak	48_liver	k l ə m	alak1253	alk	1224	LIVER	147	
43	Arak-49_long-1	Arak	49_long	c/ts ə r ɦ w o ŋ	alak1253	alk	1203	LONG	17	
44	Arak-4_belly-1	Arak	4_belly	d u l	alak1253	alk	1251	BELLY	771	
45	Arak-50_louse-1	Arak	50_louse	ɲ c a j	alak1253	alk	1392	LOUSE	741	
46	Arak-51_man-1	Arak	51_man	ʔ ə n + k o ɲ	alak1253	alk	1554	MAN	117	
47	Arak-52_many-1	Arak	52_many	j ɦ ɨa w	alak1253	alk	1198	MANY	2448	
48	Arak-53_meat-1	Arak	53_meat	s a c/ts	alak1253	alk	634	MEAT	982	
49	Arak-54_moon-1	Arak	54_moon	k ə h a j	alak1253	alk	1313	MOON	415	
50	Arak-55_mountain-1	Arak	55_mountain	k ɦ w ɔ r	alak1253	alk	639	MOUNTAIN	2458	
51	Arak-56_mouth-1	Arak	56_mouth	k a ŋ	alak1253	alk	674	MOUTH	881	
52	Arak-57_name-1	Arak	57_name	c/ts ə n ɔ ʔ	alak1253	alk	1405	NAME	2464	
53	Arak-58_neck-1	Arak	58_neck	ŋ ɔ k	alak1253	alk	1333	NECK	1786	
54	Arak-59_new-1	Arak	59_new	t ə m a j	alak1253	alk	1231	NEW	1422	
55	Arak-5_big-1	Arak	5_big	t ə m i h	alak1253	alk	1202	BIG	3019	
56	Arak-60_night-1	Arak	60_night	ɦ a + p ɦ ɨə ʔ	alak1253	alk	1233	NIGHT	0	
57	Arak-61_nose-1	Arak	61_nose	m u h	alak1253	alk	1221	NOSE	161	
58	Arak-62_not-1	Arak	62_not	ɲ ɨ + ʔ a j	alak1253	alk	1240	NOT	3230	
59	Arak-63_one-1	Arak	63_one	m o j	alak1253	alk	1493	ONE	208	
60	Arak-64_person-1	Arak	64_person	p ə r ŋ ɦ ɨa j	alak1253	alk	683	PERSON	228	
61	Arak-65_rain-1	Arak	65_rain	b i	alak1253	alk	658	RAIN (PRECIPITATION)	2484	
62	Arak-66_red-1	Arak	66_red	p ə r ɦ w o ŋ	alak1253	alk	156	RED	246	
63	Arak-67_road-1	Arak	67_road	n t u ŋ	alak1253	alk	667	ROAD	352	
64	Arak-68_root-1	Arak	68_root	r ɛ h	alak1253	alk	670	ROOT	1226	
65	Arak-69_round-1	Arak	69_round	k ə p o m	alak1253	alk	1395	ROUND	382	
66	Arak-6_bird-1	Arak	6_bird	c/ts e m	alak1253	alk	937	BIRD	37	
67	Arak-70_sand-1	Arak	70_sand	p ɨə + h a c/ts	alak1253	alk	671	SAND	495	
68	Arak-72_see-1	Arak	72_see	t a ɨ	alak1253	alk	1409	SEE	2499	
69	Arak-73_seed-1	Arak	73_seed	k l ə m + n t a m	alak1253	alk	714	SEED	1186	
70	Arak-74_sit-1	Arak	74_sit	t ə ʔ o j	alak1253	alk	1416	SIT	1733	
71	Arak-75_skin-1	Arak	75_skin	ŋ k a r	alak1253	alk	763	SKIN	174	
72	Arak-76_sleep-1	Arak	76_sleep	pɦ/pʱ i c + ŋ a ɲ	alak1253	alk	1585	SLEEP	1419	
73	Arak-76_sleep-2	Arak	76_sleep	pɦ/pʱ i c + ŋ a ɲ	alak1253	alk	1585	SLEEP	2514	
74	Arak-77_small-1	Arak	77_small	h ə r ə ɲ	alak1253	alk	1246	SMALL	3291	
75	Arak-78_smoke-1	Arak	78_smoke	ɲ + dʒ u j	alak1253	alk	778	SMOKE (EXHAUST)	2521	
76	Arak-79_stand-1	Arak	79_stand	c/ts ɦ ɨa + c ə r a w	alak1253	alk	1442	STAND	1737	
77	Arak-7_bite-1	Arak	7_bite	k ia t	alak1253	alk	1403	BITE	665	
78	Arak-80_star-1	Arak	80_star	p l u ŋ	alak1253	alk	1430	STAR	2145	
79	Arak-81_stone-1	Arak	81_stone	t ə m ɔ	alak1253	alk	857	STONE	870	
80	Arak-82_sun-1	Arak	82_sun	m a t + p r ɦ ɨa h	alak1253	alk	1343	SUN	3312	
81	Arak-83_swim-1	Arak	83_swim	c/ts ɦ u h	alak1253	alk	1439	SWIM	3314	
82	Arak-84_tail-1	Arak	84_tail	t ɛ ŋ	alak1253	alk	1220	TAIL	470	
83	Arak-85_that-1	Arak	85_that	ʔ ɛ	alak1253	alk	78	THAT	4102	
84	Arak-86_this-1	Arak	86_this	n ɛ	alak1253	alk	1214	THIS	521	
85	Arak-87_thou-1	Arak	87_thou	m a j	alak1253	alk	1215	THOU	510	
86	Arak-88_tongue-1	Arak	88_tongue	m p ɛ t	alak1253	alk	1205	TONGUE	2091	
87	Arak-89_tooth-1	Arak	89_tooth	c/ts ə n a ɲ	alak1253	alk	1380	TOOTH	604	
88	Arak-8_black-1	Arak	8_black	t ə ŋ ɨa m	alak1253	alk	163	BLACK	121	
89	Arak-90_tree-1	Arak	90_tree	t ə m + ʔ l ɔ ŋ	alak1253	alk	906	TREE	1220	
90	Arak-91_two-1	Arak	91_two	pɦ/pʱ ɨa r	alak1253	alk	1498	TWO	210	
91	Arak-92_walkgo-1	Arak	92_walkgo	t ɦ ɨa ŋ	alak1253	alk	1443	WALK	3347	
92	Arak-93_warm-1	Arak	93_warm	ʔ u r	alak1253	alk	1232	WARM	2223	
93	Arak-94_water-1	Arak	94_water	t ɦ ɨa k	alak1253	alk	948	WATER	783	
94	Arak-95_we-1	Arak	95_we	pɦ/pʱ ɨə n + n a	alak1253	alk	1212	WE	3358	
95	Arak-95_we-2	Arak	95_we	pɦ/pʱ ɨə n + n a	alak1253	alk	1212	WE	3360	
96	Arak-96_what-1	Arak	96_what	ʔ ə m ɔ h	alak1253	alk	1236	WHAT	516	
97	Arak-97_white-1	Arak	97_white	pɦ/pʱ w ɔ k	alak1253	alk	1335	WHITE	250	
98	Arak-98_who-1	Arak	98_who	k ɔ n	alak1253	alk	1235	WHO	3960	
99	Arak-99_woman-1	Arak	99_woman	ʔ ə n + k a n	alak1253	alk	962	WOMAN	1365	
100	Arak-9_blood-1	Arak	9_blood	p ɨə ŋ + h a m	alak1253	alk	946	BLOOD	377	
293	Bit-100_yellow-1	Bit	100_yellow	ʔ ɔ r	bitt1240	bgk	1424	YELLOW	176	
294	Bit-10_bone-1	Bit	10_bone	j ɔ ŋ	bitt1240	bgk	1394	BONE	45	
295	Bit-11_breast-1	Bit	11_breast	b o ʔ	bitt1240	bgk	1402	BREAST	670	
296	Bit-12_burntr-1	Bit	12_burntr	t ui h	bitt1240	bgk	141	BURN (SOMETHING)	4123	
297	Bit-13_clawnail-1	Bit	13_clawnail	t a m + s o ŋ	bitt1240	bgk	2128	CLAW OR NAIL	4125	
298	Bit-13_clawnail-2	Bit	13_clawnail	t a m + s o ŋ	bitt1240	bgk	2128	CLAW OR NAIL	4125	
299	Bit-14_cloud-1	Bit	14_cloud	m ɔ k	bitt1240	bgk	1489	CLOUD	0	
300	Bit-15_cold-1	Bit	15_cold	t ə k a t	bitt1240	bgk	1287	COLD	1077	
301	Bit-16_come-1	Bit	16_come	ʔ ɔ m	bitt1240	bgk	1446	COME	4130	
302	Bit-17_die-1	Bit	17_die	ŋ a t	bitt1240	bgk	1494	DIE	4135	
303	Bit-18_dog-1	Bit	18_dog	tɕ ia ʔ	bitt1240	bgk	2009	DOG	63	
304	Bit-19_drink-1	Bit	19_drink	t ɛ ŋ	bitt1240	bgk	1401	DRINK	1704	
305	Bit-1_all-1	Bit	1_all	t a ŋ k ə m + t ə	bitt1240	bgk	98	ALL	1933	
306	Bit-20_dry-1	Bit	20_dry	r a ŋ	bitt1240	bgk	1398	DRY	1451	
307	Bit-21_ear-1	Bit	21_ear	t o r	bitt1240	bgk	1247	EAR	71	
308	Bit-22_earth-1	Bit	22_earth	d ə r	bitt1240	bgk	1228	EARTH (SOIL)	496	
309	Bit-23_eat-1	Bit	23_eat	t u ʔ	bitt1240	bgk	1336	EAT	4146	
310	Bit-24_egg-1	Bit	24_egg	k ɨ d a ŋ	bitt1240	bgk	744	EGG	79	
311	Bit-25_eye-1	Bit	25_eye	p ə ŋ ai	bitt1240	bgk	1248	EYE	0	
312	Bit-26_fatn-1	Bit	26_fatn	m a n + p a n	bitt1240	bgk	1282	FAT (FROM ANIMALS)	0	
313	Bit-27_feather-1	Bit	27_feather	d ɔ ŋ	bitt1240	bgk	1201	FEATHER	4149	
314	Bit-28_fire-1	Bit	28_fire	tɕ i ŋ ʔ a l	bitt1240	bgk	221	FIRE	0	
315	Bit-29_fish-1	Bit	29_fish	mh/m̥ u ɔ	bitt1240	bgk	227	FISH	4153	
316	Bit-2_ashes-1	Bit	2_ashes	p ɔ h	bitt1240	bgk	646	ASH	2	
