	ID	DOCULECT	CONCEPT	Segments	GLOTTOCODE	ISO_CODE	CONCEPTICON_ID	CONCEPTICON_GLOSS	COGNATES	FORM
0	Achang-100_thehusband-1	Achang	100_thehusband	nʲ i ³¹ + ŋ a u ⁵⁵	acha1249	acn	1200	HUSBAND	8418-thehusband	
1	Achang-101_ifirstpersonsingular-1	Achang	101_ifirstpersonsingular	ŋ ɔ ⁵⁵	acha1249	acn	1209	I	327-ifirstpersonsingular	
2	Achang-102_theice-1	Achang	102_theice	k ə t ³⁵	acha1249	acn	617	ICE	904-theice	
3	Achang-103_inside-1	Achang	103_inside	a ³¹ + x a u ⁵⁵	acha1249	acn	1606	INSIDE	1201-inside	
4	Achang-104_tokill-1	Achang	104_tokill	s a t ⁵⁵	acha1249	acn	1417	KILL	3125-tokill	
5	Achang-106_theknee-1	Achang	106_theknee	tɕʰ i ⁵⁵ + nʲ ɔ ʔ ⁵⁵	acha1249	acn	1371	KNEE	10571-theknee	
6	Achang-109_thelake-1	Achang	109_thelake	n̥ ɔ ŋ ³⁵	acha1249	acn	624	LAKE	1015-thelake	
7	Achang-10_belowunder-1	Achang	10_belowunder	a ³¹ + tʰ e ⁵¹	acha1249	acn	1485	BELOW OR UNDER	1245-belowunder	
8	Achang-110_late-1	Achang	110_late	l̥ ɔ ³¹	acha1249	acn	477	LATE	1132-late	
9	Achang-111_tolaugh-1	Achang	111_tolaugh	ʐ ə ⁵⁵	acha1249	acn	1355	LAUGH	438-tolaugh	
10	Achang-112_theleaf-1	Achang	112_theleaf	a ³¹ + x ʐ o./o ʔ ⁵⁵	acha1249	acn	628	LEAF	881-theleaf	
11	Achang-112_theleaf-2	Achang	112_theleaf	a ³¹ + x ʐ o./o ʔ ⁵⁵	acha1249	acn	628	LEAF	881-theleaf	
12	Achang-114_left-1	Achang	114_left	l ɔ ʔ ³¹ + n a m ³¹ + p a ³¹	acha1249	acn	244	LEFT	422-left	
13	Achang-115_tolick-1	Achang	115_tolick	l i a p ⁵⁵	acha1249	acn	319	LICK	29735-tolick	
14	Achang-115_tolick-2	Achang	115_tolick	l e ʔ ⁵⁵	acha1249	acn	319	LICK	101-tolick	
15	Achang-116_toliedown-1	Achang	116_toliedown	ŋ̊ a ⁵⁵	acha1249	acn	215	LIE DOWN	1231-toliedown	
16	Achang-117_lightofweight-1	Achang	117_lightofweight	ʑ a ŋ ⁵⁵	acha1249	acn	1052	LIGHT (WEIGHT)	10542-lightofweight	
17	Achang-118_thelipthelips-1	Achang	118_thelipthelips	n̥ʲ o./o t ⁵⁵ + t u ŋ ⁵⁵	acha1249	acn	478	LIP	1254-thelipthelips	
18	Achang-119_theliver-1	Achang	119_theliver	a ³¹ + ʂ ə ŋ ³¹	acha1249	acn	1224	LIVER	2076-theliver	
19	Achang-11_big-1	Achang	11_big	k ʐ ə ³¹	acha1249	acn	1202	BIG	909-big	
20	Achang-120_long-1	Achang	120_long	s ə ŋ ⁵⁵	acha1249	acn	1203	LONG	547-long	
21	Achang-121_thelouse-1	Achang	121_thelouse	ʂ a n ³¹	acha1249	acn	1392	LOUSE	807-thelouse	
22	Achang-122_thelung-1	Achang	122_thelung	a ³¹ + tɕʰ o./o t ⁵³	acha1249	acn	688	LUNG	716-thelung	
23	Achang-123_themanmalehuman-1	Achang	123_themanmalehuman	i ³¹ + tɕ i ⁵⁵	acha1249	acn	2106	MALE PERSON	1048-themanmalehuman	
24	Achang-124_many-1	Achang	124_many	nʲ ɔ ³¹	acha1249	acn	1198	MANY	1027-many	
25	Achang-126_themeat-1	Achang	126_themeat	ʂ u a ³¹	acha1249	acn	634	MEAT	10227-themeat	
26	Achang-127_middle-1	Achang	127_middle	a ³¹ + k u ŋ ⁵⁵	acha1249	acn	1093	MIDDLE	1125-middle	
27	Achang-128_themoon-1	Achang	128_themoon	pʰ ă ³¹ + l ɔ ʔ ³¹	acha1249	acn	1313	MOON	2081-themoon	
28	Achang-129_morning-1	Achang	129_morning	n i ³¹ + ʐ u a ³¹	acha1249	acn	1339	MORNING	132-morning	
29	Achang-12_thebird-1	Achang	12_thebird	m̥ ɔ ʔ ⁵⁵	acha1249	acn	937	BIRD	910-thebird	
30	Achang-130_themosquito-1	Achang	130_themosquito	pʰ ɔ p ⁵⁵	acha1249	acn	1509	MOSQUITO	1207-themosquito	
31	Achang-131_themother-1	Achang	131_themother	m a u ʔ ⁵¹	acha1249	acn	1216	MOTHER	1272-themother	
32	Achang-132_themountain-1	Achang	132_themountain	p u m ⁵⁵	acha1249	acn	639	MOUNTAIN	1274-themountain	
33	Achang-133_themouseorrat-1	Achang	133_themouseorrat	k ʐ o./o ʔ ⁵⁵	acha1249	acn	2139	MUROID (MOUSE OR RAT)	1148-themouseorrat	
34	Achang-134_themouth-1	Achang	134_themouth	n̥ʲ o./o t ⁵³	acha1249	acn	674	MOUTH	1276-themouth	
35	Achang-135_themud-1	Achang	135_themud	n̥ʲ o./o n ⁵⁵ + p e n ³¹	acha1249	acn	640	MUD	1250-themud	
36	Achang-136_thenailfingernailorclaw-1	Achang	136_thenailfingernailorclaw	l ɔ ʔ ⁵⁵ + ʂ ə ŋ ³¹	acha1249	acn	2128	CLAW OR NAIL	88-thenailfingernailorclaw	
37	Achang-137_thename-1	Achang	137_thename	a ³¹ + nʲ i ŋ ⁵⁵	acha1249	acn	1405	NAME	18-thename	
38	Achang-138_narrow-1	Achang	138_narrow	n̥ʲ a p ⁵⁵	acha1249	acn	1267	NARROW	1279-narrow	
39	Achang-139_near-1	Achang	139_near	n e ³¹	acha1249	acn	1942	NEAR	7-near	
40	Achang-13_tobite-1	Achang	13_tobite	p a n ³¹	acha1249	acn	1403	BITE	2969-tobite	
41	Achang-140_theneck-1	Achang	140_theneck	l a ŋ ³¹ + ts ə ŋ ³¹	acha1249	acn	1333	NECK	122-theneck	
42	Achang-141_theneedleforsewing-1	Achang	141_theneedleforsewing	a p ⁵⁵	acha1249	acn	1382	NEEDLE (FOR SEWING)	10231-theneedleforsewing	
