	ID	DOCULECT	CONCEPT	Segments	GLOTTOCODE	ISO_CODE	CONCEPTICON_ID	CONCEPTICON_GLOSS	COGNATES	FORM
1	Achang-101_ifirstpersonsingular-1	Achang	101_ifirstpersonsingular	ŋ ɔ ⁵⁵	acha1249	acn	1209	I	327-ifirstpersonsingular	
4	Achang-104_tokill-1	Achang	104_tokill	s a t ⁵⁵	acha1249	acn	1417	KILL	3125-tokill	
5	Achang-106_theknee-1	Achang	106_theknee	tɕʰ i ⁵⁵ + nʲ ɔ ʔ ⁵⁵	acha1249	acn	1371	KNEE	10571-theknee	
10	Achang-112_theleaf-1	Achang	112_theleaf	a ³¹ + x ʐ o./o ʔ ⁵⁵	acha1249	acn	628	LEAF	881-theleaf	
11	Achang-112_theleaf-2	Achang	112_theleaf	a ³¹ + x ʐ o./o ʔ ⁵⁵	acha1249	acn	628	LEAF	881-theleaf	
18	Achang-119_theliver-1	Achang	119_theliver	a ³¹ + ʂ ə ŋ ³¹	acha1249	acn	1224	LIVER	2076-theliver	
19	Achang-11_big-1	Achang	11_big	k ʐ ə ³¹	acha1249	acn	1202	BIG	909-big	
20	Achang-120_long-1	Achang	120_long	s ə ŋ ⁵⁵	acha1249	acn	1203	LONG	547-long	
21	Achang-121_thelouse-1	Achang	121_thelouse	ʂ a n ³¹	acha1249	acn	1392	LOUSE	807-thelouse	
24	Achang-124_many-1	Achang	124_many	nʲ ɔ ³¹	acha1249	acn	1198	MANY	1027-many	
27	Achang-128_themoon-1	Achang	128_themoon	pʰ ă ³¹ + l ɔ ʔ ³¹	acha1249	acn	1313	MOON	2081-themoon	
29	Achang-12_thebird-1	Achang	12_thebird	m̥ ɔ ʔ ⁵⁵	acha1249	acn	937	BIRD	910-thebird	
32	Achang-132_themountain-1	Achang	132_themountain	p u m ⁵⁵	acha1249	acn	639	MOUNTAIN	1274-themountain	
34	Achang-134_themouth-1	Achang	134_themouth	n̥ʲ o./o t ⁵³	acha1249	acn	674	MOUTH	1276-themouth	
37	Achang-137_thename-1	Achang	137_thename	a ³¹ + nʲ i ŋ ⁵⁵	acha1249	acn	1405	NAME	18-thename	
40	Achang-13_tobite-1	Achang	13_tobite	p a n ³¹	acha1249	acn	1403	BITE	2969-tobite	
41	Achang-140_theneck-1	Achang	140_theneck	l a ŋ ³¹ + ts ə ŋ ³¹	acha1249	acn	1333	NECK	122-theneck	
43	Achang-142_new-1	Achang	142_new	ʂ ə k ⁵⁵	acha1249	acn	1231	NEW	997-new	
47	Achang-146_thenose-1	Achang	146_thenose	n̥ʲ ɔ ŋ ⁵⁵	acha1249	acn	1221	NOSE	2090-thenose	
49	Achang-148_one-1	Achang	148_one	t a ³¹	acha1249	acn	1493	ONE	302-one	
51	Achang-14_black-1	Achang	14_black	l ɔ k ⁵⁵	acha1249	acn	163	BLACK	511-black	
60	Achang-158_red-1	Achang	158_red	n a ⁵⁵	acha1249	acn	156	RED	1306-red	
62	Achang-15_theblood-1	Achang	15_theblood	s u i ³¹	acha1249	acn	946	BLOOD	29703-theblood	
66	Achang-163_theroad-1	Achang	163_theroad	x a ⁵⁵ + m ʐ u a ³¹	acha1249	acn	667	ROAD	1321-theroad	
67	Achang-164_theroot-1	Achang	164_theroot	m ʐ u a t ⁵⁵	acha1249	acn	670	ROOT	1074-theroot	
69	Achang-166_round-1	Achang	166_round	l u m ³¹	acha1249	acn	1395	ROUND	403-round	
73	Achang-170_thesand-1	Achang	170_thesand	s ă ³¹ + l e ⁵⁵	acha1249	acn	671	SAND	212-thesand	
76	Achang-173_tosee-1	Achang	173_tosee	e n ³¹ + m ʐ a ŋ ⁵⁵	acha1249	acn	1409	SEE	1329-tosee	
77	Achang-174_theseed-1	Achang	174_theseed	a ³¹ + nʲ a u ³¹	acha1249	acn	714	SEED	127-theseed	
89	Achang-185_theskin-1	Achang	185_theskin	a ³¹ + ʐ ɿ ⁵⁵	acha1249	acn	763	SKIN	1163-theskin	
91	Achang-187_tosleep-1	Achang	187_tosleep	e ³¹	acha1249	acn	1585	SLEEP	2244-tosleep	
92	Achang-188_small-1	Achang	188_small	nʲ i ⁵⁵	acha1249	acn	1246	SMALL	524-small	
94	Achang-18_thebone-1	Achang	18_thebone	a ³¹ ʐ a u ³¹	acha1249	acn	1394	BONE	2-thebone	
95	Achang-190_thesmoke-1	Achang	190_thesmoke	n i ³¹ + x a u ³¹	acha1249	acn	778	SMOKE (EXHAUST)	68-thesmoke	
104	Achang-199_tostand-1	Achang	199_tostand	ʑ a p ⁵⁵	acha1249	acn	1442	STAND	2246-tostand	
107	Achang-200_thestar-1	Achang	200_thestar	kʰ ʐ ə ⁵⁵	acha1249	acn	1430	STAR	1073-thestar	
110	Achang-203_thestoneapieceof-1	Achang	203_thestoneapieceof	l a ŋ ³¹ k ɔ ʔ ⁵⁵	acha1249	acn	857	STONE	10317-thestoneapieceof	
112	Achang-205_thesun-1	Achang	205_thesun	n i ³¹ + m ɔ ³¹	acha1249	acn	1343	SUN	83-thesun	
113	Achang-206_thetail-1	Achang	206_thetail	tɕʰ i ³¹ + nʲ a ŋ ³⁵	acha1249	acn	1220	TAIL	888-thetail	
115	Achang-208_that-1	Achang	208_that	tʰ e ⁵⁵	acha1249	acn	78	THAT	2693-that	
117	Achang-20_thebreastfemale-1	Achang	20_thebreastfemale	n a u ³⁵ + ʈʂ u ³⁵	acha1249	acn	1402	BREAST	10186-thebreastfemale	
122	Achang-214_this-1	Achang	214_this	x a i ⁵⁵	acha1249	acn	1214	THIS	8066-this	
123	Achang-215_thousecondpersonsingular-1	Achang	215_thousecondpersonsingular	n u a ŋ ⁵⁵	acha1249	acn	1215	THOU	10475-thousecondpersonsingular	
131	Achang-222_thetongue-1	Achang	222_thetongue	ɕ ɔ ⁵⁵	acha1249	acn	1205	TONGUE	4190-thetongue	
132	Achang-223_thetoothfront-1	Achang	223_thetoothfront	tɕ o./o i ⁵⁵	acha1249	acn	1380	TOOTH	939-thetoothfront	
133	Achang-224_thetree-1	Achang	224_thetree	s a ŋ ³¹ + ts e ŋ ⁵⁵	acha1249	acn	906	TREE	3396-thetree	
135	Achang-226_two-1	Achang	226_two	s ə k ⁵⁵	acha1249	acn	1498	TWO	950-two	
137	Achang-228_towalk-1	Achang	228_towalk	s o./o ³¹	acha1249	acn	1443	WALK	887-towalk	
138	Achang-229_thewater-1	Achang	229_thewater	t i ⁵⁵	acha1249	acn	948	WATER	2787-thewater	
142	Achang-232_what-1	Achang	232_what	p i ³¹ + s i ⁵⁵	acha1249	acn	1236	WHAT	8134-what	
145	Achang-235_white-1	Achang	235_white	pʰ ʐ o./o ⁵⁵	acha1249	acn	1335	WHITE	460-white	
146	Achang-236_who-1	Achang	236_who	x a u ⁵⁵	acha1249	acn	1235	WHO	984-who	
153	Achang-242_thewoman-1	Achang	242_thewoman	i ³¹ + nʲ ɔ ³¹	acha1249	acn	962	WOMAN	1003-thewoman	
156	Achang-246_yellow-1	Achang	246_yellow	l ə ŋ ³⁵	acha1249	acn	1424	YELLOW	1016-yellow	
162	Achang-25_thecloud-1	Achang	25_thecloud	x a n ³¹ + tɕ i n ³¹	acha1249	acn	1489	CLOUD	953-thecloud	
163	Achang-26_coldoftemperature-1	Achang	26_coldoftemperature	k ʐ u a t ⁵⁵	acha1249	acn	1287	COLD	956-coldoftemperature	
164	Achang-27_tocome-1	Achang	27_tocome	ʐ ə ³⁵	acha1249	acn	1446	COME	883-tocome	
167	Achang-2_all-1	Achang	2_all	p ʐ a ⁵⁵ + p ʐ a ⁵⁵	acha1249	acn	98	ALL	8001-all	
172	Achang-34_todie-1	Achang	34_todie	ʂ ɿ ⁵⁵	acha1249	acn	1494	DIE	163-todie	
175	Achang-37_thedog-1	Achang	37_thedog	x u i ³¹	acha1249	acn	2009	DOG	2065-thedog	
177	Achang-39_todrink-1	Achang	39_todrink	ʂ o./o ʔ ⁵⁵	acha1249	acn	1401	DRINK	1068-todrink	
179	Achang-40_dry-1	Achang	40_dry	s ə ʔ ⁵⁵	acha1249	acn	1398	DRY	1369-dry	
181	Achang-42_theear-1	Achang	42_theear	n i ³¹ + ʈʂʰ u a ³¹	acha1249	acn	1247	EAR	32-theear	
183	Achang-44_theearthsoil-1	Achang	44_theearthsoil	m i ⁵⁵	acha1249	acn	1228	EARTH (SOIL)	1356-theearthsoil	
185	Achang-46_toeat-1	Achang	46_toeat	tɕ ɔ ³¹	acha1249	acn	1336	EAT	3419-toeat	
186	Achang-47_theegg-1	Achang	47_theegg	u ʔ ³¹	acha1249	acn	744	EGG	1021-theegg	
191	Achang-52_thefeather-1	Achang	52_thefeather	a ³¹ + m u i ³¹	acha1249	acn	1201	FEATHER	159-thefeather	
193	Achang-54_thefire-1	Achang	54_thefire	p o./o i ³¹	acha1249	acn	221	FIRE	1058-thefire	
195	Achang-56_thefish-1	Achang	56_thefish	ŋ a ³¹ + ʂ u a ³¹	acha1249	acn	227	FISH	186-thefish	
202	Achang-62_toflymovethroughair-1	Achang	62_toflymovethroughair	ʈʂ a m ⁵⁵	acha1249	acn	1441	FLY (MOVE THROUGH AIR)	3091-toflymovethroughair	
204	Achang-64_thefoot-1	Achang	64_thefoot	tɕʰ i ⁵⁵	acha1249	acn	1301	FOOT	966-thefoot	
212	Achang-73_full-1	Achang	73_full	p ʐ ə ŋ ³⁵	acha1249	acn	1429	FULL	149-full	
213	Achang-74_togive-1	Achang	74_togive	ts i ³¹	acha1249	acn	1447	GIVE	1091-togive	
215	Achang-76_good-1	Achang	76_good	tɕ i ⁵⁵	acha1249	acn	1035	GOOD	3841-good	
217	Achang-78_green-1	Achang	78_green	nʲ a u ⁵⁵	acha1249	acn	1425	GREEN	1098-green	
219	Achang-80_thehairofthehead-1	Achang	80_thehairofthehead	u ³¹ + m u i ³¹	acha1249	acn	1040	HAIR	2014-thehairofthehead	
220	Achang-81_thehand-1	Achang	81_thehand	l ɔ ʔ ⁵⁵	acha1249	acn	1277	HAND	229-thehand	
223	Achang-84_thehead-1	Achang	84_thehead	n i ³¹ + k u a ŋ ³¹	acha1249	acn	1256	HEAD	690-thehead	
224	Achang-85_tohear-1	Achang	85_tohear	k ʐ u a ³¹	acha1249	acn	1408	HEAR	1042-tohear	
225	Achang-86_theheart-1	Achang	86_theheart	n̥ʲ a ⁵⁵ + l u m ³¹	acha1249	acn	1223	HEART	539-theheart	
233	Achang-94_thehornkeratinizedskin-1	Achang	94_thehornkeratinizedskin	kʰ ʐ a u ⁵⁵	acha1249	acn	1393	HORN (ANATOMY)	312-thehornkeratinizedskin	
239	Achang-9_thebelly-1	Achang	9_thebelly	ɔ m ³¹ + t a u ³¹	acha1249	acn	1251	BELLY	908-thebelly	
241	Alike-101_ifirstpersonsingular-1	Alike	101_ifirstpersonsingular	ŋ æ	amdo1237	adx	1209	I	327-ifirstpersonsingular	
244	Alike-104_tokill-1	Alike	104_tokill	p s a t	amdo1237	adx	1417	KILL	3125-tokill	
246	Alike-106_theknee-1	Alike	106_theknee	w i + n g o	amdo1237	adx	1371	KNEE	22-theknee	
249	Alike-108_toknowsomething-1	Alike	108_toknowsomething	xʰ i	amdo1237	adx	1410	KNOW (SOMETHING)	2279-toknowsomething	
253	Alike-112_theleaf-1	Alike	112_theleaf	l o./o + m a	amdo1237	adx	628	LEAF	948-theleaf	
261	Alike-119_theliver-1	Alike	119_theliver	n tɕ ə n + b æ	amdo1237	adx	1224	LIVER	2076-theliver	
262	Alike-11_big-1	Alike	11_big	tɕʰ e	amdo1237	adx	1202	BIG	412-big	
263	Alike-120_long-1	Alike	120_long	r a ŋ + k ə	amdo1237	adx	1203	LONG	547-long	
264	Alike-121_thelouse-1	Alike	121_thelouse	x ə k	amdo1237	adx	1392	LOUSE	2077-thelouse	
267	Alike-124_many-1	Alike	124_many	m a ŋ + ŋ æ	amdo1237	adx	1198	MANY	1663-many	
271	Alike-128_themoon-1	Alike	128_themoon	r dz a	amdo1237	adx	1313	MOON	2081-themoon	
274	Alike-12_thebird-1	Alike	12_thebird	w ɕ æ	amdo1237	adx	937	BIRD	264-thebird	
277	Alike-132_themountain-1	Alike	132_themountain	r ə	amdo1237	adx	639	MOUNTAIN	121-themountain	
279	Alike-134_themouth-1	Alike	134_themouth	kʰ æ	amdo1237	adx	674	MOUTH	10405-themouth	
282	Alike-137_thename-1	Alike	137_thename	ȵ a ŋ + ŋ æ	amdo1237	adx	1405	NAME	18-thename	
285	Alike-13_tobite-1	Alike	13_tobite	w a + w d i + w ɟ j a p	amdo1237	adx	1403	BITE	2994-tobite	
286	Alike-140_theneck-1	Alike	140_theneck	r k e	amdo1237	adx	1333	NECK	695-theneck	
288	Alike-142_new-1	Alike	142_new	sʰ o./o + m æ	amdo1237	adx	1231	NEW	23-new	
292	Alike-146_thenose-1	Alike	146_thenose	r n̥ æ	amdo1237	adx	1221	NOSE	2090-thenose	
294	Alike-148_one-1	Alike	148_one	ɣ cç ə k	amdo1237	adx	1493	ONE	302-one	
296	Alike-14_black-1	Alike	14_black	n o./o k + k o	amdo1237	adx	163	BLACK	511-black	
302	Alike-158_red-1	Alike	158_red	ɣ m æ + r o	amdo1237	adx	156	RED	1088-red	
304	Alike-15_theblood-1	Alike	15_theblood	cçʰ a k	amdo1237	adx	946	BLOOD	541-theblood	
308	Alike-163_theroad-1	Alike	163_theroad	l a m	amdo1237	adx	667	ROAD	2206-theroad	
309	Alike-164_theroot-1	Alike	164_theroot	ɣ ts a + p a	amdo1237	adx	670	ROOT	285-theroot	
312	Alike-166_round-1	Alike	166_round	k o./o r + r k o./o r	amdo1237	adx	1395	ROUND	125-round	
316	Alike-170_thesand-1	Alike	170_thesand	w ɕ e + m æ	amdo1237	adx	671	SAND	118-thesand	
319	Alike-173_tosee-1	Alike	173_tosee	r i k	amdo1237	adx	1409	SEE	2523-tosee	
320	Alike-174_theseed-1	Alike	174_theseed	s æ + w o./o n	amdo1237	adx	714	SEED	955-theseed	
333	Alike-187_tosleep-1	Alike	187_tosleep	ȵ a	amdo1237	adx	1585	SLEEP	2540-tosleep	
334	Alike-188_small-1	Alike	188_small	tɕʰ o./o ŋ	amdo1237	adx	1246	SMALL	742-small	
335	Alike-18_thebone-1	Alike	18_thebone	r ə + p æ	amdo1237	adx	1394	BONE	2-thebone	
336	Alike-190_thesmoke-1	Alike	190_thesmoke	t o	amdo1237	adx	778	SMOKE (EXHAUST)	1421-thesmoke	
345	Alike-199_tostand-1	Alike	199_tostand	l a ŋ	amdo1237	adx	1442	STAND	2265-tostand	
347	Alike-200_thestar-1	Alike	200_thestar	r k a r + m æ	amdo1237	adx	1430	STAR	78-thestar	
351	Alike-203_thestoneapieceof-1	Alike	203_thestoneapieceof	r d o	amdo1237	adx	857	STONE	3156-thestoneapieceof	
353	Alike-205_thesun-1	Alike	205_thesun	ȵ ə + m æ	amdo1237	adx	1343	SUN	83-thesun	
354	Alike-206_thetail-1	Alike	206_thetail	r ŋ a + m æ	amdo1237	adx	1220	TAIL	914-thetail	
356	Alike-208_that-1	Alike	208_that	k a n + n æ	amdo1237	adx	78	THAT	5919-that	
358	Alike-20_thebreastfemale-1	Alike	20_thebreastfemale	n ə + m æ	amdo1237	adx	1402	BREAST	10186-thebreastfemale	
