	ID	DOCULECT	CONCEPT	Segments	GLOTTOCODE	ISO_CODE	CONCEPTICON_ID	CONCEPTICON_GLOSS	COGNATES	FORM
0	Azeri-100_here-1	Azeri	100_here	b u r a d a	nort2697	azj	136.0	HERE	739	
1	Azeri-101_hidev-1	Azeri	101_hidev	gʲ i z l æ n	nort2697	azj	602.0	HIDE (CONCEAL)	177	
2	Azeri-102_hitbeatv-1	Azeri	102_hitbeatv	v u r	nort2697	azj	1665.0	BEAT	90	
3	Azeri-103_holen-1	Azeri	103_holen	d e ʃ i k	nort2697	azj	1667.0	HOLE	409	
4	Azeri-103_holen-2	Azeri	103_holen	d æ l i k	nort2697	azj	1667.0	HOLE	410	
5	Azeri-104_hornn-1	Azeri	104_hornn	b u j n u z	nort2697	azj	1393.0	HORN (ANATOMY)	95	
6	Azeri-105_hot-1	Azeri	105_hot	i s t i	nort2697	azj	1286.0	HOT	442	
7	Azeri-106_housen-1	Azeri	106_housen	e v	nort2697	azj	1252.0	HOUSE	63	
8	Azeri-107_how-1	Azeri	107_how	n e tɕ æ	nort2697	azj	1239.0	HOW	640	
9	Azeri-108_huntv-1	Azeri	108_huntv	o v a + tɕ ɯ χ	nort2697	azj	1435.0	HUNT	744	
10	Azeri-109_icen-1	Azeri	109_icen	b u z	nort2697	azj	617.0	ICE	751	
11	Azeri-10_ashn-1	Azeri	10_ashn	k y l	nort2697	azj	646.0	ASH	247	
12	Azeri-110_in-1	Azeri	110_in	i tɕ æ r i d æ	nort2697	azj	1460.0	IN	289	
13	Azeri-111_jumpv-1	Azeri	111_jumpv	a t ɯ l	nort2697	azj	1829.0	JUMP	491	
14	Azeri-111_jumpv-2	Azeri	111_jumpv	s ɯ tɕ r a	nort2697	azj	1829.0	JUMP	499	
15	Azeri-112_killv-1	Azeri	112_killv	ø l d y r	nort2697	azj	1417.0	KILL	488	
16	Azeri-113_kneen-1	Azeri	113_kneen	d i z	nort2697	azj	1371.0	KNEE	154	
17	Azeri-114_knowv-1	Azeri	114_knowv	b i l	nort2697	azj	1410.0	KNOW (SOMETHING)	152	
18	Azeri-115_laken-1	Azeri	115_laken	gʲ ø l	nort2697	azj	624.0	LAKE	754	
19	Azeri-116_laughv-1	Azeri	116_laughv	gʲ y l	nort2697	azj	1355.0	LAUGH	161	
20	Azeri-117_leafn-1	Azeri	117_leafn	j a r p a ɢ	nort2697	azj	628.0	LEAF	169	
21	Azeri-118_left-1	Azeri	118_left	s o l	nort2697	azj	244.0	LEFT	624	
22	Azeri-119_legfootn-1	Azeri	119_legfootn	a j a ɢ	nort2697	azj	2098.0	FOOT OR LEG	93	
23	Azeri-11_askv-1	Azeri	11_askv	d i l æ	nort2697	azj	1828.0	ASK (REQUEST)	371	
24	Azeri-11_askv-2	Azeri	11_askv	i s t æ	nort2697	azj	1828.0	ASK (REQUEST)	373	
25	Azeri-120_lickv-1	Azeri	120_lickv	j a l a	nort2697	azj	319.0	LICK	660	
26	Azeri-121_liedownv-1	Azeri	121_liedownv	u z a n	nort2697	azj	215.0	LIE DOWN	353	
27	Azeri-122_livev-1	Azeri	122_livev	j a ʃ a	nort2697	azj	1422.0	BE ALIVE	755	
28	Azeri-123_livern-1	Azeri	123_livern	b a ɣ ɯ r	nort2697	azj	1224.0	LIVER	174	
29	Azeri-124_long-1	Azeri	124_long	u z u n	nort2697	azj	1203.0	LONG	217	
30	Azeri-125_lookv-1	Azeri	125_lookv	b a χ	nort2697	azj	1819.0	LOOK	545	
31	Azeri-126_lookforv-1	Azeri	126_lookforv	a χ t a r	nort2697	azj	1468.0	LOOK FOR	577	
32	Azeri-127_lousen-1	Azeri	127_lousen	b i t	nort2697	azj	1392.0	LOUSE	34	
33	Azeri-128_mann-1	Azeri	128_mann	k i ʃ i	nort2697	azj	1554.0	MAN	337	
34	Azeri-129_many-1	Azeri	129_many	ʨ o χ	nort2697	azj	1198.0	MANY	522	
35	Azeri-12_at-1	Azeri	12_at	d a	nort2697	azj	1461.0	AT	384	
36	Azeri-130_meatn-1	Azeri	130_meatn	æ t	nort2697	azj	634.0	MEAT	37	
37	Azeri-131_monthn-1	Azeri	131_monthn	a j	nort2697	azj	1370.0	MONTH	480	
38	Azeri-132_moonn-1	Azeri	132_moonn	a j	nort2697	azj	1313.0	MOON	762	
39	Azeri-133_mothern-1	Azeri	133_mothern	a n a	nort2697	azj	1216.0	MOTHER	562	
40	Azeri-134_mountainhilln-1	Azeri	134_mountainhilln	d a ɣ	nort2697	azj	2118.0	MOUNTAIN OR HILL	301	
41	Azeri-135_mouthn-1	Azeri	135_mouthn	a ɣ ɯ z	nort2697	azj	674.0	MOUTH	9	
42	Azeri-136_namen-1	Azeri	136_namen	a d	nort2697	azj	1405.0	NAME	33	
43	Azeri-137_narrow-1	Azeri	137_narrow	d a r	nort2697	azj	1267.0	NARROW	763	
44	Azeri-137_narrow-2	Azeri	137_narrow	e n s i z	nort2697	azj	1267.0	NARROW	764	
45	Azeri-138_nasalmucusn-1	Azeri	138_nasalmucusn	f ɯ r t d ɯ ɢ	nort2697	azj	208.0	NASAL MUCUS (SNOT)	552	
46	Azeri-139_naveln-1	Azeri	139_naveln	k ø b æ k	nort2697	azj	1838.0	NAVEL	108	
47	Azeri-13_backn-1	Azeri	13_backn	a r χ a	nort2697	azj	1291.0	BACK	115	
48	Azeri-140_near-1	Azeri	140_near	j a χ ɯ n	nort2697	azj	1942.0	NEAR	769	
49	Azeri-141_neckn-1	Azeri	141_neckn	b o j u n	nort2697	azj	1333.0	NECK	51	
50	Azeri-142_new-1	Azeri	142_new	j e n i	nort2697	azj	1231.0	NEW	142	
51	Azeri-143_nightn-1	Azeri	143_nightn	k e ʥ ɛ	nort2697	azj	1233.0	NIGHT	47	
52	Azeri-144_nosen-1	Azeri	144_nosen	b u r u n	nort2697	azj	1221.0	NOSE	3	
53	Azeri-145_not-1	Azeri	145_not	m a	nort2697	azj	1240.0	NOT	148	
54	Azeri-147_one-1	Azeri	147_one	b i r	nort2697	azj	1493.0	ONE	80	
55	Azeri-148_openv-1	Azeri	148_openv	a tɕ	nort2697	azj	1156.0	OPEN	661	
56	Azeri-149_other-1	Azeri	149_other	b a ʃ ɢ a	nort2697	azj	197.0	OTHER	612	
57	Azeri-14_bad-1	Azeri	14_bad	j a m a n	nort2697	azj	1292.0	BAD	667	
58	Azeri-151_playv-1	Azeri	151_playv	o j n a	nort2697	azj	1413.0	PLAY	398	
59	Azeri-152_pullv-1	Azeri	152_pullv	tɕ æ k	nort2697	azj	1455.0	PULL	441	
60	Azeri-153_pusn-1	Azeri	153_pusn	i r i n	nort2697	azj	1808.0	PUS	405	
61	Azeri-154_pushv-1	Azeri	154_pushv	i t æ l æ	nort2697	azj	1452.0	PUSH	772	
62	Azeri-155_putonv-1	Azeri	155_putonv	k e j	nort2697	azj	158.0	PUT ON	610	
63	Azeri-156_rainn-1	Azeri	156_rainn	j a ɣ ɯ s	nort2697	azj	658.0	RAIN (PRECIPITATION)	28	
64	Azeri-157_raw-1	Azeri	157_raw	tɕ i j	nort2697	azj	1959.0	RAW	339	
65	Azeri-159_remainv-1	Azeri	159_remainv	ɢ a l	nort2697	azj	987.0	REMAIN	447	
66	Azeri-15_barkn-1	Azeri	15_barkn	ɢ a b ɯ ɢ	nort2697	azj	1204.0	BARK	675	
67	Azeri-160_right-1	Azeri	160_right	s a ɣ	nort2697	azj	1019.0	RIGHT	323	
68	Azeri-161_ripev-1	Azeri	161_ripev	j e t i ʃ	nort2697	azj	178.0	RIPE	658	
69	Azeri-162_risev-1	Azeri	162_risev	tɕ ɯ χ	nort2697	azj	568.0	RISE (MOVE UPWARDS)	631	
70	Azeri-163_rivern-1	Azeri	163_rivern	tɕ a j	nort2697	azj	666.0	RIVER	780	
71	Azeri-164_rootn-1	Azeri	164_rootn	k ø k	nort2697	azj	670.0	ROOT	21	
72	Azeri-165_ropen-1	Azeri	165_ropen	i p	nort2697	azj	1218.0	ROPE	267	
73	Azeri-165_ropen-2	Azeri	165_ropen	k æ n d i r	nort2697	azj	1218.0	ROPE	268	
74	Azeri-166_round-1	Azeri	166_round	d ø v r e l i	nort2697	azj	1395.0	ROUND	792	
75	Azeri-166_round-2	Azeri	166_round	j u m r u	nort2697	azj	1395.0	ROUND	795	
76	Azeri-167_runv-1	Azeri	167_runv	ɢ a ʨ	nort2697	azj	1519.0	RUN	233	
77	Azeri-168_saltn-1	Azeri	168_saltn	d u z	nort2697	azj	1274.0	SALT	279	
78	Azeri-169_sandn-1	Azeri	169_sandn	ɢ u m	nort2697	azj	671.0	SAND	158	
79	Azeri-16_bellyn-1	Azeri	16_bellyn	ɢ a r ɯ n	nort2697	azj	1251.0	BELLY	424	
80	Azeri-170_sayv-1	Azeri	170_sayv	d e	nort2697	azj	1458.0	SAY	69	
81	Azeri-170_sayv-2	Azeri	170_sayv	s ø j l æ	nort2697	azj	1458.0	SAY	70	
82	Azeri-171_scratchv-1	Azeri	171_scratchv	ɢ a ʃ ɯ	nort2697	azj	1436.0	SCRATCH	565	
83	Azeri-172_sean-1	Azeri	172_sean	d æ n i z	nort2697	azj	1474.0	SEA	798	
84	Azeri-173_seev-1	Azeri	173_seev	gʲ ø r	nort2697	azj	1409.0	SEE	260	
85	Azeri-175_sewv-1	Azeri	175_sewv	t i k	nort2697	azj	1457.0	SEW	484	
86	Azeri-176_shadeshadown-1	Azeri	176_shadeshadown	k ø l k æ	nort2697	azj	1388.0	SHADE	273	
87	Azeri-177_sharp-1	Azeri	177_sharp	i t i	nort2697	azj	1396.0	SHARP	801	
88	Azeri-178_short-1	Azeri	178_short	ɢ ɯ s a	nort2697	azj	1645.0	SHORT	804	
89	Azeri-179_shouldern-1	Azeri	179_shouldern	tɕ i j i n	nort2697	azj	1482.0	SHOULDER	429	
90	Azeri-17_big-1	Azeri	17_big	b ø j y k	nort2697	azj	1202.0	BIG	78	
91	Azeri-180_singv-1	Azeri	180_singv	o χ u	nort2697	azj	1261.0	SING	810	
92	Azeri-181_sitv-1	Azeri	181_sitv	o t u r	nort2697	azj	1416.0	SIT	305	
93	Azeri-182_skinhiden-1	Azeri	182_skinhiden	d æ r i	nort2697	azj	763.0	SKIN	182	
94	Azeri-183_skyn-1	Azeri	183_skyn	gʲ ø j	nort2697	azj	1732.0	SKY	817	
95	Azeri-184_sleepv-1	Azeri	184_sleepv	j a t	nort2697	azj	1585.0	SLEEP	478	
96	Azeri-185_small-1	Azeri	185_small	k i tɕ i k	nort2697	azj	1246.0	SMALL	280	
97	Azeri-186_smellv-1	Azeri	186_smellv	d u j	nort2697	azj	2124.0	SMELL	823	
98	Azeri-187_smoken-1	Azeri	187_smoken	t y s t y	nort2697	azj	778.0	SMOKE (EXHAUST)	125	
99	Azeri-189_snaken-1	Azeri	189_snaken	i l a n	nort2697	azj	730.0	SNAKE	355	
100	Azeri-18_birdn-1	Azeri	18_birdn	ɢ u ʃ	nort2697	azj	937.0	BIRD	275	
101	Azeri-190_snown-1	Azeri	190_snown	ɢ a r	nort2697	azj	784.0	SNOW	834	
102	Azeri-191_soft-1	Azeri	191_soft	j u m ʃ a ɢ	nort2697	azj	1856.0	SOFT	541	
