	ID	DOCULECT	CONCEPT	Segments	GLOTTOCODE	ISO_CODE	CONCEPTICON_ID	CONCEPTICON_GLOSS	COGNATES	FORM
0	alak-100_ratmouse-1	alak	100_ratmouse	c a m a ŋ	alak1253	alk	2139	MUROID (MOUSE OR RAT)	2892	
1	alak-101_red-1	alak	101_red	pʼ r oː ŋ	alak1253	alk	156	RED	2932	
2	alak-102_ricecooked-1	alak	102_ricecooked	p aː j	alak1253	alk	1191	COOKED RICE	2938	
3	alak-103_riceunhusked-1	alak	103_riceunhusked	m pʼ aː	alak1253	alk	2749	UNHUSKED RICE	2974	
4	alak-104_rightside-1	alak	104_rightside	p a h + t ɨ m	alak1253	alk	1019	RIGHT	2999	
5	alak-105_ripecooked-1	alak	105_ripecooked	tʼ uː m	alak1253	alk	3806	RIPE OR COOKED	3023	
6	alak-106_river-1	alak	106_river	m ɛː + tʼ aː k	alak1253	alk	666	RIVER	3075	
7	alak-107_roadpath-1	alak	107_roadpath	n t uː ŋ	alak1253	alk	2457	PATH OR ROAD	3111	
8	alak-108_root-1	alak	108_root	r ɛː h	alak1253	alk	670	ROOT	3112	
9	alak-109_round-1	alak	109_round	k a m p oː m	alak1253	alk	1395	ROUND	3152	
10	alak-10_beehoneybee-1	alak	10_beehoneybee	s uː t	alak1253	alk	665	BEE	337	
11	alak-110_salt-1	alak	110_salt	b ɔ h	alak1253	alk	1274	SALT	3176	
12	alak-111_sand-1	alak	111_sand	pʼ a h aː c	alak1253	alk	671	SAND	3203	
13	alak-112_seed-1	alak	112_seed	k l əː m	alak1253	alk	714	SEED	3256	
14	alak-113_seven-1	alak	113_seven	t ə m p ɔ h	alak1253	alk	1704	SEVEN	3260	
15	alak-114_shadeshadow-1	alak	114_shadeshadow	ŋ ʔ ə h	alak1253	alk	1388	SHADE	3325	
16	alak-116_sharpedged-1	alak	116_sharpedged	m uː t	alak1253	alk	1396	SHARP	3407	
17	alak-116_sharpedged-2	alak	116_sharpedged	c ə k aː r	alak1253	alk	1396	SHARP	3410	
18	alak-117_sickill-1	alak	117_sickill	cʼ i ʔ	alak1253	alk	1847	SICK	3441	
19	alak-118_six-1	alak	118_six	t a r a w	alak1253	alk	1703	SIX	3447	
20	alak-119_skinbark-1	alak	119_skinbark	ŋ k aː r	alak1253	alk	2127	BARK OR SKIN	3484	
21	alak-11_bellystomach-1	alak	11_bellystomach	k l aː k	alak1253	alk	2114	BELLY OR STOMACH	390	
22	alak-120_sky-1	alak	120_sky	pʼ r a h	alak1253	alk	1732	SKY	3523	
23	alak-121_smoke-1	alak	121_smoke	n ʔ j uː j	alak1253	alk	778	SMOKE (EXHAUST)	3558	
24	alak-122_snake-1	alak	122_snake	pʼ i h	alak1253	alk	730	SNAKE	3576	
25	alak-123_softtouch-1	alak	123_softtouch	ʔ a tʼ a n	alak1253	alk	1856	SOFT	3615	
26	alak-124_sour-1	alak	124_sour	ʔ a cʼ u a ʔ	alak1253	alk	1906	SOUR	3644	
27	alak-125_star-1	alak	125_star	p l uː ŋ	alak1253	alk	1430	STAR	3661	
28	alak-126_stickofwood-1	alak	126_stickofwood	ʔ l ɔː ŋ + kʼ a r tʼ e h	alak1253	alk	1295	STICK	3706	
29	alak-126_stickofwood-2	alak	126_stickofwood	t a r k a l	alak1253	alk	1295	STICK	3705	
30	alak-127_stone-1	alak	127_stone	t a m ɔː	alak1253	alk	857	STONE	3707	
31	alak-128_sunday-1	alak	128_sunday	m a t + pʼ r a h	alak1253	alk	2140	DAY OR SUN	3762	
32	alak-129_sweet-1	alak	129_sweet	ŋ aː m	alak1253	alk	717	SWEET	3793	
33	alak-12_bird-1	alak	12_bird	c ɛː m	alak1253	alk	937	BIRD	405	
34	alak-130_tail-1	alak	130_tail	t ɛː ŋ	alak1253	alk	1220	TAIL	3806	
35	alak-131_ten-1	alak	131_ten	cʼ i t	alak1253	alk	1515	TEN	3813	
36	alak-132_thickobject-1	alak	132_thickobject	cʼ ɨ r	alak1253	alk	1244	THICK	3843	
37	alak-133_thinobject-1	alak	133_thinobject	s ə t aː ŋ	alak1253	alk	2249	THIN (OF SHAPE OF OBJECT)	3890	
38	alak-134_thorn-1	alak	134_thorn	cʼ a r l aː	alak1253	alk	124	THORN	3892	
39	alak-135_three-1	alak	135_three	p a j	alak1253	alk	492	THREE	3915	
40	alak-136_tobeborn-1	alak	136_tobeborn	k əː t	alak1253	alk	1090	BE BORN	3946	
41	alak-137_tobite-1	alak	137_tobite	k a p	alak1253	alk	1403	BITE	3951	
42	alak-138_toblow-1	alak	138_toblow	p l o h	alak1253	alk	175	BLOW (OF WIND)	4000	
43	alak-139_tobreathebreath-1	alak	139_tobreathebreath	dʒ a h ɯː m	alak1253	alk	3183	BREATH OR BREATHE	4017	
44	alak-13_bitter-1	alak	13_bitter	ʔ j a ŋ	alak1253	alk	887	BITTER	422	
45	alak-140_toburntr-1	alak	140_toburntr	c ɔ h	alak1253	alk	141	BURN (SOMETHING)	4072	
46	alak-140_toburntr-2	alak	140_toburntr	k aː t	alak1253	alk	141	BURN (SOMETHING)	4075	
47	alak-141_tobuy-1	alak	141_tobuy	r oː t	alak1253	alk	1869	BUY	4079	
48	alak-142_toclimbascend-1	alak	142_toclimbascend	tʼ ɨ k	alak1253	alk	705	GO UP (ASCEND)	4156	
49	alak-143_tocookboil-1	alak	143_tocookboil	pʼ ɨː t	alak1253	alk	1100	COOK (SOMETHING)	4192	
50	alak-144_tocough-1	alak	144_tocough	k ə ʔ ɔ k	alak1253	alk	879	COUGH	4227	
51	alak-145_tocryweep-1	alak	145_tocryweep	ɲ iː m	alak1253	alk	1839	CRY	4243	
52	alak-146_todescend-1	alak	146_todescend	c r uː s	alak1253	alk	2014	GO DOWN (DESCEND)	4279	
53	alak-147_todie-1	alak	147_todie	s iː t	alak1253	alk	1494	DIE	4296	
54	alak-148_todig-1	alak	148_todig	c iː r	alak1253	alk	1418	DIG	4334	
55	alak-149_todream-1	alak	149_todream	m p a w	alak1253	alk	1920	DREAM (SOMETHING)	4346	
56	alak-14_black-1	alak	14_black	tʼ a ŋ a m	alak1253	alk	163	BLACK	472	
57	alak-150_todrinkwater-1	alak	150_todrinkwater	cʼ ɔ k	alak1253	alk	1401	DRINK	4388	
58	alak-151_toeat-1	alak	151_toeat	c aː	alak1253	alk	1336	EAT	4391	
59	alak-152_toextinguishputout-1	alak	152_toextinguishputout	m p a t	alak1253	alk	127	EXTINGUISH	4415	
60	alak-153_tofall-1	alak	153_tofall	ʔ l i h	alak1253	alk	1280	FALL	4441	
61	alak-154_tofleerunaway-1	alak	154_tofleerunaway	d u	alak1253	alk	956	FLEE	4510	
62	alak-155_tofly-1	alak	155_tofly	p a r	alak1253	alk	1441	FLY (MOVE THROUGH AIR)	4572	
