	ID	DOCULECT	CONCEPT	Segments	GLOTTOCODE	ISO_CODE	CONCEPTICON_ID	CONCEPTICON_GLOSS	COGNATES	FORM
1	alak-101_red-1	alak	101_red	pʼ r oː ŋ	alak1253	alk	156	RED	2932	
8	alak-108_root-1	alak	108_root	r ɛː h	alak1253	alk	670	ROOT	3112	
9	alak-109_round-1	alak	109_round	k a m p oː m	alak1253	alk	1395	ROUND	3152	
12	alak-111_sand-1	alak	111_sand	pʼ a h aː c	alak1253	alk	671	SAND	3203	
13	alak-112_seed-1	alak	112_seed	k l əː m	alak1253	alk	714	SEED	3256	
23	alak-121_smoke-1	alak	121_smoke	n ʔ j uː j	alak1253	alk	778	SMOKE (EXHAUST)	3558	
27	alak-125_star-1	alak	125_star	p l uː ŋ	alak1253	alk	1430	STAR	3661	
30	alak-127_stone-1	alak	127_stone	t a m ɔː	alak1253	alk	857	STONE	3707	
33	alak-12_bird-1	alak	12_bird	c ɛː m	alak1253	alk	937	BIRD	405	
34	alak-130_tail-1	alak	130_tail	t ɛː ŋ	alak1253	alk	1220	TAIL	3806	
41	alak-137_tobite-1	alak	137_tobite	k a p	alak1253	alk	1403	BITE	3951	
53	alak-147_todie-1	alak	147_todie	s iː t	alak1253	alk	1494	DIE	4296	
56	alak-14_black-1	alak	14_black	tʼ a ŋ a m	alak1253	alk	163	BLACK	472	
57	alak-150_todrinkwater-1	alak	150_todrinkwater	cʼ ɔ k	alak1253	alk	1401	DRINK	4388	
58	alak-151_toeat-1	alak	151_toeat	c aː	alak1253	alk	1336	EAT	4391	
62	alak-155_tofly-1	alak	155_tofly	p a r	alak1253	alk	1441	FLY (MOVE THROUGH AIR)	4572	
64	alak-157_togive-1	alak	157_togive	ʔ a m	alak1253	alk	1447	GIVE	4662	
65	alak-158_tohear-1	alak	158_tohear	n t ɔ ŋ	alak1253	alk	1408	HEAR	4704	
67	alak-15_blood-1	alak	15_blood	pʼ a ŋʰ aː m	alak1253	alk	946	BLOOD	476	
70	alak-163_tokill-1	alak	163_tokill	k a s iː t	alak1253	alk	1417	KILL	4937	
74	alak-168_tosayspeak-1	alak	168_tosayspeak	ʔ oː j	alak1253	alk	1458	SAY	5148	
77	alak-170_tosee-1	alak	170_tosee	t a l	alak1253	alk	1409	SEE	5352	
81	alak-174_tosit-1	alak	174_tosit	t a ʔ oː j	alak1253	alk	1416	SIT	5477	
86	alak-178_tostand-1	alak	178_tostand	cʼ a cʼ r a w	alak1253	alk	1442	STAND	5594	
91	alak-184_towalkgo-1	alak	184_towalkgo	tʼ aː ŋ	alak1253	alk	1443	WALK	5839	
94	alak-187_tongue-1	alak	187_tongue	m p eː t	alak1253	alk	1205	TONGUE	5901	
95	alak-188_tooth-1	alak	188_tooth	c a n a ɲ	alak1253	alk	1380	TOOTH	5923	
96	alak-189_tree-1	alak	189_tree	t əː m + ʔ l ɔː ŋ	alak1253	alk	906	TREE	5943	
97	alak-18_bone-1	alak	18_bone	k a t iː ŋ	alak1253	alk	1394	BONE	533	
98	alak-190_two-1	alak	190_two	pʼ aː r	alak1253	alk	1498	TWO	5950	
100	alak-192_water-1	alak	192_water	tʼ aː k	alak1253	alk	948	WATER	6000	
101	alak-193_white-1	alak	193_white	pʼ ɔː k	alak1253	alk	1335	WHITE	6030	
104	alak-196_woman-1	alak	196_woman	ʔ a r o h	alak1253	alk	962	WOMAN	6130	
106	alak-198_yellow-1	alak	198_yellow	r aː k	alak1253	alk	1424	YELLOW	6170	
109	alak-200_yousingthou-1	alak	200_yousingthou	m a j	alak1253	alk	1215	THOU	6210	
111	alak-22_breast-1	alak	22_breast	t ɔ h	alak1253	alk	1402	BREAST	661	
114	alak-25_cloud-1	alak	25_cloud	m m uː k	alak1253	alk	1489	CLOUD	733	
115	alak-26_cold-1	alak	26_cold	t a k a t	alak1253	alk	1287	COLD	738	
116	alak-27_dog-1	alak	27_dog	c ɔː	alak1253	alk	2009	DOG	794	
117	alak-28_dry-1	alak	28_dry	h a k ɔ h	alak1253	alk	1398	DRY	869	
118	alak-29_ear-1	alak	29_ear	n t oː	alak1253	alk	1247	EAR	878	
120	alak-30_earthsoil-1	alak	30_earthsoil	t ə n ɛ h	alak1253	alk	1228	EARTH (SOIL)	905	
121	alak-31_egg-1	alak	31_egg	k a n t a p	alak1253	alk	744	EGG	933	
123	alak-33_eye-1	alak	33_eye	m a t	alak1253	alk	1248	EYE	969	
131	alak-41_fire-1	alak	41_fire	ʔ uː ɲ	alak1253	alk	221	FIRE	1205	
132	alak-42_fish-1	alak	42_fish	k aː	alak1253	alk	227	FISH	1214	
134	alak-44_fleshmeat-1	alak	44_fleshmeat	s a c	alak1253	alk	2615	FLESH OR MEAT	1236	
136	alak-46_foot-1	alak	46_foot	cʼ ɨ ŋ	alak1253	alk	1301	FOOT	1311	
141	alak-50_full-1	alak	50_full	pʼ iː ŋ	alak1253	alk	1429	FULL	1379	
144	alak-53_green-1	alak	53_green	s iː w	alak1253	alk	1425	GREEN	1516	
146	alak-55_hand-1	alak	55_hand	t iː	alak1253	alk	1277	HAND	1535	
147	alak-56_head-1	alak	56_head	kʼ ɨː	alak1253	alk	1256	HEAD	1549	
148	alak-57_heart-1	alak	57_heart	k l əː m	alak1253	alk	1223	HEART	1597	
150	alak-59_horn-1	alak	59_horn	ŋ k a j	alak1253	alk	1393	HORN (ANATOMY)	1643	
151	alak-5_ashes-1	alak	5_ashes	pʼ uː h	alak1253	alk	646	ASH	171	
152	alak-60_hotwarm-1	alak	60_hotwarm	t o ʔ	alak1253	alk	2272	HOT OR WARM	1694	
155	alak-63_ime-1	alak	63_ime	ʔ a l	alak1253	alk	1209	I	17	
158	alak-66_leaf-1	alak	66_leaf	cʼ ɔ k	alak1253	alk	628	LEAF	1802	
163	alak-70_liver-1	alak	70_liver	k l əː m	alak1253	alk	1224	LIVER	1892	
164	alak-71_long-1	alak	71_long	cʼ r oː ŋ	alak1253	alk	1203	LONG	1911	
165	alak-72_louse-1	alak	72_louse	ɲ c a j	alak1253	alk	1392	LOUSE	1944	
167	alak-74_many-1	alak	74_many	j aː w	alak1253	alk	1198	MANY	2006	
170	alak-77_moon-1	alak	77_moon	k a h a j	alak1253	alk	1313	MOON	2152	
172	alak-79_mountain-1	alak	79_mountain	kʼ ɔː r	alak1253	alk	639	MOUNTAIN	2235	
174	alak-80_mouth-1	alak	80_mouth	k aː ŋ	alak1253	alk	674	MOUTH	2271	
177	alak-83_name-1	alak	83_name	c a n ɔ ʔ	alak1253	alk	1405	NAME	2363	
180	alak-86_neck-1	alak	86_neck	ŋ ɔː k	alak1253	alk	1333	NECK	2485	
182	alak-88_new-1	alak	88_new	t a m a j	alak1253	alk	1231	NEW	2528	
183	alak-89_night-1	alak	89_night	m a ŋ	alak1253	alk	1233	NIGHT	2568	
186	alak-91_nose-1	alak	91_nose	m u h	alak1253	alk	1221	NOSE	2588	
189	alak-93_one-1	alak	93_one	m oː j	alak1253	alk	1493	ONE	2648	
192	alak-96_person-1	alak	96_person	pʼ a r ŋ aː j	alak1253	alk	683	PERSON	2761	
198	bahnargolar-101_red-1	bahnargolar	101_red	ɓ r eː	bahn1262	bdq	156	RED	2897	
205	bahnargolar-108_root-1	bahnargolar	108_root	r ə h	bahn1262	bdq	670	ROOT	3112	
206	bahnargolar-109_round-1	bahnargolar	109_round	h ə p oː m	bahn1262	bdq	1395	ROUND	3152	
209	bahnargolar-112_seed-1	bahnargolar	112_seed	ɡ a r	bahn1262	bdq	714	SEED	3257	
218	bahnargolar-121_smoke-1	bahnargolar	121_smoke	ʔ ɲ uː j	bahn1262	bdq	778	SMOKE (EXHAUST)	3558	
223	bahnargolar-125_star-1	bahnargolar	125_star	h ə ŋ l ɔ ŋ	bahn1262	bdq	1430	STAR	3667	
224	bahnargolar-127_stone-1	bahnargolar	127_stone	t ə m ɔː	bahn1262	bdq	857	STONE	3707	
227	bahnargolar-12_bird-1	bahnargolar	12_bird	s ɛː m	bahn1262	bdq	937	BIRD	405	
228	bahnargolar-130_tail-1	bahnargolar	130_tail	k j ɛ ŋ	bahn1262	bdq	1220	TAIL	3806	
235	bahnargolar-137_tobite-1	bahnargolar	137_tobite	k a p	bahn1262	bdq	1403	BITE	3951	
249	bahnargolar-14_black-1	bahnargolar	14_black	ɡ a m	bahn1262	bdq	163	BLACK	473	
250	bahnargolar-150_todrinkwater-1	bahnargolar	150_todrinkwater	ʔ ɛː t	bahn1262	bdq	1401	DRINK	4389	
251	bahnargolar-151_toeat-1	bahnargolar	151_toeat	s aː	bahn1262	bdq	1336	EAT	4391	
256	bahnargolar-155_tofly-1	bahnargolar	155_tofly	p a r	bahn1262	bdq	1441	FLY (MOVE THROUGH AIR)	4572	
258	bahnargolar-157_togive-1	bahnargolar	157_togive	ʔ a n	bahn1262	bdq	1447	GIVE	4663	
259	bahnargolar-158_tohear-1	bahnargolar	158_tohear	k ə t ə ŋ	bahn1262	bdq	1408	HEAR	4704	
262	bahnargolar-15_blood-1	bahnargolar	15_blood	pʰ aː m	bahn1262	bdq	946	BLOOD	476	
266	bahnargolar-163_tokill-1	bahnargolar	163_tokill	p ə l oː c	bahn1262	bdq	1417	KILL	4938	
270	bahnargolar-168_tosayspeak-1	bahnargolar	168_tosayspeak	kʰ aː n	bahn1262	bdq	1458	SAY	5149	
271	bahnargolar-168_tosayspeak-2	bahnargolar	168_tosayspeak	p ə m aː	bahn1262	bdq	1458	SAY	5150	
274	bahnargolar-170_tosee-1	bahnargolar	170_tosee	ɓ o h	bahn1262	bdq	1409	SEE	5290	
277	bahnargolar-174_tosit-1	bahnargolar	174_tosit	ʔ w ɛː j	bahn1262	bdq	1416	SIT	5477	
280	bahnargolar-178_tostand-1	bahnargolar	178_tostand	ʔ j uː ŋ	bahn1262	bdq	1442	STAND	5591	
287	bahnargolar-184_towalkgo-1	bahnargolar	184_towalkgo	j aː k	bahn1262	bdq	1443	WALK	5840	
290	bahnargolar-187_tongue-1	bahnargolar	187_tongue	r ə p j ɛ t	bahn1262	bdq	1205	TONGUE	5901	
291	bahnargolar-188_tooth-1	bahnargolar	188_tooth	s ə n ɛ ɲ	bahn1262	bdq	1380	TOOTH	5923	
292	bahnargolar-189_tree-1	bahnargolar	189_tree	ʔ l ɔː ŋ	bahn1262	bdq	906	TREE	5943	
293	bahnargolar-18_bone-1	bahnargolar	18_bone	k ə t iː ŋ	bahn1262	bdq	1394	BONE	533	
294	bahnargolar-190_two-1	bahnargolar	190_two	ɓ aː r	bahn1262	bdq	1498	TWO	5950	
295	bahnargolar-192_water-1	bahnargolar	192_water	ɗ aː k	bahn1262	bdq	948	WATER	6000	
296	bahnargolar-193_white-1	bahnargolar	193_white	k ɔː k	bahn1262	bdq	1335	WHITE	6031	
299	bahnargolar-196_woman-1	bahnargolar	196_woman	d r a ʔ k a n	bahn1262	bdq	962	WOMAN	6131	
304	bahnargolar-200_yousingthou-1	bahnargolar	200_yousingthou	ʔ ɛː	bahn1262	bdq	1215	THOU	6231	
307	bahnargolar-22_breast-1	bahnargolar	22_breast	t ɔ h	bahn1262	bdq	1402	BREAST	661	
310	bahnargolar-25_cloud-1	bahnargolar	25_cloud	h ə m ə l	bahn1262	bdq	1489	CLOUD	734	
311	bahnargolar-26_cold-1	bahnargolar	26_cold	t ə ŋ j ɛ t	bahn1262	bdq	1287	COLD	749	
312	bahnargolar-27_dog-1	bahnargolar	27_dog	k ɔ ʔ	bahn1262	bdq	2009	DOG	796	
313	bahnargolar-28_dry-1	bahnargolar	28_dry	h r ɛ ŋ	bahn1262	bdq	1398	DRY	870	
314	bahnargolar-29_ear-1	bahnargolar	29_ear	ɗ ɔː n	bahn1262	bdq	1247	EAR	879	
316	bahnargolar-30_earthsoil-1	bahnargolar	30_earthsoil	t ɛ h	bahn1262	bdq	1228	EARTH (SOIL)	906	
317	bahnargolar-31_egg-1	bahnargolar	31_egg	k ə t a p	bahn1262	bdq	744	EGG	933	
319	bahnargolar-33_eye-1	bahnargolar	33_eye	m a t	bahn1262	bdq	1248	EYE	969	
327	bahnargolar-41_fire-1	bahnargolar	41_fire	ʔ u ɲ	bahn1262	bdq	221	FIRE	1205	
328	bahnargolar-42_fish-1	bahnargolar	42_fish	k aː	bahn1262	bdq	227	FISH	1214	
330	bahnargolar-44_fleshmeat-1	bahnargolar	44_fleshmeat	ʔ ɲ ɛ m	bahn1262	bdq	2615	FLESH OR MEAT	1236	
333	bahnargolar-46_foot-1	bahnargolar	46_foot	k ə p aː j + ɟ ə ŋ	bahn1262	bdq	1301	FOOT	1311	
338	bahnargolar-50_full-1	bahnargolar	50_full	ɓ e ɲ	bahn1262	bdq	1429	FULL	1379	
341	bahnargolar-53_green-1	bahnargolar	53_green	ɟ əː k	bahn1262	bdq	1425	GREEN	1517	
343	bahnargolar-55_hand-1	bahnargolar	55_hand	t ə p aː j + t iː	bahn1262	bdq	1277	HAND	1535	
344	bahnargolar-56_head-1	bahnargolar	56_head	k ə l	bahn1262	bdq	1256	HEAD	1549	
345	bahnargolar-57_heart-1	bahnargolar	57_heart	n u jʰ	bahn1262	bdq	1223	HEART	1573	
348	bahnargolar-59_horn-1	bahnargolar	59_horn	h ə k ɛː	bahn1262	bdq	1393	HORN (ANATOMY)	1643	
349	bahnargolar-5_ashes-1	bahnargolar	5_ashes	t ə n u h	bahn1262	bdq	646	ASH	182	
350	bahnargolar-60_hotwarm-1	bahnargolar	60_hotwarm	t ɔ ʔ	bahn1262	bdq	2272	HOT OR WARM	1694	
353	bahnargolar-63_ime-1	bahnargolar	63_ime	ʔ i ɲ	bahn1262	bdq	1209	I	3	
356	bahnargolar-66_leaf-1	bahnargolar	66_leaf	h l aː	bahn1262	bdq	628	LEAF	1794	
361	bahnargolar-70_liver-1	bahnargolar	70_liver	k l əː m	bahn1262	bdq	1224	LIVER	1892	
362	bahnargolar-71_long-1	bahnargolar	71_long	k ə ɟ uː ŋ	bahn1262	bdq	1203	LONG	1941	
363	bahnargolar-72_louse-1	bahnargolar	72_louse	s iː	bahn1262	bdq	1392	LOUSE	1944	
368	bahnargolar-77_moon-1	bahnargolar	77_moon	kʰ ɛː j	bahn1262	bdq	1313	MOON	2152	
370	bahnargolar-79_mountain-1	bahnargolar	79_mountain	k oː ŋ	bahn1262	bdq	639	MOUNTAIN	2236	
372	bahnargolar-80_mouth-1	bahnargolar	80_mouth	ɓ ə r	bahn1262	bdq	674	MOUTH	2282	
375	bahnargolar-83_name-1	bahnargolar	83_name	h ə n a n	bahn1262	bdq	1405	NAME	2364	
