	ID	DOCULECT	CONCEPT	Segments	GLOTTOCODE	ISO_CODE	CONCEPTICON_ID	CONCEPTICON_GLOSS	COGNATES	FORM
1	alak-101_red-1	alak	101_red	pʼ r oː ŋ	alak1253	alk	156	RED	2932	
4	alak-104_rightside-1	alak	104_rightside	p a h + t ɨ m	alak1253	alk	1019	RIGHT	2999	
6	alak-106_river-1	alak	106_river	m ɛː + tʼ aː k	alak1253	alk	666	RIVER	3075	
8	alak-108_root-1	alak	108_root	r ɛː h	alak1253	alk	670	ROOT	3112	
11	alak-110_salt-1	alak	110_salt	b ɔ h	alak1253	alk	1274	SALT	3176	
12	alak-111_sand-1	alak	111_sand	pʼ a h aː c	alak1253	alk	671	SAND	3203	
13	alak-112_seed-1	alak	112_seed	k l əː m	alak1253	alk	714	SEED	3256	
16	alak-116_sharpedged-1	alak	116_sharpedged	m uː t	alak1253	alk	1396	SHARP	3407	
17	alak-116_sharpedged-2	alak	116_sharpedged	c ə k aː r	alak1253	alk	1396	SHARP	3410	
22	alak-120_sky-1	alak	120_sky	pʼ r a h	alak1253	alk	1732	SKY	3523	
23	alak-121_smoke-1	alak	121_smoke	n ʔ j uː j	alak1253	alk	778	SMOKE (EXHAUST)	3558	
24	alak-122_snake-1	alak	122_snake	pʼ i h	alak1253	alk	730	SNAKE	3576	
27	alak-125_star-1	alak	125_star	p l uː ŋ	alak1253	alk	1430	STAR	3661	
28	alak-126_stickofwood-1	alak	126_stickofwood	ʔ l ɔː ŋ + kʼ a r tʼ e h	alak1253	alk	1295	STICK	3706	
29	alak-126_stickofwood-2	alak	126_stickofwood	t a r k a l	alak1253	alk	1295	STICK	3705	
30	alak-127_stone-1	alak	127_stone	t a m ɔː	alak1253	alk	857	STONE	3707	
33	alak-12_bird-1	alak	12_bird	c ɛː m	alak1253	alk	937	BIRD	405	
34	alak-130_tail-1	alak	130_tail	t ɛː ŋ	alak1253	alk	1220	TAIL	3806	
36	alak-132_thickobject-1	alak	132_thickobject	cʼ ɨ r	alak1253	alk	1244	THICK	3843	
39	alak-135_three-1	alak	135_three	p a j	alak1253	alk	492	THREE	3915	
41	alak-137_tobite-1	alak	137_tobite	k a p	alak1253	alk	1403	BITE	3951	
42	alak-138_toblow-1	alak	138_toblow	p l o h	alak1253	alk	175	BLOW (OF WIND)	4000	
53	alak-147_todie-1	alak	147_todie	s iː t	alak1253	alk	1494	DIE	4296	
54	alak-148_todig-1	alak	148_todig	c iː r	alak1253	alk	1418	DIG	4334	
56	alak-14_black-1	alak	14_black	tʼ a ŋ a m	alak1253	alk	163	BLACK	472	
57	alak-150_todrinkwater-1	alak	150_todrinkwater	cʼ ɔ k	alak1253	alk	1401	DRINK	4388	
58	alak-151_toeat-1	alak	151_toeat	c aː	alak1253	alk	1336	EAT	4391	
60	alak-153_tofall-1	alak	153_tofall	ʔ l i h	alak1253	alk	1280	FALL	4441	
62	alak-155_tofly-1	alak	155_tofly	p a r	alak1253	alk	1441	FLY (MOVE THROUGH AIR)	4572	
64	alak-157_togive-1	alak	157_togive	ʔ a m	alak1253	alk	1447	GIVE	4662	
65	alak-158_tohear-1	alak	158_tohear	n t ɔ ŋ	alak1253	alk	1408	HEAR	4704	
67	alak-15_blood-1	alak	15_blood	pʼ a ŋʰ aː m	alak1253	alk	946	BLOOD	476	
68	alak-160_tohunt-1	alak	160_tohunt	p ə p l a m	alak1253	alk	1435	HUNT	4830	
70	alak-163_tokill-1	alak	163_tokill	k a s iː t	alak1253	alk	1417	KILL	4937	
72	alak-165_tolaugh-1	alak	165_tolaugh	c a ʔ aː l	alak1253	alk	1355	LAUGH	5024	
73	alak-167_torubwipe-1	alak	167_torubwipe	c u a t	alak1253	alk	1449	RUB	5130	
74	alak-168_tosayspeak-1	alak	168_tosayspeak	ʔ oː j	alak1253	alk	1458	SAY	5148	
75	alak-169_toscratchscrape-1	alak	169_toscratchscrape	k r aː c	alak1253	alk	1436	SCRATCH	5283	
77	alak-170_tosee-1	alak	170_tosee	t a l	alak1253	alk	1409	SEE	5352	
79	alak-172_tosew-1	alak	172_tosew	cʼ iː ŋ	alak1253	alk	1457	SEW	5412	
81	alak-174_tosit-1	alak	174_tosit	t a ʔ oː j	alak1253	alk	1416	SIT	5477	
83	alak-176_tosmellreceiveodor-1	alak	176_tosmellreceiveodor	h ɨː t	alak1253	alk	1586	SMELL (PERCEIVE)	5549	
84	alak-176_tosmellreceiveodor-2	alak	176_tosmellreceiveodor	h ɨː t	alak1253	alk	1586	SMELL (PERCEIVE)	5549	
85	alak-177_tospit-1	alak	177_tospit	k ə c ɔ h	alak1253	alk	1440	SPIT	5571	
86	alak-178_tostand-1	alak	178_tostand	cʼ a cʼ r a w	alak1253	alk	1442	STAND	5594	
88	alak-180_totiebind-1	alak	180_totiebind	t ɔː m	alak1253	alk	1917	TIE	5671	
91	alak-184_towalkgo-1	alak	184_towalkgo	tʼ aː ŋ	alak1253	alk	1443	WALK	5839	
92	alak-185_towashhandsthings-1	alak	185_towashhandsthings	r aː w	alak1253	alk	1453	WASH	5884	
94	alak-187_tongue-1	alak	187_tongue	m p eː t	alak1253	alk	1205	TONGUE	5901	
95	alak-188_tooth-1	alak	188_tooth	c a n a ɲ	alak1253	alk	1380	TOOTH	5923	
96	alak-189_tree-1	alak	189_tree	t əː m + ʔ l ɔː ŋ	alak1253	alk	906	TREE	5943	
97	alak-18_bone-1	alak	18_bone	k a t iː ŋ	alak1253	alk	1394	BONE	533	
98	alak-190_two-1	alak	190_two	pʼ aː r	alak1253	alk	1498	TWO	5950	
100	alak-192_water-1	alak	192_water	tʼ aː k	alak1253	alk	948	WATER	6000	
101	alak-193_white-1	alak	193_white	pʼ ɔː k	alak1253	alk	1335	WHITE	6030	
102	alak-194_windair-1	alak	194_windair	kʼ a r j aː l	alak1253	alk	960	WIND	6060	
103	alak-195_wing-1	alak	195_wing	s a p iː ŋ	alak1253	alk	1257	WING	6082	
104	alak-196_woman-1	alak	196_woman	ʔ a r o h	alak1253	alk	962	WOMAN	6130	
105	alak-197_year-1	alak	197_year	c a n a m	alak1253	alk	1226	YEAR	6134	
106	alak-198_yellow-1	alak	198_yellow	r aː k	alak1253	alk	1424	YELLOW	6170	
109	alak-200_yousingthou-1	alak	200_yousingthou	m a j	alak1253	alk	1215	THOU	6210	
114	alak-25_cloud-1	alak	25_cloud	m m uː k	alak1253	alk	1489	CLOUD	733	
116	alak-27_dog-1	alak	27_dog	c ɔː	alak1253	alk	2009	DOG	794	
117	alak-28_dry-1	alak	28_dry	h a k ɔ h	alak1253	alk	1398	DRY	869	
118	alak-29_ear-1	alak	29_ear	n t oː	alak1253	alk	1247	EAR	878	
119	alak-2_alivelive-1	alak	2_alivelive	pʼ r oː s	alak1253	alk	1422	BE ALIVE	94	
120	alak-30_earthsoil-1	alak	30_earthsoil	t ə n ɛ h	alak1253	alk	1228	EARTH (SOIL)	905	
121	alak-31_egg-1	alak	31_egg	k a n t a p	alak1253	alk	744	EGG	933	
123	alak-33_eye-1	alak	33_eye	m a t	alak1253	alk	1248	EYE	969	
124	alak-34_fardistant-1	alak	34_fardistant	c ə ŋ aː j	alak1253	alk	1406	FAR	999	
126	alak-36_fearafraid-1	alak	36_fearafraid	k ɛː c	alak1253	alk	1419	FEAR (BE AFRAID)	1075	
131	alak-41_fire-1	alak	41_fire	ʔ uː ɲ	alak1253	alk	221	FIRE	1205	
132	alak-42_fish-1	alak	42_fish	k aː	alak1253	alk	227	FISH	1214	
133	alak-43_five-1	alak	43_five	pʼ a r tʼ a m	alak1253	alk	493	FIVE	1231	
134	alak-44_fleshmeat-1	alak	44_fleshmeat	s a c	alak1253	alk	2615	FLESH OR MEAT	1236	
135	alak-45_flower-1	alak	45_flower	p a ŋ k aː w	alak1253	alk	239	FLOWER	1280	
136	alak-46_foot-1	alak	46_foot	cʼ ɨ ŋ	alak1253	alk	1301	FOOT	1311	
137	alak-47_four-1	alak	47_four	p oː n	alak1253	alk	1500	FOUR	1319	
143	alak-52_grass-1	alak	52_grass	pʼ a t	alak1253	alk	606	GRASS	1451	
144	alak-53_green-1	alak	53_green	s iː w	alak1253	alk	1425	GREEN	1516	
146	alak-55_hand-1	alak	55_hand	t iː	alak1253	alk	1277	HAND	1535	
147	alak-56_head-1	alak	56_head	kʼ ɨː	alak1253	alk	1256	HEAD	1549	
148	alak-57_heart-1	alak	57_heart	k l əː m	alak1253	alk	1223	HEART	1597	
149	alak-58_heavy-1	alak	58_heavy	kʼ a cʼ ɨ k	alak1253	alk	1210	HEAVY	1628	
151	alak-5_ashes-1	alak	5_ashes	pʼ uː h	alak1253	alk	646	ASH	171	
155	alak-63_ime-1	alak	63_ime	ʔ a l	alak1253	alk	1209	I	17	
158	alak-66_leaf-1	alak	66_leaf	cʼ ɔ k	alak1253	alk	628	LEAF	1802	
160	alak-68_leftside-1	alak	68_leftside	p a h + w i a r	alak1253	alk	244	LEFT	1851	
163	alak-70_liver-1	alak	70_liver	k l əː m	alak1253	alk	1224	LIVER	1892	
164	alak-71_long-1	alak	71_long	cʼ r oː ŋ	alak1253	alk	1203	LONG	1911	
165	alak-72_louse-1	alak	72_louse	ɲ c a j	alak1253	alk	1392	LOUSE	1944	
166	alak-73_manmalehuman-1	alak	73_manmalehuman	k oː ɲ	alak1253	alk	2106	MALE PERSON	1964	
167	alak-74_many-1	alak	74_many	j aː w	alak1253	alk	1198	MANY	2006	
172	alak-79_mountain-1	alak	79_mountain	kʼ ɔː r	alak1253	alk	639	MOUNTAIN	2235	
174	alak-80_mouth-1	alak	80_mouth	k aː ŋ	alak1253	alk	674	MOUTH	2271	
177	alak-83_name-1	alak	83_name	c a n ɔ ʔ	alak1253	alk	1405	NAME	2363	
179	alak-85_near-1	alak	85_near	tʼ i a p	alak1253	alk	1942	NEAR	2457	
180	alak-86_neck-1	alak	86_neck	ŋ ɔː k	alak1253	alk	1333	NECK	2485	
182	alak-88_new-1	alak	88_new	t a m a j	alak1253	alk	1231	NEW	2528	
183	alak-89_night-1	alak	89_night	m a ŋ	alak1253	alk	1233	NIGHT	2568	
186	alak-91_nose-1	alak	91_nose	m u h	alak1253	alk	1221	NOSE	2588	
187	alak-92_old-1	alak	92_old	k r a ʔ	alak1253	alk	1229	OLD	2596	
188	alak-92_old-2	alak	92_old	t a t ɨ a	alak1253	alk	1229	OLD	2597	
189	alak-93_one-1	alak	93_one	m oː j	alak1253	alk	1493	ONE	2648	
192	alak-96_person-1	alak	96_person	pʼ a r ŋ aː j	alak1253	alk	683	PERSON	2761	
198	bahnargolar-101_red-1	bahnargolar	101_red	ɓ r eː	bahn1262	bdq	156	RED	2897	
201	bahnargolar-104_rightside-1	bahnargolar	104_rightside	ɡ a h + ʔ m aː	bahn1262	bdq	1019	RIGHT	3010	
203	bahnargolar-106_river-1	bahnargolar	106_river	k r ɔː ŋ	bahn1262	bdq	666	RIVER	3076	
205	bahnargolar-108_root-1	bahnargolar	108_root	r ə h	bahn1262	bdq	670	ROOT	3112	
208	bahnargolar-110_salt-1	bahnargolar	110_salt	b ɔ h	bahn1262	bdq	1274	SALT	3176	
209	bahnargolar-112_seed-1	bahnargolar	112_seed	ɡ a r	bahn1262	bdq	714	SEED	3257	
212	bahnargolar-116_sharpedged-1	bahnargolar	116_sharpedged	h aː n	bahn1262	bdq	1396	SHARP	3411	
217	bahnargolar-120_sky-1	bahnargolar	120_sky	p l ɛ ɲ	bahn1262	bdq	1732	SKY	3524	
218	bahnargolar-121_smoke-1	bahnargolar	121_smoke	ʔ ɲ uː j	bahn1262	bdq	778	SMOKE (EXHAUST)	3558	
219	bahnargolar-122_snake-1	bahnargolar	122_snake	ɓ i h	bahn1262	bdq	730	SNAKE	3576	
223	bahnargolar-125_star-1	bahnargolar	125_star	h ə ŋ l ɔ ŋ	bahn1262	bdq	1430	STAR	3667	
224	bahnargolar-127_stone-1	bahnargolar	127_stone	t ə m ɔː	bahn1262	bdq	857	STONE	3707	
227	bahnargolar-12_bird-1	bahnargolar	12_bird	s ɛː m	bahn1262	bdq	937	BIRD	405	
228	bahnargolar-130_tail-1	bahnargolar	130_tail	k j ɛ ŋ	bahn1262	bdq	1220	TAIL	3806	
230	bahnargolar-132_thickobject-1	bahnargolar	132_thickobject	h ə ɓ ə l	bahn1262	bdq	1244	THICK	3823	
233	bahnargolar-135_three-1	bahnargolar	135_three	p eː ŋ	bahn1262	bdq	492	THREE	3917	
235	bahnargolar-137_tobite-1	bahnargolar	137_tobite	k a p	bahn1262	bdq	1403	BITE	3951	
236	bahnargolar-138_toblow-1	bahnargolar	138_toblow	h l oː m	bahn1262	bdq	175	BLOW (OF WIND)	4001	
247	bahnargolar-148_todig-1	bahnargolar	148_todig	s iː r	bahn1262	bdq	1418	DIG	4334	
249	bahnargolar-14_black-1	bahnargolar	14_black	ɡ a m	bahn1262	bdq	163	BLACK	473	
250	bahnargolar-150_todrinkwater-1	bahnargolar	150_todrinkwater	ʔ ɛː t	bahn1262	bdq	1401	DRINK	4389	
251	bahnargolar-151_toeat-1	bahnargolar	151_toeat	s aː	bahn1262	bdq	1336	EAT	4391	
253	bahnargolar-153_tofall-1	bahnargolar	153_tofall	k l i h	bahn1262	bdq	1280	FALL	4441	
256	bahnargolar-155_tofly-1	bahnargolar	155_tofly	p a r	bahn1262	bdq	1441	FLY (MOVE THROUGH AIR)	4572	
258	bahnargolar-157_togive-1	bahnargolar	157_togive	ʔ a n	bahn1262	bdq	1447	GIVE	4663	
259	bahnargolar-158_tohear-1	bahnargolar	158_tohear	k ə t ə ŋ	bahn1262	bdq	1408	HEAR	4704	
