	ID	DOCULECT	CONCEPT	Segments	GLOTTOCODE	ISO_CODE	CONCEPTICON_ID	CONCEPTICON_GLOSS	COGNATES	FORM
0	armenian-100_yellow-1	armenian	100_yellow	d ɛ ʁ i n	nucl1235	hye	1424	YELLOW	552	
7	armenian-10_bone-1	armenian	10_bone	v o s k o ɾ	nucl1235	hye	1394	BONE	73	
9	armenian-11_breast-1	armenian	11_breast	k u ɾ ts kʰ	nucl1235	hye	1402	BREAST	83	
12	armenian-14_cloud-1	armenian	14_cloud	ɑ m p	nucl1235	hye	1489	CLOUD	99	
13	armenian-16_come-1	armenian	16_come	g ɑ l	nucl1235	hye	1446	COME	113	
14	armenian-17_die-1	armenian	17_die	m ɛ r n ɛ l	nucl1235	hye	1494	DIE	121	
15	armenian-18_dog-1	armenian	18_dog	ʃ u n	nucl1235	hye	2009	DOG	123	
16	armenian-19_drink-1	armenian	19_drink	χ ə m ɛ l	nucl1235	hye	1401	DRINK	131	
17	armenian-21_ear-1	armenian	21_ear	ɑ k ɑ n dʒ	nucl1235	hye	1247	EAR	141	
18	armenian-22_earth-1	armenian	22_earth	h o ʁ	nucl1235	hye	1228	EARTH (SOIL)	146	
19	armenian-23_eat-1	armenian	23_eat	u t ɛ l	nucl1235	hye	1336	EAT	150	
20	armenian-24_egg-1	armenian	24_egg	dz u	nucl1235	hye	744	EGG	155	
21	armenian-25_eye-1	armenian	25_eye	ɑ tʃʰ kʰ	nucl1235	hye	1248	EYE	158	
23	armenian-27_feather-1	armenian	27_feather	pʰ ɛ t u ɾ	nucl1235	hye	1201	FEATHER	-171	
24	armenian-28_fire-1	armenian	28_fire	k ə ɾ ɑ k	nucl1235	hye	221	FIRE	180	
25	armenian-29_fish-1	armenian	29_fish	dz u k	nucl1235	hye	227	FISH	183	
26	armenian-2_ashes-1	armenian	2_ashes	m o χ i ɾ	nucl1235	hye	646	ASH	9	
27	armenian-30_flyv-1	armenian	30_flyv	tʰ ə r tʃʰ ɛ l	nucl1235	hye	1441	FLY (MOVE THROUGH AIR)	191	
28	armenian-31_foot-1	armenian	31_foot	v o t kʰ	nucl1235	hye	1301	FOOT	194	
29	armenian-32_full-1	armenian	32_full	l i kʰ ə	nucl1235	hye	1429	FULL	196	
30	armenian-33_give-1	armenian	33_give	t ɑ l	nucl1235	hye	1447	GIVE	198	
31	armenian-34_good-1	armenian	34_good	l ɑ v	nucl1235	hye	1035	GOOD	202	
32	armenian-35_green-1	armenian	35_green	k ɑ n ɑ tʃʰ	nucl1235	hye	1425	GREEN	-206	
33	armenian-36_hair-1	armenian	36_hair	m ɑ z	nucl1235	hye	1040	HAIR	-211	
34	armenian-37_hand-1	armenian	37_hand	dz ɛ r kʰ	nucl1235	hye	1277	HAND	219	
35	armenian-38_head-1	armenian	38_head	g ə l u χ	nucl1235	hye	1256	HEAD	228	
36	armenian-39_hear-1	armenian	39_hear	l ə s ɛ l	nucl1235	hye	1408	HEAR	231	
37	armenian-3_bark-1	armenian	3_bark	k ɛ ʁ ɛ v	nucl1235	hye	1204	BARK	22	
38	armenian-40_heart-1	armenian	40_heart	s i ɾ t	nucl1235	hye	1223	HEART	235	
39	armenian-41_horn-1	armenian	41_horn	p o z	nucl1235	hye	1393	HORN (ANATOMY)	-236	
40	armenian-42_i-1	armenian	42_i	j ɛ s	nucl1235	hye	1209	I	240	
41	armenian-43_kill-1	armenian	43_kill	s p ɑ n ɛ l	nucl1235	hye	1417	KILL	241	
42	armenian-44_knee-1	armenian	44_knee	ts u n k	nucl1235	hye	1371	KNEE	254	
43	armenian-45_know-1	armenian	45_know	g i t ɛ n ɑ l	nucl1235	hye	1410	KNOW (SOMETHING)	256	
44	armenian-46_leaf-1	armenian	46_leaf	t ɛ ɾ ɛ v	nucl1235	hye	628	LEAF	260	
45	armenian-47_lie-1	armenian	47_lie	p ɑ r k ɛ l	nucl1235	hye	1411	LIE (REST)	-266	
46	armenian-48_liver-1	armenian	48_liver	l ɪ ɑ r tʰ	nucl1235	hye	1224	LIVER	273	
47	armenian-49_long-1	armenian	49_long	j ɛ ɾ k ɑ ɾ	nucl1235	hye	1203	LONG	280	
48	armenian-50_louse-1	armenian	50_louse	v o tʃʰ i l	nucl1235	hye	1392	LOUSE	287	
49	armenian-52_many-1	armenian	52_many	ʃ ɑ t	nucl1235	hye	1198	MANY	-298	
51	armenian-54_moon-1	armenian	54_moon	l u s i n	nucl1235	hye	1313	MOON	311	
52	armenian-55_mountain-1	armenian	55_mountain	s ɑ ɾ	nucl1235	hye	639	MOUNTAIN	320	
53	armenian-56_mouth-1	armenian	56_mouth	b ɛ ɾ ɑ n	nucl1235	hye	674	MOUTH	333	
54	armenian-57_name-1	armenian	57_name	ɑ n u n	nucl1235	hye	1405	NAME	334	
55	armenian-58_neck-1	armenian	58_neck	v i z	nucl1235	hye	1333	NECK	341	
56	armenian-59_new-1	armenian	59_new	n o ɾ	nucl1235	hye	1231	NEW	343	
57	armenian-5_big-1	armenian	5_big	m ɛ ts	nucl1235	hye	1202	BIG	37	
58	armenian-60_night-1	armenian	60_night	g i ʃ ɛ ɾ	nucl1235	hye	1233	NIGHT	344	
59	armenian-61_nose-1	armenian	61_nose	kʰ i tʰ	nucl1235	hye	1221	NOSE	-349	
60	armenian-62_not-1	armenian	62_not	v o tʃʰ	nucl1235	hye	1240	NOT	351	
61	armenian-63_one-1	armenian	63_one	m ɛ k	nucl1235	hye	1493	ONE	355	
62	armenian-64_person-1	armenian	64_person	m ɑ ɾ tʰ	nucl1235	hye	683	PERSON	-359	
64	armenian-66_red-1	armenian	66_red	k ɑ ɾ m i ɾ	nucl1235	hye	156	RED	-372	
65	armenian-67_road-1	armenian	67_road	tʃ ɑ m pʰ ɑ	nucl1235	hye	667	ROAD	-382	
66	armenian-68_root-1	armenian	68_root	ɑ ɾ m ɑ t	nucl1235	hye	670	ROOT	387	
