	ID	DOCULECT	CONCEPT	Segments	GLOTTOCODE	ISO_CODE	CONCEPTICON_ID	CONCEPTICON_GLOSS	COGNATES	FORM
0	erzya-100_many-1	erzya	100_many	l ɑ m o	erzy1239	myv	1198	MANY	2872	
1	erzya-101_meatflesh-1	erzya	101_meatflesh	s i v e ʎ	erzy1239	myv	2615	FLESH OR MEAT	2882	
2	erzya-102_moon-1	erzya	102_moon	k o v	erzy1239	myv	1313	MOON	2889	
3	erzya-103_mother-1	erzya	103_mother	ɑ v ɑ	erzy1239	myv	1216	MOTHER	2896	
4	erzya-104_mountain-1	erzya	104_mountain	p ɑ n d o	erzy1239	myv	639	MOUNTAIN	2905	
5	erzya-105_mouth-1	erzya	105_mouth	k u r ɡ o	erzy1239	myv	674	MOUTH	2916	
6	erzya-106_name-1	erzya	106_name	ʎ e m	erzy1239	myv	1405	NAME	2921	
7	erzya-107_narrow-1	erzya	107_narrow	tʲ e j i ɲ e	erzy1239	myv	1267	NARROW	2924	
8	erzya-108_near-1	erzya	108_near	m ɑ l ɑ s o	erzy1239	myv	1942	NEAR	2937	
9	erzya-109_neck-1	erzya	109_neck	k i rʲ ɡ ɑ	erzy1239	myv	1333	NECK	2949	
10	erzya-10_belly-1	erzya	10_belly	p e k e	erzy1239	myv	1251	BELLY	3	
11	erzya-110_new-1	erzya	110_new	o d	erzy1239	myv	1231	NEW	33	
12	erzya-111_night-1	erzya	111_night	v e	erzy1239	myv	1233	NIGHT	2960	
13	erzya-112_nose-1	erzya	112_nose	s u d o	erzy1239	myv	1221	NOSE	2964	
14	erzya-113_not-1	erzya	113_not	ɑ	erzy1239	myv	1240	NOT	2969	
15	erzya-115_one-1	erzya	115_one	v e j k e	erzy1239	myv	1493	ONE	34	
16	erzya-116_other-1	erzya	116_other	o m b o	erzy1239	myv	197	OTHER	2975	
17	erzya-116_other-2	erzya	116_other	ʎ i j ɑ	erzy1239	myv	197	OTHER	2980	
18	erzya-117_person-1	erzya	117_person	l o m ɑ ɲ	erzy1239	myv	683	PERSON	2984	
19	erzya-118_play-1	erzya	118_play	n ɑ l k ɕ e m s	erzy1239	myv	1413	PLAY	2994	
20	erzya-119_pull-1	erzya	119_pull	u s k o m s	erzy1239	myv	1455	PULL	3006	
21	erzya-11_big-1	erzya	11_big	p o k ʃ	erzy1239	myv	1202	BIG	2389	
22	erzya-120_push-1	erzya	120_push	t u l k ɑ dʲ e m s	erzy1239	myv	1452	PUSH	3014	
23	erzya-121_rain-1	erzya	121_rain	p i ʑ e m s	erzy1239	myv	2108	RAINING OR RAIN	3028	
24	erzya-122_red-1	erzya	122_red	j ɑ k s tʲ e rʲ e	erzy1239	myv	156	RED	3034	
25	erzya-125_river-1	erzya	125_river	ʎ e j	erzy1239	myv	666	RIVER	3042	
26	erzya-126_road-1	erzya	126_road	k i	erzy1239	myv	667	ROAD	3050	
27	erzya-127_root-1	erzya	127_root	j u r	erzy1239	myv	670	ROOT	3056	
28	erzya-127_root-2	erzya	127_root	u n d o k s	erzy1239	myv	670	ROOT	38	
